contract_time,adref,id,salary_is_predicted,description,longitude,redirect_url,title,latitude,__CLASS__,created,salary_min,salary_max,location.__CLASS__,location.area,location.display_name,category.label,category.tag,category.__CLASS__,company.display_name,company.__CLASS__,contract_type
part_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NTIxNTExNiIsInMiOiJMb29qX1BVbDhSR3hCNGtyV1BKWUVRIn0.aTLoB_ec5wSHZnRMcysIuUwoMnZnt1I9MaElCOikXUc,5675215116,1,"Why Become a Shopper with DoorDash? Turn your shopping skills into extra income. Whether you’re helping someone stock up on groceries or delivering a last-minute convenience order, as a Shopper you unlock more earnings opportunities with DoorDash. Stay active during off-peak hours and no need to wait around for a restaurant preparing an order, becoming a Shopper with DoorDash puts you in control of your time and earnings. Either as a side hustle or a full-time gig, being a Shopper with DoorDash…",-84.243685,https://www.adzuna.com/land/ad/5675215116?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=9AD4250EFAF1CF655BD50811C1AD51136A74414B,DoorDash Shopper - No Experience Needed,39.78225,Adzuna::API::Response::Job,2026-03-22T09:44:13Z,50816.75,50816.75,Adzuna::API::Response::Location,"['US', 'Ohio', 'Montgomery County', 'Trotwood']","Trotwood, Montgomery County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTG9val9QVWw4Ukd4QjRrcldQSllFUSIsImkiOiI1Njc1MjE1MDc3In0.9ZEIFfv3E4TQReSSzDHAcBqq6DPQE61eV6Jxvsms4QM,5675215077,1,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. Multiple ways to earn: Whether you’re delivering meals, groceries, o…",,https://www.adzuna.com/land/ad/5675215077?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=3629FD2E40168D25E5115E82B4AD86473BADDDC3,Delivery Driver - Work When you want,,Adzuna::API::Response::Job,2026-03-22T09:44:12Z,53310.33,53310.33,Adzuna::API::Response::Location,['US'],US,Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTG9val9QVWw4Ukd4QjRrcldQSllFUSIsImkiOiI1Njc1MjE1MDYxIn0.A52z8vM_asvY_wxGSH6vdWMRCfV8pVE2zUE6KeyxpRg,5675215061,1,"Why Become a Shopper with DoorDash? Turn your shopping skills into extra income. Whether you’re helping someone stock up on groceries or delivering a last-minute convenience order, as a Shopper you unlock more earnings opportunities with DoorDash. Stay active during off-peak hours and no need to wait around for a restaurant preparing an order, becoming a Shopper with DoorDash puts you in control of your time and earnings. Either as a side hustle or a full-time gig, being a Shopper with DoorDash…",-77.180452,https://www.adzuna.com/land/ad/5675215061?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=1E6638FB6D298497E3058827E0DA68EF5D033555,DoorDash Shopper - Shop on Your Time,39.139295,Adzuna::API::Response::Job,2026-03-22T09:44:12Z,50283.67,50283.67,Adzuna::API::Response::Location,"['US', 'Maryland', 'Montgomery County', 'Gaithersburg']","Gaithersburg, Montgomery County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NTIxNTA5MiIsInMiOiJMb29qX1BVbDhSR3hCNGtyV1BKWUVRIn0.0c67unhJ1PK6v4u2MJN2M3fLkQhWGNYdtb38S2WtAkU,5675215092,1,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. Multiple ways to earn: Whether you’re delivering meals, groceries, o…",-86.253277,https://www.adzuna.com/land/ad/5675215092?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=3513DC5C1AFCD71E5F2D973E09C66D84CFEBAA86,Delivery Driver - Earn Extra Cash,43.237426,Adzuna::API::Response::Job,2026-03-22T09:44:12Z,60048.89,60048.89,Adzuna::API::Response::Location,"['US', 'Michigan', 'Muskegon County', 'Muskegon']","Muskegon, Muskegon County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NTIxNTA3MCIsInMiOiJMb29qX1BVbDhSR3hCNGtyV1BKWUVRIn0.eUmpRP5P6mDuHEm_Um9sWXsYNoZrVGAGbq5Ec6f-8ak,5675215070,1,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. Multiple ways to earn: Whether you’re delivering meals, groceries, o…",-93.996576,https://www.adzuna.com/land/ad/5675215070?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=5DA005B46CC6E016CC84E9E1D2055B5A6BD9F1A8,Restaurant Delivery - Sign Up in Minutes,30.9202,Adzuna::API::Response::Job,2026-03-22T09:44:12Z,60348.81,60348.81,Adzuna::API::Response::Location,"['US', 'Texas', 'Jasper County', 'Jasper']","Jasper, Jasper County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTG9val9QVWw4Ukd4QjRrcldQSllFUSIsImkiOiI1Njc1MjE1MDEyIn0.JwwJqKmBEfMdIu0Uurejy4YCqo_acv4tQ2ISAVAhjpc,5675215012,1,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. Multiple ways to earn: Whether you’re delivering meals, groceries, o…",-80.989813,https://www.adzuna.com/land/ad/5675215012?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=0BEDF6470423A194872BA596B86D6B2E4E9D320B,Restaurant Delivery - Work When you want,34.019322,Adzuna::API::Response::Job,2026-03-22T09:44:11Z,47083.27,47083.27,Adzuna::API::Response::Location,"['US', 'South Carolina', 'Richland County', 'Forest Acres']","Forest Acres, Richland County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTG9val9QVWw4Ukd4QjRrcldQSllFUSIsImkiOiI1Njc1MjE1MDM2In0.krth7QmxKuqBTDhp_4IXTncfV4ZeFaPCqfYOfeGRfyU,5675215036,1,"No CDL needed / No commercial drivers license Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. Multiple ways to earn:…",-84.241861,https://www.adzuna.com/land/ad/5675215036?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=C0BBCDD65C1B23464D9BDFD03B62B38584E2B3EB,Drive with Doordash - No CDL license needed,35.590078,Adzuna::API::Response::Job,2026-03-22T09:44:11Z,67621.05,67621.05,Adzuna::API::Response::Location,"['US', 'Tennessee', 'Monroe County', 'Vonore']","Vonore, Monroe County",Travel Jobs,travel-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTG9val9QVWw4Ukd4QjRrcldQSllFUSIsImkiOiI1Njc1MjE1MDQ5In0.4XFoxzaqJH9u1YddPueg0hrkYe43L0qIomWgdLSG7Gk,5675215049,1,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. Multiple ways to earn: Whether you’re delivering meals, groceries, o…",-80.093998,https://www.adzuna.com/land/ad/5675215049?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=906D73A970AD92034803208D716DEB40C96C08EB,Restaurant Delivery - Onboarding / Onboard,42.118832,Adzuna::API::Response::Job,2026-03-22T09:44:11Z,60763.57,60763.57,Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Erie County', 'Erie']","Erie, Erie County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NTIxNTAzMSIsInMiOiJMb29qX1BVbDhSR3hCNGtyV1BKWUVRIn0.U1_b7S5E1oRhTUlreIAJmIUu866DJyIYCcdKP0GrOf4,5675215031,1,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. Multiple ways to earn: Whether you’re delivering meals, groceries, o…",-106.73336,https://www.adzuna.com/land/ad/5675215031?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=F34DEBCE16FFEEA1C38C3E555201A30B52C47FD0,Restaurant Delivery - Flexible Schedule,34.806166,Adzuna::API::Response::Job,2026-03-22T09:44:11Z,55168.01,55168.01,Adzuna::API::Response::Location,"['US', 'New Mexico', 'Valencia County', 'Los Lunas']","Los Lunas, Valencia County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
part_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NTIxNTA0OCIsInMiOiJMb29qX1BVbDhSR3hCNGtyV1BKWUVRIn0.Xh1Uv8iCljAch8JHVvVZgnlrFXIXLMxHUyvJ6y_YlT0,5675215048,1,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. Multiple ways to earn: Whether you’re delivering meals, groceries, o…",-96.771669,https://www.adzuna.com/land/ad/5675215048?se=Looj_PUl8RGxB4krWPJYEQ&utm_medium=api&utm_source=abfa41a4&v=D0D102F666E600B5ECE121305064016F4B8673C0,Delivery Driver - Flexible Onboarding,34.090375,Adzuna::API::Response::Job,2026-03-22T09:44:11Z,60349.84,60349.84,Adzuna::API::Response::Location,"['US', 'Oklahoma', 'Marshall County', 'Madill']","Madill, Marshall County",Retail Jobs,retail-jobs,Adzuna::API::Response::Category,DoorDash,Adzuna::API::Response::Company,
