salary_max,description,__CLASS__,title,salary_is_predicted,salary_min,id,adref,latitude,redirect_url,created,longitude,location.display_name,location.area,location.__CLASS__,company.__CLASS__,company.display_name,category.__CLASS__,category.tag,category.label,contract_time,contract_type
98576.63,"KAG Energy, a division of Kenan Advantage Group, is currently hiring Owner Operators in your area! Join KAG today to take advantage of great pay, competitive benefits packages, supportive terminal managers and great equipment! Currently hiring CDL-A Truck Drivers! Text APPLY to (805)-301-1212 to get your quick app started! We Offer: Paid 68% of the load Local/Home daily Health, Vision, Life, and Dental insurance 6 paid holidays Vacation pay at full weekly salary Paid Training 401K with company …",Adzuna::API::Response::Job,CDL-A Truck Driver,1,98576.63,5676012452,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NjAxMjQ1MiIsInMiOiJWUENUUU1NbThSR3EwcVFJdnVNaExBIn0.E2ZaCxx_9-wiGtZCZ7cyi9CbfuF1ex__UR79j29vrsE,28.541508,https://www.adzuna.com/land/ad/5676012452?se=VPCTQMMm8RGq0qQIvuMhLA&utm_medium=api&utm_source=abfa41a4&v=49F996051ED865AD5DD904BD2EE2F650A595C912,2026-03-23T10:03:35Z,-81.374139,"Orlando, Orange County","['US', 'Florida', 'Orange County', 'Orlando']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Kenan Advantage Group,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,,
68227.81,"Wellspring Agency Overview: Since 1982 Wellspring has championed mental health recovery in Louisville. Serving some of the most vulnerable people in our community, Wellspring is a pillar of hope. We support adults in building healthy & hopeful lives through behavioral health, housing, & employment services. We believe recovery is possible for all people with psychiatric disabilities. Wellspring’s recovery-oriented programming incorporates person-centered care & utilizes a multi-disciplinary app…",Adzuna::API::Response::Job,Assertive Community Treatment (ACT) Targeted Case Manager (TCM),1,68227.81,5676012445,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVlBDVFFNTW04UkdxMHFRSXZ1TWhMQSIsImkiOiI1Njc2MDEyNDQ1In0.U1iE0Uts4GfY9XGUxrIgCUXOOPviktJpAPlNubWMjso,38.255693,https://www.adzuna.com/details/5676012445?utm_medium=api&utm_source=abfa41a4,2026-03-23T10:03:13Z,-85.751283,"Louisville, Jefferson County","['US', 'Kentucky', 'Jefferson County', 'Louisville']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Wellspring,Adzuna::API::Response::Category,social-work-jobs,Social work Jobs,full_time,
51202.32,"About us Marc Security Services is an elite-security firm conveniently located in Tampa, Florida. Our goal is to assist our clients, reach the highest level of security & safety possible. Marc security services is a team, with every person in the company a player, expected and needed to perform to their fullest capacity. Marc security objective is to make a fair profit, achieve sales and budgeting goals, while at the same time remaining committed to quality service and strengthening the connect…",Adzuna::API::Response::Job,Security Guard,1,51202.32,5676012442,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVlBDVFFNTW04UkdxMHFRSXZ1TWhMQSIsImkiOiI1Njc2MDEyNDQyIn0.skFVrzihzaFOjj2vyX_2G9eYxp4lzBzUizmbqpkUH1c,27.955269,https://www.adzuna.com/details/5676012442?utm_medium=api&utm_source=abfa41a4,2026-03-23T10:03:10Z,-82.45632,"Tampa, Hillsborough County","['US', 'Florida', 'Hillsborough County', 'Tampa']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,MARC SECURITY SERVICES LLC,Adzuna::API::Response::Category,maintenance-jobs,Maintenance Jobs,,
15842.57,"We are intermittently hiring registered nurses to assist in the Health Center during our various seasons of camps and retreats. If you have an active R.N. license and a current BLS certification and would like to come work with us for a weekend/week/week(s) of camp, please submit your availability and we will contact you if your availability and qualifications match our needs! Hiring on an as-needed basis. Why Join Us? Be part of a mission-driven, faith-based organization that is dedicated to m…",Adzuna::API::Response::Job,Seasonal Nurse,1,15842.57,5676012440,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NjAxMjQ0MCIsInMiOiJWUENUUU1NbThSR3EwcVFJdnVNaExBIn0.77fp6KChnfcz-aQqpSjU4Fh_hcSn4CXPmBkKFw2jCDo,,https://www.adzuna.com/details/5676012440?utm_medium=api&utm_source=abfa41a4,2026-03-23T10:03:09Z,,US,['US'],Adzuna::API::Response::Location,Adzuna::API::Response::Company,Hume Christian Camps,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,,
85577.99,"Industrial Painting USA is a fast-growing company that specializes in industrial and commercial painting projects nationwide. We are committed to building lasting partnerships by delivering exceptional service and top-quality results. To support our continued growth, we are seeking a Painting Sales Representative with a strong background in selling industrial and commercial-grade painting services. This role is ideal for a driven, self-motivated individual with a proven track record of generati…",Adzuna::API::Response::Job,Painting Sales Representative & Estimator,1,85577.99,5676012439,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NjAxMjQzOSIsInMiOiJWUENUUU1NbThSR3EwcVFJdnVNaExBIn0.9ZEFqS_DAE6X6tt_v14AMk9OXVRudFAG4C0g3qAcecE,42.051966,https://www.adzuna.com/details/5676012439?utm_medium=api&utm_source=abfa41a4,2026-03-23T10:03:08Z,-88.044457,"Schaumburg, Cook County","['US', 'Illinois', 'Cook County', 'Schaumburg']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Industrial Painting USA,Adzuna::API::Response::Category,trade-construction-jobs,Trade & Construction Jobs,,
97366.04,"Roofing Advisor Job Description Job Title: Base  Commission Outside Sales Representative for Liberty Roofing Professionals We are seeking a highly motivated and results-driven Commission-Based Outside Sales Representative to join our roofing company. The ideal candidate will have a strong understanding of the sales process and excel at generating leads, building relationships, and closing deals. As an Outside Sales Representative, you will be responsible for traveling to assigned territories to…",Adzuna::API::Response::Job,Outside Sales Representative,1,97366.04,5676012434,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVlBDVFFNTW04UkdxMHFRSXZ1TWhMQSIsImkiOiI1Njc2MDEyNDM0In0.nnJKcXO0d6QrSt8nQ2SJq2JBCG2X2kvchxmiiykBZzE,32.570889,https://www.adzuna.com/details/5676012434?utm_medium=api&utm_source=abfa41a4,2026-03-23T10:02:56Z,-84.73125,"Columbus, Muscogee County","['US', 'Georgia', 'Muscogee County', 'Columbus']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Liberty Roofing Professionals,Adzuna::API::Response::Category,sales-jobs,Sales Jobs,full_time,
19255.88,"Drake’s is a neighborhood restaurant and bar with an unconventional spirit. Dedicated to giving everyone a place to come play, everything at Drake’s—from our atmosphere to our team and our menu—is designed with an infectious energy that ensures everyone leaves with a story to tell. We’re not afraid to push the boundaries (and maybe break a few rules) to give guests an experience like no other. After all, we’re the restaurant that dared to put burgers and sushi on the same menu. At Drake’s, we’r…",Adzuna::API::Response::Job,KY - Drake's Elizabethtown - Dishwasher,1,19255.88,5676012431,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVlBDVFFNTW04UkdxMHFRSXZ1TWhMQSIsImkiOiI1Njc2MDEyNDMxIn0.BEBeEAlRpqBaUcwpD_BSjIjcdDQJMd4AgwoXheutluk,37.703065,https://www.adzuna.com/details/5676012431?utm_medium=api&utm_source=abfa41a4,2026-03-23T10:02:49Z,-85.864941,"Elizabethtown, Hardin County","['US', 'Kentucky', 'Hardin County', 'Elizabethtown']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Bluegrass Hospitality Group,Adzuna::API::Response::Category,hospitality-catering-jobs,Hospitality & Catering Jobs,full_time,
50271.59,"Tea Around Town ( teaaroundtown.com ), our recently launched product, is an elegant tea room experience atop a double decker bus. Since launch, Tea Around Town has gained significant popularity and has been featured on NBC News, Time Out, etc. Our goal is to offer world class white glove service consistently to customers, while catering to demanding schedules and achieving cost efficiency. Powered by in-house technology, TopView Group creates unique global experiences. Our rapidly growing portf…",Adzuna::API::Response::Job,"Tea Around Town Supervisor, NY",1,50271.59,5676012428,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVlBDVFFNTW04UkdxMHFRSXZ1TWhMQSIsImkiOiI1Njc2MDEyNDI4In0.xFgiqgDpN5H9VLggfbo45K5FOsLBM7uSLXGj_pmAzec,,https://www.adzuna.com/details/5676012428?utm_medium=api&utm_source=abfa41a4,2026-03-23T10:02:35Z,,"New York City, New York","['US', 'New York', 'New York City']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,TopView Sightseeing,Adzuna::API::Response::Category,hospitality-catering-jobs,Hospitality & Catering Jobs,,
36572.52,"Accountability Reporting to the General Manager, Restaurant Managers are responsible for the supervision of approximately 15 - 20 crew members, proper execution of the restaurant operations on their assigned shift, providing guests with a great dining experience and upholding service and quality standards. Along with 1 to 2 other peer Restaurant Managers and/or Hourly Supervisors, Restaurant Managers will support the General Manager who has total accountability for the success of the restaurant…",Adzuna::API::Response::Job,Restaurant Manager,1,36572.52,5676012422,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NjAxMjQyMiIsInMiOiJWUENUUU1NbThSR3EwcVFJdnVNaExBIn0.ovi0TYiPnjYe5jTlWDmR-Qf2-fFaMWyeT30mmfZ03Gk,,https://www.adzuna.com/details/5676012422?utm_medium=api&utm_source=abfa41a4,2026-03-23T10:02:22Z,,US,['US'],Adzuna::API::Response::Location,Adzuna::API::Response::Company,Denny's,Adzuna::API::Response::Category,hospitality-catering-jobs,Hospitality & Catering Jobs,,
74929.88,"Are you ready to join an exceptional company that offers comprehensive training, benefits, and flexible working hours all while working remotely from your home? Our ideal candidate embodies qualities such as adaptability, trainability, and a strong desire for a long-lasting career. We are looking for individuals who are eager to start their career with us and are committed to personal and professional growth. Position Benefits: Flexible hours: a fulltime career but you choose your schedule. Exc…",Adzuna::API::Response::Job,"Customer Service Sales Work From Home - San Marcos, CA",1,74929.88,5676012421,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVlBDVFFNTW04UkdxMHFRSXZ1TWhMQSIsImkiOiI1Njc2MDEyNDIxIn0.giLVFuCUu28K7JAmQIHFgq-pmRmV85G2Kyp7dP8tgRE,33.163027,https://www.adzuna.com/details/5676012421?utm_medium=api&utm_source=abfa41a4,2026-03-23T10:02:21Z,-117.161769,"San Marcos, San Diego County","['US', 'California', 'San Diego County', 'San Marcos']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,American Income Life AO - Bruce Viaje,Adzuna::API::Response::Category,sales-jobs,Sales Jobs,full_time,
