salary_is_predicted,longitude,salary_min,created,__CLASS__,adref,latitude,id,redirect_url,title,description,salary_max,location.__CLASS__,location.area,location.display_name,company.__CLASS__,company.display_name,category.__CLASS__,category.tag,category.label,contract_type,contract_time
1,-82.95408,81220.59,2026-03-26T10:18:32Z,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNmtBOV9COHA4UkdnNE9uLWY2UnBUZyIsImkiOiI1Njc5Mjk2MDQ0In0.Dqzo2tTHvcexmmekT7Nc7Q4fKYQOZi2ljC3BTz86MwQ,39.89394,5679296044,https://www.adzuna.com/land/ad/5679296044?se=6kA9_B8p8RGg4On-f6RpTg&utm_medium=api&utm_source=abfa41a4&v=9160A5A70DE0FA4F1FDE03879CB8DF1F2AE23E41,RN - Infusion Center,"We are more than a health system. We are a belief system. We believe wellness and sickness are both part of a lifelong partnership, and that everyone could use an expert guide. We work hard, care deeply and reach further to help people uncover their own power to be healthy. We inspire hope. We learn, grow, and achieve more – in our careers and in our communities. Job Description Summary: Provides general nursing care to patients and families throughout the continuum of care in perioperative and…",81220.59,Adzuna::API::Response::Location,"['US', 'Ohio', 'Franklin County', 'Obetz']","Obetz, Franklin County",Adzuna::API::Response::Company,OhioHealth,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,,
1,-82.963956,109540.51,2026-03-26T10:18:32Z,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3OTI5NjA0MSIsInMiOiI2a0E5X0I4cDhSR2c0T24tZjZScFRnIn0.xq9f8jlJ76DEvf7yu5GgjLeAiduxALw6OR_GqFCEkiE,39.957507,5679296041,https://www.adzuna.com/land/ad/5679296041?se=6kA9_B8p8RGg4On-f6RpTg&utm_medium=api&utm_source=abfa41a4&v=CC837FE87DF5AA710C82A360AD4D631A5A8E12A7,RN - Infusion Center,"We are more than a health system. We are a belief system. We believe wellness and sickness are both part of a lifelong partnership, and that everyone could use an expert guide. We work hard, care deeply and reach further to help people uncover their own power to be healthy. We inspire hope. We learn, grow, and achieve more – in our careers and in our communities. Job Description Summary: Provides general nursing care to patients and families throughout the continuum of care in perioperative and…",109540.51,Adzuna::API::Response::Location,"['US', 'Ohio', 'Franklin County', 'Bexley']","Bexley, Franklin County",Adzuna::API::Response::Company,OhioHealth,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,,
1,-89.486203,73835.84,2026-03-26T10:18:30Z,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3OTI5NjAxNiIsInMiOiI2a0E5X0I4cDhSR2c0T24tZjZScFRnIn0.BrOe_tCrjF8SY-QiFf7RLUfYbuw6hgHIOI-OwZWO2FY,40.922259,5679296016,https://www.adzuna.com/land/ad/5679296016?se=6kA9_B8p8RGg4On-f6RpTg&utm_medium=api&utm_source=abfa41a4&v=8EC2870343354CE53C2B6023AF365311E598AC1F,CDL-A Truck Drivers-Owner Operator,"KAG Specialty Products is currently hiring Owner Operator Truck Drivers in your area! Join KAG today to take advantage of great pay, competitive benefits packages, supportive terminal managers, and great equipment! Currently hiring Owner Operator CDL-A Truck Drivers! Text APPLY to (330) 778-9566 to get your quick app started! We Offer: Owner Operator Pay: average $240K/year 67 % of linehaul average $5,000 Sign on Bonus On First Dispatch: $1,000 paid to the IC and $1,500 paid toward equipment ex…",73835.84,Adzuna::API::Response::Location,"['US', 'Illinois', 'Peoria County', 'Chillicothe']","Chillicothe, Peoria County",Adzuna::API::Response::Company,Kenan Advantage Group,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,,
1,-89.407312,75603.17,2026-03-26T10:18:30Z,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3OTI5NjAxNCIsInMiOiI2a0E5X0I4cDhSR2c0T24tZjZScFRnIn0.yQOYtZRubGfty845qIZTM3DL48t3jNrRHaXDg484cKk,40.703648,5679296014,https://www.adzuna.com/land/ad/5679296014?se=6kA9_B8p8RGg4On-f6RpTg&utm_medium=api&utm_source=abfa41a4&v=F904481249B9EAAF07CE115185DAAECAAF20F18A,CDL-A Truck Drivers-Owner Operator,"KAG Specialty Products is currently hiring Owner Operator Truck Drivers in your area! Join KAG today to take advantage of great pay, competitive benefits packages, supportive terminal managers, and great equipment! Currently hiring Owner Operator CDL-A Truck Drivers! Text APPLY to (330) 778-9566 to get your quick app started! We Offer: Owner Operator Pay: average $240K/year 67 % of linehaul average $5,000 Sign on Bonus On First Dispatch: $1,000 paid to the IC and $1,500 paid toward equipment ex…",75603.17,Adzuna::API::Response::Location,"['US', 'Illinois', 'Tazewell County', 'Washington']","Washington, Tazewell County",Adzuna::API::Response::Company,Kenan Advantage Group,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,,
1,-89.517,92263.3,2026-03-26T10:18:29Z,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3OTI5NTkxNiIsInMiOiI2a0E5X0I4cDhSR2c0T24tZjZScFRnIn0.up2FaEzzJVY0qawYwVOdsHhDOxBThfwATIhwnk6aHGQ,40.295,5679295916,https://www.adzuna.com/land/ad/5679295916?se=6kA9_B8p8RGg4On-f6RpTg&utm_medium=api&utm_source=abfa41a4&v=80BB430C58C43FBE49850890E480CBAFCDFCD726,CDL A Truck Driver,"KAG Specialty Products is currently hiring Owner Operator Truck Drivers in your area! Join KAG today to take advantage of great pay, competitive benefits packages, supportive terminal managers, and great equipment! Currently hiring Owner Operator CDL-A Truck Drivers! Text APPLY to (330) 778-9566 to get your quick app started! We Offer: Owner Operator Pay: average $240K/year 67 % of linehaul average $5,000 Sign on Bonus On First Dispatch: $1,000 paid to the IC and $1,500 paid toward equipment ex…",92263.3,Adzuna::API::Response::Location,"['US', 'Illinois', 'Logan County', 'Emden']","Emden, Logan County",Adzuna::API::Response::Company,Kenan Advantage Group,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,,
1,-89.627877,90677.96,2026-03-26T10:18:29Z,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNmtBOV9COHA4UkdnNE9uLWY2UnBUZyIsImkiOiI1Njc5Mjk1OTIxIn0._9gIfAatFErY50gPBGNKj9NhhkOMKTk_bI-l9MMHuzo,40.692538,5679295921,https://www.adzuna.com/land/ad/5679295921?se=6kA9_B8p8RGg4On-f6RpTg&utm_medium=api&utm_source=abfa41a4&v=9ECF0E3017016D65C1B2ADB198789C58421AEB7B,CDL A Truck Driver,"KAG Specialty Products is currently hiring Owner Operator Truck Drivers in your area! Join KAG today to take advantage of great pay, competitive benefits packages, supportive terminal managers, and great equipment! Currently hiring Owner Operator CDL-A Truck Drivers! Text APPLY to (330) 778-9566 to get your quick app started! We Offer: Owner Operator Pay: average $240K/year 67 % of linehaul average $5,000 Sign on Bonus On First Dispatch: $1,000 paid to the IC and $1,500 paid toward equipment ex…",90677.96,Adzuna::API::Response::Location,"['US', 'Illinois', 'Peoria County', 'West Peoria']","West Peoria, Peoria County",Adzuna::API::Response::Company,Kenan Advantage Group,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,,
1,-89.216,86680.95,2026-03-26T10:18:29Z,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNmtBOV9COHA4UkdnNE9uLWY2UnBUZyIsImkiOiI1Njc5Mjk1OTE4In0.XYFv9XVqFYG1CSrOi1Z04GDgFnhsKMtjMcAtBwzmp7o,40.438,5679295918,https://www.adzuna.com/land/ad/5679295918?se=6kA9_B8p8RGg4On-f6RpTg&utm_medium=api&utm_source=abfa41a4&v=36ACC77C692D1DCB8C005309730375C3C09D1D86,CDL A Truck Driver,"KAG Specialty Products is currently hiring Owner Operator Truck Drivers in your area! Join KAG today to take advantage of great pay, competitive benefits packages, supportive terminal managers, and great equipment! Currently hiring Owner Operator CDL-A Truck Drivers! Text APPLY to (330) 778-9566 to get your quick app started! We Offer: Owner Operator Pay: average $240K/year 67 % of linehaul average $5,000 Sign on Bonus On First Dispatch: $1,000 paid to the IC and $1,500 paid toward equipment ex…",86680.95,Adzuna::API::Response::Location,"['US', 'Illinois', 'McLean County', 'Stanford']","Stanford, McLean County",Adzuna::API::Response::Company,Kenan Advantage Group,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,,
1,-89.272863,79891.1,2026-03-26T10:18:29Z,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNmtBOV9COHA4UkdnNE9uLWY2UnBUZyIsImkiOiI1Njc5Mjk1OTc3In0.yIdbGieN0Cs37bQFgD80Qtp0zo01OyGMUnZXsN0sB6k,40.721425,5679295977,https://www.adzuna.com/land/ad/5679295977?se=6kA9_B8p8RGg4On-f6RpTg&utm_medium=api&utm_source=abfa41a4&v=9003790FFFB0184654447313EF594F6E851D9F0D,CDL-A Truck Drivers-Owner Operator,"KAG Specialty Products is currently hiring Owner Operator Truck Drivers in your area! Join KAG today to take advantage of great pay, competitive benefits packages, supportive terminal managers, and great equipment! Currently hiring Owner Operator CDL-A Truck Drivers! Text APPLY to (330) 778-9566 to get your quick app started! We Offer: Owner Operator Pay: average $240K/year 67 % of linehaul average $5,000 Sign on Bonus On First Dispatch: $1,000 paid to the IC and $1,500 paid toward equipment ex…",79891.1,Adzuna::API::Response::Location,"['US', 'Illinois', 'Woodford County', 'Eureka']","Eureka, Woodford County",Adzuna::API::Response::Company,Kenan Advantage Group,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,,
1,-89.357591,87338.8,2026-03-26T10:18:29Z,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNmtBOV9COHA4UkdnNE9uLWY2UnBUZyIsImkiOiI1Njc5Mjk1OTUzIn0.J3oOrTeMyEWrBdmyDm35MP-oD4aWTBitJI5UIV-W9PI,40.536983,5679295953,https://www.adzuna.com/land/ad/5679295953?se=6kA9_B8p8RGg4On-f6RpTg&utm_medium=api&utm_source=abfa41a4&v=8CFC69D341D51B9BC130627E41CE85A0EE0DC03F,CDL A Truck Driver,"KAG Specialty Products is currently hiring Owner Operator Truck Drivers in your area! Join KAG today to take advantage of great pay, competitive benefits packages, supportive terminal managers, and great equipment! Currently hiring Owner Operator CDL-A Truck Drivers! Text APPLY to (330) 778-9566 to get your quick app started! We Offer: Owner Operator Pay: average $240K/year 67 % of linehaul average $5,000 Sign on Bonus On First Dispatch: $1,000 paid to the IC and $1,500 paid toward equipment ex…",87338.8,Adzuna::API::Response::Location,"['US', 'Illinois', 'Tazewell County', 'Mackinaw']","Mackinaw, Tazewell County",Adzuna::API::Response::Company,Kenan Advantage Group,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,,
1,-89.698713,84687.36,2026-03-26T10:18:29Z,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3OTI5NTk4OSIsInMiOiI2a0E5X0I4cDhSR2c0T24tZjZScFRnIn0.pYW9kZWiOOknrk4LuBFwW4kIWp1_ba1SqKNvWsQ2wt4,40.705593,5679295989,https://www.adzuna.com/land/ad/5679295989?se=6kA9_B8p8RGg4On-f6RpTg&utm_medium=api&utm_source=abfa41a4&v=BE32E86A554108C5D65B8D44F84DFEDF236DD53A,CDL-A Truck Drivers-Owner Operator,"KAG Specialty Products is currently hiring Owner Operator Truck Drivers in your area! Join KAG today to take advantage of great pay, competitive benefits packages, supportive terminal managers, and great equipment! Currently hiring Owner Operator CDL-A Truck Drivers! Text APPLY to (330) 778-9566 to get your quick app started! We Offer: Owner Operator Pay: average $240K/year 67 % of linehaul average $5,000 Sign on Bonus On First Dispatch: $1,000 paid to the IC and $1,500 paid toward equipment ex…",84687.36,Adzuna::API::Response::Location,"['US', 'Illinois', 'Peoria County', 'Norwood']","Norwood, Peoria County",Adzuna::API::Response::Company,Kenan Advantage Group,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,,
