__CLASS__,redirect_url,id,adref,created,longitude,title,salary_is_predicted,latitude,salary_min,salary_max,description,category.tag,category.__CLASS__,category.label,location.display_name,location.area,location.__CLASS__,company.__CLASS__,company.display_name,contract_type,contract_time
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5681387065?se=knZXp60q8RGSEt9GG6t21Q&utm_medium=api&utm_source=abfa41a4&v=5FED1AED1E3AAFEE624732753D31CB3A8E90E333,5681387065,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia25aWHA2MHE4UkdTRXQ5R0c2dDIxUSIsImkiOiI1NjgxMzg3MDY1In0.oTW_-jcPTO2CB86VZREjGvwddgNgRQ9rEfjZgiQ1UVM,2026-03-28T09:52:13Z,-101.340272,Registered Nurse - RN -Full Time Days - Sunset,1,46.267581,96864.16,96864.16,"Careers With Purpose Join our not-for-profit organization that has provided over 100 years of housing and services to seniors with a commitment to quality care and service in a Christian environment. Facility: Gss Nd Mandan Sunset Location: Mandan, ND Address: 1011 Boundary Street Northwestand, Mandan, ND 58554, USA Shift: 12 Hours - Day Shifts Job Schedule: Full time Weekly Hours: 36.00 Salary Range: $32.50 - $48.00 Pay Info: $25,000 SIGN-ON BONUS Department Details Competitive Compensation Di…",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Raleigh, Grant County","['US', 'North Dakota', 'Grant County', 'Raleigh']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Good Samaritan,,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5681387066?se=knZXp60q8RGSEt9GG6t21Q&utm_medium=api&utm_source=abfa41a4&v=10CC54AAC07DB8F8DC96A1ADE7813F86341E2BF5,5681387066,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4MTM4NzA2NiIsInMiOiJrblpYcDYwcThSR1NFdDlHRzZ0MjFRIn0.0SimDunQZRwSSZXZ-Wui6_SPjjXX2lqGHFzOVVM7fHw,2026-03-28T09:52:13Z,-100.872258,CMA - Sunset - FT Days,1,46.405331,60663.75,60663.75,"Careers With Purpose Join our not-for-profit organization that has provided over 100 years of housing and services to seniors with a commitment to quality care and service in a Christian environment. Facility: Gss Nd Mandan Sunset Location: Mandan, ND Address: 1011 Boundary Street Northwestand, Mandan, ND 58554, USA Shift: 12 Hours - Day Shifts Job Schedule: Full time Weekly Hours: 36.00 Salary Range: $19.00 - $25.50 Job Summary The Medication Assistant (MA) serves as caregiver who provides res…",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Breien, Sioux County","['US', 'North Dakota', 'Sioux County', 'Breien']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Good Samaritan,,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5681387060?se=knZXp60q8RGSEt9GG6t21Q&utm_medium=api&utm_source=abfa41a4&v=79A1D620CDB1F30C072000E1554170CEF485C22C,5681387060,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4MTM4NzA2MCIsInMiOiJrblpYcDYwcThSR1NFdDlHRzZ0MjFRIn0.plFuswiRujlestCH87OlQ0bkBo9c0NkxIGO6aYKtoS4,2026-03-28T09:52:12Z,-100.56724,Certified Nursing Assistant - CNA - Full Time Evenings - Sunset,1,46.807867,51105.19,51105.19,"Careers With Purpose Join our not-for-profit organization that has provided over 100 years of housing and services to seniors with a commitment to quality care and service in a Christian environment. Facility: Gss Nd Mandan Sunset Location: Mandan, ND Address: 1011 Boundary Street Northwestand, Mandan, ND 58554, USA Shift: 8 Hours - Evening Shifts Job Schedule: Full time Weekly Hours: 40.00 Salary Range: $19.00 - $25.50 Pay Info: $5,000 SIGN-ON BONUS Department Details Competitive Compensation …",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Apple Valley, Burleigh County","['US', 'North Dakota', 'Burleigh County', 'Apple Valley']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Good Samaritan,,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5681387047?se=knZXp60q8RGSEt9GG6t21Q&utm_medium=api&utm_source=abfa41a4&v=DD93DB862AE9979FAB985EF8C076AEF2D5BF5BDF,5681387047,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia25aWHA2MHE4UkdTRXQ5R0c2dDIxUSIsImkiOiI1NjgxMzg3MDQ3In0.VHHfQ7Wu-T7lSU_L_1OjV1-Kv31w802p9h9hSa4OC6A,2026-03-28T09:52:12Z,-100.325978,LPN - Sunset - FT Straight Nights,1,46.84035,80373.84,80373.84,"Careers With Purpose Join our not-for-profit organization that has provided over 100 years of housing and services to seniors with a commitment to quality care and service in a Christian environment. Facility: Gss Nd Mandan Sunset Location: Mandan, ND Address: 1011 Boundary Street Northwestand, Mandan, ND 58554, USA Shift: 12 Hours - Night Shifts Job Schedule: Full time Weekly Hours: 36.00 Salary Range: $26.00 - $36.00 Pay Info: $20,000 Sign On Bonus Job Summary The Licensed Practical Nurse (LP…",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Mckenzie, Burleigh County","['US', 'North Dakota', 'Burleigh County', 'Mckenzie']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Good Samaritan,,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5681387036?se=knZXp60q8RGSEt9GG6t21Q&utm_medium=api&utm_source=abfa41a4&v=02233F347D8B384F36664AC23C24FF8D8D8DEBFA,5681387036,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4MTM4NzAzNiIsInMiOiJrblpYcDYwcThSR1NFdDlHRzZ0MjFRIn0.QIVMlQ9ctwv-jLw6-WRsO35xgTu1AnOJosB0bucC_F8,2026-03-28T09:52:12Z,-101.410681,Registered Nurse - RN - Full Time Overnights - Sunset,1,46.883719,93485.92,93485.92,"Careers With Purpose Join our not-for-profit organization that has provided over 100 years of housing and services to seniors with a commitment to quality care and service in a Christian environment. Facility: Gss Nd Mandan Sunset Location: Mandan, ND Address: 1011 Boundary Street Northwestand, Mandan, ND 58554, USA Shift: 12 Hours - Night Shifts Job Schedule: Full time Weekly Hours: 36.00 Salary Range: $32.50 - $48.00 Pay Info: $25,000 SIGN-ON BONUS! Department Details Competitive Compensation…",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"New Salem, Morton County","['US', 'North Dakota', 'Morton County', 'New Salem']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Good Samaritan,,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5681387061?se=knZXp60q8RGSEt9GG6t21Q&utm_medium=api&utm_source=abfa41a4&v=63C379F1EC5FF6F3AF1C2E1D7BFE6A4A24BA9DC5,5681387061,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia25aWHA2MHE4UkdTRXQ5R0c2dDIxUSIsImkiOiI1NjgxMzg3MDYxIn0.PaZ0uvOgG8NxyO5ZCjfLg2LWyEf0p8iSYVGUQ_TQNB8,2026-03-28T09:52:12Z,-100.269865,CNA - Sunset - FT Straight Nights,1,47.143718,63589.74,63589.74,"Careers With Purpose Join our not-for-profit organization that has provided over 100 years of housing and services to seniors with a commitment to quality care and service in a Christian environment. Facility: Gss Nd Mandan Sunset Location: Mandan, ND Address: 1011 Boundary Street Northwestand, Mandan, ND 58554, USA Shift: 8 Hours - Night Shifts Job Schedule: Full time Weekly Hours: 40.00 Salary Range: $19.00 - $25.50 Pay Info: $5000 Sign On Bonus Job Summary The Nursing Assistant (NA) serves a…",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Wing, Burleigh County","['US', 'North Dakota', 'Burleigh County', 'Wing']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Good Samaritan,,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5681387035?se=knZXp60q8RGSEt9GG6t21Q&utm_medium=api&utm_source=abfa41a4&v=2BC5E8435FE14A10A05EDE3154C1E1838821369C,5681387035,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4MTM4NzAzNSIsInMiOiJrblpYcDYwcThSR1NFdDlHRzZ0MjFRIn0.swYPPUjCHge36OE3GhcPxEVb2ZDLDVc1db2KD68yl44,2026-03-28T09:52:12Z,-101.228026,CNA - Sunset - PT Evenings,1,47.132446,74848.75,74848.75,"Careers With Purpose Join our not-for-profit organization that has provided over 100 years of housing and services to seniors with a commitment to quality care and service in a Christian environment. Facility: Gss Nd Mandan Sunset Location: Mandan, ND Address: 1011 Boundary Street Northwestand, Mandan, ND 58554, USA Shift: Evening Job Schedule: Part time Weekly Hours: 22.50 Salary Range: $19.00 - $25.50 Pay Info: $2500 Sign On Bonus Job Summary The Nursing Assistant (NA) serves as caregiver to …",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Center, Oliver County","['US', 'North Dakota', 'Oliver County', 'Center']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Good Samaritan,,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5681387046?se=knZXp60q8RGSEt9GG6t21Q&utm_medium=api&utm_source=abfa41a4&v=01CDD9D2E77569F763978114F6485D1FDE29DC33,5681387046,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4MTM4NzA0NiIsInMiOiJrblpYcDYwcThSR1NFdDlHRzZ0MjFRIn0.4C2KGVJEum-Zax7fp-gnc1LWd_D0TcOWcSmJqi0FeIU,2026-03-28T09:52:12Z,-100.715794,Registered Nurse - RN -Full Time Days - Sunset,1,47.490885,89962.17,89962.17,"Careers With Purpose Join our not-for-profit organization that has provided over 100 years of housing and services to seniors with a commitment to quality care and service in a Christian environment. Facility: Gss Nd Mandan Sunset Location: Mandan, ND Address: 1011 Boundary Street Northwestand, Mandan, ND 58554, USA Shift: 12 Hours - Day Shifts Job Schedule: Full time Weekly Hours: 36.00 Salary Range: $32.50 - $48.00 Pay Info: $25,000 SIGN-ON BONUS Department Details Competitive Compensation Di…",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Turtle Lake, McLean County","['US', 'North Dakota', 'McLean County', 'Turtle Lake']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Good Samaritan,,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5681387053?se=knZXp60q8RGSEt9GG6t21Q&utm_medium=api&utm_source=abfa41a4&v=FF9361CBEA909AF696BF206693333AB9169FFE90,5681387053,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia25aWHA2MHE4UkdTRXQ5R0c2dDIxUSIsImkiOiI1NjgxMzg3MDUzIn0.nCKmST5DnWgSH-hFt9CQ-JrKt1JpebKWlHNECLVeZLk,2026-03-28T09:52:12Z,-100.910873,CNA - Full Time Days - Sunset,1,46.587204,61934.61,61934.61,"Careers With Purpose Join our not-for-profit organization that has provided over 100 years of housing and services to seniors with a commitment to quality care and service in a Christian environment. Facility: Gss Nd Mandan Sunset Location: Mandan, ND Address: 1011 Boundary Street Northwestand, Mandan, ND 58554, USA Shift: 8 Hours - Day Shifts Job Schedule: Full time Weekly Hours: 40.00 Salary Range: $19.00 - $25.50 Pay Info: $5,000 SIGN-ON BONUS Department Details Competitive Compensation Dire…",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Saint Anthony, Morton County","['US', 'North Dakota', 'Morton County', 'Saint Anthony']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Good Samaritan,,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5681387034?se=knZXp60q8RGSEt9GG6t21Q&utm_medium=api&utm_source=abfa41a4&v=4315CEA91BA6C5D3E375256E48F8D91C9723A59C,5681387034,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia25aWHA2MHE4UkdTRXQ5R0c2dDIxUSIsImkiOiI1NjgxMzg3MDM0In0.QxU0qojcjfqn_v4UnyVyImfugzbkNG9AvCIzr22RAw8,2026-03-28T09:52:12Z,-100.522004,CNA - Full Time Days - Sunset,1,47.198765,65544.12,65544.12,"Careers With Purpose Join our not-for-profit organization that has provided over 100 years of housing and services to seniors with a commitment to quality care and service in a Christian environment. Facility: Gss Nd Mandan Sunset Location: Mandan, ND Address: 1011 Boundary Street Northwestand, Mandan, ND 58554, USA Shift: 8 Hours - Day Shifts Job Schedule: Full time Weekly Hours: 40.00 Salary Range: $19.00 - $25.50 Pay Info: $5,000 SIGN-ON BONUS Department Details Competitive Compensation Dire…",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Regan, Burleigh County","['US', 'North Dakota', 'Burleigh County', 'Regan']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Good Samaritan,,
