description,title,salary_is_predicted,__CLASS__,id,created,salary_min,adref,salary_max,redirect_url,category.__CLASS__,category.label,category.tag,company.display_name,company.__CLASS__,location.__CLASS__,location.display_name,location.area,longitude,latitude,contract_time,contract_type
"Title: : Lead Architect Location: REMOTE Duration: 08 month Position Summary : Qualifications: Position Overview: We are looking for a Lead Architect who is a true hands-on engineer someone who designs solutions and writes production code daily. You will lead architecture and delivery across a cloud-native platform built on Java  Spring, .NET 8/10, Python (Django/Flask microservices), SQL, React, Node.js  Socket.IO, and Microsoft Azure (ADO/App Service/Container Apps/Functions/Service BKey Vaul…",Lead Java Architect,1,Adzuna::API::Response::Job,5684169792,2026-03-31T10:37:58Z,82325.7,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUUxdHhROHQ4UkdOTzhLXzlwWVFkdyIsImkiOiI1Njg0MTY5NzkyIn0.fLEomy27Sy5B7DLQAp2cJ6dEMzWeD-bqfxQbb_g-W20,82325.7,https://www.adzuna.com/land/ad/5684169792?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=719CB87D1C6FF1E9458173CC1555FC0EE22D57E8,Adzuna::API::Response::Category,IT Jobs,it-jobs,"Radiant System, Inc",Adzuna::API::Response::Company,Adzuna::API::Response::Location,US,['US'],,,,
"Job Title: Cloud Data Engineer Note: (Consultants Must have state exp) Location: Lincoln, Nebraska Key Responsibilities: Design and develop data pipelines and ELT processes to integrate large, diverse datasets from multiple sources. Build and maintain data models and structures to support enterprise reporting and analytics. Collaborate with cross-functional teams to deliver BI and analytics solutions that meet business needs. Optimize data performance by troubleshooting and resolving issues rel…",Azure Data Engineer (Consultants Must have state exp),1,Adzuna::API::Response::Job,5684169794,2026-03-31T10:37:58Z,125897.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NDE2OTc5NCIsInMiOiJlRTF0eFE4dDhSR05POEtfOXBZUWR3In0.JRTS5KZSR9lha-DOd7jH25eSpn450PPCDGDCswqIpS8,125897.0,https://www.adzuna.com/land/ad/5684169794?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=EC44317880331E968398AFCA9BA4C38A467AE1F6,Adzuna::API::Response::Category,IT Jobs,it-jobs,INFT Solutions inc,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Lincoln, Lancaster County","['US', 'Nebraska', 'Lancaster County', 'Lincoln']",-96.7103,40.817,,
"Location: Spokane, Washington (Onsite) Responsible for helping to maintain or restore maximum functioning of the patient's cardiopulmonary system in accordance with physician orders and/or departmental protocols. Required to exercise initiative in developing ideas or in responding to or adjusting problem situations. Work processes and assignments for patients of all ages frequently require the incumbent to interpret and apply operating procedures, technical standards, and/or protocols to proble…",Polysomnographic Technologist,1,Adzuna::API::Response::Job,5684169760,2026-03-31T10:37:57Z,73124.22,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUUxdHhROHQ4UkdOTzhLXzlwWVFkdyIsImkiOiI1Njg0MTY5NzYwIn0.MYcqzGU5uxURjLh6a8bF-Pq1c8b8CBW5R-7ZLRJvEj8,73124.22,https://www.adzuna.com/land/ad/5684169760?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=7553BCD45FDD7964089993E270732630C75DA696,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,SolveIT Services Inc,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Spokane, Spokane County","['US', 'Washington', 'Spokane County', 'Spokane']",-117.424,47.6581,,
"Lead Data Engineer Job at a Glance Location: Woodcliff Lake, NJ Contract: W2 only, 9 month contract with potential for extension or conversion to full time Pay: $115/hr W2 only, must not need sponsorship now or in the future to be considered for this role Key Responsibilities Provide strategic oversight and technical leadership for the migration of data analytics assets from Qlik Sense to Amazon Quick Sight Strategically analyze and deeply understand existing reports and data models in Qlik Sen…",Lead Data Engineer,1,Adzuna::API::Response::Job,5684169789,2026-03-31T10:37:57Z,105011.77,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NDE2OTc4OSIsInMiOiJlRTF0eFE4dDhSR05POEtfOXBZUWR3In0.E1LGyLqP_L-3PEjp69zfk0rQ7pakbfjt9H5fpY1JfkQ,105011.77,https://www.adzuna.com/land/ad/5684169789?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=7CC13CE510B8693E6862509699D693500C8EDEFF,Adzuna::API::Response::Category,IT Jobs,it-jobs,"Computer Enterprises, Inc.",Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Woodcliff Lake, Bergen County","['US', 'New Jersey', 'Bergen County', 'Woodcliff Lake']",-74.066944,41.023333,,
"Lead/ Sr Workday Integration developer role Work Location (City, State) - San Antonio, Texas Must have skills - Workday Integration Experience – Studio, Core Connector, EIB Preferred skills - Compensation/Payroll/Benefits functions Detailed Job Description: • Designing, executing, and evaluating technical solutions provided to the client, including identifying issues and offering well-reasoned recommendations. • Designing and developing XML, XPath, MVEL, and XSLT formats using XTT and ETV funct…",Sr Workday Integration developer,1,Adzuna::API::Response::Job,5684169782,2026-03-31T10:37:57Z,115450.72,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUUxdHhROHQ4UkdOTzhLXzlwWVFkdyIsImkiOiI1Njg0MTY5NzgyIn0.-DGnYNaK07s8gQhehabhZYRBkWYfQHjbwmx7cBbH_vc,115450.72,https://www.adzuna.com/land/ad/5684169782?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=3E61E9E255896949E801C54CD1FAA52E0148A28C,Adzuna::API::Response::Category,IT Jobs,it-jobs,"RapidIT, Inc",Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Fort Sam Houston, Bexar County","['US', 'Texas', 'Bexar County', 'Fort Sam Houston']",-98.45883,29.43937,,
"Title: Test Engineer Location: Bay area CA Onsite, no travel will be paid (Monday through Friday) Duration: 4 months with possible extensions Start April 6th, 2026 or could be pushed out a week if candidate needs it Duties and Responsibilities: Provide realistic test effort estimates, foster a culture of transparency, and meet agreed upon commitments. Contribute to the creation, definition and improvement of software/hardware test, test automation, OEM acceptance documentation and procedures, a…",Test Engineer,1,Adzuna::API::Response::Job,5684169772,2026-03-31T10:37:57Z,107085.49,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUUxdHhROHQ4UkdOTzhLXzlwWVFkdyIsImkiOiI1Njg0MTY5NzcyIn0.lze3pRYQoP4pqEa5f1_P5gnA8wJ9Np_ROh5gtsKD2mI,107085.49,https://www.adzuna.com/land/ad/5684169772?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=4BE1FA9977D3A6A1CF5D44D866DDDF5F32C03622,Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,SDVS Technologies LLC,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Hayes Valley, San Francisco","['US', 'California', 'San Francisco', 'Hayes Valley']",-122.4183,37.775,,
"Our goal is to solve problems and deliver results for our clients. At Cloud and Things, you can be a part of transforming the public sector’s IT environment. Our team is on the forefront of helping to solve the government''s most complex IT challenges. If you are seeking a role that offers the opportunity to work on rewarding projects, consider a career with Cloud and Things. *This is an exempt position. Salary commensurate with experience* Overview: Location: Remote with periodic travel requir…",Medicaid Program Integrity Senior Consultant,1,Adzuna::API::Response::Job,5684169761,2026-03-31T10:37:57Z,99216.18,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUUxdHhROHQ4UkdOTzhLXzlwWVFkdyIsImkiOiI1Njg0MTY5NzYxIn0.xw67k1nh_ZgRWMN0mB-u_NdF0QxeHoxHiyqmtCkW4YE,99216.18,https://www.adzuna.com/land/ad/5684169761?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=BAE94348929198527F5A0557FB08A665069CE771,Adzuna::API::Response::Category,Admin Jobs,admin-jobs,Cloud and Things,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Jacks Cabin, Gunnison County","['US', 'Colorado', 'Gunnison County', 'Jacks Cabin']",-106.793333,38.718782,,
"Role: PLM Teamcenter PLM Architect Requirement Location: Phoenix, AZ Onsite: YES Job Overview: We are looking for an experienced Teamcenter PLM Architect with strong functional and development expertise and proven implementation experience. The candidate should have hands-on experience in Teamcenter architecture, configuration, and integrations, particularly with SAP and product configuration modules. Key Responsibilities: Design and implement Teamcenter PLM architecture solutions. Lead Teamcen…",PLM Teamcenter Architect (Fulltime / Onsite),1,Adzuna::API::Response::Job,5684169775,2026-03-31T10:37:57Z,105021.78,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUUxdHhROHQ4UkdOTzhLXzlwWVFkdyIsImkiOiI1Njg0MTY5Nzc1In0.cm3Es7Hl52GeUFVGb1jrFVu5YYzmPTHChBJT72ZIA34,105021.78,https://www.adzuna.com/land/ad/5684169775?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=97462B072CE664763DC9000D4230CF0A7BD0F00B,Adzuna::API::Response::Category,IT Jobs,it-jobs,American IT Systems,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Phoenix, Maricopa County","['US', 'Arizona', 'Maricopa County', 'Phoenix']",-112.0772,33.449188,,
"Position Description We are seeking an experienced IT professional with a strong background in Kubernetes security and containerized environments to support the design, implementation, and ongoing protection of a new recording system within our infrastructure Experience Required Experience securing Kubernetes clusters in cloud or hybrid environments Strong experience with containerized environments and container security principles Hands-on experience with: Image scanning, Runtime protection, S…",Kubernetes Security Analyst,1,Adzuna::API::Response::Job,5684169762,2026-03-31T10:37:57Z,120356.05,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUUxdHhROHQ4UkdOTzhLXzlwWVFkdyIsImkiOiI1Njg0MTY5NzYyIn0.rgfklQ3YCls6JCKzv7LOL_weAXG6CrH5ZMZykq_Ls5Q,120356.05,https://www.adzuna.com/land/ad/5684169762?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=C5DC52606B4C73ECE27B7FDA98096D84BD1DEE39,Adzuna::API::Response::Category,IT Jobs,it-jobs,Fourans,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Phoenix, Maricopa County","['US', 'Arizona', 'Maricopa County', 'Phoenix']",-112.0772,33.449188,,
"Data Governance Analyst Introduction: As a Data Governance Analyst, you will play a crucial role in developing and implementing data governance strategies to ensure data quality, integrity, and security within the Nebraska Department of Health and Human Services. You will work closely with cross-functional teams to enforce data governance practices, monitor data compliance, and drive data-driven decision-making. Responsibilities: Implement data governance strategy aligned with organizational go…",Data Governance Analyst,1,Adzuna::API::Response::Job,5684169786,2026-03-31T10:37:57Z,88909.84,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NDE2OTc4NiIsInMiOiJlRTF0eFE4dDhSR05POEtfOXBZUWR3In0.OTr1elx-isXsQKGkt-bf35ySw3jytDVtzJ1meyERyD4,88909.84,https://www.adzuna.com/land/ad/5684169786?se=eE1txQ8t8RGNO8K_9pYQdw&utm_medium=api&utm_source=abfa41a4&v=B0F87B0E3E288E31333291F249DB760F7630CDA8,Adzuna::API::Response::Category,IT Jobs,it-jobs,COOLSOFT,Adzuna::API::Response::Company,Adzuna::API::Response::Location,US,['US'],,,,
