salary_max,latitude,salary_is_predicted,created,adref,__CLASS__,id,description,longitude,redirect_url,title,salary_min,location.display_name,location.__CLASS__,location.area,company.__CLASS__,company.display_name,category.label,category.tag,category.__CLASS__,contract_time,contract_type
120000.0,42.57825,0,2026-04-01T10:40:51Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaU12TU5ka3Q4UkdSdmVFMksxOERFQSIsImkiOiI1Njg1Njk2NjA5In0.PBpKxXPsT6_-q0IPtc7mxv09nLmFtyL9fhnYTdMtcFE,Adzuna::API::Response::Job,5685696609,"Quality & Metrology Technician fitchburg, MA 01420 Description The Quality Metrology Technician is responsible for supporting quality assurance and metrology functions to ensure that products meet internal and customer specifications. This role involves analyzing processes, identifying root causes of defects, recommending improvements, and supporting validation and inspection activities. The technician works closely with engineering, production, and quality teams to drive continuous improvement…",-71.800833,https://www.adzuna.com/details/5685696609?utm_medium=api&utm_source=abfa41a4,Quality & Metrology Technician,85000.0,"Fitchburg, Worcester County",Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Worcester County', 'Fitchburg']",Adzuna::API::Response::Company,MICRON PRODUCTS,Scientific & QA Jobs,scientific-qa-jobs,Adzuna::API::Response::Category,,
57144.73,40.703703,1,2026-04-01T10:40:51Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NTY5NjU3OSIsInMiOiJpTXZNTmRrdDhSR1J2ZUUySzE4REVBIn0.m17Wj4txomOlX1pnXeUsCyeOchKz0u4ymJyoTo62r3k,Adzuna::API::Response::Job,5685696579,Client Service II Representative- Device Maintenance (2nd shift) US-NY-New York Job ID: 33904 Type: Full-Time  of Openings: 1 Category: Office Services NY - NY-NYC Health-MS About the Role Advanced proficiency in site operations and procedures with ability to assign tasks to colleagues and manage responsibilities within the team. Your Impact Main Responsibilities: - Promptly informs supervisor of potential problems or customer concerns. - Promptly reviews and responds to management and client r…,-74.009301,https://www.adzuna.com/details/5685696579?utm_medium=api&utm_source=abfa41a4,Client Service II Representative- Device Maintenance (2nd shift),57144.73,"Wall Street, Manhattan",Adzuna::API::Response::Location,"['US', 'New York', 'New York City', 'Manhattan', 'Wall Street']",Adzuna::API::Response::Company,"Canon U.S.A., Inc.",Customer Services Jobs,customer-services-jobs,Adzuna::API::Response::Category,full_time,
38280.51,33.753601,1,2026-04-01T10:40:51Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NTY5NjUyMCIsInMiOiJpTXZNTmRrdDhSR1J2ZUUySzE4REVBIn0.Mrmon0p1X8N0w9RCwE1ZCvys7OBCLy12zcPkzJJwlk8,Adzuna::API::Response::Job,5685696520,"Wound Care Nurse (LPN/RN) Job Summary Ascend Medical is hiring experienced Wound Care Nurses (LPN or RN) to support our growing wound care program across Northeast Georgia. This is a traveling, home to home role supporting multiple regions. The ideal candidate brings strong wound care expertise, comfort working independently, and a patient-first mindset. You will assess, treat, and manage complex wounds while collaborating with providers and clinical teams to improve healing outcomes and patien…",-84.390145,https://www.adzuna.com/details/5685696520?utm_medium=api&utm_source=abfa41a4,Wound Care Nurse,38280.51,"Atlanta, Fulton County",Adzuna::API::Response::Location,"['US', 'Georgia', 'Fulton County', 'Atlanta']",Adzuna::API::Response::Company,Ascend Medical Georgia PC,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,part_time,
103590.07,43.02114,1,2026-04-01T10:40:51Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NTY5NjU2NyIsInMiOiJpTXZNTmRrdDhSR1J2ZUUySzE4REVBIn0.7mFhb5xC1ys9p1mqN-9ZxCgLFEn4hPMEenB3CRnR9fQ,Adzuna::API::Response::Job,5685696567,"At National Business Furniture (NBF), we believe in the power that inspiring spaces can have to help people achieve big things. We have worked with hundreds of thousands of businesses across the country – from startups to Fortune 500 companies – to equip their workspaces with beautiful, comfortable, and functional furniture for nearly 50 years. Named one of the 2023 Top Places to Work in Southeast, WI by Top Workplaces and the Journal Sentinel. We're presenting an exciting opportunity for a Ter…",-88.01748,https://www.adzuna.com/details/5685696567?utm_medium=api&utm_source=abfa41a4,Territory Manager,103590.07,"West Allis, Milwaukee County",Adzuna::API::Response::Location,"['US', 'Wisconsin', 'Milwaukee County', 'West Allis']",Adzuna::API::Response::Company,National Business Furniture LLC,Sales Jobs,sales-jobs,Adzuna::API::Response::Category,,
55206.38,40.765153,1,2026-04-01T10:40:51Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaU12TU5ka3Q4UkdSdmVFMksxOERFQSIsImkiOiI1Njg1Njk2NTM5In0.25Fo3cOLyeJM0QTePJW8h8injeqNTIclLNhHcLlZ_c0,Adzuna::API::Response::Job,5685696539,"Client Svc II Representative- Receptionist US-NY-New York Job ID: 33973 Type: Full-Time  of Openings: 1 Category: Office Services NY - NY-Stifel-MS About the Role Advanced proficiency in site operations and procedures with ability to assign tasks to colleagues and manage responsibilities within the team. Your Impact Main Responsibilities: - Promptly informs supervisor of potential problems or customer concerns. - Promptly reviews and responds to management and client requests via emails, phone …",-73.985971,https://www.adzuna.com/details/5685696539?utm_medium=api&utm_source=abfa41a4,Client Svc II Representative- Receptionist,55206.38,"Meadows, Hudson County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Hudson County', 'Meadows']",Adzuna::API::Response::Company,"Canon U.S.A., Inc.",Admin Jobs,admin-jobs,Adzuna::API::Response::Category,full_time,
60010.88,43.16293,1,2026-04-01T10:40:51Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaU12TU5ka3Q4UkdSdmVFMksxOERFQSIsImkiOiI1Njg1Njk2NjMwIn0.sJ89NTSYvpzFSaqWwlsw3U3UcEbHLAyNB50-_mdJNzw,Adzuna::API::Response::Job,5685696630,"Field Service I Technician US-NY-Rochester Job ID: 34176 Type: Full-Time  of Openings: 1 Category: Field Service Additional Locations|CUS About the Role If finding an effective fix and supporting customers with the highest level of service standards sounds appealing to you, Canon USA, a leader in technology, solutions, and services, wants to know your story. We’re actively seeking a Field Service Technician to deliver amazing experiences and elevated efficiency within the routine maintenance of…",-77.60315,https://www.adzuna.com/details/5685696630?utm_medium=api&utm_source=abfa41a4,Field Service I Technician,60010.88,"Rochester, Monroe County",Adzuna::API::Response::Location,"['US', 'New York', 'Monroe County', 'Rochester']",Adzuna::API::Response::Company,"Canon U.S.A., Inc.",Engineering Jobs,engineering-jobs,Adzuna::API::Response::Category,full_time,
61010.99,45.46041,1,2026-04-01T10:40:50Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaU12TU5ka3Q4UkdSdmVFMksxOERFQSIsImkiOiI1Njg1Njk2MzY0In0.leZXPTFP2_GDnqKRWKsORBiW_AvHlzYU4wvDSyMtHeA,Adzuna::API::Response::Job,5685696364,"Field Service Technician II - Copiers & Printers (Digital Imaging Equipment) US-OR-Beaverton Job ID: 33384 Type: Full-Time  of Openings: 1 Category: Field Service OR - Beaverton (Portland) About the Role Are you a hands-on technician who enjoys troubleshooting, fixing, and maintaining commercial printing and imaging equipment? Do you thrive in the field, solving problems, and supporting customers with high service standards? Canon USA is seeking a Field Service Technician II to join our service…",-122.79812,https://www.adzuna.com/details/5685696364?utm_medium=api&utm_source=abfa41a4,Field Service Technician II - Copiers & Printers (Digital Imaging Equipment),61010.99,"Progress, Washington County",Adzuna::API::Response::Location,"['US', 'Oregon', 'Washington County', 'Progress']",Adzuna::API::Response::Company,"Canon U.S.A., Inc.",Engineering Jobs,engineering-jobs,Adzuna::API::Response::Category,full_time,
35000.0,40.821768,0,2026-04-01T10:40:50Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NTY5NjM0MSIsInMiOiJpTXZNTmRrdDhSR1J2ZUUySzE4REVBIn0.FHKYCKFLyf6zE7v-At0Z2aoYR0YPaMXAsYZISdHG1VA,Adzuna::API::Response::Job,5685696341,"Job Summary Independence360 is seeking a Job Coach to assist the clients and staff in implementing the goals and objectives in each client's Individual Life Plan within the Center and community environment. To create an environment that fosters learning and personal growth in social skills, life skills, and personal and vocational skill areas of development. Flexible Hours: M-F up to 30 hours/wk, between 8:30 AM - 4:00 PM * Small group sizes * Positive working environment Requirements: * AA (or…",-74.422003,https://www.adzuna.com/details/5685696341?utm_medium=api&utm_source=abfa41a4,Direct Support Professional/DSP,35000.0,"Whippany, Morris County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Morris County', 'Whippany']",Adzuna::API::Response::Company,Spectrum 360 A NJ Non Profit Corp,Social work Jobs,social-work-jobs,Adzuna::API::Response::Category,part_time,
53487.44,40.79418,1,2026-04-01T10:40:50Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NTY5NjQzOSIsInMiOiJpTXZNTmRrdDhSR1J2ZUUySzE4REVBIn0.qx_Ru2XEvrBTFqiEIkvY4Hs2bR0-hZlMaI_c0onBdRg,Adzuna::API::Response::Job,5685696439,"2026 Canon Insights Summer Internship - Social Media/Marketing US-NY-Melville Job ID: 34154 Type: Full-Time  of Openings: 1 Category: Intern/Trainee CUSA Melville Headquarters About the Role 2026 Canon Insights Summer Internship Canon, U. S. A., Inc. is currently hiring for our 2026 Canon Insights Internship Program. The program will be held from Monday, June 1, 2026 - Wednesday, August 5, 2026. Canon is an innovative global digital imaging leader that uses technology to dissolve the barriers w…",-73.40652,https://www.adzuna.com/details/5685696439?utm_medium=api&utm_source=abfa41a4,2026 Canon Insights Summer Internship - Social Media/Marketing,53487.44,"Melville, Suffolk County",Adzuna::API::Response::Location,"['US', 'New York', 'Suffolk County', 'Melville']",Adzuna::API::Response::Company,"Canon U.S.A., Inc.","PR, Advertising & Marketing Jobs",pr-advertising-marketing-jobs,Adzuna::API::Response::Category,full_time,contract
54080.0,30.795955,0,2026-04-01T10:40:50Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NTY5NjUwMSIsInMiOiJpTXZNTmRrdDhSR1J2ZUUySzE4REVBIn0.Z5HPG4CoRsMMhIDj2Ug4sija-XiDiO83LQK5JC73Nyw,Adzuna::API::Response::Job,5685696501,"Location: Folkston, Georgia Pay Range: $22-26/hr. ( based on experience) Monday – Friday, 1st Shift (Flexible) 40hrs/wk. (ability to work overtime, when needed) Full Benefits, Profit Sharing & 401K Opportunity Tired of the same old job postings and boring jobs? Join our Contract Lumber Team, in Folkston, Georgia. We’re committed to creating a fun, unique opportunity to provide creative solutions to practical challenges within the Lumber/Building industry. Need a CDL-A Truck Driver Now, Recent G…",-81.675379,https://www.adzuna.com/details/5685696501?utm_medium=api&utm_source=abfa41a4,CDL Class A Driver Needed in The Great State of Georgia,45760.0,"Kingsland, Camden County",Adzuna::API::Response::Location,"['US', 'Georgia', 'Camden County', 'Kingsland']",Adzuna::API::Response::Company,Contract Lumber,Trade & Construction Jobs,trade-construction-jobs,Adzuna::API::Response::Category,full_time,
