title,salary_min,id,created,salary_max,longitude,__CLASS__,redirect_url,adref,latitude,description,salary_is_predicted,location.area,location.__CLASS__,location.display_name,category.__CLASS__,category.label,category.tag,company.display_name,company.__CLASS__,contract_time,contract_type
Guidance Navigation Control (GNC) Engineer – Level 5,177626.89,5687546704,2026-04-02T10:21:58Z,177626.89,-77.41995,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546704?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=E738B5F677EB4B5DF811EF992D8C64F770996AEA,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NzU0NjcwNCIsInMiOiI1c2plcTU4dThSR0J1TDlDa0psZjlnIn0.Z2BdLMGZ1g03BQO-IDC9Wz5Ydc9m7zSWlPqQ77jFH5o,39.027745,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE REQUIRED FOR START: YesCLEARANCE TYPE: Top SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight acr…",1,"['US', 'Virginia', 'Loudoun County', 'Dulles Town Center']",Adzuna::API::Response::Location,"Dulles Town Center, Loudoun County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Engineer Systems,157108.53,5687546692,2026-04-02T10:21:57Z,157108.53,-118.12878,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546692?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=2BBBE5D1AC53F2877532E87BBF876AD2A9B25E30,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NzU0NjY5MiIsInMiOiI1c2plcTU4dThSR0J1TDlDa0psZjlnIn0.NMfpbXs1KXXfF7tYiMgEGU-AXOqnWp6UJSsFu7TSCaw,34.53888,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE TYPE: SecretTRAVEL: No Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing …",1,"['US', 'California', 'Los Angeles County', 'Palmdale']",Adzuna::API::Response::Location,"Palmdale, Los Angeles County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Principal Systems Engineer - State Estimation and Target Tracking,160605.72,5687546666,2026-04-02T10:21:56Z,160605.72,-76.53144,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546666?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=344553E09B39801E89D4741F068636587E825A1F,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNXNqZXE1OHU4UkdCdUw5Q2tKbGY5ZyIsImkiOiI1Njg3NTQ2NjY2In0.uw46dV-aNqUBtOcArqNaVcCa20meR8-IYxfp_JgZkpo,39.39222,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE TYPE: SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bo…",1,"['US', 'Maryland', 'Baltimore County', 'Carney']",Adzuna::API::Response::Location,"Carney, Baltimore County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Principal Systems Engineer - State Estimation and Target Tracking,177352.84,5687546674,2026-04-02T10:21:56Z,177352.84,-76.74396,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546674?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=7B86F2FB1BD0CD986238AECA9AB934372F09326E,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNXNqZXE1OHU4UkdCdUw5Q2tKbGY5ZyIsImkiOiI1Njg3NTQ2Njc0In0.UlnbjSBxNEB4lOSKD6i-9jF3XhSj3b0_kAGU7cRSXqc,39.3279,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE TYPE: SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bo…",1,"['US', 'Maryland', 'Baltimore County', 'Windsor Mill']",Adzuna::API::Response::Location,"Windsor Mill, Baltimore County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Staff Systems Engineer - State Estimation and Target Tracking,177533.58,5687546656,2026-04-02T10:21:55Z,177533.58,-76.675882,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546656?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=55B8601C8714B1287653425BB57470FC636DC592,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NzU0NjY1NiIsInMiOiI1c2plcTU4dThSR0J1TDlDa0psZjlnIn0.IinEgK3Ai1NcE6-C5oBHZEaH5j8xeqK-Mncx7a9UpYs,39.373339,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE TYPE: SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bo…",1,"['US', 'Maryland', 'Baltimore County', 'Baltimore', 'Mount Washington']",Adzuna::API::Response::Location,"Mount Washington, Baltimore",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Staff Systems Engineer - State Estimation and Target Tracking,162579.5,5687546651,2026-04-02T10:21:55Z,162579.5,-76.7531,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546651?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=121619868B7452412CAD246D9D871A73F34133EE,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NzU0NjY1MSIsInMiOiI1c2plcTU4dThSR0J1TDlDa0psZjlnIn0.5D12syRt7WMly7OcYYqZKplt-XNKdNA65KTH5Ao812A,39.2031,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE TYPE: SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bo…",1,"['US', 'Maryland', 'Anne Arundel County', 'Hanover']",Adzuna::API::Response::Location,"Hanover, Anne Arundel County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Staff Systems Engineer - State Estimation and Target Tracking,180915.67,5687546637,2026-04-02T10:21:55Z,180915.67,-76.70598,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546637?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=F936CD76B6AA803FF25AC5BBF4DF0642A9B57BF7,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NzU0NjYzNyIsInMiOiI1c2plcTU4dThSR0J1TDlDa0psZjlnIn0.KZxIBQQPZZnfZkIj6EgO-3lMdVjmfZtqIjzCVGz-3jQ,39.37764,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE TYPE: SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bo…",1,"['US', 'Maryland', 'Baltimore County', 'Pikesville']",Adzuna::API::Response::Location,"Pikesville, Baltimore County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Staff Systems Engineer - State Estimation and Target Tracking,180589.88,5687546642,2026-04-02T10:21:55Z,180589.88,-76.65486,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546642?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=9D9049B091AE90E92A82C50256CD9C175DEABD6A,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NzU0NjY0MiIsInMiOiI1c2plcTU4dThSR0J1TDlDa0psZjlnIn0.PIQEbR6K070nZWLFm7Mo4hESJDXu8eECjWaya_oUiKU,39.43494,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE TYPE: SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bo…",1,"['US', 'Maryland', 'Baltimore County', 'Riderwood']",Adzuna::API::Response::Location,"Riderwood, Baltimore County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Staff Systems Engineer - State Estimation and Target Tracking,175527.5,5687546647,2026-04-02T10:21:55Z,175527.5,-76.6354,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546647?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=DC030198AFB532D87D0B5FCD7912A8E306B930F9,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NzU0NjY0NyIsInMiOiI1c2plcTU4dThSR0J1TDlDa0psZjlnIn0.winSyKHd0YyZjzk54QiUV8q0-_4rla_YFnzUKek5MLI,39.1627,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE TYPE: SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bo…",1,"['US', 'Maryland', 'Anne Arundel County', 'Linthicum']",Adzuna::API::Response::Location,"Linthicum, Anne Arundel County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
Engineer Systems Architect 2/3,139254.17,5687546626,2026-04-02T10:21:54Z,139254.17,-86.567359,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5687546626?se=5sjeq58u8RGBuL9CkJlf9g&utm_medium=api&utm_source=abfa41a4&v=12A7F6405801D52A323E227286C8333773D1F407,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NzU0NjYyNiIsInMiOiI1c2plcTU4dThSR0J1TDlDa0psZjlnIn0.dMialblPH3vvWMZpzpsoXIexwfHnDrJS3pL5jRASOxU,34.727581,"RELOCATION ASSISTANCE: Relocation assistance may be availableCLEARANCE TYPE: SecretTRAVEL: Yes, 10% of the Time Description At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bo…",1,"['US', 'Alabama', 'Madison County', 'Huntsville']",Adzuna::API::Response::Location,"Huntsville, Madison County",Adzuna::API::Response::Category,IT Jobs,it-jobs,Northrop Grumman,Adzuna::API::Response::Company,,
