created,salary_max,adref,salary_min,description,salary_is_predicted,title,id,redirect_url,__CLASS__,location.area,location.__CLASS__,location.display_name,category.__CLASS__,category.tag,category.label,company.display_name,company.__CLASS__,latitude,longitude,contract_type,contract_time
2026-04-03T09:58:30Z,114246.36,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4ODc0NzQ4OCIsInMiOiIxR0dlRzJZdjhSR1BFTmFBZVJ0TzdRIn0.Ci7xSV0x0aIU2yT9vlXufashmhSClbqQ0uxNgbvZJcA,114246.36,"OTR - $5,000 Sign-On Bonus - Home weekly - 100% No-Touch Freight Pay Benefits: Competitive Pay Starting at$75,000 $5,000 sign-on bonus (paid quarterlystarting when you leave on your first trip) Home Weekly! 100% no-touch freight Additional pickups and drops - $35.00 each  mileage Dedicated routes - East or West Coast Choice of 5 healthcare plans: dental/vision plan, 401(k) plan, additional benefits. Holiday vacation pay Rider program for family members over the age of 18 pet policy All trucks h…",1,CDL A OTR Company Driver,5688747488,https://www.adzuna.com/land/ad/5688747488?se=1GGeG2Yv8RGPENaAeRtO7Q&utm_medium=api&utm_source=abfa41a4&v=1359EC512B90A5B3A47D00680B67830DE1FE3B42,Adzuna::API::Response::Job,['US'],Adzuna::API::Response::Location,US,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,Pacific Shipping,Adzuna::API::Response::Company,,,,
2026-04-03T09:54:37Z,137696.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4ODc0NzEyMCIsInMiOiIxR0dlRzJZdjhSR1BFTmFBZVJ0TzdRIn0.px5ESLdDceBJ7z2mzpPrXqRPyKWcRUVMyC4fF8Fh4lU,0.0,"Vivian is looking for Travel Occupational Therapist Therapys in Albuquerque, New Mexico paying up to $2,648/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and dis…",0,"Travel Occupational Therapist - Paying up to $2,648/week",5688747120,https://www.adzuna.com/land/ad/5688747120?se=1GGeG2Yv8RGPENaAeRtO7Q&utm_medium=api&utm_source=abfa41a4&v=AECC02360C835C0D70C177F1A372E88ED059672D,Adzuna::API::Response::Job,"['US', 'New Mexico', 'Bernalillo County', 'Alameda']",Adzuna::API::Response::Location,"Alameda, Bernalillo County",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Vivian Health,Adzuna::API::Response::Company,35.19955,-106.64425,,
2026-04-03T09:54:37Z,117624.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4ODc0NzEyOCIsInMiOiIxR0dlRzJZdjhSR1BFTmFBZVJ0TzdRIn0.yzX3M8K1GC5DTr1HvOMA80obgRoIvtnzOmKLTAJhlTk,0.0,"Vivian is looking for Travel Physical Therapy Assistant Therapys in Woodburn, Oregon paying up to $2,262/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discov…",0,"Travel Skilled Nursing Facility (SNF) Physical Therapy Assistant - Paying up to $2,262/week",5688747128,https://www.adzuna.com/land/ad/5688747128?se=1GGeG2Yv8RGPENaAeRtO7Q&utm_medium=api&utm_source=abfa41a4&v=92E537B25980CE7719BFFBAA9BEBF9129E5E9FA9,Adzuna::API::Response::Job,"['US', 'Oregon', 'Marion County', 'Woodburn']",Adzuna::API::Response::Location,"Woodburn, Marion County",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Vivian Health,Adzuna::API::Response::Company,45.146589,-122.856931,,
2026-04-03T09:54:37Z,139672.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4ODc0NzExOSIsInMiOiIxR0dlRzJZdjhSR1BFTmFBZVJ0TzdRIn0.Pn0DL2l3SEHcslRl4BUa62eUdE8GVSeatXy4GuJNF9E,0.0,"Vivian is looking for Travel Physical Therapist Therapys in Petersburg, West Virginia paying up to $2,686/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and disco…",0,"Travel Home Health Physical Therapist - Paying up to $2,686/week",5688747119,https://www.adzuna.com/land/ad/5688747119?se=1GGeG2Yv8RGPENaAeRtO7Q&utm_medium=api&utm_source=abfa41a4&v=AB4273896CC676CDDD0D0EDF6BAA69AE9DBE4D3A,Adzuna::API::Response::Job,"['US', 'West Virginia', 'Grant County', 'Petersburg']",Adzuna::API::Response::Location,"Petersburg, Grant County",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Vivian Health,Adzuna::API::Response::Company,38.97702,-79.12476,,
2026-04-03T09:54:37Z,140400.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUdHZUcyWXY4UkdQRU5hQWVSdE83USIsImkiOiI1Njg4NzQ3MTI5In0.5Xqg0QM1oj2o0p3jPUwZp4hwNVl3pjKBcIVAc-D7R_4,0.0,"Vivian is looking for Travel Speech Language Pathologist Therapys in Gilroy, California paying up to $2,700/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and dis…",0,"Travel Speech Language Pathologist - Paying up to $2,700/week",5688747129,https://www.adzuna.com/land/ad/5688747129?se=1GGeG2Yv8RGPENaAeRtO7Q&utm_medium=api&utm_source=abfa41a4&v=18DE290F3536B36CAED8116BAD8F881F3AA958DC,Adzuna::API::Response::Job,"['US', 'California', 'Santa Clara County', 'Gilroy']",Adzuna::API::Response::Location,"Gilroy, Santa Clara County",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Vivian Health,Adzuna::API::Response::Company,37.014389,-121.550944,,
2026-04-03T09:54:37Z,140400.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4ODc0NzEyMSIsInMiOiIxR0dlRzJZdjhSR1BFTmFBZVJ0TzdRIn0.NhlmqkTa-2_lB0oJczko0mQ3wHkPdSiIBwdTH0e7h64,0.0,"Vivian is looking for Travel Speech Language Pathologist Therapys in Roseburg, Oregon paying up to $2,700/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and disco…",0,"Travel Speech Language Pathologist - Paying up to $2,700/week",5688747121,https://www.adzuna.com/land/ad/5688747121?se=1GGeG2Yv8RGPENaAeRtO7Q&utm_medium=api&utm_source=abfa41a4&v=837C4E2A9DD0A6481DE54AAFFCE15D12A4B62ED0,Adzuna::API::Response::Job,"['US', 'Oregon', 'Douglas County', 'Roseburg']",Adzuna::API::Response::Location,"Roseburg, Douglas County",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Vivian Health,Adzuna::API::Response::Company,43.228898,-123.323543,,
2026-04-03T09:54:37Z,138632.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUdHZUcyWXY4UkdQRU5hQWVSdE83USIsImkiOiI1Njg4NzQ3MTIzIn0.mTG2GYDgi_fYc_2FEu3DmemzMdS0aBO6lxqyT2epl0Y,0.0,"Vivian is looking for Travel Physical Therapist Therapys in St. Joseph, Missouri paying up to $2,666/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover j…",0,"Travel Physical Therapist - Paying up to $2,666/week",5688747123,https://www.adzuna.com/land/ad/5688747123?se=1GGeG2Yv8RGPENaAeRtO7Q&utm_medium=api&utm_source=abfa41a4&v=E0ADBC72ED7C6B6C9187325DED6F0567E643B5C5,Adzuna::API::Response::Job,"['US', 'Missouri', 'Buchanan County', 'Saint Joseph']",Adzuna::API::Response::Location,"Saint Joseph, Buchanan County",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Vivian Health,Adzuna::API::Response::Company,39.772386,-94.846878,,
2026-04-03T09:54:37Z,138060.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUdHZUcyWXY4UkdQRU5hQWVSdE83USIsImkiOiI1Njg4NzQ3MTMwIn0.p1FCnII2XhnG9ZuM9YenTMAqe7lE8_BG5gPZRD9gKuo,0.0,"Vivian is looking for Travel Speech Language Pathologist Therapys in District Heights, Maryland paying up to $2,655/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.)…",0,"Travel Speech Language Pathologist - Paying up to $2,655/week",5688747130,https://www.adzuna.com/land/ad/5688747130?se=1GGeG2Yv8RGPENaAeRtO7Q&utm_medium=api&utm_source=abfa41a4&v=F4E8DDFBBEA8194A21B3D25D4A02C9F8842FDBA1,Adzuna::API::Response::Job,"['US', 'Maryland', ""Prince George's County"", 'District Heights']",Adzuna::API::Response::Location,"District Heights, Prince George's County",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Vivian Health,Adzuna::API::Response::Company,38.85156,-76.88706,,
2026-04-03T09:54:37Z,137436.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUdHZUcyWXY4UkdQRU5hQWVSdE83USIsImkiOiI1Njg4NzQ3MTI2In0.g1TgxYc_eTmfBWQkTS4bEPC6Fs7YEAjoyXJL4Bk9jRk,0.0,"Vivian is looking for Travel Occupational Therapist Therapys in Carlsbad, New Mexico paying up to $2,643/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discov…",0,"Travel Occupational Therapist - Paying up to $2,643/week",5688747126,https://www.adzuna.com/land/ad/5688747126?se=1GGeG2Yv8RGPENaAeRtO7Q&utm_medium=api&utm_source=abfa41a4&v=082A8447A55C4D19C8F74FB71BA9891191D563A7,Adzuna::API::Response::Job,"['US', 'New Mexico', 'Eddy County', 'Carlsbad']",Adzuna::API::Response::Location,"Carlsbad, Eddy County",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Vivian Health,Adzuna::API::Response::Company,32.422554,-104.275373,,
2026-04-03T09:54:36Z,151112.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUdHZUcyWXY4UkdQRU5hQWVSdE83USIsImkiOiI1Njg4NzQ3MTE1In0.AaWiKULQi-eOLABY0wELL8W8qMDZbn3CqfoALL-2Uq0,0.0,"Vivian is looking for Travel Physical Therapist Therapys in Clearlake, California paying up to $2,906/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover …",0,"Travel Physical Therapist - Paying up to $2,906/week",5688747115,https://www.adzuna.com/land/ad/5688747115?se=1GGeG2Yv8RGPENaAeRtO7Q&utm_medium=api&utm_source=abfa41a4&v=89E1B635F1B57100E3B7C08B54CF22F17F1E6906,Adzuna::API::Response::Job,"['US', 'California', 'Lake County', 'Clearlake']",Adzuna::API::Response::Location,"Clearlake, Lake County",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Vivian Health,Adzuna::API::Response::Company,38.956478,-122.639605,,
