salary_max,redirect_url,description,latitude,salary_is_predicted,id,title,contract_time,adref,salary_min,longitude,created,__CLASS__,category.label,category.tag,category.__CLASS__,company.display_name,company.__CLASS__,location.display_name,location.__CLASS__,location.area,contract_type
81045.56,https://www.adzuna.com/details/5691333115?utm_medium=api&utm_source=abfa41a4,"Earn a $2,000 Completion Bonus! We are offering up to $2,000 as a Completion Bonus for Speech-Language Pathologists (SLPs) who are brand new to Epic Special Education Staffing and who complete their full assignment (must work 30 hours or more per week). ABOUT US Together, we are the Epic Special Education Staffing family and family is how we view each member of this incredible community. From our family to the nation’s schools, we remain focused on providing a world of opportunities for you to …",38.298836,1,5691333115,Speech Language Pathologist School 2026-2027 SY,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MTMzMzExNSIsInMiOiJ5cmRneDhJeDhSR3JCWk5iWTVJMGZBIn0.xPCWC40ZFiOep3JKs1NMZfJSyWRwITmR1rkZwuvTsAA,81045.56,-122.486678,2026-04-06T10:08:26Z,Adzuna::API::Response::Job,Teaching Jobs,teaching-jobs,Adzuna::API::Response::Category,Epic Special Education Staffing,Adzuna::API::Response::Company,"El Verano, Sonoma County",Adzuna::API::Response::Location,"['US', 'California', 'Sonoma County', 'El Verano']",
96586.96,https://www.adzuna.com/details/5691333055?utm_medium=api&utm_source=abfa41a4,"Earn a $2,000 Completion Bonus! We are offering up to $2,000 as a Completion Bonus for Speech-Language Pathologists (SLPs) who are brand new to Epic Special Education Staffing and who complete their full assignment (must work 30 hours or more per week). ABOUT US Together, we are the Epic Special Education Staffing family and family is how we view each member of this incredible community. From our family to the nation’s schools, we remain focused on providing a world of opportunities for you to …",37.95414,1,5691333055,Speech Language Pathologist School 2026-2027 SY,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MTMzMzA1NSIsInMiOiJ5cmRneDhJeDhSR3JCWk5iWTVJMGZBIn0.vlKWcbdyXy1x26qZac4oRwSD1QEQBeSLfVF1AFneiH0,96586.96,-122.07666,2026-04-06T10:08:25Z,Adzuna::API::Response::Job,Teaching Jobs,teaching-jobs,Adzuna::API::Response::Category,Epic Special Education Staffing,Adzuna::API::Response::Company,"Pleasant Hill, Contra Costa County",Adzuna::API::Response::Location,"['US', 'California', 'Contra Costa County', 'Pleasant Hill']",
102771.97,https://www.adzuna.com/details/5691333051?utm_medium=api&utm_source=abfa41a4,"Earn a $2,000 Completion Bonus! We are offering up to $2,000 as a Completion Bonus for Speech-Language Pathologists (SLPs) who are brand new to Epic Special Education Staffing and who complete their full assignment (must work 30 hours or more per week). ABOUT US Together, we are the Epic Special Education Staffing family and family is how we view each member of this incredible community. From our family to the nation’s schools, we remain focused on providing a world of opportunities for you to …",38.096468,1,5691333051,Speech Language Pathologist School 2026-2027 SY,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MTMzMzA1MSIsInMiOiJ5cmRneDhJeDhSR3JCWk5iWTVJMGZBIn0.pazeNhhjCPygO_uK6XDMcscMr-b8fervjQ_lWFDom-Y,102771.97,-122.583186,2026-04-06T10:08:25Z,Adzuna::API::Response::Job,Teaching Jobs,teaching-jobs,Adzuna::API::Response::Category,Epic Special Education Staffing,Adzuna::API::Response::Company,"San Marin, Marin County",Adzuna::API::Response::Location,"['US', 'California', 'Marin County', 'San Marin']",
91017.59,https://www.adzuna.com/details/5691333065?utm_medium=api&utm_source=abfa41a4,"Earn a $2,000 Completion Bonus! We are offering up to $2,000 as a Completion Bonus for Speech-Language Pathologists (SLPs) who are brand new to Epic Special Education Staffing and who complete their full assignment (must work 30 hours or more per week). ABOUT US Together, we are the Epic Special Education Staffing family and family is how we view each member of this incredible community. From our family to the nation’s schools, we remain focused on providing a world of opportunities for you to …",34.271159,1,5691333065,Speech Language Pathologist School 2026-2027 SY,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MTMzMzA2NSIsInMiOiJ5cmRneDhJeDhSR3JCWk5iWTVJMGZBIn0.aACyaqaxoiqSI7FjamE_NQGpiurOcuSR8VsEgFlkvIY,91017.59,-119.216091,2026-04-06T10:08:25Z,Adzuna::API::Response::Job,Teaching Jobs,teaching-jobs,Adzuna::API::Response::Category,Epic Special Education Staffing,Adzuna::API::Response::Company,"San Buenaventura, Ventura County",Adzuna::API::Response::Location,"['US', 'California', 'Ventura County', 'San Buenaventura']",
103603.8,https://www.adzuna.com/details/5691333070?utm_medium=api&utm_source=abfa41a4,"Earn a $2,000 Completion Bonus! We are offering up to $2,000 as a Completion Bonus for Speech-Language Pathologists (SLPs) who are brand new to Epic Special Education Staffing and who complete their full assignment (must work 30 hours or more per week). ABOUT US Together, we are the Epic Special Education Staffing family and family is how we view each member of this incredible community. From our family to the nation’s schools, we remain focused on providing a world of opportunities for you to …",38.405498,1,5691333070,Speech Language Pathologist School Virtual,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MTMzMzA3MCIsInMiOiJ5cmRneDhJeDhSR3JCWk5iWTVJMGZBIn0.7N0GSL4mVTKSk_TzU3XkgZdt1tKDsfGTxMlpfBkZO9w,103603.8,-122.359153,2026-04-06T10:08:25Z,Adzuna::API::Response::Job,Teaching Jobs,teaching-jobs,Adzuna::API::Response::Category,Epic Special Education Staffing,Adzuna::API::Response::Company,"Yountville, Napa County",Adzuna::API::Response::Location,"['US', 'California', 'Napa County', 'Yountville']",
123758.88,https://www.adzuna.com/details/5691333074?utm_medium=api&utm_source=abfa41a4,"Earn a $2,000 Completion Bonus! We are offering up to $2,000 as a Completion Bonus for Speech-Language Pathologists (SLPs) who are brand new to Epic Special Education Staffing and who complete their full assignment (must work 30 hours or more per week). ABOUT US Together, we are the Epic Special Education Staffing family and family is how we view each member of this incredible community. From our family to the nation’s schools, we remain focused on providing a world of opportunities for you to …",38.015319,1,5691333074,Speech Language Pathologist School Virtual,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXJkZ3g4SXg4UkdyQlpOYlk1STBmQSIsImkiOiI1NjkxMzMzMDc0In0.h6d0F0nilnOyxxg90RpHSHj2j-4q87J1IU91gZwG9G8,123758.88,-122.545868,2026-04-06T10:08:25Z,Adzuna::API::Response::Job,Teaching Jobs,teaching-jobs,Adzuna::API::Response::Category,Epic Special Education Staffing,Adzuna::API::Response::Company,"Terra Linda, Marin County",Adzuna::API::Response::Location,"['US', 'California', 'Marin County', 'Terra Linda']",
85746.86,https://www.adzuna.com/details/5691333049?utm_medium=api&utm_source=abfa41a4,"Earn a $2,000 Completion Bonus! We are offering up to $2,000 as a Completion Bonus for Speech-Language Pathologists (SLPs) who are brand new to Epic Special Education Staffing and who complete their full assignment (must work 30 hours or more per week). ABOUT US Together, we are the Epic Special Education Staffing family and family is how we view each member of this incredible community. From our family to the nation’s schools, we remain focused on providing a world of opportunities for you to …",34.28028,1,5691333049,Speech Language Pathologist School 2026-2027 SY,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MTMzMzA0OSIsInMiOiJ5cmRneDhJeDhSR3JCWk5iWTVJMGZBIn0.7Bck0aYcWvmbawBPCoKRCwLe2TwlHFLkbK2JtdrosLQ,85746.86,-119.16444,2026-04-06T10:08:25Z,Adzuna::API::Response::Job,Teaching Jobs,teaching-jobs,Adzuna::API::Response::Category,Epic Special Education Staffing,Adzuna::API::Response::Company,"Saticoy, Ventura County",Adzuna::API::Response::Location,"['US', 'California', 'Ventura County', 'Saticoy']",
82665.88,https://www.adzuna.com/details/5691333093?utm_medium=api&utm_source=abfa41a4,"Earn a $2,000 Completion Bonus! We are offering up to $2,000 as a Completion Bonus for Speech-Language Pathologists (SLPs) who are brand new to Epic Special Education Staffing and who complete their full assignment (must work 30 hours or more per week). ABOUT US Together, we are the Epic Special Education Staffing family and family is how we view each member of this incredible community. From our family to the nation’s schools, we remain focused on providing a world of opportunities for you to …",38.16234,1,5691333093,Speech Language Pathologist School 2026-2027 SY,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MTMzMzA5MyIsInMiOiJ5cmRneDhJeDhSR3JCWk5iWTVJMGZBIn0.LFcUXye7dXYN1KoqQTtdI8SvfKV1bNF4BKVzgymWX18,82665.88,-122.2494,2026-04-06T10:08:25Z,Adzuna::API::Response::Job,Teaching Jobs,teaching-jobs,Adzuna::API::Response::Category,Epic Special Education Staffing,Adzuna::API::Response::Company,"Vallejo, Solano County",Adzuna::API::Response::Location,"['US', 'California', 'Solano County', 'Vallejo']",
74294.18,https://www.adzuna.com/details/5691333056?utm_medium=api&utm_source=abfa41a4,"ABOUT US Together, we are the Epic Special Education Staffing family and family is how we view each member of this incredible community. From our family to the nation’s schools, we remain focused on providing a world of opportunities for you to leverage your abilities and make an impact on special education. Apply today! POSITION DESCRIPTION Epic Special Education Staffing is partnering with an exceptional school district who is looking for a contract Sign Language Interpreter for the 2025 - 20…",26.97708,1,5691333056,Sign Language Interpreter School,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MTMzMzA1NiIsInMiOiJ5cmRneDhJeDhSR3JCWk5iWTVJMGZBIn0.qzW7JhxhO3rdt_nTjq6RIib4_3PnaiDH5GPHOZxFKk8,74294.18,-82.05528,2026-04-06T10:08:25Z,Adzuna::API::Response::Job,Teaching Jobs,teaching-jobs,Adzuna::API::Response::Category,Epic Special Education Staffing,Adzuna::API::Response::Company,"Port Charlotte, Charlotte County",Adzuna::API::Response::Location,"['US', 'Florida', 'Charlotte County', 'Port Charlotte']",
103659.95,https://www.adzuna.com/details/5691333079?utm_medium=api&utm_source=abfa41a4,"Earn a $2,000 Completion Bonus! We are offering up to $2,000 as a Completion Bonus for Speech-Language Pathologists (SLPs) who are brand new to Epic Special Education Staffing and who complete their full assignment (must work 30 hours or more per week). ABOUT US Together, we are the Epic Special Education Staffing family and family is how we view each member of this incredible community. From our family to the nation’s schools, we remain focused on providing a world of opportunities for you to …",34.204524,1,5691333079,Speech Language Pathologist School 2026-2027 SY,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXJkZ3g4SXg4UkdyQlpOYlk1STBmQSIsImkiOiI1NjkxMzMzMDc5In0.wV3n4cIFkMCAXtrx0ydndc17cylU6eFGTTvBJHFMZlI,103659.95,-119.175841,2026-04-06T10:08:25Z,Adzuna::API::Response::Job,Teaching Jobs,teaching-jobs,Adzuna::API::Response::Category,Epic Special Education Staffing,Adzuna::API::Response::Company,"Oxnard, Ventura County",Adzuna::API::Response::Location,"['US', 'California', 'Ventura County', 'Oxnard']",
