salary_max,__CLASS__,contract_time,latitude,adref,salary_is_predicted,id,longitude,title,salary_min,created,description,redirect_url,company.__CLASS__,company.display_name,location.display_name,location.area,location.__CLASS__,category.tag,category.label,category.__CLASS__,contract_type
38545.85,Adzuna::API::Response::Job,part_time,30.056236,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MzIxNzQzMSIsInMiOiJFaEZHREZvejhSR3ZyTDNVOWNKc2d3In0.1Q3bcZbxlP6Jzg1QXPngoNuWYUovfTdhbWaNKE56yJc,1,5693217431,-95.212877,Alternatives To Cash Jobs - Drive with Uber,38545.85,2026-04-08T10:43:32Z,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",https://www.adzuna.com/land/ad/5693217431?se=EhFGDFoz8RGvrL3U9cJsgw&utm_medium=api&utm_source=abfa41a4&v=AA41EEC27172E0579748A97E9AFF58A837B9BFFD,Adzuna::API::Response::Company,Uber,"Kingwood, Houston","['US', 'Texas', 'Harris County', 'Houston', 'Kingwood']",Adzuna::API::Response::Location,travel-jobs,Travel Jobs,Adzuna::API::Response::Category,
44347.94,Adzuna::API::Response::Job,part_time,30.18711,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRWhGR0RGb3o4Ukd2ckwzVTljSnNndyIsImkiOiI1NjkzMjE3NDMwIn0.Xlc2JXb0GIgtNbTFUpV9sXBiRODtRPClJ1v_ZgjpgJ4,1,5693217430,-94.668234,"Side gig: Earn at least $1765 in your first 155 trips driving, guaranteed.",44347.94,2026-04-08T10:40:17Z,"Earn at least $1765 driving with Uber when you complete your first 155 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 155 trips with Ub…",https://www.adzuna.com/land/ad/5693217430?se=EhFGDFoz8RGvrL3U9cJsgw&utm_medium=api&utm_source=abfa41a4&v=AE6FA7D5E37D2E9C3624AE08C67AE4185F626ADD,Adzuna::API::Response::Company,Uber,"Daisetta, Liberty County","['US', 'Texas', 'Liberty County', 'Daisetta']",Adzuna::API::Response::Location,travel-jobs,Travel Jobs,Adzuna::API::Response::Category,
42300.19,Adzuna::API::Response::Job,part_time,29.938179,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MzIxNzQyOSIsInMiOiJFaEZHREZvejhSR3ZyTDNVOWNKc2d3In0.jhSNhubF0rlsboFB0Fp_TQLwcdzXgfBZh17YlaqI-wQ,1,5693217429,-95.328276,Driver - Cash out with Instant Pay,42300.19,2026-04-08T10:40:03Z,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",https://www.adzuna.com/land/ad/5693217429?se=EhFGDFoz8RGvrL3U9cJsgw&utm_medium=api&utm_source=abfa41a4&v=C061DF07AE8C1BDCD2DC45B1D5405377A02428C1,Adzuna::API::Response::Company,Uber,"North Central, Houston","['US', 'Texas', 'Harris County', 'Houston', 'North Central']",Adzuna::API::Response::Location,travel-jobs,Travel Jobs,Adzuna::API::Response::Category,
65053.85,Adzuna::API::Response::Job,,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRWhGR0RGb3o4Ukd2ckwzVTljSnNndyIsImkiOiI1NjkzMjE3NDI4In0.Ly2ruU6z8_EqTp13Uusrmkc9lxZbT3sOTbMJmJ3TFU8,1,5693217428,,SMB Account Executive,65053.85,2026-04-08T10:39:53Z,"Job Description When you join Verizon You want more out of a career. A place to share your ideas freely — even if they’re daring or different. Where the true you can learn, grow, and thrive. At Verizon, we power and empower how people live, work and play by connecting them to what brings them joy. We do what we love — driving innovation, creativity, and impact in the world. Our V Team is a community of people who anticipate, lead, and believe that listening is where learning begins. In crisis a…",https://www.adzuna.com/land/ad/5693217428?se=EhFGDFoz8RGvrL3U9cJsgw&utm_medium=api&utm_source=abfa41a4&v=1E136893C1EFEFA9771E9D06AD6D747C5CD2933C,Adzuna::API::Response::Company,Verizon,US,['US'],Adzuna::API::Response::Location,sales-jobs,Sales Jobs,Adzuna::API::Response::Category,
37713.02,Adzuna::API::Response::Job,part_time,29.303804,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MzIxNzQyNyIsInMiOiJFaEZHREZvejhSR3ZyTDNVOWNKc2d3In0.03vsRSFklfWMxUXIdn0YvX7C485ebjoo4BMAwpVZWKc,1,5693217427,-95.667629,Driver gig - Earn at least $1765 by driving 155 trips with Uber,37713.02,2026-04-08T10:39:26Z,"Earn at least $1765 driving with Uber when you complete your first 155 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 155 trips with Ub…",https://www.adzuna.com/land/ad/5693217427?se=EhFGDFoz8RGvrL3U9cJsgw&utm_medium=api&utm_source=abfa41a4&v=04D7EBA6538D25964AD77A7F55687E38B419BCE0,Adzuna::API::Response::Company,Uber,"Long Point, Fort Bend County","['US', 'Texas', 'Fort Bend County', 'Long Point']",Adzuna::API::Response::Location,travel-jobs,Travel Jobs,Adzuna::API::Response::Category,
52521.28,Adzuna::API::Response::Job,part_time,29.649998,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRWhGR0RGb3o4Ukd2ckwzVTljSnNndyIsImkiOiI1NjkzMjE3NDI2In0.65Za76Gc67Sqs6L1yM71HdLwWr72EykfMfvoAXew9HU,1,5693217426,-95.18467,"Side gig: Earn at least $1765 in your first 155 trips with Uber, guaranteed.",52521.28,2026-04-08T10:39:15Z,"Earn at least $1765 driving with Uber when you complete your first 155 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 155 trips with Ub…",https://www.adzuna.com/land/ad/5693217426?se=EhFGDFoz8RGvrL3U9cJsgw&utm_medium=api&utm_source=abfa41a4&v=CF8229524870EC71C40CFF783E882A3B59C52CE6,Adzuna::API::Response::Company,Uber,"Golden Acres, Harris County","['US', 'Texas', 'Harris County', 'Golden Acres']",Adzuna::API::Response::Location,travel-jobs,Travel Jobs,Adzuna::API::Response::Category,
32813.42,Adzuna::API::Response::Job,part_time,41.785048,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRWhGR0RGb3o4Ukd2ckwzVTljSnNndyIsImkiOiI1NjkzMjE3MzU3In0.eKFmorFEwPHEBrpKr5fn1NVfAkgPBIZAJ1DFOV5K1rw,1,5693217357,-71.727845,Drive with Uber - Earn at least $1775 in your first 173 trips with Uber.,32813.42,2026-04-08T10:22:33Z,"Earn at least $1775 driving with Uber when you complete your first 173 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 173 trips with Ub…",https://www.adzuna.com/land/ad/5693217357?se=EhFGDFoz8RGvrL3U9cJsgw&utm_medium=api&utm_source=abfa41a4&v=00F74F6AEF18CD47ACF573FB8441E7A88877ED61,Adzuna::API::Response::Company,Uber,"Clayville, Providence County","['US', 'Rhode Island', 'Providence County', 'Clayville']",Adzuna::API::Response::Location,travel-jobs,Travel Jobs,Adzuna::API::Response::Category,
26719.93,Adzuna::API::Response::Job,,41.331761,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRWhGR0RGb3o4Ukd2ckwzVTljSnNndyIsImkiOiI1NjkzMjE3MzQzIn0.zv0YI8DxxgE4gyc4FCJYQ7uaANtXrmO1ooCCmOM06PI,1,5693217343,-81.451909,Lumper,26719.93,2026-04-08T10:19:50Z,"Job Description: We Deliver the Goods: Competitive pay and benefits, including Day 1 Health & Wellness Benefits, Employee Stock Purchase Plan, 401K Employer Matching, Education Assistance, Paid Time Off, and much more Growth opportunities performing essential work to support America’s food distribution system Safe and inclusive working environment, including culture of rewards, recognition, and respect Position Summary: Responsible for moving product with a forklift or pallet jack from trailer …",https://www.adzuna.com/land/ad/5693217343?se=EhFGDFoz8RGvrL3U9cJsgw&utm_medium=api&utm_source=abfa41a4&v=5271261EA84ACA3ABD009D1297353A2E987F3066,Adzuna::API::Response::Company,VISTAR,"Twinsburg, Summit County","['US', 'Ohio', 'Summit County', 'Twinsburg']",Adzuna::API::Response::Location,logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
46516.77,Adzuna::API::Response::Job,,45.34746,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRWhGR0RGb3o4Ukd2ckwzVTljSnNndyIsImkiOiI1NjkzMjE3MzQyIn0.vR4x4_g2AcYiG3fSFRWfzLyMvsvpLxKJXQYPqvoeEfY,1,5693217342,-84.91512,Retail Food Service Manager,46516.77,2026-04-08T10:19:34Z,"Role Overview: Sodexo Healthcare is seeking a Retail Food Service Manager in Petoskey, MI. This food service manager will manage and direct all food retail locations throughout the hospital and will assist with catering. The Retail Manager will be a dynamic team player with a strong background in managing frontline staff and developing teams in any food services environment. What You'll Do: manage all retail operations including catering for the hospital motivate, coach, mentor and develop fron…",https://www.adzuna.com/land/ad/5693217342?se=EhFGDFoz8RGvrL3U9cJsgw&utm_medium=api&utm_source=abfa41a4&v=9CADD1AD77A5078352EDD59747A571D729AD8A47,Adzuna::API::Response::Company,Sodexo,"Bay View, Emmet County","['US', 'Michigan', 'Emmet County', 'Bay View']",Adzuna::API::Response::Location,hospitality-catering-jobs,Hospitality & Catering Jobs,Adzuna::API::Response::Category,
84683.08,Adzuna::API::Response::Job,,25.817968,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MzIxNzMzNiIsInMiOiJFaEZHREZvejhSR3ZyTDNVOWNKc2d3In0.Q7zWkH71MjJ0RjeiSpNkUN4KJN73LTEPQTU98aUbzOc,1,5693217336,-80.299925,Class A Delivery Driver,84683.08,2026-04-08T10:15:34Z,"Job Description: Position Details 6 Day Work Week - Home Daily $65,000 to $75,000 Average Annual Pay Dedicated Routes After Training We Deliver the Goods: Competitive pay and benefits, including Day 1 Health & Wellness Benefits, Employee Stock Purchase Plan, 401K Employer Matching, Education Assistance, Paid Time Off, and much more Growth opportunities performing essential work to support America’s food distribution system Safe and inclusive working environment, including culture of rewards, re…",https://www.adzuna.com/land/ad/5693217336?se=EhFGDFoz8RGvrL3U9cJsgw&utm_medium=api&utm_source=abfa41a4&v=280D357C0C15CD70F16561AAB295CF59728B00BB,Adzuna::API::Response::Company,Cheney Brothers & Affiliates,"Milam Dairy, Miami-Dade County","['US', 'Florida', 'Miami-Dade County', 'Milam Dairy']",Adzuna::API::Response::Location,logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
