salary_is_predicted,redirect_url,id,salary_min,adref,longitude,description,__CLASS__,title,created,salary_max,latitude,contract_time,category.label,category.__CLASS__,category.tag,location.__CLASS__,location.display_name,location.area,company.__CLASS__,company.display_name,contract_type
1,https://www.adzuna.com/land/ad/5695703179?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=47891C166382DA681A19CA41F7378796AC3641AA,5695703179,38246.61,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NTcwMzE3OSIsInMiOiJoandSU2VnMDhSR0w1LVowT3liRTR3In0.bJwbcY-czDjrQWZkBYQ9jxNuHxruQXJKPu77ZVBkjG0,-85.828862,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",Adzuna::API::Response::Job,Drive on Your Schedule,2026-04-10T10:15:35Z,38246.61,40.671279,part_time,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Adzuna::API::Response::Location,"Sweetser, Grant County","['US', 'Indiana', 'Grant County', 'Sweetser']",Adzuna::API::Response::Company,Uber,
1,https://www.adzuna.com/land/ad/5695703177?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=67D506579B9D55AF595492FB87EF298949BBCFE8,5695703177,40804.07,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NTcwMzE3NyIsInMiOiJoandSU2VnMDhSR0w1LVowT3liRTR3In0.LgHOWVhMe2dH1WRUYZkjen1nhFFpCLOD90Snzd3WHxA,-85.994,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",Adzuna::API::Response::Job,Earn on Your Schedule - Drive with Uber,2026-04-10T10:15:27Z,40804.07,39.90836,part_time,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Adzuna::API::Response::Location,"Oaklandon, Marion County","['US', 'Indiana', 'Marion County', 'Oaklandon']",Adzuna::API::Response::Company,Uber,
1,https://www.adzuna.com/land/ad/5695703173?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=F872D63A46A4B8DBAC120A20756BBB32B62A2182,5695703173,26716.38,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NTcwMzE3MyIsInMiOiJoandSU2VnMDhSR0w1LVowT3liRTR3In0.sjYu50Z_vrs10VDWY_slb8w_h8dTCr79brzG_Uz-3x4,-86.100106,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",Adzuna::API::Response::Job,Choose your own schedule - Drive with Uber,2026-04-10T10:15:25Z,26716.38,39.806385,part_time,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Adzuna::API::Response::Location,"Indianapolis, Marion County","['US', 'Indiana', 'Marion County', 'Indianapolis']",Adzuna::API::Response::Company,Uber,
1,https://www.adzuna.com/land/ad/5695703176?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=182BB1B0B921154C24BF3CFF9E41463CF14D56F8,5695703176,36514.63,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGp3UlNlZzA4UkdMNS1aME95YkU0dyIsImkiOiI1Njk1NzAzMTc2In0.s-nqZAiESQjNaV8In_a9AlePwaqeG6P6jaMBXHXBoR0,-85.994,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",Adzuna::API::Response::Job,Want to earn extra money? Drive with Uber,2026-04-10T10:15:25Z,36514.63,39.90836,part_time,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Adzuna::API::Response::Location,"Oaklandon, Marion County","['US', 'Indiana', 'Marion County', 'Oaklandon']",Adzuna::API::Response::Company,Uber,
1,https://www.adzuna.com/land/ad/5695703174?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=59B77A42216D57458510C2ED9314E3421239D377,5695703174,33302.8,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGp3UlNlZzA4UkdMNS1aME95YkU0dyIsImkiOiI1Njk1NzAzMTc0In0.xMT-XR-29fHRQUKzY5tfYhm7GSXjFIq8WIpyMmlppak,-86.49923,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",Adzuna::API::Response::Job,Sign up to Drive with Uber,2026-04-10T10:15:25Z,33302.8,40.547393,part_time,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Adzuna::API::Response::Location,"Flora, Carroll County","['US', 'Indiana', 'Carroll County', 'Flora']",Adzuna::API::Response::Company,Uber,
1,https://www.adzuna.com/land/ad/5695703175?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=39485058CDB58615D72C6ED5885C8986082D013E,5695703175,43603.55,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGp3UlNlZzA4UkdMNS1aME95YkU0dyIsImkiOiI1Njk1NzAzMTc1In0.srEZrZD5LQPCdaL730IEOSeWIgzfXy5cCwEKadp7fqA,-86.107919,"Earn at least $1985 driving with Uber when you complete your first 162 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 162 trips with Ub…",Adzuna::API::Response::Job,Drive with Uber: Earn at least $1985 when you complete 162 trips.,2026-04-10T10:15:25Z,43603.55,39.867085,part_time,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Adzuna::API::Response::Location,"Uptown, Marion County","['US', 'Indiana', 'Marion County', 'Uptown']",Adzuna::API::Response::Company,Uber,
1,https://www.adzuna.com/land/ad/5695703172?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=68B02F0617110CFF76093EF167A5F673F92011A1,5695703172,54101.89,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGp3UlNlZzA4UkdMNS1aME95YkU0dyIsImkiOiI1Njk1NzAzMTcyIn0.U8vWzwM0EU6sTWepudEt61yPWa6exHUG140651mEbhY,-86.095688,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",Adzuna::API::Response::Job,Earn on Your Schedule - Drive with Uber,2026-04-10T10:15:24Z,54101.89,39.715082,part_time,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Adzuna::API::Response::Location,"Beech Grove, Marion County","['US', 'Indiana', 'Marion County', 'Beech Grove']",Adzuna::API::Response::Company,Uber,
1,https://www.adzuna.com/land/ad/5695703168?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=ADE53AC608B7E7AF7F6D6E320B735936E95CE570,5695703168,44549.88,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGp3UlNlZzA4UkdMNS1aME95YkU0dyIsImkiOiI1Njk1NzAzMTY4In0.yJonnpMTlvOwwSdeqK3mZ5nqZ_rxEP_KwmwD8owl4YI,-86.109475,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",Adzuna::API::Response::Job,Drive with Uber for weekend cash,2026-04-10T10:15:18Z,44549.88,39.775104,part_time,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Adzuna::API::Response::Location,"Indianapolis, Marion County","['US', 'Indiana', 'Marion County', 'Indianapolis']",Adzuna::API::Response::Company,Uber,
1,https://www.adzuna.com/land/ad/5695703167?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=58604D1853E21EF56E6D734E8328AC097DE428C3,5695703167,33126.91,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NTcwMzE2NyIsInMiOiJoandSU2VnMDhSR0w1LVowT3liRTR3In0.0iY9XkdemGpSqi8ZEoOCkVfFc8n3Z7XFVE6unWzm6k4,-86.102796,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",Adzuna::API::Response::Job,Uber - Sign Up to Drive and Earn,2026-04-10T10:15:12Z,33126.91,38.802232,part_time,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Adzuna::API::Response::Location,"Medora, Jackson County","['US', 'Indiana', 'Jackson County', 'Medora']",Adzuna::API::Response::Company,Uber,
1,https://www.adzuna.com/land/ad/5695703146?se=hjwRSeg08RGL5-Z0OybE4w&utm_medium=api&utm_source=abfa41a4&v=ED9921E4FABC6A0CA1A04318654DF73CEFEAB21A,5695703146,35775.91,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NTcwMzE0NiIsInMiOiJoandSU2VnMDhSR0w1LVowT3liRTR3In0.hfQpswtv_mv5HezZm8RIKJCIgO5_YqZCmu_bGWsCnNY,-84.19864,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",Adzuna::API::Response::Job,Earn on Your Schedule - Drive with Uber,2026-04-10T10:14:06Z,35775.91,33.784859,part_time,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Adzuna::API::Response::Location,"Stone Mountain, DeKalb County","['US', 'Georgia', 'DeKalb County', 'Stone Mountain']",Adzuna::API::Response::Company,Uber,
