salary_max,title,redirect_url,latitude,adref,description,longitude,salary_is_predicted,contract_time,created,__CLASS__,id,salary_min,location.display_name,location.__CLASS__,location.area,category.__CLASS__,category.label,category.tag,company.__CLASS__,company.display_name,contract_type
35729.07,Alternatives To Cash Jobs - Drive with Uber,https://www.adzuna.com/land/ad/5696728222?se=pqRtjq418RG_J8d0bkVF5A&utm_medium=api&utm_source=abfa41a4&v=1EBA6A5B73B2002BE1ACECDD511E3C22FA0DB748,43.036749,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NjcyODIyMiIsInMiOiJwcVJ0anE0MThSR19KOGQwYmtWRjVBIn0.7UeXAuN4Una8kNSehZjQga_oskXPhSu1-DprJBgGk9c,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",-86.186469,1,part_time,2026-04-11T09:49:41Z,Adzuna::API::Response::Job,5696728222,35729.07,"Spring Lake, Ottawa County",Adzuna::API::Response::Location,"['US', 'Michigan', 'Ottawa County', 'Spring Lake']",Adzuna::API::Response::Category,Travel Jobs,travel-jobs,Adzuna::API::Response::Company,Uber,
71700.02,Licensed Mental Health Teletherapist (LCSW or LPC),https://www.adzuna.com/details/5696728221?utm_medium=api&utm_source=abfa41a4,37.56,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicHFSdGpxNDE4UkdfSjhkMGJrVkY1QSIsImkiOiI1Njk2NzI4MjIxIn0.lM0rpDQduU8fQuyWnSk4w7IIPBBclSWjD2tmtjpHB8g,"Teletherapist (child, family, adult): Full-time, Part-Time (minimum of 7 sessions per week) Are you ready to make a career move that is exciting, challenging, and rewarding? Are you interested in joining a progressive company that provides teletherapy throughout Virginia and beyond? Well, we have that opportunity if you are licensed in the state of Virginia as an LCSW, LPC, or LCP! Those with clinical licenses in multiple states are encouraged to apply. If you are considering, or have tried, to…",-77.45,1,part_time,2026-04-11T09:49:39Z,Adzuna::API::Response::Job,5696728221,71700.02,"Richmond, Richmond County",Adzuna::API::Response::Location,"['US', 'Virginia', 'Richmond County', 'Richmond']",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,MySpectrum,
48898.52,"Front Desk Coordinator - Woodinville, WA",https://www.adzuna.com/details/5696728219?utm_medium=api&utm_source=abfa41a4,47.754265,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NjcyODIxOSIsInMiOiJwcVJ0anE0MThSR19KOGQwYmtWRjVBIn0.bwGAc4KlVKtklvX6x4qxPZNIXaMnkauvdQ7Glu79XMY,"Are you looking for a company you can grow your career with and advance in? Are you goal oriented, self-motivated & proactive by nature? Do you have a passion for health and wellness and love sales? If you have the drive, desire, and initiative to work with a world-class organization, we want to talk to you. At The Joint Chiropractic we provide world class service to every one of our patients, and we would like for you to join our caring team. Let us turn that passion for health and wellness an…",-122.163458,1,,2026-04-11T09:48:30Z,Adzuna::API::Response::Job,5696728219,48898.52,"Woodinville, King County",Adzuna::API::Response::Location,"['US', 'Washington', 'King County', 'Woodinville']",Adzuna::API::Response::Category,Sales Jobs,sales-jobs,Adzuna::API::Response::Company,The Joint Chiropractic,
55406.01,Outbound Call Center Representative,https://www.adzuna.com/details/5696728217?utm_medium=api&utm_source=abfa41a4,27.955269,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NjcyODIxNyIsInMiOiJwcVJ0anE0MThSR19KOGQwYmtWRjVBIn0.vAqweHJavRWjXF_GefTVPucqX6MSGlmtGCpCUV0hcS0,"About Us PRP Wine International has been bringing the world of fine wine directly to customers since 1989. As a partner of the global Pieroth family of wineries, we combine old-world wine heritage with a modern, relationship-driven sales approach. We’re passionate about great wine from all over the world, meaningful customer connections, and building careers—not just filling jobs. Now, we’re launching an exciting new chapter in our Tampa office and looking for motivated people who want to grow …",-82.45632,1,part_time,2026-04-11T09:48:23Z,Adzuna::API::Response::Job,5696728217,55406.01,"Tampa, Hillsborough County",Adzuna::API::Response::Location,"['US', 'Florida', 'Hillsborough County', 'Tampa']",Adzuna::API::Response::Category,Sales Jobs,sales-jobs,Adzuna::API::Response::Company,"PRP Wine International, Inc.",
39870.32,Driver - Earn in your free time,https://www.adzuna.com/land/ad/5696728216?se=pqRtjq418RG_J8d0bkVF5A&utm_medium=api&utm_source=abfa41a4&v=57A4DB0CBAE5A105C72714722B173F2C5731B99D,42.378104,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NjcyODIxNiIsInMiOiJwcVJ0anE0MThSR19KOGQwYmtWRjVBIn0.xLfV7OZspWdS8xZPSQXJgtZ1QmEPB5TwzU8du5At2yQ,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",-71.02881,1,part_time,2026-04-11T09:48:19Z,Adzuna::API::Response::Job,5696728216,39870.32,"East Boston, Suffolk County",Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Suffolk County', 'East Boston']",Adzuna::API::Response::Category,Travel Jobs,travel-jobs,Adzuna::API::Response::Company,Uber,
39835.82,Earn extra cash - Sign up and drive with Uber,https://www.adzuna.com/land/ad/5696728214?se=pqRtjq418RG_J8d0bkVF5A&utm_medium=api&utm_source=abfa41a4&v=4E9C2AC72CA1BDC8BD067DAFEE3BA61F0CD6C0C6,41.2625,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NjcyODIxNCIsInMiOiJwcVJ0anE0MThSR19KOGQwYmtWRjVBIn0.u0RX3MdqmTMVCpMVDZ4CPFoRFvvITRiJvKap2ZCF1-k,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",-69.966667,1,part_time,2026-04-11T09:48:18Z,Adzuna::API::Response::Job,5696728214,39835.82,"Sconset, Nantucket",Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Nantucket', 'Sconset']",Adzuna::API::Response::Category,Travel Jobs,travel-jobs,Adzuna::API::Response::Company,Uber,
60386.57,Inventory Management Specialist,https://www.adzuna.com/land/ad/5696728211?se=pqRtjq418RG_J8d0bkVF5A&utm_medium=api&utm_source=abfa41a4&v=D4B6C0574E100782C87705239F22D395BF89CF36,32.657722,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicHFSdGpxNDE4UkdfSjhkMGJrVkY1QSIsImkiOiI1Njk2NzI4MjExIn0.YiNLnhNSe5TVE4mGnNILSpF8Fj-3bkH4vvl2zBig4jc,"Telework Eligible Yes Major Duties Manages stocked items for customers and provides information to customers on price, product uses and technical specifications. Serves as point of contact for all requisitions/requisition alerts. Follows-up on overdue requests for assistance. Enters and manages requisitions in supply automated system. Manages requisition modifications for assigned open orders. Reviews end item status and other pertinent information to develop or modify parts strategies to resol…",-117.161122,1,full_time,2026-04-11T09:47:54Z,Adzuna::API::Response::Job,5696728211,60386.57,"Coronado, San Diego County",Adzuna::API::Response::Location,"['US', 'California', 'San Diego County', 'Coronado']",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,Adzuna::API::Response::Company,Defense Logistics Agency,
57805.65,"Become a Surrogate: Give the Gift of Life & Earn Up to $115,000 from Home!",https://www.adzuna.com/land/ad/5696728187?se=pqRtjq418RG_J8d0bkVF5A&utm_medium=api&utm_source=abfa41a4&v=36F621F6676060A4C1C2CCF20AAF20B3B2768FA1,40.81926,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NjcyODE4NyIsInMiOiJwcVJ0anE0MThSR19KOGQwYmtWRjVBIn0.aFxMyPD6J9p82JSMBrc64A1cxUlykTffXjsHFL4UZMc,"We are looking for a passionate individual with a sense of responsibility and willingness to help create families to join us as a surrogate. In this role, you will be instrumental in supporting individuals or families who aspire to a family. As a surrogate, you will take on crucial responsibilities, such as participating in the medical screenings and legal process required for a successful surrogacy journey, traveling to clinics for medical appointments, carrying the pregnancy with care and eve…",-77.565308,1,full_time,2026-04-11T09:47:17Z,Adzuna::API::Response::Job,5696728187,57805.65,"Pennsylvania, US",Adzuna::API::Response::Location,"['US', 'Pennsylvania']",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,Giving Tree Surrogacy,permanent
55030.76,"Regional Director, Maintenance",https://www.adzuna.com/land/ad/5696728180?se=pqRtjq418RG_J8d0bkVF5A&utm_medium=api&utm_source=abfa41a4&v=A79543611748D7E538F94E2D6F1D618E7E064878,40.627149,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NjcyODE4MCIsInMiOiJwcVJ0anE0MThSR19KOGQwYmtWRjVBIn0.0EvKu575eG91YX00pyklfqjDNdDOroFcx-jax2ufT0c,"Regional Director, Maintenance Allentown, PA At Phoebe Ministries Allentown , we’re more than a workplace – we’re a community rooted in compassion and excellence, dedicated to enriching the lives of our residents. Why You'll Love Working with Phoebe Ministries:  Comprehensive Health Coverage – Health, Dental, Vision, and Life Insurance.  Competitive Pay – Earn rewarding pay for your skills and flexibility!  Tuition Reimbursement – Advance your career with our support.  Generous Paid Annual Leav…",-75.391069,1,full_time,2026-04-11T09:46:45Z,Adzuna::API::Response::Job,5696728180,55030.76,"Bethlehem, Northampton County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Northampton County', 'Bethlehem']",Adzuna::API::Response::Category,Maintenance Jobs,maintenance-jobs,Adzuna::API::Response::Company,Phoebe Ministries,
80910.27,Paid Casino Tester,https://www.adzuna.com/land/ad/5696728173?se=pqRtjq418RG_J8d0bkVF5A&utm_medium=api&utm_source=abfa41a4&v=86B57811F5CDA1BD828DB19E33B64407608B0EF6,40.39206,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicHFSdGpxNDE4UkdfSjhkMGJrVkY1QSIsImkiOiI1Njk2NzI4MTczIn0.4EplzYqTofA3ZDFOP-QIvFImgDWdttDHU2gx_4GIBAQ,"About the Role Join our distributed team and help evaluate online platforms through interactive testing assignments. This is a flexible, remote opportunity with full training provided and no prior experience required. Reel Edge is a gambling technology company focused on researching and improving online casino experiences. We're hiring remote testers to complete structured evaluations across legal casino platforms in select states. What You'll Do Log in to a secure dashboard to view available a…",-79.90926,1,,2026-04-11T09:46:21Z,Adzuna::API::Response::Job,5696728173,80910.27,"Munhall, Allegheny County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Allegheny County', 'Munhall']",Adzuna::API::Response::Category,IT Jobs,it-jobs,Adzuna::API::Response::Company,Reeledge,
