longitude,__CLASS__,title,id,contract_time,salary_min,adref,latitude,redirect_url,created,description,salary_is_predicted,salary_max,company.__CLASS__,company.display_name,category.__CLASS__,category.label,category.tag,location.display_name,location.area,location.__CLASS__,contract_type
-97.1046,Adzuna::API::Response::Job,RN- Float Pool - FT Nights,5697474977,full_time,63696.07,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NzQ3NDk3NyIsInMiOiJtUERlTW5nMjhSR29GZjFwbk1yRERRIn0.5yk3G03yFjN0aMuo833z2cV0kjUOF9Y1N3Bw2MY81A8,35.4255,https://www.adzuna.com/land/ad/5697474977?se=mPDeMng28RGoFf1pnMrDDQ&utm_medium=api&utm_source=abfa41a4&v=79E8920A542CC0595ABB06DAF91093A3A7866019,2026-04-12T09:54:01Z,"It's more than a career, it's a calling. OK-SSM Health St. Anthony Hospital - Shawnee Worker Type: Regular Job Summary: Provides direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization. Job Responsibilities and Requirements: PRIMARY RESPONSIBILITIES Uses standards of medical-surgical nursing practice to increase the quality of care and quality of life for the patient, family, and significant other(s) by systematically evaluating the q…",1,63696.07,Adzuna::API::Response::Company,SSM Health,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Mcloud, Pottawatomie County","['US', 'Oklahoma', 'Pottawatomie County', 'Mcloud']",Adzuna::API::Response::Location,
-90.167897,Adzuna::API::Response::Job,Therapist-Respiratory (RRT) - Days,5697474973,full_time,359431.28,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibVBEZU1uZzI4UkdvRmYxcG5NckREUSIsImkiOiI1Njk3NDc0OTczIn0.5bahVY8Xf3E11VCkjy2uPbTfr7hJ3qM0JiMv9S4QVtU,38.562631,https://www.adzuna.com/land/ad/5697474973?se=mPDeMng28RGoFf1pnMrDDQ&utm_medium=api&utm_source=abfa41a4&v=C842ABD7CB9FC409908360A459FF635DB71A0640,2026-04-12T09:54:01Z,"It's more than a career, it's a calling MO-SSM Health Saint Louis University Hospital 1201 Grand Worker Type: Regular Job Highlights: Sign-On Bonus up to $20,000 Schedule: Full-time, 36 Hours/Week, 3x12-Hour Shifts/Week, 7-7 Shift Differentials: Available for weekends, and additional shifts RRT Required, MO Licensure. Only Qualified external candidates will be considered for participation in the sign on bonus and relocation programs Job Summary: The respiratory therapist is a healthcare profess…",1,359431.28,Adzuna::API::Response::Company,SSM Health,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Cahokia, Saint Clair County","['US', 'Illinois', 'Saint Clair County', 'Cahokia']",Adzuna::API::Response::Location,
-112.279293,Adzuna::API::Response::Job,Store Manager (59631),5697474769,,62799.05,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibVBEZU1uZzI4UkdvRmYxcG5NckREUSIsImkiOiI1Njk3NDc0NzY5In0.qnm_vdWLJIyhxwwW43JRdVQrS_d3tvQ2lVYt61IBuKY,46.277575,https://www.adzuna.com/land/ad/5697474769?se=mPDeMng28RGoFf1pnMrDDQ&utm_medium=api&utm_source=abfa41a4&v=1F41FB73151AF94003ED55A8365B6193F1EEBD5F,2026-04-12T09:51:56Z,"At Pomp's, we don't idle—we drive careers forward ! As a leading tire service company since 1939, we're built on hard work, dedication, and a commitment to excellence . We're currently looking for a Store Manager to join our team and play a critical part in our daily operations. This dynamic role is responsible for overseeing the operations of the assigned location to drive maximum sales and profitability through effective expense management. Key responsibilities include leadership and staff ma…",1,62799.05,Adzuna::API::Response::Company,Pomp's Tire Service,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Boulder, Jefferson County","['US', 'Montana', 'Jefferson County', 'Boulder']",Adzuna::API::Response::Location,
-105.049297,Adzuna::API::Response::Job,RN Fellowship L&D Birth Center Nights,5697474764,full_time,53764.79,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibVBEZU1uZzI4UkdvRmYxcG5NckREUSIsImkiOiI1Njk3NDc0NzY0In0.8Jd02fc8Qrdo5ljomUM_lGiVdCFVRG1rT4yeGM6Hwbc,40.605726,https://www.adzuna.com/land/ad/5697474764?se=mPDeMng28RGoFf1pnMrDDQ&utm_medium=api&utm_source=abfa41a4&v=BE44E3E7BFB263FFE0548996EA479D5001D52C5F,2026-04-12T09:49:31Z,"Description Location: UCHealth UCHlth Poudre Valley Hospital, US:CO:Fort Collins Department: PVH Birthing Center Work Schedule: Full Time, 72.00 hours per pay period (2 weeks) Shift: Nights Pay: $35.29 - $54.71 / hour. Pay is dependent on applicant's relevant experience This position is an onsite role and does not offer a hybrid or remote option Work nights, earn more - our Night Shift Incentive Program pays $1,600 quarterly ($6,400/year) to full-time night shift RNs. Minimum Requirements: Grad…",1,53764.79,Adzuna::API::Response::Company,UCHealth,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Fort Collins, Larimer County","['US', 'Colorado', 'Larimer County', 'Fort Collins']",Adzuna::API::Response::Location,
-105.049297,Adzuna::API::Response::Job,RN L&D Birth Center Nights,5697474763,,56241.24,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibVBEZU1uZzI4UkdvRmYxcG5NckREUSIsImkiOiI1Njk3NDc0NzYzIn0.MkHuuMidJ2vILaqKLNmQ-yeGwLZDQe1tFlwYGZgejVs,40.605726,https://www.adzuna.com/land/ad/5697474763?se=mPDeMng28RGoFf1pnMrDDQ&utm_medium=api&utm_source=abfa41a4&v=8A2FB9BE02A2D5537D78FC2849E85BED5BBF3424,2026-04-12T09:49:30Z,"Description Location: UCHealth UCHlth Poudre Valley Hospital, US:CO:Fort Collins Department: PVH Birthing Center Work Schedule: PRN, 0.00 hours per pay period (2 weeks) Shift: Nights Pay: $35.29 - $54.71 / hour. Pay is dependent on applicant's relevant experience This position is an onsite role and does not offer a hybrid or remote option Minimum Requirements: Graduate of an accredited or state board of nursing approved Registered/Professional Nursing program if less than 3 years' experience. S…",1,56241.24,Adzuna::API::Response::Company,UCHealth,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Fort Collins, Larimer County","['US', 'Colorado', 'Larimer County', 'Fort Collins']",Adzuna::API::Response::Location,
-106.562872,Adzuna::API::Response::Job,Physical Therapist - Outpatient - Healthplex,5697474762,full_time,103037.14,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NzQ3NDc2MiIsInMiOiJtUERlTW5nMjhSR29GZjFwbk1yRERRIn0.ZzcsCj2SPtGj9aeKrikfXc_gzCJipYJNUr7e1Z5EUeg,35.15402,https://www.adzuna.com/land/ad/5697474762?se=mPDeMng28RGoFf1pnMrDDQ&utm_medium=api&utm_source=abfa41a4&v=12FE48B0720C7B0B245F79DA8B21EBB0534C1F95,2026-04-12T09:49:23Z,"Location Address: 6301 Forest Hills Dr NE Albuquerque, NM 87109-4137 Compensation Pay Range: Minimum Offer $0.00 Maximum Offer $0.00 Summary: Transform patient outcomes with your expertise—build your career at Presbyterian Healthplex with this part time role. How you grow, learn and thrive matters here. • Educational and career development options, including tuition and certification reimbursement, scholarship opportunities • Staff Safety (a wearable badge that allows nurses to quickly and disc…",1,103037.14,Adzuna::API::Response::Company,Presbyterian Healthcare Services,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Alameda, Bernalillo County","['US', 'New Mexico', 'Bernalillo County', 'Alameda']",Adzuna::API::Response::Location,
-94.364793,Adzuna::API::Response::Job,Radiologic Technologist - Nights,5697474761,,65365.1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibVBEZU1uZzI4UkdvRmYxcG5NckREUSIsImkiOiI1Njk3NDc0NzYxIn0.ugKZU8qhSrzrDoBUbMdSCucn04WUJMfxNuLMJbPFORY,35.359799,https://www.adzuna.com/land/ad/5697474761?se=mPDeMng28RGoFf1pnMrDDQ&utm_medium=api&utm_source=abfa41a4&v=0D4488A8C04D5271B1C94E49752E2ECF5E673EEA,2026-04-12T09:49:22Z,"Find your calling at Mercy! The Advanced Radiologic Technologist performs diagnostic imaging procedures to support patient diagnosis and treatment. This role requires proficiency in operating imaging equipment, ensuring patient safety, upholding high-quality imaging standards, and maintaining accurate records and documentation of procedures and findings. Effective communication with patients and healthcare professionals is essential for providing optimal care. Position Details: Education: Gradu…",1,65365.1,Adzuna::API::Response::Company,Mercy,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Fort Smith, Sebastian County","['US', 'Arkansas', 'Sebastian County', 'Fort Smith']",Adzuna::API::Response::Location,
-92.53,Adzuna::API::Response::Job,St. Mary's Hospital - Jefferson City Opportunities!,5697474759,full_time,34850.91,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NzQ3NDc1OSIsInMiOiJtUERlTW5nMjhSR29GZjFwbk1yRERRIn0.EDvkH77Z6dA-4ofUh-ix8TpeTl-wmGVpOlwqhvRoVPg,38.4,https://www.adzuna.com/land/ad/5697474759?se=mPDeMng28RGoFf1pnMrDDQ&utm_medium=api&utm_source=abfa41a4&v=577890A28C1D8E80606DBF0A4852385B1E59D5CB,2026-04-12T09:49:15Z,"It's more than a career, it's a calling. MO-SSM Health St. Mary's Hospital - Jefferson City Worker Type: Regular Job Summary: Come join our team Job Responsibilities and Requirements: St. Mary’s Hospital in Jefferson City is hiring! We’re looking for dedicated professionals to join our care teams in: Operating Room (OR) Respiratory Therapy (RRT) Imaging Registered Nurses (RNs) Behavioral Health If you’re passionate about patient care and ready for your next opportunity, we’d love to connect! Wo…",1,34850.91,Adzuna::API::Response::Company,SSM,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Olean, Miller County","['US', 'Missouri', 'Miller County', 'Olean']",Adzuna::API::Response::Location,
-92.292675,Adzuna::API::Response::Job,St. Mary's Hospital - Jefferson City Opportunities!,5697474760,full_time,34965.4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NzQ3NDc2MCIsInMiOiJtUERlTW5nMjhSR29GZjFwbk1yRERRIn0.lqa_-k7gjk4UMTB7Wu7h-J_pZgvLFcWZMGqHEM2tcrw,38.090315,https://www.adzuna.com/land/ad/5697474760?se=mPDeMng28RGoFf1pnMrDDQ&utm_medium=api&utm_source=abfa41a4&v=175BC95264000A9A25EA00F0992A8D0F9659B70B,2026-04-12T09:49:15Z,"It's more than a career, it's a calling. MO-SSM Health St. Mary's Hospital - Jefferson City Worker Type: Regular Job Summary: Come join our team Job Responsibilities and Requirements: St. Mary’s Hospital in Jefferson City is hiring! We’re looking for dedicated professionals to join our care teams in: Operating Room (OR) Respiratory Therapy (RRT) Imaging Registered Nurses (RNs) Behavioral Health If you’re passionate about patient care and ready for your next opportunity, we’d love to connect! Wo…",1,34965.4,Adzuna::API::Response::Company,SSM,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Iberia, Miller County","['US', 'Missouri', 'Miller County', 'Iberia']",Adzuna::API::Response::Location,
-91.922671,Adzuna::API::Response::Job,St. Mary's Hospital - Jefferson City Opportunities!,5697474757,full_time,35252.38,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NzQ3NDc1NyIsInMiOiJtUERlTW5nMjhSR29GZjFwbk1yRERRIn0.gKW4YwnFNk9cwLiRqdYi_0dRJCC3_2PmNa6ja3iILR8,38.315042,https://www.adzuna.com/land/ad/5697474757?se=mPDeMng28RGoFf1pnMrDDQ&utm_medium=api&utm_source=abfa41a4&v=57DEF4BD7A3029A0B10421E33123F99B085B7511,2026-04-12T09:49:14Z,"It's more than a career, it's a calling. MO-SSM Health St. Mary's Hospital - Jefferson City Worker Type: Regular Job Summary: Come join our team Job Responsibilities and Requirements: St. Mary’s Hospital in Jefferson City is hiring! We’re looking for dedicated professionals to join our care teams in: Operating Room (OR) Respiratory Therapy (RRT) Imaging Registered Nurses (RNs) Behavioral Health If you’re passionate about patient care and ready for your next opportunity, we’d love to connect! Wo…",1,35252.38,Adzuna::API::Response::Company,SSM,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"Freeburg, Osage County","['US', 'Missouri', 'Osage County', 'Freeburg']",Adzuna::API::Response::Location,
