salary_min,created,redirect_url,salary_max,adref,contract_type,id,description,__CLASS__,salary_is_predicted,longitude,latitude,title,category.__CLASS__,category.tag,category.label,location.display_name,location.__CLASS__,location.area,company.display_name,company.__CLASS__,contract_time
0.0,2026-04-13T10:48:35Z,https://www.adzuna.com/details/5698191014?utm_medium=api&utm_source=abfa41a4,90000.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV3RKWXNrZzM4Ukd3Q3VGX1RGWGlnQSIsImkiOiI1Njk4MTkxMDE0In0.BNfdyowBpiNyCJmMZQ1JK6aBR6JhcIdziHleTuxvUxM,contract,5698191014,"Sysco is Now Hiring Local CDL-A Delivery Drivers in Olathe, KS! Earn Up to $90,000 per Year Including Base and Incentives Home Daily - Comprehensive Benefits We offer our colleagues the opportunity to grow personally and professionally, to contribute to the success of a dynamic organization, and to serve others in a manner that exceeds their expectations. We’re looking for talented, hard-working individuals to join our team. Come grow with us and let us show you why Sysco is at the heart of foo…",Adzuna::API::Response::Job,0,-94.71264,38.86182,CDL-A Truck Drivers - Home Daily - Earn Up to $90k/Year  Benefits,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,"Stanley, Johnson County",Adzuna::API::Response::Location,"['US', 'Kansas', 'Johnson County', 'Stanley']",Sysco,Adzuna::API::Response::Company,
97344.5,2026-04-13T10:48:34Z,https://www.adzuna.com/details/5698191011?utm_medium=api&utm_source=abfa41a4,97344.5,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV3RKWXNrZzM4Ukd3Q3VGX1RGWGlnQSIsImkiOiI1Njk4MTkxMDExIn0.A2l9bseJycdM7sXFUo58rhtE4pMSAItkLc6YjVuG3lA,,5698191011,"JOB SUMMARY This is an Operations position responsible for directing the activities associated with Delivery. Responsibilities include but are not limited to, strategic overview and implementation of projects, expense and revenue management, compliance with government regulations, management and direction to delivery staff and safety and security of the delivery department. RESPONSIBILITIES Direct the daily work and safety of Delivery supervisors, routing personnel and other associates. Ensure …",Adzuna::API::Response::Job,1,-93.260338,44.678752,Transportation Director,Adzuna::API::Response::Category,other-general-jobs,Other/General Jobs,"Antlers Park, Dakota County",Adzuna::API::Response::Location,"['US', 'Minnesota', 'Dakota County', 'Antlers Park']",Sysco,Adzuna::API::Response::Company,
49938.2,2026-04-13T10:48:34Z,https://www.adzuna.com/details/5698191012?utm_medium=api&utm_source=abfa41a4,49938.2,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5ODE5MTAxMiIsInMiOiJXdEpZc2tnMzhSR3dDdUZfVEZYaWdBIn0.6dOxOwdJD-fZ8EgRf1WPosB07uwrwE7c5JXMts3575g,,5698191012,"JOB SUMMARY Sysco has immediate job openings for dependable Class C Special Delivery Truck Drivers to safely and efficiently operate a truck, and manually unload/deliver various products (meats, produce, frozen foods, groceries, dry goods, supplies, etc.) to customer locations on an assigned route schedule. Our drivers build relationships with each customer and become familiar with their operations to meet needs and expectations by having a positive, friendly attitude. While this position does …",Adzuna::API::Response::Job,1,-78.779506,38.815378,Special Local Delivery Truck Driver,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,"Lost City, Hardy County",Adzuna::API::Response::Location,"['US', 'West Virginia', 'Hardy County', 'Lost City']",Sysco,Adzuna::API::Response::Company,
0.0,2026-04-13T10:48:33Z,https://www.adzuna.com/details/5698191009?utm_medium=api&utm_source=abfa41a4,90000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5ODE5MTAwOSIsInMiOiJXdEpZc2tnMzhSR3dDdUZfVEZYaWdBIn0.tms431QTzZKl7aXMFzGuA8EzWlQcIS84mJbUy1o8Tb0,contract,5698191009,"Sysco is Now Hiring Local CDL-A Delivery Drivers in Olathe, KS! Earn Up to $90,000 per Year Including Base and Incentives Home Daily - Comprehensive Benefits We offer our colleagues the opportunity to grow personally and professionally, to contribute to the success of a dynamic organization, and to serve others in a manner that exceeds their expectations. We’re looking for talented, hard-working individuals to join our team. Come grow with us and let us show you why Sysco is at the heart of foo…",Adzuna::API::Response::Job,0,-94.67832,38.9247,CDL-A Truck Drivers - Home Daily - Earn Up to $90k/Year  Benefits,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,"Quivira, Johnson County",Adzuna::API::Response::Location,"['US', 'Kansas', 'Johnson County', 'Quivira']",Sysco,Adzuna::API::Response::Company,
27107.72,2026-04-13T10:48:33Z,https://www.adzuna.com/land/ad/5698191008?se=WtJYskg38RGwCuF_TFXigA&utm_medium=api&utm_source=abfa41a4&v=619E7B3B8226D32D53EC105ADFFF54543C900AE6,27107.72,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5ODE5MTAwOCIsInMiOiJXdEpZc2tnMzhSR3dDdUZfVEZYaWdBIn0.axnBEZ6Tm9XS_IVW3ZGZSvHcJyhnwUFV78FUqOEj9n0,,5698191008,"Owner Operator | Dry Van Location: Mountain Home, ID Company: CRST, The Transportation Solution Pay: Competitive weekly pay (inquire for details) Route Type: otr Start Date: ASAP About the Position AllTruckJobs is working with CRST, The Transportation Solution to find a qualified OTR Owner Operator in Mountain Home, Idaho! CRST Specialized Solutions is looking for independent contractor teams (Owner Operators) to haul specialty freight across the country. As a Specialized contractor, you choose…",Adzuna::API::Response::Job,1,-115.71378,43.16976,"CDL-A Dry Van Owner Operator in Mountain Home, ID",Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,"Anderson Dam, Elmore County",Adzuna::API::Response::Location,"['US', 'Idaho', 'Elmore County', 'Anderson Dam']",AllTruckJobs,Adzuna::API::Response::Company,
52100.33,2026-04-13T10:48:32Z,https://www.adzuna.com/details/5698191005?utm_medium=api&utm_source=abfa41a4,52100.33,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV3RKWXNrZzM4Ukd3Q3VGX1RGWGlnQSIsImkiOiI1Njk4MTkxMDA1In0.8aemEmOc76AG_oteV7_O3b6XoW-49x7YeQa9GhQ56Mk,,5698191005,"JOB SUMMARY Sysco has immediate job openings for dependable Class C Special Delivery Truck Drivers to safely and efficiently operate a truck, and manually unload/deliver various products (meats, produce, frozen foods, groceries, dry goods, supplies, etc.) to customer locations on an assigned route schedule. Our drivers build relationships with each customer and become familiar with their operations to meet needs and expectations by having a positive, friendly attitude. While this position does …",Adzuna::API::Response::Job,1,-78.949224,37.995242,Special Local Delivery Truck Driver,Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,"Lyndhurst, Augusta County",Adzuna::API::Response::Location,"['US', 'Virginia', 'Augusta County', 'Lyndhurst']",Sysco,Adzuna::API::Response::Company,
50198.96,2026-04-13T10:48:32Z,https://www.adzuna.com/details/5698191006?utm_medium=api&utm_source=abfa41a4,50198.96,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5ODE5MTAwNiIsInMiOiJXdEpZc2tnMzhSR3dDdUZfVEZYaWdBIn0.AvqFJ9W2414drJFXiRVApM3-KrLnDI4v46mGngmIOlg,contract,5698191006,"Job Summary: Sysco has immediate job openings for dependable local CDL A Delivery Truck Driver to safely and efficiently operate a tractor-trailer and manually unload/deliver various products (meats, produce, frozen foods, groceries, dry goods, supplies, etc.) to customer locations on an assigned route schedule. Our truck drivers build relationships with each customer using their positive, friendly attitude and become familiar with their operations to meet needs and expectations. QUALIFICATIONS…",Adzuna::API::Response::Job,1,-93.500763,44.776519,"CDL A Local Delivery Truck Driver-Make up to $110,000 Yearly  Incentives",Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,"Shakopee, Scott County",Adzuna::API::Response::Location,"['US', 'Minnesota', 'Scott County', 'Shakopee']",Sysco,Adzuna::API::Response::Company,
68598.0,2026-04-13T10:48:32Z,https://www.adzuna.com/details/5698191007?utm_medium=api&utm_source=abfa41a4,103001.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5ODE5MTAwNyIsInMiOiJXdEpZc2tnMzhSR3dDdUZfVEZYaWdBIn0.Zl9He__F1mxV3Z_rhniz6vPT09CRNPVwx0PwE3-VFio,,5698191007,"Sysco is Now Hiring Material Handling Equipment Technicians Lvl. III! Earn $32.98 - $49.52 per Hour* - $600 Annual Boot & Tool Allowance Outstanding Benefits Sysco offers our colleagues the opportunity to grow personally and professionally, to contribute to the success of a dynamic organization, and to serve others in a manner that exceeds their expectations. We’re looking for talented, hard-working individuals to join our team. Come grow with us and let us show you why Sysco is at the heart of…",Adzuna::API::Response::Job,0,-122.172403,37.738816,Material Handling Equipment Techs - Earn $32.98-$49.52/Hour  Benefits,Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,"San Leandro, Alameda County",Adzuna::API::Response::Location,"['US', 'California', 'Alameda County', 'San Leandro']",Sysco,Adzuna::API::Response::Company,full_time
53579.24,2026-04-13T10:48:32Z,https://www.adzuna.com/details/5698191003?utm_medium=api&utm_source=abfa41a4,53579.24,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5ODE5MTAwMyIsInMiOiJXdEpZc2tnMzhSR3dDdUZfVEZYaWdBIn0.kp3M_zDQ6FLJ0B99xcyDp2h6bRGotmJBG-phgmdnl5k,contract,5698191003,"Job Summary: Sysco has immediate job openings for dependable local CDL A Delivery Truck Driver to safely and efficiently operate a tractor-trailer and manually unload/deliver various products (meats, produce, frozen foods, groceries, dry goods, supplies, etc.) to customer locations on an assigned route schedule. Our truck drivers build relationships with each customer using their positive, friendly attitude and become familiar with their operations to meet needs and expectations. QUALIFICATIONS…",Adzuna::API::Response::Job,1,-93.358349,44.751632,"CDL A Local Delivery Truck Driver-Make up to $110,000 Yearly  Incentives",Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs,"Savage, Scott County",Adzuna::API::Response::Location,"['US', 'Minnesota', 'Scott County', 'Savage']",Sysco,Adzuna::API::Response::Company,
88907.89,2026-04-13T10:48:32Z,https://www.adzuna.com/details/5698191002?utm_medium=api&utm_source=abfa41a4,88907.89,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5ODE5MTAwMiIsInMiOiJXdEpZc2tnMzhSR3dDdUZfVEZYaWdBIn0.24oQ52d7QDl4h-edphhjD4zcDgCKYFAnkbE565EaWPE,,5698191002,"JOB SUMMARY This is an Operations position responsible for directing the activities associated with Delivery. Responsibilities include but are not limited to, strategic overview and implementation of projects, expense and revenue management, compliance with government regulations, management and direction to delivery staff and safety and security of the delivery department. RESPONSIBILITIES Direct the daily work and safety of Delivery supervisors, routing personnel and other associates. Ensure …",Adzuna::API::Response::Job,1,-93.500763,44.776519,Transportation Director,Adzuna::API::Response::Category,other-general-jobs,Other/General Jobs,"Shakopee, Scott County",Adzuna::API::Response::Location,"['US', 'Minnesota', 'Scott County', 'Shakopee']",Sysco,Adzuna::API::Response::Company,
