salary_min,title,salary_max,adref,id,created,longitude,description,latitude,salary_is_predicted,__CLASS__,redirect_url,company.__CLASS__,company.display_name,location.__CLASS__,location.area,location.display_name,category.__CLASS__,category.tag,category.label,contract_time,contract_type
53643.1,Sales Business Development Representative,53643.1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5OTA3ODk2NCIsInMiOiJBbXZFNWhFNDhSR280ZllFcl9uTm9BIn0.eQiwlPyYV1EZ7aMPSdC4dBvZ5-4VRL6Df-Z-pzM5RsU,5699078964,2026-04-14T10:48:18Z,-87.886264,"Launch Your Sales Career with Quill! Ready to take your first big step in business? Join Quill’s Sales Team and build a career where your ambition meets opportunity. As an Inside Sales Associate, you’ll connect with businesses and schools across the country, helping them find smarter, more efficient ways to get the supplies and solutions they need. You’ll drive growth by reaching out to new prospects, reactivating past customers, and strengthening relationships with existing ones—all while lear…",42.53005,1,Adzuna::API::Response::Job,https://www.adzuna.com/details/5699078964?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Company,"Staples, Inc.",Adzuna::API::Response::Location,"['US', 'Wisconsin', 'Kenosha County', 'Pleasant Prairie']","Pleasant Prairie, Kenosha County",Adzuna::API::Response::Category,sales-jobs,Sales Jobs,,
41496.08,"Flexible $: Earn At Least $2715 For Your First 170 Trips, Guaranteed.",41496.08,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5OTA3ODk1NiIsInMiOiJBbXZFNWhFNDhSR280ZllFcl9uTm9BIn0.kjeCFo0SdPq0CD0Gcz7b0U06k3A3M380aZkSUWMUA2k,5699078956,2026-04-14T10:48:02Z,-80.365169,"Earn at least $2715 driving with Uber when you complete your first 170 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 170 trips with Ub…",40.933403,1,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5699078956?se=AmvE5hE48RGo4fYEr_nNoA&utm_medium=api&utm_source=abfa41a4&v=07F0C85DC6D316861542593B177F53EB8FA93903,Adzuna::API::Response::Company,Uber,Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Lawrence County', 'Wampum']","Wampum, Lawrence County",Adzuna::API::Response::Category,travel-jobs,Travel Jobs,part_time,
40695.37,Driver,40695.37,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQW12RTVoRTQ4UkdvNGZZRXJfbk5vQSIsImkiOiI1Njk5MDc4OTU1In0.uID9SmbehY0wLPYrRfVnM33-ViN2n3ys0BZLdsS8E4E,5699078955,2026-04-14T10:48:00Z,-79.197527,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",40.78702,1,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5699078955?se=AmvE5hE48RGo4fYEr_nNoA&utm_medium=api&utm_source=abfa41a4&v=D0F39ED06A13AD809FE0B6E015F98FEF3E99C073,Adzuna::API::Response::Company,Uber,Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Indiana County', 'Plumville']","Plumville, Indiana County",Adzuna::API::Response::Category,travel-jobs,Travel Jobs,part_time,
35940.85,Earn on Your Schedule - Drive with Uber,35940.85,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQW12RTVoRTQ4UkdvNGZZRXJfbk5vQSIsImkiOiI1Njk5MDc4OTUyIn0.S5qYcczejZF1vZ6dM584f56Iy4gQPbnOpO7Xc3goc2M,5699078952,2026-04-14T10:47:58Z,-79.995853,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",39.946283,1,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5699078952?se=AmvE5hE48RGo4fYEr_nNoA&utm_medium=api&utm_source=abfa41a4&v=542A8A15BE3DD3F722375880EF9926ACF522276C,Adzuna::API::Response::Company,Uber,Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Greene County', 'Rices Landing']","Rices Landing, Greene County",Adzuna::API::Response::Category,travel-jobs,Travel Jobs,part_time,
37621.6,Flexible Gig - Drive with Uber,37621.6,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5OTA3ODk1MSIsInMiOiJBbXZFNWhFNDhSR280ZllFcl9uTm9BIn0.FmK7ni8ub1F1wkY1P5xIqE77TT8V73pyOa3QHa96Lvo,5699078951,2026-04-14T10:47:54Z,-79.198656,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",40.468675,1,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5699078951?se=AmvE5hE48RGo4fYEr_nNoA&utm_medium=api&utm_source=abfa41a4&v=BF3D71AC87107FB64AFC6D7EF51BEC339F3F374B,Adzuna::API::Response::Company,Uber,Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Indiana County', 'Black Lick Township']","Black Lick Township, Indiana County",Adzuna::API::Response::Category,travel-jobs,Travel Jobs,part_time,
40613.29,Driver,40613.29,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5OTA3ODk1MCIsInMiOiJBbXZFNWhFNDhSR280ZllFcl9uTm9BIn0.DVCAkDekOeCV3Wtx4uGyJavg-QJX-rx-VGnOmiy-ERY,5699078950,2026-04-14T10:47:54Z,-79.96914,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",40.42674,1,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5699078950?se=AmvE5hE48RGo4fYEr_nNoA&utm_medium=api&utm_source=abfa41a4&v=198C96C1D6BBFD458F8DA62EAF7D55FA6745BFC4,Adzuna::API::Response::Company,Uber,Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Allegheny County', 'Carson']","Carson, Allegheny County",Adzuna::API::Response::Category,travel-jobs,Travel Jobs,part_time,
38625.04,Earn on Your Schedule - Drive with Uber,38625.04,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQW12RTVoRTQ4UkdvNGZZRXJfbk5vQSIsImkiOiI1Njk5MDc4OTQ5In0.VNnrtZIjOj6a-mULRRRZNCQKxJEOO7-jnEuf9llvj04,5699078949,2026-04-14T10:47:49Z,-79.915553,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",40.852194,1,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5699078949?se=AmvE5hE48RGo4fYEr_nNoA&utm_medium=api&utm_source=abfa41a4&v=7E931B8BD80EDA607E6A422713D96F6B7F0C5768,Adzuna::API::Response::Company,Uber,Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Butler County', 'Butler']","Butler, Butler County",Adzuna::API::Response::Category,travel-jobs,Travel Jobs,part_time,
74733.48,"Travel Interventional Radiology (IR) in Arlington, TX",74733.48,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5OTA3ODkzMyIsInMiOiJBbXZFNWhFNDhSR280ZllFcl9uTm9BIn0.jjoXbpGy8Y_OvDOXlUSPOFJGxuHJ3u_iQ7w-gvjdhnE,5699078933,2026-04-14T10:47:26Z,-97.113058,"Interventional Radiology Location: Arlington, TX Agency: Health Advocates Network Pay: Competitive weekly pay (inquire for details) Shift Information: Days - 4 days x 10 hours Start Date: ASAP About the Position AlliedTravelCareers is working with Health Advocates Network to find a qualified Interventional Radiology in Arlington, Texas, 76015! Benefits We Offer: Comprehensive health, prescription, dental, vision, life, and disability plans Competitive pay rates Referral opportunities ? Refer a …",32.729738,1,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5699078933?se=AmvE5hE48RGo4fYEr_nNoA&utm_medium=api&utm_source=abfa41a4&v=610CC7CDD49D8A41896B1F4638A3C04B6489B0A2,Adzuna::API::Response::Company,AlliedTravelCareers,Adzuna::API::Response::Location,"['US', 'Texas', 'Tarrant County', 'Dalworthington Gardens']","Dalworthington Gardens, Tarrant County",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,,
128596.0,"Travel Cath Lab Tech - $2,473 to $2,842 per week in Los Angeles, CA",147784.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQW12RTVoRTQ4UkdvNGZZRXJfbk5vQSIsImkiOiI1Njk5MDc4OTA4In0.O_LH4PW3llSFvk99s36M91qcQvYYtlRYn_StxOladVw,5699078908,2026-04-14T10:47:25Z,-118.15266,"Cath Lab Tech Location: Los Angeles, CA Agency: Fusion Medical Staffing Pay: $2,473 to $2,842 per week Shift Information: 5 days x 8 hours Contract Duration: 13 Weeks Start Date: ASAP About the Position AlliedTravelCareers is working with Fusion Medical Staffing to find a qualified Cath Lab Tech in Los Angeles, California, 90033! Travel Cath Lab Tech Company: Fusion Medical Staffing Location: Facility in Los Angeles, California Job Details Fusion Medical Staffing is seeking a skilled Cath Lab T…",33.99072,0,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5699078908?se=AmvE5hE48RGo4fYEr_nNoA&utm_medium=api&utm_source=abfa41a4&v=2CC3E528351D2BD4EEDA613BD58FAA4F136E6EB5,Adzuna::API::Response::Company,AlliedTravelCareers,Adzuna::API::Response::Location,"['US', 'California', 'Los Angeles County', 'Bell Gardens']","Bell Gardens, Los Angeles County",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,,
104624.0,"Travel CT Tech - $2,012 to $2,212 per week in Lexington, KY",115024.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5OTA3ODkwOSIsInMiOiJBbXZFNWhFNDhSR280ZllFcl9uTm9BIn0.D6zVuTKpuMQrDcqbTHj0jgJtAdUD1cAOGqk4JGsH5DY,5699078909,2026-04-14T10:47:25Z,-84.49396,"CT Tech Location: Lexington, KY Agency: Titan Medical Group Pay: $2,012 to $2,212 per week Shift Information: Nights - 3 days x 12 hours Contract Duration: 13 Weeks Start Date: 5/4/2026 About the Position AlliedTravelCareers is working with Titan Medical Group to find a qualified CT Tech in Lexington, Kentucky, 40502! Travel CT Technologist Weekly Gross Pay: $2012 - $2212 Location: Lexington, KY, United States Start date: 05-04-2026 Assignment length: 13 Weeks weeks Minimum years of experience:…",38.046559,0,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5699078909?se=AmvE5hE48RGo4fYEr_nNoA&utm_medium=api&utm_source=abfa41a4&v=276E758D5309919761A674E7FD11D52BFD4B3245,Adzuna::API::Response::Company,AlliedTravelCareers,Adzuna::API::Response::Location,"['US', 'Kentucky', 'Fayette County', 'Lexington']","Lexington, Fayette County",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,,
