adref,longitude,salary_is_predicted,salary_min,redirect_url,created,description,contract_time,latitude,title,__CLASS__,salary_max,id,company.display_name,company.__CLASS__,location.__CLASS__,location.area,location.display_name,category.tag,category.label,category.__CLASS__,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUURLQWFLVTU4Ukcwa0xzQlRfSUFVQSIsImkiOiI1NzAxNTEzMzIxIn0.KqQ5-LFJvHjxzQhqra2eqRmhVQCcT-UQRfnRgvm2Oak,-94.382172,1,80215.95,https://www.adzuna.com/land/ad/5701513321?se=QDKAaKU58RG0kLsBT_IAUA&utm_medium=api&utm_source=abfa41a4&v=127BB53D1223AA4DF51E377A69FBE8A423C9424B,2026-04-16T10:51:04Z,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. - Multiple ways to earn:Whether you’re delivering meals, groceries, …",full_time,38.910841,Delivery Driver - Sign Up and Start Earning,Adzuna::API::Response::Job,80215.95,5701513321,DoorDash,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Missouri', 'Jackson County', 'Lees Summit']","Lees Summit, Jackson County",retail-jobs,Retail Jobs,Adzuna::API::Response::Category,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMTUxMzMwNiIsInMiOiJRREtBYUtVNThSRzBrTHNCVF9JQVVBIn0.zHoe1NfkqD5NY10Al5R1Whg__sov9jdOj6hUmzq4bsc,-87.336393,1,61647.98,https://www.adzuna.com/land/ad/5701513306?se=QDKAaKU58RG0kLsBT_IAUA&utm_medium=api&utm_source=abfa41a4&v=6E8D1D28E48BEA1324DF7DE1F69B30DCC77A27CF,2026-04-16T10:51:03Z,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. - Multiple ways to earn:Whether you’re delivering meals, groceries, …",full_time,41.605351,Delivery Driver - Earn Extra Cash,Adzuna::API::Response::Job,61647.98,5701513306,DoorDash,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Indiana', 'Lake County', 'Gary']","Gary, Lake County",retail-jobs,Retail Jobs,Adzuna::API::Response::Category,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMTUxMzMxMCIsInMiOiJRREtBYUtVNThSRzBrTHNCVF9JQVVBIn0.8cjBSpDBHAVpP4ZQGN_XgnVcn3Eohe8OuHld1yJWTGk,-77.153593,1,69401.39,https://www.adzuna.com/land/ad/5701513310?se=QDKAaKU58RG0kLsBT_IAUA&utm_medium=api&utm_source=abfa41a4&v=6D0FD873A8567A6395CD7C638585D78F2354F328,2026-04-16T10:51:03Z,"No CDL needed / No commercial drivers license Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. - Multiple ways to ear…",full_time,37.709356,Drive with Doordash - No CDL license needed,Adzuna::API::Response::Job,69401.39,5701513310,DoorDash,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Virginia', 'King William County', 'Manquin']","Manquin, King William County",travel-jobs,Travel Jobs,Adzuna::API::Response::Category,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUURLQWFLVTU4Ukcwa0xzQlRfSUFVQSIsImkiOiI1NzAxNTEzMzExIn0.Yc6yPR7VbIFQ7HUzIrtNa8VS7RIAiHI5bjfxnjPCEMI,-94.599852,1,60085.67,https://www.adzuna.com/land/ad/5701513311?se=QDKAaKU58RG0kLsBT_IAUA&utm_medium=api&utm_source=abfa41a4&v=1A329881CABB6F302E867CA85346440492E1E985,2026-04-16T10:51:03Z,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. - Multiple ways to earn:Whether you’re delivering meals, groceries, …",full_time,39.104173,Delivery Driver - Earn Extra Cash,Adzuna::API::Response::Job,60085.67,5701513311,DoorDash,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Missouri', 'Jackson County', 'Kansas City']","Kansas City, Jackson County",retail-jobs,Retail Jobs,Adzuna::API::Response::Category,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUURLQWFLVTU4Ukcwa0xzQlRfSUFVQSIsImkiOiI1NzAxNTEzMzE0In0.Seg3x67EouPEuzPLzS69hurDKroiW0XgEj7WCtKExR0,-87.603826,1,61363.68,https://www.adzuna.com/land/ad/5701513314?se=QDKAaKU58RG0kLsBT_IAUA&utm_medium=api&utm_source=abfa41a4&v=42F7CFDAD01834DF09BE8D455405D3B38F3CE0B2,2026-04-16T10:51:03Z,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. - Multiple ways to earn:Whether you’re delivering meals, groceries, …",full_time,41.661064,Restaurant Delivery,Adzuna::API::Response::Job,61363.68,5701513314,DoorDash,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Illinois', 'Cook County', 'Chicago', 'Riverdale']","Riverdale, Chicago",retail-jobs,Retail Jobs,Adzuna::API::Response::Category,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUURLQWFLVTU4Ukcwa0xzQlRfSUFVQSIsImkiOiI1NzAxNTEzMzAxIn0.tfWWGwWirmwlR8UbifDIO3cEDZDk2XM74bJ_JWZBH9s,-76.749691,1,49400.19,https://www.adzuna.com/land/ad/5701513301?se=QDKAaKU58RG0kLsBT_IAUA&utm_medium=api&utm_source=abfa41a4&v=F6D2FDF14F3A18C13E1B6D8E984E73A3A4E8F44E,2026-04-16T10:51:02Z,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. - Multiple ways to earn:Whether you’re delivering meals, groceries, …",full_time,38.815947,Drive with DoorDash,Adzuna::API::Response::Job,49400.19,5701513301,DoorDash,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Maryland', ""Prince George's County"", 'Upper Marlboro']","Upper Marlboro, Prince George's County",retail-jobs,Retail Jobs,Adzuna::API::Response::Category,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMTUxMzI5MCIsInMiOiJRREtBYUtVNThSRzBrTHNCVF9JQVVBIn0.Mu3O78xilDjp14lhGEcFl0X-9GcLNlZ-FSOAF7QhzTM,-96.996093,1,41483.85,https://www.adzuna.com/land/ad/5701513290?se=QDKAaKU58RG0kLsBT_IAUA&utm_medium=api&utm_source=abfa41a4&v=43765FD6DC1CB919C10322311E6D152307265B87,2026-04-16T10:51:01Z,"Why Become a Shopper with DoorDash? Turn your shopping skills into extra income. Whether you’re helping someone stock up on groceries or delivering a last-minute convenience order, as a Shopper you unlock more earnings opportunities with DoorDash. Stay active during off-peak hours and no need to wait around for a restaurant preparing an order, becoming a Shopper with DoorDash puts you in control of your time and earnings. Either as a side hustle or a full-time gig, being a Shopper with DoorDash…",full_time,32.872152,Drive with DoorDash,Adzuna::API::Response::Job,41483.85,5701513290,DoorDash,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Texas', 'Dallas', 'Irving']","Irving, Dallas",retail-jobs,Retail Jobs,Adzuna::API::Response::Category,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMTUxMzI4OSIsInMiOiJRREtBYUtVNThSRzBrTHNCVF9JQVVBIn0.qDGdAIgqqmaC_tt-bK7dh4JYZoWN8wdkwKzotxm5piA,-122.72855,1,66717.97,https://www.adzuna.com/land/ad/5701513289?se=QDKAaKU58RG0kLsBT_IAUA&utm_medium=api&utm_source=abfa41a4&v=A27A65FC9B4549D82F4A88F3B1E717C0175DB8AD,2026-04-16T10:51:01Z,"Description The staff Physical Therapist Assistant works under the supervision of a registered physical therapist. The Physical Therapy Assistant is responsible for direct patient care, family /caregiver training, documentation, and team communication for all assigned patients. In addition, the Physical Therapy Assistant performs departmental supportive tasks as assigned. Providence caregivers are not simply valued – they’re invaluable. Join our team at Santa Rosa Memorial Hospital and thrive i…",,38.4596,Physical Therapy Assistant,Adzuna::API::Response::Job,66717.97,5701513289,Providence Health and Services,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'California', 'Sonoma County', 'Roseland']","Roseland, Sonoma County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMTUxMzI4NSIsInMiOiJRREtBYUtVNThSRzBrTHNCVF9JQVVBIn0.WOd21tKeHngeIVfFMp0vRwLlulqr0wxfcFLwHhX5gYg,-77.019023,1,78179.12,https://www.adzuna.com/land/ad/5701513285?se=QDKAaKU58RG0kLsBT_IAUA&utm_medium=api&utm_source=abfa41a4&v=5E3F1D8AFA53CF1BDE9C6247F6A3A7E9FB88CEDA,2026-04-16T10:51:00Z,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. - Multiple ways to earn:Whether you’re delivering meals, groceries, …",full_time,38.912068,Delivery Driver - Sign Up and Start Earning,Adzuna::API::Response::Job,78179.12,5701513285,DoorDash,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Washington, D.C.', 'Washington']","Washington, Washington, D.C.",retail-jobs,Retail Jobs,Adzuna::API::Response::Category,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMTUxMzI4NiIsInMiOiJRREtBYUtVNThSRzBrTHNCVF9JQVVBIn0.BvUZao9YOVdJg3mvdBuHEwAMvKdNzw12l2vfCz1tgNM,-112.07,1,53693.26,https://www.adzuna.com/land/ad/5701513286?se=QDKAaKU58RG0kLsBT_IAUA&utm_medium=api&utm_source=abfa41a4&v=E62794CEEE8E4C5FA70E5593C6BB5F513AF28BC2,2026-04-16T10:51:00Z,"Why Deliver with DoorDash? DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Whether you’re looking for a side hustle or a full-time gig, delivering with DoorDash gives you the opportunity to earn extra cash on your terms. - Multiple ways to earn:Whether you’re delivering meals, groceries, …",full_time,33.45,Delivery Driver - No Experience Needed,Adzuna::API::Response::Job,53693.26,5701513286,DoorDash,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Arizona', 'Maricopa County', 'Phoenix']","Phoenix, Maricopa County",retail-jobs,Retail Jobs,Adzuna::API::Response::Category,
