__CLASS__,redirect_url,id,title,latitude,description,created,longitude,adref,salary_max,salary_min,salary_is_predicted,location.display_name,location.area,location.__CLASS__,company.display_name,company.__CLASS__,category.tag,category.__CLASS__,category.label,contract_time,contract_type
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5704535718?se=tET5Xvg78RGmQpZZA3C9gQ&utm_medium=api&utm_source=abfa41a4&v=41A364004EFC8B21CFAAFD3B01794E0E489C4819,5704535718,"Travel Mother and Baby Registered Nurse - $2,561 per week",38.903862,"Supplemental Health Care is seeking a travel nurse RN Maternal - Newborn for a travel nursing job in Washington, District of Columbia. Job Description & Requirements Specialty: Maternal - Newborn Discipline: RN Start Date: ASAP Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Job Description: Supplemental Health Care is hiring experienced travel Mother And Baby RNs for contracts at a hospital in Washington, DC. With over 40 years as a nationally recognized st…",2026-04-19T09:58:12Z,-76.990882,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwNDUzNTcxOCIsInMiOiJ0RVQ1WHZnNzhSR21RcFpaQTNDOWdRIn0.YS8uwnlHWC_DflBs4cZEtpfOawVNWIhjimVY6PwdX4U,133172.0,0.0,0,"Mount Rainier, Prince George's County","['US', 'Maryland', ""Prince George's County"", 'Mount Rainier']",Adzuna::API::Response::Location,Supplemental Health Care,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5704535713?se=tET5Xvg78RGmQpZZA3C9gQ&utm_medium=api&utm_source=abfa41a4&v=188A30A054841C3AC1B0D47879C442E74F8E5036,5704535713,Outside Sales Representative,27.97753,"Job Description Job Description Earn $120K–$200K with Preset Appointments — W2 Role with Every Other Saturday Off! W2 Role • Every Other Saturday Off Sales Representative – Home Improvement Clearwater, FL | Tampa Bay Area Join a top-rated exterior home improvement company expanding its Clearwater team. Meet homeowners at scheduled appointments to provide roofing, siding, window, gutter, and exterior door solutions. Why This Role Stands Out • Up to 14% commission — among the highest in the indus…",2026-04-19T09:58:05Z,-82.827085,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwNDUzNTcxMyIsInMiOiJ0RVQ1WHZnNzhSR21RcFpaQTNDOWdRIn0.dLeGuOm3IWmZcLBd5SxlrmBwWgnGs9yjnvZHLM0wIGE,198304.77,198304.77,1,"Clearwater Beach, Pinellas County","['US', 'Florida', 'Pinellas County', 'Clearwater Beach']",Adzuna::API::Response::Location,Ridge Top Exteriors,Adzuna::API::Response::Company,sales-jobs,Adzuna::API::Response::Category,Sales Jobs,,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5704535669?se=tET5Xvg78RGmQpZZA3C9gQ&utm_medium=api&utm_source=abfa41a4&v=EB01ED7B4C778F1515BE912D08FEF21C99040AE4,5704535669,HVAC Mechanical Technician Level 1,33.261787,"Job Description Job Description Description: Concentric is the first national industrial power services organization delivering forklift and critical power and maintenance solutions that ensure uninterrupted, sustainable facility power. The company’s signature solutions, GuaranteedPOWER® and PerpetualPOWER® are industry firsts, improving reliability, sustainability, and safety to solve the power problem for facility leaders. Concentric helps data centers, distributors, manufacturers, utilities,…",2026-04-19T09:56:12Z,-88.095026,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidEVUNVh2Zzc4UkdtUXBaWkEzQzlnUSIsImkiOiI1NzA0NTM1NjY5In0.tpyPcApla79-u7joUymj5djtdcDuRSNafUoUPcl7Jks,90755.82,90755.82,1,"Carrollton, Pickens County","['US', 'Alabama', 'Pickens County', 'Carrollton']",Adzuna::API::Response::Location,Concentric LLC,Adzuna::API::Response::Company,engineering-jobs,Adzuna::API::Response::Category,Engineering Jobs,,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5704535627?se=tET5Xvg78RGmQpZZA3C9gQ&utm_medium=api&utm_source=abfa41a4&v=FAE2061D6C34FFB50F87DA4ECA4EB0B6179ECBEF,5704535627,Sales Professional - Outside Sales,36.842017,"Job Description Job Description Our associates celebrate lives. We celebrate our associates. The Sales Professional - Outside Sales is a self-starter expected to achieve their quota (pacesetter) target by selling pre-need arrangements and services. The Sales Professional - Outside Sales serves families in a professional, caring and timely manner. Follow-up and generation of referrals from client families are integral to success and to establish a strong service relationship with families. The S…",2026-04-19T09:55:36Z,-119.80195,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwNDUzNTYyNyIsInMiOiJ0RVQ1WHZnNzhSR21RcFpaQTNDOWdRIn0.IFcREVPv3Z8Sw_wIn6ESHNKQ5_rMS2OAyZGReSmXLDs,62273.92,62273.92,1,"Fresno, Fresno County","['US', 'California', 'Fresno County', 'Fresno']",Adzuna::API::Response::Location,Service Corporation International,Adzuna::API::Response::Company,sales-jobs,Adzuna::API::Response::Category,Sales Jobs,,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5704535626?se=tET5Xvg78RGmQpZZA3C9gQ&utm_medium=api&utm_source=abfa41a4&v=3CD5BA99C21E201A5F978F2922523117D4DBE16C,5704535626,RN,32.930579,"Job Description Summary Under general supervision, the RN - Charge Nurse manages the daily operational oversight to ensure effective delivery of patient care. This position interacts with members of the healthcare team to achieve desired results. The RN – Charge Nurse consistently models excellence in patient care and contributes to unit leadership. Entity Medical University Hospital Authority (MUHA) Worker Type Employee Worker Sub-Type​ Regular Cost Center CC000567 CHS - OR - Main (Main) Pay R…",2026-04-19T09:55:35Z,-80.003183,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwNDUzNTYyNiIsInMiOiJ0RVQ1WHZnNzhSR21RcFpaQTNDOWdRIn0.tc7a5rXiu2vZIZqTVmrVkn0lFnZbETKkBNg4SDz_WFI,23124.85,23124.85,1,"Charleston, Charleston County","['US', 'South Carolina', 'Charleston County', 'Charleston']",Adzuna::API::Response::Location,MUSC,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,part_time,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5704535603?se=tET5Xvg78RGmQpZZA3C9gQ&utm_medium=api&utm_source=abfa41a4&v=DB640AA20AE4B681AE0C58B95E7BFC024970911D,5704535603,CDL Driver I,46.859802,"Arrow Building Center, Lampert Lumber and Lyman Lumber Companies, divisions of US LBM provides a wide range of building materials to construction professionals, combining the advantages of our national scale with the excellent service levels, expertise, entrepreneurial culture and customer relationships of our local brands. As a people-first company, passionate about continuous improvement, US LBM is proud to provide our associates access to the resources, training and developmental opportuniti…",2026-04-19T09:55:04Z,-92.003503,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidEVUNVh2Zzc4UkdtUXBaWkEzQzlnUSIsImkiOiI1NzA0NTM1NjAzIn0.NN83Si_VukMsk2z6QBdLoezU-GsdU_af4Cva_Xp0ZoE,43827.93,43827.93,1,"Lakewood, Saint Louis County","['US', 'Minnesota', 'Saint Louis County', 'Lakewood']",Adzuna::API::Response::Location,Lampert Lumber,Adzuna::API::Response::Company,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,full_time,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5704535596?se=tET5Xvg78RGmQpZZA3C9gQ&utm_medium=api&utm_source=abfa41a4&v=08F7734303DE1D754B378B09677194073897ECAC,5704535596,CDL Driver I,46.762471,"Arrow Building Center, Lampert Lumber and Lyman Lumber Companies, divisions of US LBM provides a wide range of building materials to construction professionals, combining the advantages of our national scale with the excellent service levels, expertise, entrepreneurial culture and customer relationships of our local brands. As a people-first company, passionate about continuous improvement, US LBM is proud to provide our associates access to the resources, training and developmental opportuniti…",2026-04-19T09:54:39Z,-92.079296,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwNDUzNTU5NiIsInMiOiJ0RVQ1WHZnNzhSR21RcFpaQTNDOWdRIn0.wD9fnK8lYsriB0cqVJxuHCne3_ZZmsDCgNff1omT3mA,35897.41,35897.41,1,"Duluth, Saint Louis County","['US', 'Minnesota', 'Saint Louis County', 'Duluth']",Adzuna::API::Response::Location,Lampert Lumber,Adzuna::API::Response::Company,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,full_time,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5704535572?se=tET5Xvg78RGmQpZZA3C9gQ&utm_medium=api&utm_source=abfa41a4&v=03404B724DC7CF9E7E9D1DA57EC3F9C65B036A63,5704535572,CDL Driver,45.660803,"Arrow Building Center, Lampert Lumber and Lyman Lumber Companies, divisions of US LBM provides a wide range of building materials to construction professionals, combining the advantages of our national scale with the excellent service levels, expertise, entrepreneurial culture and customer relationships of our local brands. As a people-first company, passionate about continuous improvement, US LBM is proud to provide our associates access to the resources, training and developmental opportuniti…",2026-04-19T09:53:48Z,-93.188205,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidEVUNVh2Zzc4UkdtUXBaWkEzQzlnUSIsImkiOiI1NzA0NTM1NTcyIn0.ve9Q2tTrB4rb3WlTG_5lC3KUOMpl7upkRNFpxslfOA4,37678.98,37678.98,1,"Stanchfield, Isanti County","['US', 'Minnesota', 'Isanti County', 'Stanchfield']",Adzuna::API::Response::Location,Arrow Building Center,Adzuna::API::Response::Company,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,full_time,
Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5704535557?se=tET5Xvg78RGmQpZZA3C9gQ&utm_medium=api&utm_source=abfa41a4&v=AD564363CA76EAC077B508FB1FF15B3E1C0A7929,5704535557,Customer Service Delivery Advocate,42.832,"Job Description Job Description We're looking for Customer Advocates with at least 2 years of customer-facing experience to build an exciting career at Carvana - the fastest-growing used automotive retailer in U.S. history and one of the four fastest companies to make the Fortune 500! Whether it's delivering happiness to customers on the driveway or getting involved in the local community, our Customer Advocates are leading the charge in reintroducing happiness into the car-buying process. Read…",2026-04-19T09:53:19Z,-78.083,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidEVUNVh2Zzc4UkdtUXBaWkEzQzlnUSIsImkiOiI1NzA0NTM1NTU3In0.18eFcxQ8VUBvjYgk3JZLcKgIi87Cyu4itBnSWX_ur_I,35720.44,35720.44,1,"Wyoming, Wyoming County","['US', 'New York', 'Wyoming County', 'Wyoming']",Adzuna::API::Response::Location,Carvana,Adzuna::API::Response::Company,travel-jobs,Adzuna::API::Response::Category,Travel Jobs,,
Adzuna::API::Response::Job,https://www.adzuna.com/details/5704535504?utm_medium=api&utm_source=abfa41a4,5704535504,US_Manufacturing Specialist_CO,39.955624,"Job Title: Manufacturing Specialist Location: (Philadelphia, PA) Duration: Contract - 12 months Pay Range: $25/hr $34/hr (W2) Job ID: 372784 About BCforward BCforward is a leading global IT consulting and workforce solutions firm providing services and support to Fortune 500 and government clients. Founded in 1998, BCforward has grown with our customers needs into a full-service business solutions provider. With delivery centers and offices across North America and India, we take pride in build…",2026-04-19T09:52:30Z,-75.164753,eyJhbGciOiJIUzI1NiJ9.eyJzIjoidEVUNVh2Zzc4UkdtUXBaWkEzQzlnUSIsImkiOiI1NzA0NTM1NTA0In0.Ppv5h-QGem7_njXFdbO5a6z_fKdTfYphzAVu-7U58ec,70435.84,70435.84,1,"Philadelphia, Philadelphia County","['US', 'Pennsylvania', 'Philadelphia County', 'Philadelphia']",Adzuna::API::Response::Location,BC Forward,Adzuna::API::Response::Company,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,,
