__CLASS__,adref,redirect_url,latitude,longitude,contract_type,id,created,title,contract_time,salary_min,salary_max,description,salary_is_predicted,category.tag,category.__CLASS__,category.label,location.__CLASS__,location.display_name,location.area,company.__CLASS__,company.display_name
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMU1Dc0Jzazg4UkctR3I5OU5tV2NiQSIsImkiOiI1NzA1Mjk0MjAwIn0.MEsek3heyT3NeJjVykPH7E2S4IzkIsC2pfjYIYbdARU,https://www.adzuna.com/land/ad/5705294200?se=1MCsBsk88RG-Gr99NmWcbA&utm_medium=api&utm_source=abfa41a4&v=5C1AA9455BBC431593DFFCE3FA99FCCB6A271690,42.429256,-92.313378,contract,5705294200,2026-04-20T10:51:40Z,"Travel Nurse RN - Intensive Care Unit (ICU) / Critical Care - $2,049 to $2,176 per week in Waterloo, IA",full_time,8704.0,8704.0,"Registered Nurse (RN) | Intensive Care Unit (ICU) / Critical Care Location: Waterloo, IA Agency: AMN Healthcare Pay: $2,049 to $2,176 per week Shift Information: Nights - 3 days x 12 hours Contract Duration: 13 Weeks Start Date: 5/4/2026 About the Position Job Description & Requirements Registered Nurse – Intensive Care - ICU - Travel - (ICU RN) StartDate: 5/4/2026 Available Shifts: 12 N Pay Rate: $2049.00 - $2176.00 , IA let you deliver critical care to patients in a hospital setting with Magn…",0,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"Waterloo, Black Hawk County","['US', 'Iowa', 'Black Hawk County', 'Waterloo']",Adzuna::API::Response::Company,AMN Healthcare
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMU1Dc0Jzazg4UkctR3I5OU5tV2NiQSIsImkiOiI1NzA1Mjk0MTkzIn0.sDJAcfl1r6lvLn8H-Sy9N1Psm1RYF9qEnHwETi-4Md4,https://www.adzuna.com/land/ad/5705294193?se=1MCsBsk88RG-Gr99NmWcbA&utm_medium=api&utm_source=abfa41a4&v=EC3C6B052CAD7326FD1EEDDA22C41A18E955B2C5,42.365079,-71.104519,,5705294193,2026-04-20T10:51:30Z,Biochemical Lead Profiling Scientist (BOSTON),full_time,195403.75,195403.75,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use . I further attest that all information I submit in my employment application is true to the best of my knowledge. Job Description Objective / Purpose: Takeda’s Lead Profiling team is building a new team of experienced, innovative, and collaborative researchers to…",1,scientific-qa-jobs,Adzuna::API::Response::Category,Scientific & QA Jobs,Adzuna::API::Response::Location,"Cambridgeport, Middlesex County","['US', 'Massachusetts', 'Middlesex County', 'Cambridgeport']",Adzuna::API::Response::Company,Takeda Pharmaceutical
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMU1Dc0Jzazg4UkctR3I5OU5tV2NiQSIsImkiOiI1NzA1Mjk0MTk1In0.Vtv0MjGoy5jIha1NBryiS56YankE7BqM8Iszv4Cy0V0,https://www.adzuna.com/land/ad/5705294195?se=1MCsBsk88RG-Gr99NmWcbA&utm_medium=api&utm_source=abfa41a4&v=CED6AE01BA5F40E42C347F418E3E665DBA9F5206,42.35768,-71.05763,,5705294195,2026-04-20T10:51:30Z,Lead Clinical Study Manager - Remote Leadership Role (BOSTON),full_time,123884.17,123884.17,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use . I further attest that all information I submit in my employment application is true to the best of my knowledge. Job Description Are you looking for a patient-focused, innovation-driven company to inspire you and empower you to shine? Join us as a Lead Clinical …",1,scientific-qa-jobs,Adzuna::API::Response::Category,Scientific & QA Jobs,Adzuna::API::Response::Location,"Boston, Suffolk County","['US', 'Massachusetts', 'Suffolk County', 'Boston']",Adzuna::API::Response::Company,Takeda Pharmaceutical
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMU1Dc0Jzazg4UkctR3I5OU5tV2NiQSIsImkiOiI1NzA1Mjk0MTkwIn0.J8nZSWTHi4YU2q5hUEQldgYjYzUOIP4r-Lm8UxAv0v4,https://www.adzuna.com/land/ad/5705294190?se=1MCsBsk88RG-Gr99NmWcbA&utm_medium=api&utm_source=abfa41a4&v=EAAAE1F4CBE2FDACC7616DBFA5E8443743F46000,42.365079,-71.104519,,5705294190,2026-04-20T10:51:30Z,"Senior Scientist, High-Throughput Mass Spectrometry (Automation) (BOSTON)",part_time,149774.39,149774.39,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use . I further attest that all information I submit in my employment application is true to the best of my knowledge. Job Description At Takeda, we are a forward-looking, world-class R&D organization that unlocks innovation and delivers transformative therapies to pa…",1,it-jobs,Adzuna::API::Response::Category,IT Jobs,Adzuna::API::Response::Location,"Cambridgeport, Middlesex County","['US', 'Massachusetts', 'Middlesex County', 'Cambridgeport']",Adzuna::API::Response::Company,Takeda Pharmaceutical
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMU1Dc0Jzazg4UkctR3I5OU5tV2NiQSIsImkiOiI1NzA1Mjk0MTkxIn0.rK79BNWOiiQ3Yu2UYd-P4RXS_lWN2y8DiSsyKaIWuTA,https://www.adzuna.com/land/ad/5705294191?se=1MCsBsk88RG-Gr99NmWcbA&utm_medium=api&utm_source=abfa41a4&v=580891F123996C3F3712614E8A671D39DF810194,42.35768,-71.05763,,5705294191,2026-04-20T10:51:30Z,Clinical Operations Lead (BOSTON),full_time,102305.13,102305.13,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use . I further attest that all information I submit in my employment application is true to the best of my knowledge. Job Description Are you looking for a patient-focused, innovation-driven company to inspire you and empower you to shine? Join us as a Lead Clinical …",1,scientific-qa-jobs,Adzuna::API::Response::Category,Scientific & QA Jobs,Adzuna::API::Response::Location,"Boston, Suffolk County","['US', 'Massachusetts', 'Suffolk County', 'Boston']",Adzuna::API::Response::Company,Takeda Pharmaceutical
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwNTI5NDE5NCIsInMiOiIxTUNzQnNrODhSRy1Hcjk5Tm1XY2JBIn0.H2aDIpNSrPnUPp1DfjGPwKY6oTAh1pEpP53V2fGc8Q0,https://www.adzuna.com/land/ad/5705294194?se=1MCsBsk88RG-Gr99NmWcbA&utm_medium=api&utm_source=abfa41a4&v=69478D3F877F5F4A03898D805A001C644AE70E04,42.35768,-71.05763,,5705294194,2026-04-20T10:51:30Z,Research Study Director (BOSTON),part_time,115841.25,115841.25,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use . I further attest that all information I submit in my employment application is true to the best of my knowledge. Job Description Are you looking for a patient-focused, innovation-driven company to inspire you and empower you to shine? Join us as a Clinical Study…",1,scientific-qa-jobs,Adzuna::API::Response::Category,Scientific & QA Jobs,Adzuna::API::Response::Location,"Boston, Suffolk County","['US', 'Massachusetts', 'Suffolk County', 'Boston']",Adzuna::API::Response::Company,Takeda Pharmaceutical
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMU1Dc0Jzazg4UkctR3I5OU5tV2NiQSIsImkiOiI1NzA1Mjk0MTg5In0.Mg1m0idSN4V2w2CYEyL9MKHMB8Dv8eLMidTeCBNgWm0,https://www.adzuna.com/land/ad/5705294189?se=1MCsBsk88RG-Gr99NmWcbA&utm_medium=api&utm_source=abfa41a4&v=1A3F6D1BDDF024CFB956057F609EBEA3AF25F345,42.365079,-71.104519,,5705294189,2026-04-20T10:51:30Z,"Associate Scientist, High-Throughput Mass Spectrometry (Automation) (BOSTON)",part_time,169924.4,169924.4,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use . I further attest that all information I submit in my employment application is true to the best of my knowledge. Job Description At Takeda, we are a forward-looking, world-class R&D organization that unlocks innovation and delivers transformative therapies to pa…",1,scientific-qa-jobs,Adzuna::API::Response::Category,Scientific & QA Jobs,Adzuna::API::Response::Location,"Cambridgeport, Middlesex County","['US', 'Massachusetts', 'Middlesex County', 'Cambridgeport']",Adzuna::API::Response::Company,Takeda Pharmaceutical
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMU1Dc0Jzazg4UkctR3I5OU5tV2NiQSIsImkiOiI1NzA1Mjk0MTkyIn0.o6nvtSlTMf-60S302mKJPNTTm6clvOE0Pzp7k8ilylg,https://www.adzuna.com/land/ad/5705294192?se=1MCsBsk88RG-Gr99NmWcbA&utm_medium=api&utm_source=abfa41a4&v=52CA3909EDC23CDD062F7AA7305B23966C344C59,42.365079,-71.104519,,5705294192,2026-04-20T10:51:30Z,"Medical Director, Clinical Science - Solid Tumor - Leading innovative R&D in a patient-focused environment (BOSTON)",full_time,313237.94,313237.94,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use . I further attest that all information I submit in my employment application is true to the best of my knowledge. Job Description Are you looking for a patient-focused, innovation-driven company that will inspire you and empower you to shine? Join us as a Medical…",1,scientific-qa-jobs,Adzuna::API::Response::Category,Scientific & QA Jobs,Adzuna::API::Response::Location,"Cambridgeport, Middlesex County","['US', 'Massachusetts', 'Middlesex County', 'Cambridgeport']",Adzuna::API::Response::Company,Takeda Pharmaceutical
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMU1Dc0Jzazg4UkctR3I5OU5tV2NiQSIsImkiOiI1NzA1Mjk0MTg4In0.hrX_Z5LqYl6shm9_opcfTxkeT9mbY_QFabNiXnNkZzw,https://www.adzuna.com/land/ad/5705294188?se=1MCsBsk88RG-Gr99NmWcbA&utm_medium=api&utm_source=abfa41a4&v=3E81C737E786F0D10D069B36C2A8C8C88E5E6C32,42.35768,-71.05763,,5705294188,2026-04-20T10:51:30Z,"Associate Director, Data Quality System Testing Expert (BOSTON)",full_time,95781.41,95781.41,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use . I further attest that all information I submit in my employment application is true to the best of my knowledge. Job Description OBJECTIVES/PURPOSE Create and execute detailed test plans and UAT scripts based on business requirements and technical specifications…",1,it-jobs,Adzuna::API::Response::Category,IT Jobs,Adzuna::API::Response::Location,"Boston, Suffolk County","['US', 'Massachusetts', 'Suffolk County', 'Boston']",Adzuna::API::Response::Company,Takeda Pharmaceutical
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMU1Dc0Jzazg4UkctR3I5OU5tV2NiQSIsImkiOiI1NzA1Mjk0MTg0In0.rgQPg8fi_Re5yEYH9ic_VDeYIsWQnS1ILVnlskYm_k4,https://www.adzuna.com/land/ad/5705294184?se=1MCsBsk88RG-Gr99NmWcbA&utm_medium=api&utm_source=abfa41a4&v=C8812EE51DD481D86009C963E3F0C826A85E77E1,42.365079,-71.104519,,5705294184,2026-04-20T10:51:29Z,"Senior Director, Oncology Therapeutic Area Lead (TAL), Drug Metabolism, Pharmacokinetics and Modeling (DMPK&M) (BOSTON)",full_time,185427.06,185427.06,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use . I further attest that all information I submit in my employment application is true to the best of my knowledge. Job Description OBJECTIVES/PURPOSE: The Oncology (ONC) Therapeutic Area Lead in DMPK&M will have strong scientific and strategic leadership to impact…",1,manufacturing-jobs,Adzuna::API::Response::Category,Manufacturing Jobs,Adzuna::API::Response::Location,"Cambridgeport, Middlesex County","['US', 'Massachusetts', 'Middlesex County', 'Cambridgeport']",Adzuna::API::Response::Company,Takeda Pharmaceutical
