id,contract_type,contract_time,description,__CLASS__,adref,salary_min,salary_max,longitude,created,redirect_url,salary_is_predicted,latitude,title,category.__CLASS__,category.tag,category.label,location.display_name,location.area,location.__CLASS__,company.display_name,company.__CLASS__
5707236322,contract,full_time,"Registered Nurse (RN) | Telemetry Location: Elmira, NY Agency: Jackson Nurse Professionals Pay: $2,213 to $2,281 per week Shift Information: Nights - 3 days x 12 hours Contract Duration: 14 Weeks Start Date: 5/17/2026 About the Position At Jackson Nurse Professionals , we are dedicated to supporting travel nurses and helping you build a fulfilling nursing career. Whether you’re looking for your first or next travel nursing assignment, we specialize in connecting healthcare professionals with le…",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwNzIzNjMyMiIsInMiOiJnS0ExelZvLThSR2Npc1BZa0lTRDd3In0.4xGHSOT0jNZzgmkmrm4i4ya82_gQNsklPddr5FUnGUI,9124.0,9124.0,-76.727235,2026-04-22T10:47:50Z,https://www.adzuna.com/land/ad/5707236322?se=gKA1zVo-8RGcisPYkISD7w&utm_medium=api&utm_source=abfa41a4&v=67AD40FEF5F1CE1704E591B7653D3FABBB41C1A2,0,42.07487,"Travel Nurse RN - Telemetry - $2,213 to $2,281 per week in Elmira, NY",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"Elmira, Chemung County","['US', 'New York', 'Chemung County', 'Elmira']",Adzuna::API::Response::Location,Jackson Nurse Professionals,Adzuna::API::Response::Company
5707236320,contract,full_time,"Registered Nurse (RN) | Telemetry Location: Elmira, NY Agency: Jackson Nurse Professionals Pay: $2,213 to $2,281 per week Shift Information: Nights - 3 days x 12 hours Contract Duration: 14 Weeks Start Date: 5/17/2026 About the Position TravelNurseSource is working with Jackson Nurse Professionals to find a qualified Telemetry RN in Elmira, New York, 14905! At Jackson Nurse Professionals , we are dedicated to supporting travel nurses and helping you build a fulfilling nursing career. Whether yo…",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwNzIzNjMyMCIsInMiOiJnS0ExelZvLThSR2Npc1BZa0lTRDd3In0.nHa2FVRZnh6XWs0vQaUlPpd89Kv-Vqrz0NCC1sVp90w,9124.0,9124.0,-76.727235,2026-04-22T10:47:50Z,https://www.adzuna.com/land/ad/5707236320?se=gKA1zVo-8RGcisPYkISD7w&utm_medium=api&utm_source=abfa41a4&v=33F7A5F337A589E47AC2C5A70188E2BE03DF5D60,0,42.07487,"Travel Nurse RN - Telemetry - $2,213 to $2,281 per week in Elmira, NY",Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"Elmira, Chemung County","['US', 'New York', 'Chemung County', 'Elmira']",Adzuna::API::Response::Location,TravelNurseSource,Adzuna::API::Response::Company
5707236319,,part_time,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ0tBMXpWby04UkdjaXNQWWtJU0Q3dyIsImkiOiI1NzA3MjM2MzE5In0.LUrksjQLNTpWGz_Gbc2WlO1MMTpsGrGa3DXA6TsNpHk,29615.44,29615.44,-81.80981,2026-04-22T10:47:48Z,https://www.adzuna.com/land/ad/5707236319?se=gKA1zVo-8RGcisPYkISD7w&utm_medium=api&utm_source=abfa41a4&v=676ACEE1FAA869E9754B7DB3E8FFFC4B153F12C2,1,41.398284,Drive on Your Schedule,Adzuna::API::Response::Category,travel-jobs,Travel Jobs,"Brook Park, Cuyahoga County","['US', 'Ohio', 'Cuyahoga County', 'Brook Park']",Adzuna::API::Response::Location,Uber,Adzuna::API::Response::Company
5707236316,,part_time,"Earn at least $2085 driving with Uber when you complete your first 148 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 148 trips with Ub…",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwNzIzNjMxNiIsInMiOiJnS0ExelZvLThSR2Npc1BZa0lTRDd3In0.60I72VJCa5arco26pJ5pOcX1JDVRqAq1addHjbOZnRc,33417.91,33417.91,-81.64842,2026-04-22T10:47:47Z,https://www.adzuna.com/land/ad/5707236316?se=gKA1zVo-8RGcisPYkISD7w&utm_medium=api&utm_source=abfa41a4&v=441345142D2C695FA0A30F99342EA4108A05FF9B,1,41.39136,Driver gig - Earn at least $2085 by driving 148 trips with Uber,Adzuna::API::Response::Category,travel-jobs,Travel Jobs,"Independence, Cuyahoga County","['US', 'Ohio', 'Cuyahoga County', 'Independence']",Adzuna::API::Response::Location,Uber,Adzuna::API::Response::Company
5707236317,,part_time,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwNzIzNjMxNyIsInMiOiJnS0ExelZvLThSR2Npc1BZa0lTRDd3In0.KdnWY3dZfVEEWBNZAnxiSyRoWI8UKmC9kZrUKWf7BuQ,37322.21,37322.21,-81.83472,2026-04-22T10:47:47Z,https://www.adzuna.com/land/ad/5707236317?se=gKA1zVo-8RGcisPYkISD7w&utm_medium=api&utm_source=abfa41a4&v=914C2863E55D38474672F5C5975171270FCBCE01,1,41.31288,Want Cash Jobs? Earn With Uber Instead,Adzuna::API::Response::Category,travel-jobs,Travel Jobs,"Strongsville, Cuyahoga County","['US', 'Ohio', 'Cuyahoga County', 'Strongsville']",Adzuna::API::Response::Location,Uber,Adzuna::API::Response::Company
5707236313,,part_time,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwNzIzNjMxMyIsInMiOiJnS0ExelZvLThSR2Npc1BZa0lTRDd3In0.uXyYAbr_wG4VQjjUhOxzmJJ0MtY5qjy_btLV66uykts,27756.89,27756.89,-81.07302,2026-04-22T10:47:46Z,https://www.adzuna.com/land/ad/5707236313?se=gKA1zVo-8RGcisPYkISD7w&utm_medium=api&utm_source=abfa41a4&v=7C0B1EBD21A08FA2F4DDDE74BD3291BF3DAD22DC,1,41.29932,Want Cash Jobs? Earn With Uber Instead,Adzuna::API::Response::Category,travel-jobs,Travel Jobs,"Nelson, Portage County","['US', 'Ohio', 'Portage County', 'Nelson']",Adzuna::API::Response::Location,Uber,Adzuna::API::Response::Company
5707236235,,part_time,"Earn at least $2085 driving with Uber when you complete your first 148 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 148 trips with Ub…",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwNzIzNjIzNSIsInMiOiJnS0ExelZvLThSR2Npc1BZa0lTRDd3In0.efPcf_LtXEUu3p5f7UQP0Ptz3ZOYBjlngp-r9ybIzys,31487.07,31487.07,-81.537346,2026-04-22T10:47:41Z,https://www.adzuna.com/land/ad/5707236235?se=gKA1zVo-8RGcisPYkISD7w&utm_medium=api&utm_source=abfa41a4&v=8C7739FC237B30C7CB6D07B92766B28DE999D4BA,1,41.497831,"Choose your schedule - Earn At Least $2085 For Your First 148 Trips, Guaranteed.",Adzuna::API::Response::Category,travel-jobs,Travel Jobs,"University Heights, Cuyahoga County","['US', 'Ohio', 'Cuyahoga County', 'University Heights']",Adzuna::API::Response::Location,Uber,Adzuna::API::Response::Company
5707236242,,part_time,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwNzIzNjI0MiIsInMiOiJnS0ExelZvLThSR2Npc1BZa0lTRDd3In0.7nmum3_StNRf2b0TWK9xVWRev8aj6mRwlQ33ylpo-1U,54989.52,54989.52,-81.63414,2026-04-22T10:47:41Z,https://www.adzuna.com/land/ad/5707236242?se=gKA1zVo-8RGcisPYkISD7w&utm_medium=api&utm_source=abfa41a4&v=D07B4F281F10EEBC1E961CD4ABA6F76CE0ECEA27,1,41.45034,Driver - Get Paid Daily,Adzuna::API::Response::Category,travel-jobs,Travel Jobs,"Garfield Heights, Cuyahoga County","['US', 'Ohio', 'Cuyahoga County', 'Garfield Heights']",Adzuna::API::Response::Location,Uber,Adzuna::API::Response::Company
5707236227,,part_time,"Earn at least $2085 driving with Uber when you complete your first 148 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 148 trips with Ub…",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwNzIzNjIyNyIsInMiOiJnS0ExelZvLThSR2Npc1BZa0lTRDd3In0.S4vBlh4rwy5ZoQ3QaKyCd12jjApjj6ubFQmBO1OUn7w,33134.08,33134.08,-81.7377,2026-04-22T10:47:39Z,https://www.adzuna.com/land/ad/5707236227?se=gKA1zVo-8RGcisPYkISD7w&utm_medium=api&utm_source=abfa41a4&v=ECE01A5795D431E43475C04B4320FF92F67D5722,1,41.38644,"Fast Pay - Earn at least $2085 in your first 148 trips, guaranteed.",Adzuna::API::Response::Category,travel-jobs,Travel Jobs,"Parma, Cuyahoga County","['US', 'Ohio', 'Cuyahoga County', 'Parma']",Adzuna::API::Response::Location,Uber,Adzuna::API::Response::Company
5707236226,,part_time,"Earn at least $2085 driving with Uber when you complete your first 148 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 148 trips with Ub…",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ0tBMXpWby04UkdjaXNQWWtJU0Q3dyIsImkiOiI1NzA3MjM2MjI2In0.j5V67exN5oKjs-Kd9lLgyI5UIWAqp24xsbC7QjM6KBc,33025.18,33025.18,-81.554158,2026-04-22T10:47:39Z,https://www.adzuna.com/land/ad/5707236226?se=gKA1zVo-8RGcisPYkISD7w&utm_medium=api&utm_source=abfa41a4&v=79857CA1C9C840BCFCD559C1F677EA581CFD67C4,1,41.505099,"Earn At Least $2085 For Your First 148 Trips, Guaranteed.",Adzuna::API::Response::Category,travel-jobs,Travel Jobs,"Shaker Heights, Cuyahoga County","['US', 'Ohio', 'Cuyahoga County', 'Shaker Heights']",Adzuna::API::Response::Location,Uber,Adzuna::API::Response::Company
