longitude,__CLASS__,salary_max,contract_time,adref,id,latitude,salary_is_predicted,salary_min,description,redirect_url,created,title,location.__CLASS__,location.area,location.display_name,company.__CLASS__,company.display_name,category.label,category.__CLASS__,category.tag,contract_type
-72.99318,Adzuna::API::Response::Job,32275.63,part_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwODM3MzcxOSIsInMiOiJxbWd1NGljXzhSRzJUS1dZeXhsQUVnIn0.bUYhFcqLHKsZYg-KdKiUH0R8URnhD9GRh6GOXod7cY8,5708373719,41.55288,1,32275.63,"Earn at least $1795 driving with Uber when you complete your first 157 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 157 trips with Ub…",https://www.adzuna.com/land/ad/5708373719?se=qmgu4ic_8RG2TKWYyxlAEg&utm_medium=api&utm_source=abfa41a4&v=3A0ABC52180DD0D58100755EDF81F8D2C233F965,2026-04-23T11:15:07Z,"Side gig - Earn at least $1795 in your first 157 trips with Uber, guaranteed.",Adzuna::API::Response::Location,"['US', 'Connecticut', 'New Haven County', 'Plaza']","Plaza, New Haven County",Adzuna::API::Response::Company,Uber,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
-73.245486,Adzuna::API::Response::Job,35928.24,part_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwODM3MzcyMCIsInMiOiJxbWd1NGljXzhSRzJUS1dZeXhsQUVnIn0.Rr83j-A1dcz_yBn8d_3O-RnJR53qh9ceNBTkYzgYp7E,5708373720,41.827184,1,35928.24,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",https://www.adzuna.com/land/ad/5708373720?se=qmgu4ic_8RG2TKWYyxlAEg&utm_medium=api&utm_source=abfa41a4&v=151679B338048F8A81B96A55AA78AB203087B3C5,2026-04-23T11:15:07Z,Want Cash Jobs? Earn With Uber Instead,Adzuna::API::Response::Location,"['US', 'Connecticut', 'Litchfield County', 'Litchfield']","Litchfield, Litchfield County",Adzuna::API::Response::Company,Uber,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
,Adzuna::API::Response::Job,45564.18,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicW1ndTRpY184UkcyVEtXWXl4bEFFZyIsImkiOiI1NzA4MzczNzE4In0.BRJf-ODEEs9uAOa-FWjt3tZP2O6yaNsPNm9kVyX7Bs0,5708373718,,1,45564.18,"PICU nurses have the primary responsibility of assessing, treating, and monitoring young patients under 18 years old who are presenting acute, serious ailments. Pediatric intensive care nurses also answer questions and provide education for caregivers about managing their child's health condition",https://www.adzuna.com/details/5708373718?utm_medium=api&utm_source=abfa41a4,2026-04-23T11:15:06Z,Travel PICU,Adzuna::API::Response::Location,['US'],US,Adzuna::API::Response::Company,University of Virginia Medical Center,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,
-73.213566,Adzuna::API::Response::Job,42987.02,part_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwODM3MzcxNyIsInMiOiJxbWd1NGljXzhSRzJUS1dZeXhsQUVnIn0.ddA2PS6V5XHH-LtTeb8zULHC0rWnkQMp-_FXmzHHNZk,5708373717,41.640682,1,42987.02,"Earn at least $1795 driving with Uber when you complete your first 157 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 157 trips with Ub…",https://www.adzuna.com/land/ad/5708373717?se=qmgu4ic_8RG2TKWYyxlAEg&utm_medium=api&utm_source=abfa41a4&v=01A2CA0F38494E16C4D6F02B9988931F4EE451EC,2026-04-23T11:15:05Z,"Side gig - Earn at least $1795 in your first 157 trips with Uber, guaranteed.",Adzuna::API::Response::Location,"['US', 'Connecticut', 'Litchfield County', 'Bethlehem']","Bethlehem, Litchfield County",Adzuna::API::Response::Company,Uber,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
-73.243992,Adzuna::API::Response::Job,29889.36,part_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicW1ndTRpY184UkcyVEtXWXl4bEFFZyIsImkiOiI1NzA4MzczNzE0In0.tmwEFnYThbikf5zw6Dbsk9aYXjvbYvq-hl3Uc33eaIw,5708373714,41.675573,1,29889.36,"Earn at least $1795 driving with Uber when you complete your first 157 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 157 trips with Ub…",https://www.adzuna.com/land/ad/5708373714?se=qmgu4ic_8RG2TKWYyxlAEg&utm_medium=api&utm_source=abfa41a4&v=1239CC0C32B6CE7DA085DFBBCB57E3CC2CCB1D2B,2026-04-23T11:15:05Z,"Fast Pay - Earn at least $1795 in your first 157 trips, guaranteed.",Adzuna::API::Response::Location,"['US', 'Connecticut', '', 'Bantam']","Bantam, ",Adzuna::API::Response::Company,Uber,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
-73.39878,Adzuna::API::Response::Job,47557.71,part_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicW1ndTRpY184UkcyVEtXWXl4bEFFZyIsImkiOiI1NzA4MzczNzExIn0.OWrA5cDgWCyR1h9im5cT8cCoHBoJEEVIw4zdtoQPrKU,5708373711,41.09922,1,47557.71,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",https://www.adzuna.com/land/ad/5708373711?se=qmgu4ic_8RG2TKWYyxlAEg&utm_medium=api&utm_source=abfa41a4&v=2CBDF3DF6BCEB54873C8F4BC001E0AA57BF9CE7F,2026-04-23T11:15:04Z,Driver,Adzuna::API::Response::Location,"['US', 'Connecticut', 'Fairfield County', 'East Norwalk']","East Norwalk, Fairfield County",Adzuna::API::Response::Company,Uber,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
-72.752702,Adzuna::API::Response::Job,38328.62,part_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicW1ndTRpY184UkcyVEtXWXl4bEFFZyIsImkiOiI1NzA4MzczNzEwIn0.r8_Q8EI8qPCSFcaoE_gtsy0aEUZXqU9eJ5nXvj-M1j8,5708373710,41.755869,1,38328.62,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",https://www.adzuna.com/land/ad/5708373710?se=qmgu4ic_8RG2TKWYyxlAEg&utm_medium=api&utm_source=abfa41a4&v=6F023D61AE5B3D95134CD8343ED21170284533FB,2026-04-23T11:15:04Z,Drive with Uber,Adzuna::API::Response::Location,"['US', 'Connecticut', 'Hartford County', 'West Hartford']","West Hartford, Hartford County",Adzuna::API::Response::Company,Uber,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
-78.892628,Adzuna::API::Response::Job,37849.54,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicW1ndTRpY184UkcyVEtXWXl4bEFFZyIsImkiOiI1NzA4MzczNzA4In0.a6Mt5EcVrw9gX8Yak4R1D3Ui1BtlJyaNWTYhIMgGiEY,5708373708,38.41421,1,37849.54,"We are looking for a Dental Assistant to join our team! Affordable Dentures & Implants is an opportunity to do what you love and get paid to do it! You will enjoy a fulfilling career like no other and will play a vital role in changing the lives of our patients. Together with our experienced dentists and lab professionals, you can be part of delivering life-changing tooth replacement care to hundreds of thousands of patients every year. JOB PURPOSE: The Dental Assistant will assist affiliated d…",https://www.adzuna.com/details/5708373708?utm_medium=api&utm_source=abfa41a4,2026-04-23T11:15:04Z,Dental Assistant,Adzuna::API::Response::Location,"['US', 'Virginia', 'Harrisonburg City', 'Harrisonburg']","Harrisonburg, Harrisonburg City",Adzuna::API::Response::Company,Affordable Dentures & Implants,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,
-72.99318,Adzuna::API::Response::Job,35184.0,part_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwODM3MzcwOSIsInMiOiJxbWd1NGljXzhSRzJUS1dZeXhsQUVnIn0.HyfuBd7SKg4NwX87efg7CyzmhkUrrZOy0Fz3ceFnce4,5708373709,41.55288,1,35184.0,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",https://www.adzuna.com/land/ad/5708373709?se=qmgu4ic_8RG2TKWYyxlAEg&utm_medium=api&utm_source=abfa41a4&v=5706591095C692D041BE36756962C04191849303,2026-04-23T11:15:04Z,Driver - Make Money On Your Schedule,Adzuna::API::Response::Location,"['US', 'Connecticut', 'New Haven County', 'Plaza']","Plaza, New Haven County",Adzuna::API::Response::Company,Uber,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
-73.39878,Adzuna::API::Response::Job,36610.87,part_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwODM3MzcwNSIsInMiOiJxbWd1NGljXzhSRzJUS1dZeXhsQUVnIn0.CRKv1mKRH2ctbJHoGBPzWH_IM0Dd3NElEqS9LA_Lkx4,5708373705,41.09922,1,36610.87,"Earn at least $1795 driving with Uber when you complete your first 157 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 157 trips with Ub…",https://www.adzuna.com/land/ad/5708373705?se=qmgu4ic_8RG2TKWYyxlAEg&utm_medium=api&utm_source=abfa41a4&v=C9D5542E6263A888ABAE5B60F2B9178A37425DD2,2026-04-23T11:15:03Z,"Earn At Least $1795 For Your First 157 Trips, Guaranteed.",Adzuna::API::Response::Location,"['US', 'Connecticut', 'Fairfield County', 'East Norwalk']","East Norwalk, Fairfield County",Adzuna::API::Response::Company,Uber,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
