title,contract_time,adref,__CLASS__,id,salary_is_predicted,description,latitude,longitude,redirect_url,salary_min,contract_type,salary_max,created,location.__CLASS__,location.area,location.display_name,company.__CLASS__,company.display_name,category.label,category.tag,category.__CLASS__
Head Sushi Chef,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiR0xvaDJLOUE4Ukd0VE9vamlhRUxndyIsImkiOiI1NzEwMzcxMDA5In0.GtkbbEWF5Do-H-DkKiHcQBwUg1Yjt0JV7bm8ELDAHkQ,Adzuna::API::Response::Job,5710371009,0,"Location: Atlanta, GA Salary: $100k-$110k Benefits: Paid vacation, 401(k), Health insurance, Company paid life insurance Relocation: up to $5k Thriving restaurant group is looking to hire a Head Sushi Chef. Qualifications: 4 years experience as a Sushi Chef specializing in Omakase in a high-end restaurant setting. 3 years experience leading a back of house team in a fine dining restaurant Expertise in the art of sushi rice preparation, fish selection and breakdown, and knife skills. Exceptional…",32.814593,-83.574124,https://www.adzuna.com/details/5710371009?utm_medium=api&utm_source=abfa41a4,110000.0,permanent,110000.0,2026-04-25T09:57:37Z,Adzuna::API::Response::Location,"['US', 'Georgia']","Georgia, US",Adzuna::API::Response::Company,The Chef Agency,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category
Sous Chef - Seafood Restaurant,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiR0xvaDJLOUE4Ukd0VE9vamlhRUxndyIsImkiOiI1NzEwMzcxMDEyIn0.qabOEROW_1wi7ysjYzm2SKT5g1VMN39yHRKgwmqah4E,Adzuna::API::Response::Job,5710371012,0,"Location – Hilton Head, SC Salary - $65,000 - $70,000 Benefits - M/D/V, PTO, 401k, relocation considered A luxury resort located on 5,000 acres is looking to add a Sous Chef to their team to help oversee one of their restaurant concepts. Qualifications 3 years of culinary leadership experience Experience working in a high-volume / seafood restaurant Must be able to work both independently and in a team environment. Responsibilities Be able to assist with, and maintain, food cost controls. Some …",33.909477,-80.93462,https://www.adzuna.com/details/5710371012?utm_medium=api&utm_source=abfa41a4,70000.0,permanent,70000.0,2026-04-25T09:57:37Z,Adzuna::API::Response::Location,"['US', 'South Carolina']","South Carolina, US",Adzuna::API::Response::Company,The Chef Agency,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category
Restaurant General Manager,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiR0xvaDJLOUE4Ukd0VE9vamlhRUxndyIsImkiOiI1NzEwMzcxMDExIn0.gJkXm988hhMgEyC-KGp4qFTwYHCOvrfvJISBtBf2sog,Adzuna::API::Response::Job,5710371011,0,"Location - Dallas, TX Salary - $110,000-$125,000  Relocation Benefits - yes Relo - Yes Seeking an experienced Restaurant General Manager to lead operations for a high-end, membership-based dining concept in Dallas, TX. Qualifications Minimum 5 years experience as a General Manager in upscale or fine dining restaurants. Strong background in Japanese cuisine is required. Michelin-star experience is a strong plus. Prior experience within a membership club or private club environment is a plus. Pro…",31.709263,-98.656775,https://www.adzuna.com/details/5710371011?utm_medium=api&utm_source=abfa41a4,130000.0,permanent,130000.0,2026-04-25T09:57:37Z,Adzuna::API::Response::Location,"['US', 'Texas']","Texas, US",Adzuna::API::Response::Company,The Chef Agency,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category
Family Medicine Physician Needed for Coverage at Clinic in Washington,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiR0xvaDJLOUE4Ukd0VE9vamlhRUxndyIsImkiOiI1NzEwMzY5ODY0In0.4E5qfgLJ7ccoyqsnnt_57G0WXiHtsnc_Ho53zs0eIlQ,Adzuna::API::Response::Job,5710369864,1,"This Job at a Glance Job Reference Id: ORD-212012-MD-WA Title: MD Dates Needed: May 18 - September 25 Shift Type: Day Shift Assignment Type: Clinic Call Required: No Board Certification Required: Yes Job Duration: Locums About the Facility The clinic provides comprehensive primary care services with a multi-disciplinary healthcare team. The facility maintains a collaborative environment staffed with Family Medicine physicians, pediatricians, psychiatric nurse practitioners, and primary care adv…",47.354652,-120.202747,https://www.adzuna.com/land/ad/5710369864?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=D75A5E0768D9203C8EB402A58B9903C708A40540,131413.39,,131413.39,2026-04-25T09:40:36Z,Adzuna::API::Response::Location,"['US', 'Washington', 'Douglas County', 'Rock Island']","Rock Island, Douglas County",Adzuna::API::Response::Company,LocumTenens.com,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category
Psychiatry Physician,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMDM2OTg2MyIsInMiOiJHTG9oMks5QThSR3RUT29qaWFFTGd3In0.zMeBaW2YzZa4Xnc3_u-X8X407K102KD1p_MMpwj8LR8,Adzuna::API::Response::Job,5710369863,1,"Job Description & Requirements Psychiatry Physician StartDate: ASAP Pay Rate: $194.00 - $210.00 The Behavioral Health Division at AMN has been successfully dedicated to locums tenens coverage for over 30 years. We partner with clients nationwide, matching Psychiatrists, Psychologists and PM&R Physicians to their ideal jobs. With over 185 years of combined recruitment experience, you can trust AMN to find your next rewarding assignment! This facility is seeking a Psychiatry Physician for locum t…",43.16844,-86.18454,https://www.adzuna.com/land/ad/5710369863?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=0F7F7B8CAD4D3306BD0F468189E8DAC4A9F89E20,133440.47,,133440.47,2026-04-25T09:40:35Z,Adzuna::API::Response::Location,"['US', 'Michigan', 'Muskegon County', 'Fruitport']","Fruitport, Muskegon County",Adzuna::API::Response::Company,AMN Healthcare,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category
Diagnostic Radiologist Needed for Locum Tenens Coverage at Facility in Connecticut,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMDM2OTgyOCIsInMiOiJHTG9oMks5QThSR3RUT29qaWFFTGd3In0.tx7f8ePGEkYe7eyMBiPgRVjseLOcC1P6osvgXyklIqo,Adzuna::API::Response::Job,5710369828,1,This Job at a Glance Job Reference Id: ORD-203558-MD-CT Title: MD Dates Needed: 1/1/26 or Mid-December start if possible - Sooner the better: 4-6 months after start date Shift Type: Day Shift Assignment Type: Inpatient Call Required: No Board Certification Required: Yes Job Duration: Locums About the Facility An Inpatient Facility is seeking a diagnostic radiologist for locum tenens coverage. About the Facility Location The facility is located in Connecticut. About the Clinician's Workday There…,41.662287,-72.668605,https://www.adzuna.com/land/ad/5710369828?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=ECFCB00A25F77E7C4D080B3B59E43971DD61A9E5,177970.08,,177970.08,2026-04-25T09:40:25Z,Adzuna::API::Response::Location,"['US', 'Connecticut', 'Hartford County', 'Rocky Hill']","Rocky Hill, Hartford County",Adzuna::API::Response::Company,LocumTenens.com,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category
Family Medicine Physician Associate Needed for Locum Tenens Coverage at Outpatient Facility in California,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMDM2OTc4NSIsInMiOiJHTG9oMks5QThSR3RUT29qaWFFTGd3In0.yMXPV4i81Qsx_g1WmFm6ZA93evqbIKLkMzxxTJeTNoQ,Adzuna::API::Response::Job,5710369785,1,This Job at a Glance Job Reference Id: ORD-211934-PA-CA Title: PA Dates Needed: May - September Shift Type: Day Shift Assignment Type: Outpatient Call Required: No Board Certification Required: Yes Job Duration: Locums About the Facility This Federally Qualified Health Center provides comprehensive primary care services to the community with a focus on accessible healthcare delivery. The facility operates with full support staff and additional specialties onsite to ensure efficient patient care…,37.000831,-119.685598,https://www.adzuna.com/land/ad/5710369785?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=DFE0E08533B1AE88269CC848F8ED160FBFBF3E72,115641.35,,115641.35,2026-04-25T09:40:10Z,Adzuna::API::Response::Location,"['US', 'California', 'Fresno County', 'Clovis']","Clovis, Fresno County",Adzuna::API::Response::Company,LocumTenens.com,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category
Certified Registered Nurse Anesthetist (CRNA),,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMDM2OTc1MCIsInMiOiJHTG9oMks5QThSR3RUT29qaWFFTGd3In0.Bn98Io5HLURL9OPmh9gBh7o8yS6smiomyHXKsSYy0g4,Adzuna::API::Response::Job,5710369750,1,"Job Description & Requirements Certified Registered Nurse Anesthetist (CRNA) StartDate: ASAP Available Shifts: Regular 8 Pay Rate: $206.61 - $223.65 This facility is seeking a Certified Registered Nurse Anesthetist (CRNA) for locum tenens support as they look to fill a current need. Details & requirements for this opportunity: Monday-Friday 7am-3pm Required Cases: general, thoracic, vascular, healthy pediatrics, trauma, outpatient surgery and orthopedics Electronic Medical Records (EMR): Epic M…",41.2428,-75.8259,https://www.adzuna.com/land/ad/5710369750?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=041A1C0B516F2CE03D68BDD50D643FAFA9247091,82376.74,,82376.74,2026-04-25T09:40:04Z,Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Luzerne County', 'Parsons']","Parsons, Luzerne County",Adzuna::API::Response::Company,AMN Healthcare,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category
Cardiothoracic Surgery Physician Associate Needed for Locum Tenens Coverage at OR Facility in Texas,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiR0xvaDJLOUE4Ukd0VE9vamlhRUxndyIsImkiOiI1NzEwMzY5NzUyIn0.dtLlYhFg2NCSjwO6n8FV8-3Nr6hMG3XzgnuuywebiDw,Adzuna::API::Response::Job,5710369752,1,This Job at a Glance Job Reference Id: ORD-211784-PA-TX Title: PA Dates Needed: July - December Shift Type: Day Shift Assignment Type: OR Call Required: Yes Board Certification Required: No Job Duration: Locums About the Facility The facility operates as a comprehensive trauma center providing specialized cardiothoracic surgical services with advanced perioperative capabilities. The hospital maintains modern surgical equipment and utilizes EPIC EMR systems to support high-quality patient care a…,31.533789,-99.106177,https://www.adzuna.com/land/ad/5710369752?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=C78195D809CDD0DE7D57E11775F544BD562238D8,113847.41,,113847.41,2026-04-25T09:40:04Z,Adzuna::API::Response::Location,"['US', 'Texas', 'Brown County', 'Indian Creek']","Indian Creek, Brown County",Adzuna::API::Response::Company,LocumTenens.com,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category
Internal Medicine Physician Needed for Locum Coverage at Outpatient Facility in North Carolina,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMDM2OTczNCIsInMiOiJHTG9oMks5QThSR3RUT29qaWFFTGd3In0.smzxHbKfo76zZ8CeGIFCbQadHgVzW-8ARaGXcxAdygo,Adzuna::API::Response::Job,5710369734,1,This Job at a Glance Job Reference Id: ORD-211979-MD-NC Title: MD Dates Needed: May 26th - 3 months Shift Type: Day Shift Assignment Type: Outpatient Call Required: Negotiable Board Certification Required: Negotiable Job Duration: Locums About the Facility This facility provides comprehensive healthcare services to patients requiring medical care and treatment within a long-term geriatric care facility setting. The facility maintains modern medical equipment and operates with a full clinical te…,35.661022,-78.980502,https://www.adzuna.com/land/ad/5710369734?se=GLoh2K9A8RGtTOojiaELgw&utm_medium=api&utm_source=abfa41a4&v=94B44A2548058C8AFEC64FFD00F575430B59CCF5,145652.1,,145652.1,2026-04-25T09:40:01Z,Adzuna::API::Response::Location,"['US', 'North Carolina', 'Wake County', 'New Hill']","New Hill, Wake County",Adzuna::API::Response::Company,LocumTenens.com,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category
