longitude,contract_type,__CLASS__,salary_max,adref,contract_time,description,title,latitude,created,salary_min,salary_is_predicted,id,redirect_url,category.label,category.tag,category.__CLASS__,company.display_name,company.__CLASS__,location.__CLASS__,location.area,location.display_name
-93.6151,contract,Adzuna::API::Response::Job,7432.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMTg1NDI0NSIsInMiOiJUdGRvYzB0QzhSR1VKdnQyQmJPc2tnIn0.ZjQOXSmpiRMDWT4jeHbFQvaIgCPXBKaC-HFrNBBAyMs,full_time,"Registered Nurse (RN) | Medical-Surgical Location: Des Moines, IA Agency: Atlas MedStaff Pay: $1,858 per week Shift Information: Nights - 3 days x 12 hours Contract Duration: 13 Weeks Start Date: 5/18/2026 About the Position Atlas Medstaff is currently seeking candidates in the RN (Med/Surg) profession for a 13 week contract in the Des Moines, Iowa area. Atlas Medstaff is a premier staffing firm dedicated to matching outstanding talent with exceptional opportunities. Our commitment to excellenc…","Travel Nurse RN - Medical-Surgical - $1,858 per week in Des Moines, IA",41.589,2026-04-27T11:06:45Z,7432.0,0,5711854245,https://www.adzuna.com/land/ad/5711854245?se=Ttdoc0tC8RGUJvt2BbOskg&utm_medium=api&utm_source=abfa41a4&v=42943507C33C757361671C2BDD10ECBE2737EBE7,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Atlas MedStaff,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Iowa', 'Polk County', 'Des Moines']","Des Moines, Polk County"
-82.394,,Adzuna::API::Response::Job,46063.75,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMTg1NDIzNiIsInMiOiJUdGRvYzB0QzhSR1VKdnQyQmJPc2tnIn0.LmTDhVHsOpU4yFq79PEYypSIaVA--Iky1GBkTQJJ-zc,,"About Us RAM Partners, LLC, is a full-service real estate management company that manages more than 80,000 apartments throughout the United States. We specialize in multi-family community management for a variety of third-party owners. We are a service-oriented, hands-on company. Our brick and mortar are our people. Compensation: $23 to $25 per hour Overview We are looking a Maintenance Tech who will use their experience and attention to detail skills to maintain the physical integrity of our p…",Maintenance Technician,34.850555,2026-04-27T11:06:42Z,46063.75,1,5711854236,https://www.adzuna.com/details/5711854236?utm_medium=api&utm_source=abfa41a4,Property Jobs,property-jobs,Adzuna::API::Response::Category,"RAM Partners, LLC",Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'South Carolina', 'Greenville County', 'Greenville']","Greenville, Greenville County"
-76.98637,,Adzuna::API::Response::Job,35164.74,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMTg1NDE2NSIsInMiOiJUdGRvYzB0QzhSR1VKdnQyQmJPc2tnIn0.Cvh4AtXOInmT9jNrdvxP9YfPO-9OBB0qAWKhtDzve14,part_time,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",Driver - Make Money On Your Schedule,38.90474,2026-04-27T11:06:23Z,35164.74,1,5711854165,https://www.adzuna.com/land/ad/5711854165?se=Ttdoc0tC8RGUJvt2BbOskg&utm_medium=api&utm_source=abfa41a4&v=6CCBFFE97FD27D96B51F669DFBE2DF65EA8AC84B,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,Uber,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Maryland', ""Prince George's County"", 'Tuxedo']","Tuxedo, Prince George's County"
-105.141,,Adzuna::API::Response::Job,90965.34,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMTg1NDE2MCIsInMiOiJUdGRvYzB0QzhSR1VKdnQyQmJPc2tnIn0.1h2ISLHJUh8lGcoFhqR8g5IYyHFxd4FGVItcEgEJ2wM,,"Description Occupational Therapist Inpatient Rehab IRF Location: UCHealth Broomfield Hospital, Broomfield CO Department: BF Rehab Unit OT Work Schedule: Full Time, 64.00 hours per pay period (2 weeks) Shift: Days. Schedule will include a weekend requirement of 2 weekends days every 4 weeks. Pay: $38.72 - $58.08 / hour. Pay is dependent on applicant's relevant experience. This position is an onsite role and does not offer a hybrid or remote option. Career Ladder: UCHealth offers a structured way…",Occupational Therapist Inpatient Rehab IRF,39.88842,2026-04-27T11:06:14Z,90965.34,1,5711854160,https://www.adzuna.com/land/ad/5711854160?se=Ttdoc0tC8RGUJvt2BbOskg&utm_medium=api&utm_source=abfa41a4&v=60024FE5450696CB25325483D614547638AC0CF2,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,UCHealth,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Colorado', 'Boulder County', 'Superior']","Superior, Boulder County"
,,Adzuna::API::Response::Job,45136.36,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMTg1NDE1OSIsInMiOiJUdGRvYzB0QzhSR1VKdnQyQmJPc2tnIn0.WxVjC8xknSQkhaB3BJEOzIut09mPPjPdk2JbNyj_psw,part_time,"Earn at least $3200 driving with Uber when you complete your first 226 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 226 trips with Ub…","Quick Earnings: Earn At Least $3200 For Your First 226 Trips, Guaranteed.",,2026-04-27T11:06:10Z,45136.36,1,5711854159,https://www.adzuna.com/land/ad/5711854159?se=Ttdoc0tC8RGUJvt2BbOskg&utm_medium=api&utm_source=abfa41a4&v=9F2C6B1D491C7A73C6600D496577BEDC5A9C5744,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,Uber,Adzuna::API::Response::Company,Adzuna::API::Response::Location,['US'],US
-77.04906,,Adzuna::API::Response::Job,41080.28,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMTg1NDE1NiIsInMiOiJUdGRvYzB0QzhSR1VKdnQyQmJPc2tnIn0.QZDSc5y1n80DKXmAmB3jbyEfToV-4H89wDRMLL5L6Fg,part_time,"Earn at least $3200 driving with Uber when you complete your first 226 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 226 trips with Ub…","Choose your schedule - Earn At Least $3200 For Your First 226 Trips, Guaranteed.",38.90053,2026-04-27T11:06:10Z,41080.28,1,5711854156,https://www.adzuna.com/land/ad/5711854156?se=Ttdoc0tC8RGUJvt2BbOskg&utm_medium=api&utm_source=abfa41a4&v=444D31E9F3FE62CA18B4517A0EFDA6AD23D2AA23,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,Uber,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Virginia', 'Arlington County', 'Rosslyn']","Rosslyn, Arlington County"
-77.017997,,Adzuna::API::Response::Job,34226.29,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMTg1NDE1OCIsInMiOiJUdGRvYzB0QzhSR1VKdnQyQmJPc2tnIn0.wkYw_5zw7tTuufOCuNKg0hbzY-79hONinFEEdv2s_4c,part_time,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",Earn Cash - Drive with Uber,38.877497,2026-04-27T11:06:10Z,34226.29,1,5711854158,https://www.adzuna.com/land/ad/5711854158?se=Ttdoc0tC8RGUJvt2BbOskg&utm_medium=api&utm_source=abfa41a4&v=38F8E3BAA71037CA99B0D8C314DF7AC03C0CDC15,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,Uber,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Virginia', 'Arlington County', 'Crystal']","Crystal, Arlington County"
,,Adzuna::API::Response::Job,46338.95,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVHRkb2MwdEM4UkdVSnZ0MkJiT3NrZyIsImkiOiI1NzExODU0MTUzIn0.CL75S87SOiZGNyi6af7Zp3XkNtT8wd_WF22EeGFv1iU,part_time,"Earn at least $3200 driving with Uber when you complete your first 226 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 226 trips with Ub…","Fast Pay - Earn at least $3200 in your first 226 trips, guaranteed.",,2026-04-27T11:06:09Z,46338.95,1,5711854153,https://www.adzuna.com/land/ad/5711854153?se=Ttdoc0tC8RGUJvt2BbOskg&utm_medium=api&utm_source=abfa41a4&v=D4B7B4B5F265F2547BF8D3574AD9AA5EBBB7B08C,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,Uber,Adzuna::API::Response::Company,Adzuna::API::Response::Location,['US'],US
-77.04815,,Adzuna::API::Response::Job,34451.33,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVHRkb2MwdEM4UkdVSnZ0MkJiT3NrZyIsImkiOiI1NzExODU0MTUyIn0.e6-2YlqhKq1pzHSNDxA7JiZxIPSc3kdC8zoY2ArqYM8,part_time,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",Want Cash Jobs? Earn With Uber Instead,38.8932,2026-04-27T11:06:09Z,34451.33,1,5711854152,https://www.adzuna.com/land/ad/5711854152?se=Ttdoc0tC8RGUJvt2BbOskg&utm_medium=api&utm_source=abfa41a4&v=49D233B2FE47202D90B0EC3B0E3337EB58E8C2C6,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,Uber,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Virginia', 'Arlington County', 'Rosslyn']","Rosslyn, Arlington County"
,,Adzuna::API::Response::Job,37937.65,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMTg1NDE1NCIsInMiOiJUdGRvYzB0QzhSR1VKdnQyQmJPc2tnIn0.fYGy7pXeI8E608UOeUbUSzOa1qjpQJcIBSDt15CiWzU,part_time,"Earn at least $3200 driving with Uber when you complete your first 226 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 226 trips with Ub…",Flexible schedule - Earn at least $3200 by driving 226 trips with Uber,,2026-04-27T11:06:09Z,37937.65,1,5711854154,https://www.adzuna.com/land/ad/5711854154?se=Ttdoc0tC8RGUJvt2BbOskg&utm_medium=api&utm_source=abfa41a4&v=2BBE15B91B8DAA586A8143520BCAAC982936ED32,Travel Jobs,travel-jobs,Adzuna::API::Response::Category,Uber,Adzuna::API::Response::Company,Adzuna::API::Response::Location,['US'],US
