longitude,adref,contract_time,redirect_url,latitude,created,__CLASS__,salary_is_predicted,salary_max,title,id,salary_min,description,category.tag,category.__CLASS__,category.label,location.display_name,location.area,location.__CLASS__,company.__CLASS__,company.display_name,contract_type
-71.466563,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkhtVVhoZEQ4UkdrQnNScW1FbnZJdyIsImkiOiI1NzEyODI2OTQyIn0.a-jwyDX28vcuLdAueAXtMxgqwZha6X7JZPnidM8MLcA,part_time,https://www.adzuna.com/land/ad/5712826942?se=ZHmUXhdD8RGkBsRqmEnvIw&utm_medium=api&utm_source=abfa41a4&v=1ED133F97E481653A9DD194A84E719D482368104,42.991246,2026-04-28T11:30:47Z,Adzuna::API::Response::Job,1,37435.74,Earn extra cash - Sign up and drive with Uber,5712826942,37435.74,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",travel-jobs,Adzuna::API::Response::Category,Travel Jobs,"Manchester, Hillsborough County","['US', 'New Hampshire', 'Hillsborough County', 'Manchester']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Uber,
-75.16548,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkhtVVhoZEQ4UkdrQnNScW1FbnZJdyIsImkiOiI1NzEyODI2OTMwIn0.HfoVtvjHP0AmOCeopNIS0fKB_0oamqhoAQD4FPAKRbc,full_time,https://www.adzuna.com/details/5712826930?utm_medium=api&utm_source=abfa41a4,39.95208,2026-04-28T11:30:34Z,Adzuna::API::Response::Job,1,87039.96,Class A Driver,5712826930,87039.96,"At Bunzl, we consider our Drivers as the heart of our business, serving as both ambassadors for the company and the key point of contact with our customers. Our Drivers are valued as a trusted partner and an essential member of the Bunzl family A Day in the Life : Safely drive and operate a Class A tractor-trailer or other commercial vehicles. Perform pre-trip and post-trip inspections of the vehicle. Deliver goods in a timely and safe manner to customer locations, both local and long-distance.…",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,"Middle East, Philadelphia County","['US', 'Pennsylvania', 'Philadelphia County', 'Middle East']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Bunzl,
-71.013284,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkhtVVhoZEQ4UkdrQnNScW1FbnZJdyIsImkiOiI1NzEyODI2OTE5In0.zUFWY8Za3ALSc6FeMHy5AJTbMo8MFpUGwfJ54rA_0hM,full_time,https://www.adzuna.com/details/5712826919?utm_medium=api&utm_source=abfa41a4,42.594128,2026-04-28T11:30:33Z,Adzuna::API::Response::Job,1,67798.3,Board Certified Behavior Analyst School 2026-2027 SY,5712826919,67798.3,"$2,000 Completion Bonus  $3,000 in referral bonuses! Start the 2026–2027 school year strong with Epic Special Education Staffing. We’re offering a $2,000 Completion Bonus for eligible clinicians and educators who commit to and complete their full school year assignment (30 hours/week), plus the opportunity to earn up to $3,000 in referral bonuses. Whether you're looking for a local or travel opportunity, we’ll help you find the right fit where you can do your best work and make a difference eve…",teaching-jobs,Adzuna::API::Response::Category,Teaching Jobs,"Middleton, Essex County","['US', 'Massachusetts', 'Essex County', 'Middleton']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Epic Special Education Staffing,
-70.903187,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMjgyNjkxNyIsInMiOiJaSG1VWGhkRDhSR2tCc1JxbUVudkl3In0.HfzKtxZJU09IV0VMnE9kIKixso-HrBM3rUz8BX08Wl4,full_time,https://www.adzuna.com/details/5712826917?utm_medium=api&utm_source=abfa41a4,42.516044,2026-04-28T11:30:33Z,Adzuna::API::Response::Job,1,84516.16,Board Certified Behavior Analyst School 2026-2027 SY,5712826917,84516.16,"$2,000 Completion Bonus  $3,000 in referral bonuses! Start the 2026–2027 school year strong with Epic Special Education Staffing. We’re offering a $2,000 Completion Bonus for eligible clinicians and educators who commit to and complete their full school year assignment (30 hours/week), plus the opportunity to earn up to $3,000 in referral bonuses. Whether you're looking for a local or travel opportunity, we’ll help you find the right fit where you can do your best work and make a difference eve…",teaching-jobs,Adzuna::API::Response::Category,Teaching Jobs,"Hathorne, Danvers","['US', 'Massachusetts', 'Essex County', 'Danvers', 'Hathorne']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Epic Special Education Staffing,
-70.896731,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMjgyNjkyMSIsInMiOiJaSG1VWGhkRDhSR2tCc1JxbUVudkl3In0.M77m_vPAKIxaCFA4N76jfkFsqlkvIvZcoxOG096uOaw,full_time,https://www.adzuna.com/details/5712826921?utm_medium=api&utm_source=abfa41a4,42.718697,2026-04-28T11:30:33Z,Adzuna::API::Response::Job,1,60413.47,Board Certified Behavior Analyst School 2026-2027 SY,5712826921,60413.47,"$2,000 Completion Bonus  $3,000 in referral bonuses! Start the 2026–2027 school year strong with Epic Special Education Staffing. We’re offering a $2,000 Completion Bonus for eligible clinicians and educators who commit to and complete their full school year assignment (30 hours/week), plus the opportunity to earn up to $3,000 in referral bonuses. Whether you're looking for a local or travel opportunity, we’ll help you find the right fit where you can do your best work and make a difference eve…",teaching-jobs,Adzuna::API::Response::Category,Teaching Jobs,"Rowley, Essex County","['US', 'Massachusetts', 'Essex County', 'Rowley']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Epic Special Education Staffing,
-71.18917,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkhtVVhoZEQ4UkdrQnNScW1FbnZJdyIsImkiOiI1NzEyODI2OTI5In0.toRSfScfSkPckjFLjggaRfISql9cRb6mArnLKCElLjE,full_time,https://www.adzuna.com/details/5712826929?utm_medium=api&utm_source=abfa41a4,42.38829,2026-04-28T11:30:33Z,Adzuna::API::Response::Job,1,63653.75,Board Certified Behavior Analyst School 2026-2027 SY,5712826929,63653.75,"$2,000 Completion Bonus  $3,000 in referral bonuses! Start the 2026–2027 school year strong with Epic Special Education Staffing. We’re offering a $2,000 Completion Bonus for eligible clinicians and educators who commit to and complete their full school year assignment (30 hours/week), plus the opportunity to earn up to $3,000 in referral bonuses. Whether you're looking for a local or travel opportunity, we’ll help you find the right fit where you can do your best work and make a difference eve…",teaching-jobs,Adzuna::API::Response::Category,Teaching Jobs,"Belmont, Middlesex County","['US', 'Massachusetts', 'Middlesex County', 'Belmont']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Epic Special Education Staffing,
-70.85328,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkhtVVhoZEQ4UkdrQnNScW1FbnZJdyIsImkiOiI1NzEyODI2OTE4In0.Q7Z7Zfg9tWxIZYV5bkTty91dhA1usnKeMENra39j9ME,full_time,https://www.adzuna.com/details/5712826918?utm_medium=api&utm_source=abfa41a4,42.56646,2026-04-28T11:30:33Z,Adzuna::API::Response::Job,1,82891.19,Board Certified Behavior Analyst School 2026-2027 SY,5712826918,82891.19,"$2,000 Completion Bonus  $3,000 in referral bonuses! Start the 2026–2027 school year strong with Epic Special Education Staffing. We’re offering a $2,000 Completion Bonus for eligible clinicians and educators who commit to and complete their full school year assignment (30 hours/week), plus the opportunity to earn up to $3,000 in referral bonuses. Whether you're looking for a local or travel opportunity, we’ll help you find the right fit where you can do your best work and make a difference eve…",teaching-jobs,Adzuna::API::Response::Category,Teaching Jobs,"Beverly, Essex County","['US', 'Massachusetts', 'Essex County', 'Beverly']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Epic Special Education Staffing,
-70.947281,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMjgyNjkwOSIsInMiOiJaSG1VWGhkRDhSR2tCc1JxbUVudkl3In0.YscSV3wleHphK2rWY0JozttthmKLE63ugvoqFFHcXqQ,full_time,https://www.adzuna.com/details/5712826909?utm_medium=api&utm_source=abfa41a4,42.640202,2026-04-28T11:30:32Z,Adzuna::API::Response::Job,1,70757.99,Board Certified Behavior Analyst School 2026-2027 SY,5712826909,70757.99,"$2,000 Completion Bonus  $3,000 in referral bonuses! Start the 2026–2027 school year strong with Epic Special Education Staffing. We’re offering a $2,000 Completion Bonus for eligible clinicians and educators who commit to and complete their full school year assignment (30 hours/week), plus the opportunity to earn up to $3,000 in referral bonuses. Whether you're looking for a local or travel opportunity, we’ll help you find the right fit where you can do your best work and make a difference eve…",teaching-jobs,Adzuna::API::Response::Category,Teaching Jobs,"Topsfield, Essex County","['US', 'Massachusetts', 'Essex County', 'Topsfield']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Epic Special Education Staffing,
-70.92574,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMjgyNjkxNSIsInMiOiJaSG1VWGhkRDhSR2tCc1JxbUVudkl3In0.6EKSXTewcZFGkWk8LObJuaDz4Ztp4cQ46qzr76FbKTI,full_time,https://www.adzuna.com/details/5712826915?utm_medium=api&utm_source=abfa41a4,42.426294,2026-04-28T11:30:32Z,Adzuna::API::Response::Job,1,63228.96,Board Certified Behavior Analyst School 2026-2027 SY,5712826915,63228.96,"$2,000 Completion Bonus  $3,000 in referral bonuses! Start the 2026–2027 school year strong with Epic Special Education Staffing. We’re offering a $2,000 Completion Bonus for eligible clinicians and educators who commit to and complete their full school year assignment (30 hours/week), plus the opportunity to earn up to $3,000 in referral bonuses. Whether you're looking for a local or travel opportunity, we’ll help you find the right fit where you can do your best work and make a difference eve…",teaching-jobs,Adzuna::API::Response::Category,Teaching Jobs,"Nahant, Essex County","['US', 'Massachusetts', 'Essex County', 'Nahant']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Epic Special Education Staffing,
-70.97334,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMjgyNjkwOCIsInMiOiJaSG1VWGhkRDhSR2tCc1JxbUVudkl3In0.GvZX67MHdrHADwFFin90a2_XHjQFbQ9KoAusQCbqRAk,full_time,https://www.adzuna.com/details/5712826908?utm_medium=api&utm_source=abfa41a4,42.53286,2026-04-28T11:30:32Z,Adzuna::API::Response::Job,1,79945.06,Board Certified Behavior Analyst School 2026-2027 SY,5712826908,79945.06,"$2,000 Completion Bonus  $3,000 in referral bonuses! Start the 2026–2027 school year strong with Epic Special Education Staffing. We’re offering a $2,000 Completion Bonus for eligible clinicians and educators who commit to and complete their full school year assignment (30 hours/week), plus the opportunity to earn up to $3,000 in referral bonuses. Whether you're looking for a local or travel opportunity, we’ll help you find the right fit where you can do your best work and make a difference eve…",teaching-jobs,Adzuna::API::Response::Category,Teaching Jobs,"West Peabody, Essex County","['US', 'Massachusetts', 'Essex County', 'West Peabody']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Epic Special Education Staffing,
