salary_max,description,id,contract_time,created,__CLASS__,salary_is_predicted,latitude,salary_min,redirect_url,adref,title,longitude,company.__CLASS__,company.display_name,category.tag,category.__CLASS__,category.label,location.area,location.display_name,location.__CLASS__,contract_type
33205.06,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",5713710170,part_time,2026-04-29T11:17:32Z,Adzuna::API::Response::Job,1,47.140764,33205.06,https://www.adzuna.com/land/ad/5713710170?se=bGGqSd9D8RG_9IKjJWSdHA&utm_medium=api&utm_source=abfa41a4&v=192323525F0760DE51D3E19D54641CBE1664AC4C,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYkdHcVNkOUQ4UkdfOUlLakpXU2RIQSIsImkiOiI1NzEzNzEwMTcwIn0.bS025lX03EsZWSh4njPs8fe8h_nlVBzllCvu-vQhDDc,Driver - Make Money On Your Schedule,-110.221814,Adzuna::API::Response::Company,Uber,travel-jobs,Adzuna::API::Response::Category,Travel Jobs,"['US', 'Montana', 'Judith Basin County', 'Stanford']","Stanford, Judith Basin County",Adzuna::API::Response::Location,
10292.0,"Registered Nurse (RN) | Operating Room Location: Aberdeen, WA Agency: AHS Staffing Pay: $2,573 per week Shift Information: Days - 5 days x 8 hours Contract Duration: 14 Weeks Start Date: 5/18/2026 About the Position AHS Staffing is looking for a Operating Room Registered Nurse in Aberdeen, WA for a Long Term (Travel) position. This assignment is expected to last 13 weeks. Apply today to speak with a recruiter about the position!",5713710141,full_time,2026-04-29T11:17:25Z,Adzuna::API::Response::Job,0,47.091776,10292.0,https://www.adzuna.com/details/5713710141?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYkdHcVNkOUQ4UkdfOUlLakpXU2RIQSIsImkiOiI1NzEzNzEwMTQxIn0.liIsAtfRCR2zl1gQ4-dXc9SuU10KvDVRF3je3B2ydnk,"Travel Nurse RN - Operating Room - $2,573 per week in Aberdeen, WA",-123.852641,Adzuna::API::Response::Company,AHS Staffing,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Washington', 'Grays Harbor County', 'Aberdeen']","Aberdeen, Grays Harbor County",Adzuna::API::Response::Location,contract
7220.0,"Registered Nurse (RN) | Progressive Care Unit Location: Shelby, NC Agency: AHS Staffing Pay: $1,805 per week Shift Information: Nights - 5 days x 8 hours Contract Duration: 13 Weeks Start Date: 5/11/2026 About the Position TravelNurseSource is working with AHS Staffing to find a qualified PCU RN in Shelby, North Carolina, 28150! AHS Staffing is looking for a PCU - Step Down Registered Nurse in Shelby, NC for a Long Term (Travel) position. This assignment is expected to last 12 weeks. Apply toda…",5713710073,full_time,2026-04-29T11:17:24Z,Adzuna::API::Response::Job,0,35.292351,7220.0,https://www.adzuna.com/details/5713710073?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYkdHcVNkOUQ4UkdfOUlLakpXU2RIQSIsImkiOiI1NzEzNzEwMDczIn0.oKyva6BwcltVCB4soDPlnuwTcLeAtpTsxxhhqeXNhnY,"Travel Nurse RN - Progressive Care Unit - $1,805 per week in Shelby, NC",-81.535646,Adzuna::API::Response::Company,TravelNurseSource,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'North Carolina', 'Cleveland County', 'Shelby']","Shelby, Cleveland County",Adzuna::API::Response::Location,contract
9052.0,"Registered Nurse (RN) | Hospice Location: Chillicothe, OH Agency: AHS Staffing Pay: $2,263 per week Shift Information: Nights - 5 days x 8 hours Contract Duration: 13 Weeks Start Date: 5/11/2026 About the Position AHS Staffing is looking for a Hospice Registered Nurse in Chillicothe, OH for a Long Term (Travel) position. This assignment is expected to last 13 weeks. Apply today to speak with a recruiter about the position!",5713710110,full_time,2026-04-29T11:17:24Z,Adzuna::API::Response::Job,0,39.33312,9052.0,https://www.adzuna.com/details/5713710110?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYkdHcVNkOUQ4UkdfOUlLakpXU2RIQSIsImkiOiI1NzEzNzEwMTEwIn0.c_BLgOsbM_u-81RIkWnVoZq8fyKIK0LnbMAhk_dWxwM,"Travel Nurse RN - Hospice - $2,263 per week in Chillicothe, OH",-82.982402,Adzuna::API::Response::Company,AHS Staffing,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Ohio', 'Ross County', 'Chillicothe']","Chillicothe, Ross County",Adzuna::API::Response::Location,contract
6548.0,"Registered Nurse (RN) | Operating Room Location: Naples, FL Agency: AHS Staffing Pay: $1,637 per week Shift Information: Days - 5 days x 8 hours Contract Duration: 14 Weeks Start Date: 5/11/2026 About the Position TravelNurseSource is working with AHS Staffing to find a qualified OR RN in Naples, Florida, 34119! AHS Staffing is looking for a Operating Room Registered Nurse in Naples, FL for a Long Term (Travel) position. This assignment is expected to last 13 weeks. Apply today to speak with a …",5713710088,full_time,2026-04-29T11:17:24Z,Adzuna::API::Response::Job,0,26.162386,6548.0,https://www.adzuna.com/details/5713710088?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMzcxMDA4OCIsInMiOiJiR0dxU2Q5RDhSR185SUtqSldTZEhBIn0.m0GqUkRvwpQM0jcxDDxVkBaj2RhhxSRbPgVqPHdZnao,"Travel Nurse RN - Operating Room - $1,637 per week in Naples, FL",-81.791059,Adzuna::API::Response::Company,TravelNurseSource,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Florida', 'Collier County', 'Naples']","Naples, Collier County",Adzuna::API::Response::Location,contract
8056.0,"Registered Nurse (RN) | Medical-Surgical Location: Newburgh, IN Agency: AHS Staffing Pay: $2,014 per week Shift Information: Days - 5 days x 8 hours Contract Duration: 13 Weeks Start Date: 5/4/2026 About the Position AHS Staffing is looking for a Med - Surg - Neuro Registered Nurse in Newburgh, IN for a Long Term (Travel) position. This assignment is expected to last 13 weeks. Apply today to speak with a recruiter about the position!",5713710068,full_time,2026-04-29T11:17:24Z,Adzuna::API::Response::Job,0,37.944488,8056.0,https://www.adzuna.com/details/5713710068?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMzcxMDA2OCIsInMiOiJiR0dxU2Q5RDhSR185SUtqSldTZEhBIn0.YUKddNOOfR2zAlNXSOziC0f5NyhbOMSZs5Zww8GlW-w,"Travel Nurse RN - Medical-Surgical - $2,014 per week in Newburgh, IN",-87.405287,Adzuna::API::Response::Company,AHS Staffing,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Indiana', 'Warrick County', 'Newburgh']","Newburgh, Warrick County",Adzuna::API::Response::Location,contract
7748.0,"Registered Nurse (RN) | Oncology Location: Asheville, NC Agency: AHS Staffing Pay: $1,937 per week Shift Information: Days - 5 days x 8 hours Contract Duration: 14 Weeks Start Date: 5/18/2026 About the Position TravelNurseSource is working with AHS Staffing to find a qualified Oncology RN in Asheville, North Carolina, 28803! AHS Staffing is looking for a Oncology Registered Nurse in Asheville, NC for a Long Term (Travel) position. This assignment is expected to last 13 weeks. Apply today to spe…",5713710090,full_time,2026-04-29T11:17:24Z,Adzuna::API::Response::Job,0,35.592746,7748.0,https://www.adzuna.com/details/5713710090?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMzcxMDA5MCIsInMiOiJiR0dxU2Q5RDhSR185SUtqSldTZEhBIn0.Cxh4BaMJibp69Gy6RtiVz9mtW1Sf_Icdhyj1WoUYO5s,"Travel Nurse RN - Oncology - $1,937 per week in Asheville, NC",-82.556456,Adzuna::API::Response::Company,TravelNurseSource,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'North Carolina', 'Buncombe County', 'Asheville']","Asheville, Buncombe County",Adzuna::API::Response::Location,contract
6676.0,"Registered Nurse (RN) | Emergency Room (ER) / Trauma Location: Alexandria, LA Agency: AHS Staffing Pay: $1,669 per week Shift Information: Nights - 5 days x 8 hours Contract Duration: 14 Weeks Start Date: 5/18/2026 About the Position TravelNurseSource is working with AHS Staffing to find a qualified ER/Trauma RN in Alexandria, Louisiana, 71301! AHS Staffing is looking for a Emergency Room Registered Nurse in Alexandria, LA for a Long Term (Travel) position. This assignment is expected to last 1…",5713710128,full_time,2026-04-29T11:17:24Z,Adzuna::API::Response::Job,0,31.255722,6676.0,https://www.adzuna.com/details/5713710128?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMzcxMDEyOCIsInMiOiJiR0dxU2Q5RDhSR185SUtqSldTZEhBIn0.yzEvL60VSbaIC7X9RX2fhXyHGLt0vg1a_h-dZOjnLWw,"Travel Nurse RN - Emergency Room (ER) / Trauma - $1,669 per week in Alexandria, LA",-92.474154,Adzuna::API::Response::Company,TravelNurseSource,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Louisiana', 'Rapides Parish', 'Alexandria']","Alexandria, Rapides Parish",Adzuna::API::Response::Location,contract
9052.0,"Registered Nurse (RN) | Hospice Location: Chillicothe, OH Agency: AHS Staffing Pay: $2,263 per week Shift Information: Nights - 5 days x 8 hours Contract Duration: 13 Weeks Start Date: 5/11/2026 About the Position TravelNurseSource is working with AHS Staffing to find a qualified Hospice RN in Chillicothe, Ohio, 45601! AHS Staffing is looking for a Hospice Registered Nurse in Chillicothe, OH for a Long Term (Travel) position. This assignment is expected to last 13 weeks. Apply today to speak wi…",5713710116,full_time,2026-04-29T11:17:24Z,Adzuna::API::Response::Job,0,39.33312,9052.0,https://www.adzuna.com/details/5713710116?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMzcxMDExNiIsInMiOiJiR0dxU2Q5RDhSR185SUtqSldTZEhBIn0.beeK-flQcxMdpjRpLNAMBBniN9IRDeh9DMv49OLoMBc,"Travel Nurse RN - Hospice - $2,263 per week in Chillicothe, OH",-82.982402,Adzuna::API::Response::Company,TravelNurseSource,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Ohio', 'Ross County', 'Chillicothe']","Chillicothe, Ross County",Adzuna::API::Response::Location,contract
8400.0,"Registered Nurse (RN) | Labor & Delivery Location: Nampa, ID Agency: AHS Staffing Pay: $2,100 per week Shift Information: Nights - 5 days x 8 hours Contract Duration: 13 Weeks Start Date: 5/10/2026 About the Position TravelNurseSource is working with AHS Staffing to find a qualified Labor/Delivery RN in Nampa, Idaho, 83687! AHS Staffing is looking for a Labor & Delivery Registered Nurse in Nampa, ID for a Long Term (Travel) position. This assignment is expected to last 13 weeks. Apply today to …",5713710106,full_time,2026-04-29T11:17:24Z,Adzuna::API::Response::Job,0,43.589626,8400.0,https://www.adzuna.com/details/5713710106?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMzcxMDEwNiIsInMiOiJiR0dxU2Q5RDhSR185SUtqSldTZEhBIn0.OztqmPxTiiz_XpNw1dn2QfohnMLtInuDAkhKZTPv4fc,"Travel Nurse RN - Labor & Delivery - $2,100 per week in Nampa, ID",-116.613231,Adzuna::API::Response::Company,TravelNurseSource,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Idaho', 'Canyon County', 'Nampa']","Nampa, Canyon County",Adzuna::API::Response::Location,contract
8024.0,"Registered Nurse (RN) | Emergency Room (ER) / Trauma Location: Petersburg, VA Agency: AHS Staffing Pay: $2,006 per week Shift Information: Nights - 5 days x 8 hours Contract Duration: 13 Weeks Start Date: 5/26/2026 About the Position TravelNurseSource is working with AHS Staffing to find a qualified ER/Trauma RN in Petersburg, Virginia, 23805! AHS Staffing is looking for a Emergency Room Registered Nurse in Petersburg, VA for a Long Term (Travel) position. This assignment is expected to last 12…",5713710133,full_time,2026-04-29T11:17:24Z,Adzuna::API::Response::Job,0,37.200572,8024.0,https://www.adzuna.com/details/5713710133?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxMzcxMDEzMyIsInMiOiJiR0dxU2Q5RDhSR185SUtqSldTZEhBIn0.x6Sismyqfw8KrM3w00XSyfwjZ9Lt7TPP7o16TS_k-gI,"Travel Nurse RN - Emergency Room (ER) / Trauma - $2,006 per week in Petersburg, VA",-77.45716,Adzuna::API::Response::Company,TravelNurseSource,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Virginia', 'Petersburg City']","Petersburg City, Virginia",Adzuna::API::Response::Location,contract
