__CLASS__,created,title,salary_is_predicted,latitude,id,description,salary_max,salary_min,redirect_url,longitude,adref,category.__CLASS__,category.tag,category.label,location.__CLASS__,location.area,location.display_name,company.__CLASS__,company.display_name,contract_type,contract_time
Adzuna::API::Response::Job,2026-04-30T11:08:23Z,"Travel Nurse RN - Telemetry PCU - Progressive Care Unit - $2,067 per week",0,42.401,5714558134,"Travel Nurses, Inc. is seeking a travel nurse RN Telemetry PCU - Progressive Care Unit for a travel nursing job in Sioux City, Iowa. Job Description & Requirements Specialty: Telemetry PCU - Progressive Care Unit Discipline: RN Start Date: 05/26/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours Employment Type: Travel Travel Nurses, Inc. Job ID 318821. Pay package is based on 12 hour shifts and 36 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Po…",107484.0,0.0,https://www.adzuna.com/land/ad/5714558134?se=Ft50vKdE8RGPWoK5udSAWA&utm_medium=api&utm_source=abfa41a4&v=31D42E547A6E80205110A9D6A8D13D3B662170DA,-96.373,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNDU1ODEzNCIsInMiOiJGdDUwdktkRThSR1BXb0s1dWRTQVdBIn0.S-HDvHOhtcBNQb5uWihte5ggTKz_5D81_wJtnCaSgis,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"['US', 'Iowa', 'Woodbury County', 'Sergeant Bluff']","Sergeant Bluff, Woodbury County",Adzuna::API::Response::Company,"Travel Nurses, Inc.",,
Adzuna::API::Response::Job,2026-04-30T11:08:23Z,"Travel Medical-Surgical/Telemetry RN – ED Holding Support - $2,123 per week",0,34.144634,5714558126,"Wellspring Nurse Source is seeking a travel nurse RN Telemetry for a travel nursing job in Wilmington, North Carolina. Job Description & Requirements Specialty: Telemetry Discipline: RN Start Date: 05/18/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Consults and coordinates with health care team members to assess, plan, implement and evaluate patient care plans. Prepares and administers (orally, subcutaneously, through an IV) and records prescribed me…",110396.0,0.0,https://www.adzuna.com/land/ad/5714558126?se=Ft50vKdE8RGPWoK5udSAWA&utm_medium=api&utm_source=abfa41a4&v=BC51E55FC7BC224EC52911E67C4A2DA8E5E66CF3,-77.912569,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNDU1ODEyNiIsInMiOiJGdDUwdktkRThSR1BXb0s1dWRTQVdBIn0.D7zZ6GekKa8O7pJ-5f-pU4aH0UjsWDl4b7dBCZ6oLBU,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"['US', 'North Carolina', 'New Hanover County', 'Wilmington']","Wilmington, New Hanover County",Adzuna::API::Response::Company,Wellspring Nurse Source,,
Adzuna::API::Response::Job,2026-04-30T11:08:23Z,Local Contract Medical-Surgical Telemetry RN - $58 per hour,0,36.095485,5714558131,"Assured Nursing is seeking a local contract nurse RN Telemetry for a local contract nursing job in Tulsa, Oklahoma. Job Description & Requirements Specialty: Telemetry Discipline: RN Start Date: 06/01/2026 Duration: 13 weeks 48 hours per week Shift: 12 hours, nights Employment Type: Local Contract Consults and coordinates with health care team members to assess, plan, implement and evaluate patient care plans. Prepares and administers (orally, subcutaneously, through an IV) and records prescrib…",120640.0,0.0,https://www.adzuna.com/land/ad/5714558131?se=Ft50vKdE8RGPWoK5udSAWA&utm_medium=api&utm_source=abfa41a4&v=CE3D25BA6AB36667894AED87C7CFCD816D22BEEF,-95.884034,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRnQ1MHZLZEU4UkdQV29LNXVkU0FXQSIsImkiOiI1NzE0NTU4MTMxIn0.7kirTWx4x7o5IEWztO0zgL4yAEZfua6q-xeS8tGEIvI,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"['US', 'Oklahoma', 'Tulsa County', 'Williams']","Williams, Tulsa County",Adzuna::API::Response::Company,Assured Nursing,,
Adzuna::API::Response::Job,2026-04-30T11:08:23Z,"Travel Medical-Surgical Registered Nurse - $2,326 per week",0,31.25424,5714558133,"Assured Nursing is seeking a travel nurse RN Med Surg / Telemetry for a travel nursing job in Dothan, Alabama. Job Description & Requirements Specialty: Med Surg / Telemetry Discipline: RN Start Date: 05/25/2026 Duration: 13 weeks 48 hours per week Shift: 12 hours, days Employment Type: Travel BLS required AL or compact license required 90 mile radius rule -Looking for candidates that have worked in large healthcare facilities -Travel experience required, BUT if candidate has a lot of experienc…",120952.0,0.0,https://www.adzuna.com/land/ad/5714558133?se=Ft50vKdE8RGPWoK5udSAWA&utm_medium=api&utm_source=abfa41a4&v=6D8A164FD6DD784AB99E0043AF43098F3BDE5785,-85.3989,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNDU1ODEzMyIsInMiOiJGdDUwdktkRThSR1BXb0s1dWRTQVdBIn0.2PiCk7A9sjGyNNbb5IyuuhMQddhrbeKyOWnTbw7_C0o,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"['US', 'Alabama', 'Houston County', 'Kelly Springs']","Kelly Springs, Houston County",Adzuna::API::Response::Company,Assured Nursing,,
Adzuna::API::Response::Job,2026-04-30T11:08:23Z,"Travel CVICU Registered Nurse - $2,335 per week",0,35.9626,5714558132,"American Traveler is seeking a travel nurse RN CVICU for a travel nursing job in Knoxville, Tennessee. Job Description & Requirements Specialty: CVICU Discipline: RN Start Date: 06/01/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Assignment Overview Shift: Nights, 3x12hrs Hours: 36 hrs/wk Start Date: Jun 1, 2026 Length: 13 weeks Openings: 1 Description American Traveler is seeking an experienced RN for a CVICU position requiring AHA-certified ACLS and…",121420.0,0.0,https://www.adzuna.com/land/ad/5714558132?se=Ft50vKdE8RGPWoK5udSAWA&utm_medium=api&utm_source=abfa41a4&v=DDE79B4FC9DDDF9069DB16467C50E16EFC74C58C,-83.9168,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRnQ1MHZLZEU4UkdQV29LNXVkU0FXQSIsImkiOiI1NzE0NTU4MTMyIn0.5uPPU19AEFrFZd5TIVOhEtmbsQ9K5IeG0bVOlZ3pgqQ,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"['US', 'Tennessee', 'Knox County', 'Knoxville']","Knoxville, Knox County",Adzuna::API::Response::Company,American Traveler,,
Adzuna::API::Response::Job,2026-04-30T11:08:23Z,"Travel Radiology Registered Nurse - $2,824 per week",0,43.1315,5714558129,"PRIDE Health is seeking a travel nurse RN Radiology for a travel nursing job in Rochester, New York. Job Description & Requirements Specialty: Radiology Discipline: RN Start Date: 06/08/2026 Duration: 13 weeks 40 hours per week Shift: 10 hours, days Employment Type: Travel Pride Health Job ID 18229648. Pay package is based on 10 hour shifts and 40.0 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted job title: RN:Radiology,07:00:00-17:00:00 About PRID…",146848.0,0.0,https://www.adzuna.com/land/ad/5714558129?se=Ft50vKdE8RGPWoK5udSAWA&utm_medium=api&utm_source=abfa41a4&v=591E66ED2CF805A2F33341DF68A87550EED7B694,-77.6085,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRnQ1MHZLZEU4UkdQV29LNXVkU0FXQSIsImkiOiI1NzE0NTU4MTI5In0.JwIHI4biSpVIsxjbxE_xAD5D-ot673kwgQkVJrCyU78,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"['US', 'New York', 'Monroe County', 'Loehmanns Plaza']","Loehmanns Plaza, Monroe County",Adzuna::API::Response::Company,PRIDE Health,,
Adzuna::API::Response::Job,2026-04-30T11:08:23Z,"Travel Medical-Surgical Registered Nurse - $1,948 per week",0,32.806296,5714558125,"Care Career is seeking a travel nurse RN Med Surg for a travel nursing job in Macon, Georgia. Job Description & Requirements Specialty: Med Surg Discipline: RN Start Date: ASAP Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Care Career Job ID 36636527. Pay package is based on 12 hour shifts and 36.0 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted job title: RN Med Surg About Care Career Care Career brings toget…",101296.0,0.0,https://www.adzuna.com/land/ad/5714558125?se=Ft50vKdE8RGPWoK5udSAWA&utm_medium=api&utm_source=abfa41a4&v=1DFE9E62251DF7EBC54C9ADFC048D54DDC17964D,-83.693211,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRnQ1MHZLZEU4UkdQV29LNXVkU0FXQSIsImkiOiI1NzE0NTU4MTI1In0.nxm3-ktgDfoMFhe4HHTVk5zFVSC4QW892TJncaA8hYE,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"['US', 'Georgia', 'Bibb County', 'Payne']","Payne, Bibb County",Adzuna::API::Response::Company,Care Career,,
Adzuna::API::Response::Job,2026-04-30T11:08:23Z,"Travel PCU Registered Nurse - $2,220 per week",0,38.05,5714558128,"American Traveler is seeking a travel nurse RN PCU - Progressive Care Unit for a travel nursing job in Lexington, Kentucky. Job Description & Requirements Specialty: PCU - Progressive Care Unit Discipline: RN Start Date: 06/16/2026 Duration: 14 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel Assignment Overview Shift: Days, 3x12hrs Hours: 36 hrs/wk Start Date: Jun 16, 2026 Length: 14 weeks Openings: 1 Description American Traveler is seeking an experienced RN for a Progres…",115440.0,0.0,https://www.adzuna.com/land/ad/5714558128?se=Ft50vKdE8RGPWoK5udSAWA&utm_medium=api&utm_source=abfa41a4&v=FF7BDC445CABC8E13A46D752A02F2E98DB4BDDF3,-84.5,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNDU1ODEyOCIsInMiOiJGdDUwdktkRThSR1BXb0s1dWRTQVdBIn0.LcLCc3ZvJqXHUv9mfNOAx78f8uq7G87U3ziVnQiU1QU,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"['US', 'Kentucky', 'Fayette County', 'Lexington']","Lexington, Fayette County",Adzuna::API::Response::Company,American Traveler,,
Adzuna::API::Response::Job,2026-04-30T11:08:23Z,"Travel Medical-Surgical Oncology RN - $1,875 per week",0,34.144634,5714558130,"Assured Nursing is seeking a travel nurse RN Med Surg for a travel nursing job in Wilmington, North Carolina. Job Description & Requirements Specialty: Med Surg Discipline: RN Start Date: 05/18/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Consults and coordinates with health care team members to assess, plan, implement and evaluate patient care plans. Prepares and administers (orally, subcutaneously, through an IV) and records prescribed medications.…",97500.0,0.0,https://www.adzuna.com/land/ad/5714558130?se=Ft50vKdE8RGPWoK5udSAWA&utm_medium=api&utm_source=abfa41a4&v=B40F7A658385219BE7A5582F17868849AAD97E54,-77.912569,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNDU1ODEzMCIsInMiOiJGdDUwdktkRThSR1BXb0s1dWRTQVdBIn0.tjY8g99eVTRvZEW6sy7NHH0JrzVCudWC4kD8HPxnV0M,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"['US', 'North Carolina', 'New Hanover County', 'Wilmington']","Wilmington, New Hanover County",Adzuna::API::Response::Company,Assured Nursing,,
Adzuna::API::Response::Job,2026-04-30T11:08:23Z,"Travel RN Med Surg/Telemetry - $2,164 per week",0,40.48482,5714558127,"Assured Nursing is seeking a travel nurse RN Med Surg / Telemetry for a travel nursing job in Huntingdon, Pennsylvania. Job Description & Requirements Specialty: Med Surg / Telemetry Discipline: RN Start Date: 05/18/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days, nights, rotating Employment Type: Travel Assured Nursing Job ID 36636917. Pay package is based on 12 hour shifts and 36.0 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted j…",112528.0,0.0,https://www.adzuna.com/land/ad/5714558127?se=Ft50vKdE8RGPWoK5udSAWA&utm_medium=api&utm_source=abfa41a4&v=E361C521CB88F76AC17638CB536F76C94BC7A997,-78.01038,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNDU1ODEyNyIsInMiOiJGdDUwdktkRThSR1BXb0s1dWRTQVdBIn0.TcDXsqmA08GRIOYY1Ra1ljJo8Pxq5_2A7MYkuXRGt7c,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Huntingdon County', 'Huntingdon']","Huntingdon, Huntingdon County",Adzuna::API::Response::Company,Assured Nursing,,
