longitude,id,contract_type,redirect_url,description,title,contract_time,salary_is_predicted,salary_max,latitude,salary_min,created,adref,__CLASS__,company.__CLASS__,company.display_name,location.area,location.display_name,location.__CLASS__,category.label,category.tag,category.__CLASS__
-92.536587,5717118895,contract,https://www.adzuna.com/land/ad/5717118895?se=apQ8CjFG8RGWDe7mYucB2w&utm_medium=api&utm_source=abfa41a4&v=FA133757C799B73E7AD2A4267CC6644D05FE1C93,"DataAnnotation is committed to creating high-quality AI. Join our team to help train the next generation of AI while enjoying the flexibility of remote work and the freedom to set your own schedule. This role is designed to fit a variety of lifestyles — whether you’re looking to contribute part-time alongside a current position, pursue it full-time, or engage periodically as a flexible professional opportunity. We're currently expanding into an exciting new area – teaching AI Assistant models t…",Remote Equity Research Analyst - AI Trainer ($50-$60 per hour),part_time,0,124800.0,45.123021,104000.0,2026-05-02T10:01:31Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYXBROENqRkc4UkdXRGU3bVl1Y0IydyIsImkiOiI1NzE3MTE4ODk1In0.ZDLXypBPksGJMwldcUnGaGHIxlGLayXz1ialv4um5as,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Data Annotation,"['US', 'Wisconsin', 'Saint Croix County', 'New Richmond']","New Richmond, Saint Croix County",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category
-77.399912,5717118890,contract,https://www.adzuna.com/land/ad/5717118890?se=apQ8CjFG8RGWDe7mYucB2w&utm_medium=api&utm_source=abfa41a4&v=6210E25C5E4AD51B95AC4F1708C346F4063EA135,"DataAnnotation is committed to creating high-quality AI. Join our team to help train the next generation of AI while enjoying the flexibility of remote work and the freedom to set your own schedule. This role is designed to fit a variety of lifestyles — whether you’re looking to contribute part-time alongside a current position, pursue it full-time, or engage periodically as a flexible professional opportunity. We're currently expanding into an exciting new area – teaching AI Assistant models t…",Remote Equity Research Analyst - AI Trainer ($50-$60 per hour),part_time,0,124800.0,39.014127,104000.0,2026-05-02T10:01:31Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNzExODg5MCIsInMiOiJhcFE4Q2pGRzhSR1dEZTdtWXVjQjJ3In0.olXB0o0BY-DD2lYA18yl8zwl_1-Z-UtpJYw0boRVhUg,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Data Annotation,"['US', 'Virginia', 'Loudoun County', 'Sterling']","Sterling, Loudoun County",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category
-114.568298,5717118893,contract,https://www.adzuna.com/land/ad/5717118893?se=apQ8CjFG8RGWDe7mYucB2w&utm_medium=api&utm_source=abfa41a4&v=7D207BC03299C2BA479692469F6FD29DAE853A45,"DataAnnotation is committed to creating high-quality AI. Join our team to help train the next generation of AI while enjoying the flexibility of remote work and the freedom to set your own schedule. This role is designed to fit a variety of lifestyles — whether you’re looking to contribute part-time alongside a current position, pursue it full-time, or engage periodically as a flexible professional opportunity. We're currently expanding into an exciting new area – teaching AI Assistant models t…",Remote Equity Research Analyst - AI Trainer ($50-$60 per hour),part_time,0,124800.0,35.147777,104000.0,2026-05-02T10:01:31Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNzExODg5MyIsInMiOiJhcFE4Q2pGRzhSR1dEZTdtWXVjQjJ3In0.0x-jyGxaXDmUoK2Q_cBbiSTpd1VY1bKVZccDAm9xSDs,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Data Annotation,"['US', 'Arizona', 'Mohave County', 'Bullhead City']","Bullhead City, Mohave County",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category
,5717118898,contract,https://www.adzuna.com/land/ad/5717118898?se=apQ8CjFG8RGWDe7mYucB2w&utm_medium=api&utm_source=abfa41a4&v=B581B3F3A8764BB32BD63D6A436FFCD285BED1D7,"Have a car? Earn a $700 SIGN ON BONUS  $3,000 GUARANTEE when you sign up to help transport others to healthcare appointments in your own vehicle around Connecticut! At Veyo, we help people get to and from their non-emergency medical appointments. We're looking for drivers to partner with us in your area. When you sign up to drive with Veyo, you will drive your own vehicle and set your own schedule. (*details below) Why Drive With Veyo? No Hidden Fees: You keep 100% of what you earn. Get Paid We…","Part-Time Driver – $3,000 Guarantee – Flexible Hours",part_time,1,16210.69,,16210.69,2026-05-02T10:01:31Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYXBROENqRkc4UkdXRGU3bVl1Y0IydyIsImkiOiI1NzE3MTE4ODk4In0.jsNFtIPxDMbGCOkIGUH9ylLWly7muR1277qNmpgRRDw,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Veyo,['US'],US,Adzuna::API::Response::Location,Part time Jobs,part-time-jobs,Adzuna::API::Response::Category
-89.007842,5717118892,contract,https://www.adzuna.com/land/ad/5717118892?se=apQ8CjFG8RGWDe7mYucB2w&utm_medium=api&utm_source=abfa41a4&v=BC2E0D2FF2BBD662CB58C3F7D75FD3C0B359DBA6,"DataAnnotation is committed to creating high-quality AI. Join our team to help train the next generation of AI while enjoying the flexibility of remote work and the freedom to set your own schedule. This role is designed to fit a variety of lifestyles — whether you’re looking to contribute part-time alongside a current position, pursue it full-time, or engage periodically as a flexible professional opportunity. We're currently expanding into an exciting new area – teaching AI Assistant models t…",Remote Senior Financial Analyst - AI Trainer ($50-$60 per hour),part_time,0,124800.0,34.494268,104000.0,2026-05-02T10:01:31Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYXBROENqRkc4UkdXRGU3bVl1Y0IydyIsImkiOiI1NzE3MTE4ODkyIn0.AeMC-R5mp2jRYQejsekKqvfBRR_8bOjOkIaujr0WcmA,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Data Annotation,"['US', 'Mississippi', 'Union County', 'New Albany']","New Albany, Union County",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category
-80.338021,5717118851,contract,https://www.adzuna.com/land/ad/5717118851?se=apQ8CjFG8RGWDe7mYucB2w&utm_medium=api&utm_source=abfa41a4&v=6E410BE8C72EB80713C43DFB8DDEC762AC2185FD,"DataAnnotation is committed to creating high-quality AI. Join our team to help train the next generation of AI while enjoying the flexibility of remote work and the freedom to set your own schedule. This role is designed to fit a variety of lifestyles — whether you’re looking to contribute part-time alongside a current position, pursue it full-time, or engage periodically as a flexible professional opportunity. We're currently expanding into an exciting new area – teaching AI Assistant models t…",Remote Lead Financial Analyst - AI Trainer ($50-$60 per hour),part_time,0,124800.0,25.608592,104000.0,2026-05-02T10:01:30Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNzExODg1MSIsInMiOiJhcFE4Q2pGRzhSR1dEZTdtWXVjQjJ3In0.ZY1QTsVn0fvZaZl4uIq92oatLLs7CkB_OmhXJF2wReY,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Data Annotation,"['US', 'Florida', 'Miami-Dade County', 'Cutler Bay']","Cutler Bay, Miami-Dade County",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category
,5717118866,contract,https://www.adzuna.com/land/ad/5717118866?se=apQ8CjFG8RGWDe7mYucB2w&utm_medium=api&utm_source=abfa41a4&v=CEAB14F4F19C3D0B9698DF0F13AA5BF2CF54C479,"DataAnnotation is committed to creating high-quality AI. Join our team to help train the next generation of AI while enjoying the flexibility of remote work and the freedom to set your own schedule. This role is designed to fit a variety of lifestyles — whether you’re looking to contribute part-time alongside a current position, pursue it full-time, or engage periodically as a flexible professional opportunity. We're currently expanding into an exciting new area – teaching AI Assistant models t…",Remote Senior Financial Analyst - AI Trainer ($50-$60 per hour),part_time,0,124800.0,,104000.0,2026-05-02T10:01:30Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYXBROENqRkc4UkdXRGU3bVl1Y0IydyIsImkiOiI1NzE3MTE4ODY2In0.4SDpmVpFo9CycPeNWm7VrWfzLvEqwdAg9BFO__2QEfY,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Data Annotation,['US'],US,Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category
-93.466573,5717118874,contract,https://www.adzuna.com/land/ad/5717118874?se=apQ8CjFG8RGWDe7mYucB2w&utm_medium=api&utm_source=abfa41a4&v=717548792D540A6F2B68D13FDED5AE6BA03B625E,"DataAnnotation is committed to creating high-quality AI. Join our team to help train the next generation of AI while enjoying the flexibility of remote work and the freedom to set your own schedule. This role is designed to fit a variety of lifestyles — whether you’re looking to contribute part-time alongside a current position, pursue it full-time, or engage periodically as a flexible professional opportunity. We're currently expanding into an exciting new area – teaching AI Assistant models t…",Remote Equity Research Analyst - AI Trainer ($50-$60 per hour),part_time,0,124800.0,35.471472,104000.0,2026-05-02T10:01:30Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYXBROENqRkc4UkdXRGU3bVl1Y0IydyIsImkiOiI1NzE3MTE4ODc0In0.JPhNBUFo1hZN8b8agzIJV6pRQpcFuekuNY7Yex7KsXw,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Data Annotation,"['US', 'Arkansas', 'Johnson County', 'Clarksville']","Clarksville, Johnson County",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category
-97.936433,5717118858,contract,https://www.adzuna.com/land/ad/5717118858?se=apQ8CjFG8RGWDe7mYucB2w&utm_medium=api&utm_source=abfa41a4&v=EBB7C47C29B914C6A7A4B748F19801F6EA20A1D3,"DataAnnotation is committed to creating high-quality AI. Join our team to help train the next generation of AI while enjoying the flexibility of remote work and the freedom to set your own schedule. This role is designed to fit a variety of lifestyles — whether you’re looking to contribute part-time alongside a current position, pursue it full-time, or engage periodically as a flexible professional opportunity. We're currently expanding into an exciting new area – teaching AI Assistant models t…",Remote Lead Financial Analyst - AI Trainer ($50-$60 per hour),part_time,0,124800.0,35.052565,104000.0,2026-05-02T10:01:30Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYXBROENqRkc4UkdXRGU3bVl1Y0IydyIsImkiOiI1NzE3MTE4ODU4In0.15_UrRF3Mj6EZEmLTii1OK9zhMP1sg2UjTEq1OXyeTk,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Data Annotation,"['US', 'Oklahoma', 'Grady County', 'Chickasha']","Chickasha, Grady County",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category
-98.226955,5717118885,contract,https://www.adzuna.com/land/ad/5717118885?se=apQ8CjFG8RGWDe7mYucB2w&utm_medium=api&utm_source=abfa41a4&v=B4A0EF3E3B46F467A9EC8B24E37F3567D0279321,"DataAnnotation is committed to creating high-quality AI. Join our team to help train the next generation of AI while enjoying the flexibility of remote work and the freedom to set your own schedule. This role is designed to fit a variety of lifestyles — whether you’re looking to contribute part-time alongside a current position, pursue it full-time, or engage periodically as a flexible professional opportunity. We're currently expanding into an exciting new area – teaching AI Assistant models t…",Remote Equity Research Analyst - AI Trainer ($50-$60 per hour),part_time,0,124800.0,29.561618,104000.0,2026-05-02T10:01:30Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYXBROENqRkc4UkdXRGU3bVl1Y0IydyIsImkiOiI1NzE3MTE4ODg1In0.eWewciulgWRFdvWYgthpFvOoKsdad0wuWsPwDvlY1qc,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Data Annotation,"['US', 'Texas', 'Guadalupe County', 'Cibolo']","Cibolo, Guadalupe County",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category
