title,salary_max,id,salary_is_predicted,adref,created,latitude,description,longitude,__CLASS__,salary_min,redirect_url,contract_time,location.area,location.__CLASS__,location.display_name,category.__CLASS__,category.label,category.tag,company.__CLASS__,company.display_name,contract_type
Technical Specialist,60320.0,5718634817,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxODYzNDgxNyIsInMiOiJOcEVEOTh0SDhSR1NkSVNYUVFRalBRIn0.vLk9NDn2UgXI7bopWmbtBz72IUD9aAMxf62SNRjl6uQ,2026-05-04T11:08:23Z,26.833117,"We are looking for a highly accurate technical specialist to analyze and design network solutions. The technical specialist's duties include providing technical assistance, solving customer service queries, and troubleshooting hardware and software issues. You should also manage security functions and oversee the configuring of computer parts. Responsibilities Show up at least 10 minutes prior to discussion start time Participate by completing written and oral instructions Complete written surv…",-81.093123,Adzuna::API::Response::Job,35360.0,https://www.adzuna.com/details/5718634817?utm_medium=api&utm_source=abfa41a4,part_time,"['US', 'Florida', 'Glades County', 'Moore Haven']",Adzuna::API::Response::Location,"Moore Haven, Glades County",Adzuna::API::Response::Category,IT Jobs,it-jobs,Adzuna::API::Response::Company,Moore Haven Yacht Club,
Telesales Representative,35360.0,5718634818,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxODYzNDgxOCIsInMiOiJOcEVEOTh0SDhSR1NkSVNYUVFRalBRIn0.bxqk-AVy3fI8KSdf6oTxylsAqMqBTlnheQjctk44pAY,2026-05-04T11:08:23Z,26.833117,"We are looking for a well-spoken telesales representative to be resonsible for soliciting sales and donations over the telephone. The telesales representative's responsibilities include contacting potential customers, reading from a prescribed script, focusing on cutomer needs to close sales, and documenting customer information, purchases, and reactions. Telesales Representative Responsibilities: Initiating sales with potential customers over the phone. Asking questions to engage customers and…",-81.093123,Adzuna::API::Response::Job,29120.0,https://www.adzuna.com/details/5718634818?utm_medium=api&utm_source=abfa41a4,,"['US', 'Florida', 'Glades County', 'Moore Haven']",Adzuna::API::Response::Location,"Moore Haven, Glades County",Adzuna::API::Response::Category,Sales Jobs,sales-jobs,Adzuna::API::Response::Company,Moore Haven Yacht Club,
Banker Associate - Mid-Corporate Banking - Associate,106135.27,5718634800,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxODYzNDgwMCIsInMiOiJOcEVEOTh0SDhSR1NkSVNYUVFRalBRIn0.LnL0y6GSRB-N3TbglJKGs5Hb8PB7c96djJiV1jnzam8,2026-05-04T11:07:27Z,36.151088,"You are customer focused, enjoy building relationships and providing financial advice to your clients. A role as an Associate Banker is for you. As an Associate Banker in Mid-Corporate Banking, you will work both independently and as part of a team to introduce our comprehensive solutions to companies with annual revenues ranging from $100 million to $2 billion. You are responsible for helping bankers deepen existing client relationships, uncover new prospects and opportunities, complete portfo…",-95.994581,Adzuna::API::Response::Job,106135.27,https://www.adzuna.com/details/5718634800?utm_medium=api&utm_source=abfa41a4,,"['US', 'Oklahoma', 'Tulsa County', 'Tulsa']",Adzuna::API::Response::Location,"Tulsa, Tulsa County",Adzuna::API::Response::Category,Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Company,JPMorgan Chase & Co.,
Licensed Behavioral Health Therapist,117118.15,5718634794,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTnBFRDk4dEg4UkdTZElTWFFRUWpQUSIsImkiOiI1NzE4NjM0Nzk0In0.I5IvOqc3gZnTdLpnbgM-J_YPJohtN4MEOj4V4dpgJWA,2026-05-04T11:07:02Z,,"Job Description At LifeStance Health, we believe in a truly healthy society where mental and physical healthcare are unified to make lives better. Our mission is to help people lead healthier, more fulfilling lives by improving access to trusted, affordable, and personalized mental healthcare. Everywhere. Every day. It’s a lofty goal; we know. But we make it happen with the best team in behavioral health. \n \n Thank you for taking the time to explore a career with us. As the fastest growing be…",,Adzuna::API::Response::Job,117118.15,https://www.adzuna.com/land/ad/5718634794?se=NpED98tH8RGSdISXQQQjPQ&utm_medium=api&utm_source=abfa41a4&v=6244E2CA41753C454DE098A60354F7B25B6DAF8F,,['US'],Adzuna::API::Response::Location,US,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,LifeStance Health,
Risk Management â Asset Wealth Management Risk â Vice President,186864.27,5718634786,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTnBFRDk4dEg4UkdTZElTWFFRUWpQUSIsImkiOiI1NzE4NjM0Nzg2In0.OMBl5DzN01lkZ3wuNYvMiXPe4KRdLLupJ6WtaFKSna4,2026-05-04T11:06:48Z,,"Join the Risk Management and Compliance team at JPMorgan Chase and play a crucial role in maintaining the firm's strength and resilience. This is a unique opportunity to contribute to our organization's growth and risk culture while being part of a dynamic team that values diversity and collaboration. Your expertise will help us navigate challenges and seize opportunities in a rapidly evolving financial landscape. As a Vice President in risk management, you are responsible for supporting the im…",,Adzuna::API::Response::Job,186864.27,https://www.adzuna.com/details/5718634786?utm_medium=api&utm_source=abfa41a4,,"['US', 'New York', 'New York City']",Adzuna::API::Response::Location,"New York City, New York",Adzuna::API::Response::Category,Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Company,JPMorgan Chase & Co.,
Senior Data Product Associate,155957.72,5718634785,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxODYzNDc4NSIsInMiOiJOcEVEOTh0SDhSR1NkSVNYUVFRalBRIn0.Yzejbt2O7cPjRP2VkgEgDh_N11gMkGLXn9L_smV7vW8,2026-05-04T11:06:47Z,39.73126,"Unleash your expertise in product development and optimization by leveraging user research, analyzing metrics, and collaborating across one of the worldâs most innovative financial organizations. As a Senior Product Associate in Talent Data Product , you contribute to the team by leveraging your expertise in product development and optimization to make a significant impact, supported by user research and customer feedback to fuel the creation of innovative products and continuously improve ex…",-75.545138,Adzuna::API::Response::Job,155957.72,https://www.adzuna.com/details/5718634785?utm_medium=api&utm_source=abfa41a4,,"['US', 'Delaware', 'New Castle County', 'Wilmington']",Adzuna::API::Response::Location,"Wilmington, New Castle County",Adzuna::API::Response::Category,IT Jobs,it-jobs,Adzuna::API::Response::Company,JPMorgan Chase & Co.,
"Sr. Home Lending Advisor Lewisville, TX.",29048.08,5718634784,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxODYzNDc4NCIsInMiOiJOcEVEOTh0SDhSR1NkSVNYUVFRalBRIn0.lQKy0jLHrRfUHAb-thjOfz4fjDKBDIMd0Jnr8IlkkFs,2026-05-04T11:06:46Z,33.021812,"As a Sr. Home Lending Advisor, you will take your clients on a first-class journey to home ownership and deliver strong sales results. You will put your exceptional knowledge and understanding of home lending products to good use by serving as your customersâ chief point of contact throughout the life of the loan. You will adhere to all regulatory requirements while marketing and promoting the financial products offered by Chase. Job responsibilities You will be the home lending specialist at…",-97.12517,Adzuna::API::Response::Job,29048.08,https://www.adzuna.com/details/5718634784?utm_medium=api&utm_source=abfa41a4,,"['US', 'Texas', 'Denton County', 'Lewisville']",Adzuna::API::Response::Location,"Lewisville, Denton County",Adzuna::API::Response::Category,Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Company,JPMorgan Chase & Co.,
Payments-Digital & Design Product Associate,99367.3,5718634763,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTnBFRDk4dEg4UkdTZElTWFFRUWpQUSIsImkiOiI1NzE4NjM0NzYzIn0.pAKhhw7zKfqmIXnD8L36gHVpbOMipLIKu097lg8nclw,2026-05-04T11:06:31Z,37.445797,"Join our collaborative environment, where you'll contribute to our strategy and make an impact on product success. Grow your skills, participate in product planning, and define user workflows while working alongside experienced product managers. Don't miss this opportunity to be part of a dynamic team and promote innovation in customer experiences. As a Product Associate in Digital & Design, you play a crucial role in supporting the product development process and contributing to the discovery …",-122.157575,Adzuna::API::Response::Job,99367.3,https://www.adzuna.com/details/5718634763?utm_medium=api&utm_source=abfa41a4,,"['US', 'California', 'Santa Clara County', 'Palo Alto']",Adzuna::API::Response::Location,"Palo Alto, Santa Clara County",Adzuna::API::Response::Category,IT Jobs,it-jobs,Adzuna::API::Response::Company,JPMorgan Chase & Co.,
"Private Client Banker - Plaza Saltillo - Austin, TX",46683.56,5718634753,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxODYzNDc1MyIsInMiOiJOcEVEOTh0SDhSR1NkSVNYUVFRalBRIn0.0wo_FDdrMe7c0eV3Itlq17ur9EjF__orPLpVwFCOP4w,2026-05-04T11:06:15Z,30.272921,"You have a passion for taking care of our customers and employees and making them feel welcomed and valued by building lasting relationships, doing the right thing, exceeding expectations and having a strong commitment to diversity and inclusion. Here at Chase, you will have the opportunity to help people experience our Customer Promise  helping people make the most of their money so they can make the most of their lives by providing education and advice tailored to suit their financial needs. …",-97.744386,Adzuna::API::Response::Job,46683.56,https://www.adzuna.com/details/5718634753?utm_medium=api&utm_source=abfa41a4,,"['US', 'Texas', 'Travis County', 'Austin']",Adzuna::API::Response::Location,"Austin, Travis County",Adzuna::API::Response::Category,Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Company,JPMorgan Chase & Co.,
Paid Media Strategist-Senior Associate -Acquisition Marketing,84118.68,5718634752,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxODYzNDc1MiIsInMiOiJOcEVEOTh0SDhSR1NkSVNYUVFRalBRIn0.NGVTdvlwB4i0n5XijD37wdupzbUWXCvWCPbe4AQAyDc,2026-05-04T11:06:14Z,40.103832,"The Consumer Bank Marketing Acquisition team is responsible for developing and leading integrated marketing campaigns designed to profitably acquire primary bank relationships and grow share of wallet. As a Paid Media Strategist-Senior Associate on the Acquisition Marketing team, you will support and manage customer acquisition campaigns designed to drive new-to-bank household growth through paid advertising channels. You should be a data-driven performance marketer, and you will support and ma…",-83.020025,Adzuna::API::Response::Job,84118.68,https://www.adzuna.com/details/5718634752?utm_medium=api&utm_source=abfa41a4,,"['US', 'Ohio', 'Franklin County', 'Columbus']",Adzuna::API::Response::Location,"Columbus, Franklin County",Adzuna::API::Response::Category,"PR, Advertising & Marketing Jobs",pr-advertising-marketing-jobs,Adzuna::API::Response::Company,JPMorgan Chase & Co.,
