longitude,title,salary_max,salary_is_predicted,created,description,latitude,id,__CLASS__,salary_min,redirect_url,adref,category.__CLASS__,category.tag,category.label,location.__CLASS__,location.area,location.display_name,company.__CLASS__,company.display_name,contract_time,contract_type
-84.37935,Company CDL-A Truck Driver,55892.78,1,2026-05-06T11:16:34Z,"Job Description Hiring CDL-A Truck Drivers \n\n Dollar General Fleet is hiring Class A CDL Truck Drivers for touch-freight regional routes based out of Indianola, MS. \n We take care of our DG family so you can take care of yours. Apply today to get connected with a recruiter and learn why DG is the place to be. \n\n Company Driver Jobs \n \n Earn up to $75,000/year \n Base CPM range: $0.49 - $0.53 \n Stop pay range: $50 \n Regional routes supporting specific Distribution Centers \n Weekly home…",42.259401,5720613810,Adzuna::API::Response::Job,55892.78,https://www.adzuna.com/land/ad/5720613810?se=kh15WGBJ8RGngtw_dMYZiA&utm_medium=api&utm_source=abfa41a4&v=CB257D793AEA160808762A0117399742D4BD423C,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia2gxNVdHQko4UkduZ3R3X2RNWVppQSIsImkiOiI1NzIwNjEzODEwIn0.Can7pCpbLg6K2aFf-44t9vpfvbkmhT4y43qBuL_EOxo,Adzuna::API::Response::Category,accounting-finance-jobs,Accounting & Finance Jobs,Adzuna::API::Response::Location,"['US', 'Michigan', 'Jackson County', 'Jackson']","Jackson, Jackson County",Adzuna::API::Response::Company,Dollar General,,
-71.312829,"CDL-A Truck Driver - Good Home Time - Earn Up to $107,445/Year",107445.0,0,2026-05-06T11:16:26Z,"Job Description System Transport is Now Hiring Flatbed CDL-A Drivers Flatbed CDL-A Driver - Most Weekends Off! Earn $52,477.88 - $107,445.00 per Year - Full Benefits Now Hiring For: Experienced flatbed CDL-A drivers Regional route Most weekends off Driver Benefits: GREAT PAY PACKAGE Earn $0.68 to $0.72 per mile, depending on experience Earn $1,009.19 - $2,066.25 per week depending on experience, routes, regular attendance, and length of service Full pay package also includes other accessorial c…",41.490102,5720613807,Adzuna::API::Response::Job,0.0,https://www.adzuna.com/land/ad/5720613807?se=kh15WGBJ8RGngtw_dMYZiA&utm_medium=api&utm_source=abfa41a4&v=809E0743544D7D4DA9857746FAA074CD3A5C22FB,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyMDYxMzgwNyIsInMiOiJraDE1V0dCSjhSR25ndHdfZE1ZWmlBIn0.YZfI2QeCzpptzblGeXIEkGuF4sR6E_jS4-SCreCHH9Y,Adzuna::API::Response::Category,travel-jobs,Travel Jobs,Adzuna::API::Response::Location,"['US', 'Rhode Island', 'Newport County', 'Newport']","Newport, Newport County",Adzuna::API::Response::Company,System Transport,,
,Dialysis RN,31936.32,1,2026-05-06T11:16:15Z,"Job Description Job Description Hemodialysis RN Career Opportunity Embark on a Fulfilling Career as a Hemodialysis RN at Encompass Health Are you searching for a career specializing in providing essential care to dialysis patients amid their rehabilitation? Join us at Encompass Health, where we're committed to transforming lives. As a Hemodialysis RN, you'll play a crucial role in impacting your community by delivering care that fosters inspiring outcomes. If this resonates with you, welcome to…",,5720613781,Adzuna::API::Response::Job,31936.32,https://www.adzuna.com/land/ad/5720613781?se=kh15WGBJ8RGngtw_dMYZiA&utm_medium=api&utm_source=abfa41a4&v=0622E2C83ED88E64A7A05DB5BF37A01E4D0F006D,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyMDYxMzc4MSIsInMiOiJraDE1V0dCSjhSR25ndHdfZE1ZWmlBIn0.JNFL-hSG-Ze4kg6O7B3bsHS_LtJNqJ0tVSI206zKfl0,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,['US'],US,Adzuna::API::Response::Company,Rehabilitation Hospital of Athens,,
-87.187298,Registered Nurse Pediatric Infusion Services,91798.83,1,2026-05-06T11:16:14Z,"Your future role at a glance Location: Pensacola, Fl Facility: Ascension Sacred Heart Pensacola Department: Pediatric Infusion Services Schedule: PRN | Rotating Life at Ascension: Where purpose meets opportunity Ascension is a leading nonprofit Catholic health system with a culture and associate experience grounded in service, growth, care and connection. We empower our 99,000 associates to bring their skills and expertise every day to reimagining healthcare, together. Recognized as one of the …",30.488521,5720613780,Adzuna::API::Response::Job,91798.83,https://www.adzuna.com/land/ad/5720613780?se=kh15WGBJ8RGngtw_dMYZiA&utm_medium=api&utm_source=abfa41a4&v=51973E79CB49579A3458458CF045EC27C7A22378,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyMDYxMzc4MCIsInMiOiJraDE1V0dCSjhSR25ndHdfZE1ZWmlBIn0.ks_iJmxuYJq5C6rKx9D65r3rderIL1nt8ctBMVnA2hc,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"['US', 'Florida', 'Escambia County', 'Pensacola', 'East Pensacola Heights']","East Pensacola Heights, Pensacola",Adzuna::API::Response::Company,Ascension,,
-80.230343,Registered Nurse RN,108160.0,0,2026-05-06T11:16:10Z,"Up to $13,000 Sign-On Bonus Offered, based on experience Registered Nurse (RN) Lexington Dialysis Center - Lexington, NC Health Systems Management, Inc. (HSM) is a full-service healthcare management organization providing a full range of development, management, and administrative services for dialysis facilities over the past 35 years in Georgia, South Carolina, and North Carolina. HSM has an outstanding reputation in the renal community for providing high quality patient care and encouraging …",35.763879,5720613778,Adzuna::API::Response::Job,72800.0,https://www.adzuna.com/details/5720613778?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyMDYxMzc3OCIsInMiOiJraDE1V0dCSjhSR25ndHdfZE1ZWmlBIn0.CTD70VccewOzekqhwJ-7TvZfi_P5YsLk-VChG8clF3Q,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"['US', 'North Carolina', 'Davidson County', 'Hannersville']","Hannersville, Davidson County",Adzuna::API::Response::Company,Health Systems Management,,
-93.411916,PROJECT MANAGER,129000.0,0,2026-05-06T11:16:10Z,"Anderson Dahlen Description: Gray’s Specialty Equipment segment offers a comprehensive range of expert services to design, manufacture, integrate, install, and maintain some of the most advanced systems on the market. The Specialty Equipment segment includes Anderson Dahlen, located in Ramsey, MN, and Waconia, MN. Anderson Dahlen delivers end-to-end equipment design-build and contract manufacturing, with precision fabrication – cutting, forming, machining, welding, finishing, and complex assemb…",45.244688,5720613776,Adzuna::API::Response::Job,88150.0,https://www.adzuna.com/details/5720613776?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyMDYxMzc3NiIsInMiOiJraDE1V0dCSjhSR25ndHdfZE1ZWmlBIn0.NRUHkmq_m3AdGw1F1mFcx66fHNb9e2HyiwEhBoPV8vA,Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs,Adzuna::API::Response::Location,"['US', 'Minnesota', 'Anoka County', 'Ramsey']","Ramsey, Anoka County",Adzuna::API::Response::Company,Anderson Dahlen,,
-82.504104,Commercial Plumber,52000.0,0,2026-05-06T11:16:10Z,"Job Title: Commercial Plumber Location: Tampa, FL Salary Range: $23.00 - $25.00 / Hour Employee Type: Full-Time Non-Exempt Job Description: Premium Plumbing is a trusted leader in commercial plumbing services, known for our dedication to quality workmanship, safety, and exceptional customer satisfaction. As our company continues to grow, we are looking to add a skilled and dependable Commercial Plumber to our team. We are seeking a motivated and experienced professional to handle the installati…",28.01097,5720613777,Adzuna::API::Response::Job,47840.0,https://www.adzuna.com/details/5720613777?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyMDYxMzc3NyIsInMiOiJraDE1V0dCSjhSR25ndHdfZE1ZWmlBIn0.n_xmqlwS8hp1UIh6fctFIBdznz3dH1y3Fmvzs0RUbs4,Adzuna::API::Response::Category,trade-construction-jobs,Trade & Construction Jobs,Adzuna::API::Response::Location,"['US', 'Florida', 'Hillsborough County', 'Egypt Lake-Leto']","Egypt Lake-Leto, Hillsborough County",Adzuna::API::Response::Company,PREMIUM PLUMBING LLC,full_time,
-87.949228,Sales Coordinator,61019.55,1,2026-05-06T11:16:09Z,"Description: This is a 100% onsite role in Grafton, WI. Candidates must be able to commute daily; remote work is not available . Candidates must be authorized to work in the United States. Visa sponsorship is not available for this role. About Yamato: Yamato is a global leader in advanced weighing, filling, and inspection solutions, with a legacy dating back to 1920. The company manufactures weighing technology used in heavy industrial and food applications. Learn more at YamatoAmericas.com Yam…",43.323325,5720613756,Adzuna::API::Response::Job,61019.55,https://www.adzuna.com/details/5720613756?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyMDYxMzc1NiIsInMiOiJraDE1V0dCSjhSR25ndHdfZE1ZWmlBIn0.6xg0xKcPBHKsapynUg9KYWdHmJiAHSZOWhnpRQgUxJM,Adzuna::API::Response::Category,sales-jobs,Sales Jobs,Adzuna::API::Response::Location,"['US', 'Wisconsin', 'Ozaukee County', 'Grafton']","Grafton, Ozaukee County",Adzuna::API::Response::Company,Yamato Corporation,,
-105.15588,Full-Time Lead Medical Assistant,52000.0,0,2026-05-06T11:16:09Z,"Description: We are looking for a full-time Lead Medical Assistant to work 32-40 hours per week at our Lakewood clinic located at 355 Union Blvd, Lakewood, CO 80228. Our Lead Medical Assistants perform a combination of clinical and administrative duties to provide direct patient care services and assist providers with their patient care needs and requests. They also directly support the Clinic Manager and serve as a go-to person for other members of the MA team. Applicants for this position mus…",39.69798,5720613773,Adzuna::API::Response::Job,43243.0,https://www.adzuna.com/details/5720613773?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia2gxNVdHQko4UkduZ3R3X2RNWVppQSIsImkiOiI1NzIwNjEzNzczIn0.-3U9-hsLwyj57kujGFLhHOIWVI5H6T2JI_QwaKO-_q0,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Location,"['US', 'Colorado', 'Jefferson County', 'Morrison']","Morrison, Jefferson County",Adzuna::API::Response::Company,Every Child Pediatrics,full_time,
-89.521341,Customer Service Representative,37131.06,1,2026-05-06T11:16:09Z,"Why NEBAT? Trusted. Genuine. Successful. National Exchange Bank & Trust is an independent, family-owned bank with big bank abilities, serving Southeastern Wisconsin. Founded in 1933, we are a trusted business partner, employer, and community member. At National Exchange Bank & Trust, you will enjoy a flexible, friendly, family environment, a rewarding career, and opportunities to make a difference in the communities we serve. We believe in bringing out the best in our talent and are committed t…",44.024565,5720613740,Adzuna::API::Response::Job,37131.06,https://www.adzuna.com/details/5720613740?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyMDYxMzc0MCIsInMiOiJraDE1V0dCSjhSR25ndHdfZE1ZWmlBIn0.zau82x9JVjhETYXg83SkwJKpm7Z4fb9TeeKJa9TknCA,Adzuna::API::Response::Category,admin-jobs,Admin Jobs,Adzuna::API::Response::Location,"['US', 'Wisconsin', 'Waushara County', 'Pleasant Lake']","Pleasant Lake, Waushara County",Adzuna::API::Response::Company,National Exchange Bank & Trust,part_time,
-96.781981,Apartment Maintenance HVAC Technician,47935.05,1,2026-05-06T11:16:09Z,"Description: Real Estate Development and Property Management company is seeking a talented, reliable Apartment Maintenance Technician (HVAC Certified) for our multifamily apartment community. The main function of the Apartment Maintenance Technician is to organize, prioritize, and complete resident work orders and turnovers. The ideal candidate will have prior apartment maintenance experience and well-rounded skills such as HVAC, electrical, plumbing, and carpentry. Requirements: - Ensure work …",32.669065,5720613757,Adzuna::API::Response::Job,47935.05,https://www.adzuna.com/details/5720613757?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyMDYxMzc1NyIsInMiOiJraDE1V0dCSjhSR25ndHdfZE1ZWmlBIn0.wUss9fMGJjmDvZjdtKnCC8yenBHby6A341eAa_fi8jg,Adzuna::API::Response::Category,trade-construction-jobs,Trade & Construction Jobs,Adzuna::API::Response::Location,"['US', 'Texas', 'Dallas', 'Lancaster']","Lancaster, Dallas",Adzuna::API::Response::Company,Odin Properties,,
-96.998731,Apprentice Pest Technician – Paid Training & Company Vehicle,56160.0,0,2026-05-06T11:16:09Z," Apprentice Pest Technician – Paid Training & Company Vehicle Location: Lewisville, Texas Pay: $25 – $27 per hour (starting, based on experience) Your Next Career Starts Here All-Safe Pest & Termite is growing and hiring Apprentice Pest Technicians to serve homes and businesses in Lewisville and surrounding areas. We offer paid training, great benefits, and the chance to build a career with a company that values quality and integrity. What You’ll Do Inspect properties and identify pest problems…",33.050241,5720613765,Adzuna::API::Response::Job,52000.0,https://www.adzuna.com/details/5720613765?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyMDYxMzc2NSIsInMiOiJraDE1V0dCSjhSR25ndHdfZE1ZWmlBIn0.1l1digYsTbL8snGK3BIrbeGXK5gdrWenNCJlrhDkD7Y,Adzuna::API::Response::Category,trade-construction-jobs,Trade & Construction Jobs,Adzuna::API::Response::Location,"['US', 'Texas', 'Denton County', 'Lake Dallas']","Lake Dallas, Denton County",Adzuna::API::Response::Company,All-Safe Pest & Termite,full_time,
