salary_is_predicted,salary_max,description,redirect_url,adref,created,id,latitude,__CLASS__,longitude,title,salary_min,location.area,location.__CLASS__,location.display_name,category.__CLASS__,category.label,category.tag,company.display_name,company.__CLASS__,contract_time,contract_type
1,162486.03,Redbone Trucking is Hiring Team Drivers Willing to Match Team Driver Benefits: $90k-$100k Yearly .66-.70 CPM depending on experience with regular pay increases Easily achieved safety/performance bonuses Weekly pay - every Friday! Home 2 consecutive days weekly - guaranteed! No touch freight Several health and dental plan options Supplemental health add-ons for even better coverage 401k with 4% company match Paid time off 2020-2021 Freightliner Cascadias Pet Policy Team Driver Requirements: Clas…,https://www.adzuna.com/details/5724249503?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY2hza0VySkw4UkdIWTliQTNZZkl4USIsImkiOiI1NzI0MjQ5NTAzIn0.kCxeq5kaRxlmTFuq6eqWoszcww3vb6OaZqr3U8Ke07M,2026-05-09T09:47:02Z,5724249503,36.20457,Adzuna::API::Response::Job,-86.51957,Team Truck Driver Job - Up to $100k Yearly,162486.03,"['US', 'Tennessee', 'Wilson County', 'Mount Juliet']",Adzuna::API::Response::Location,"Mount Juliet, Wilson County",Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Redbone Trucking,Adzuna::API::Response::Company,,
1,190812.42,Redbone Trucking is Hiring Team Drivers Willing to Match Team Driver Benefits: $90k-$100k Yearly .66-.70 CPM depending on experience with regular pay increases Easily achieved safety/performance bonuses Weekly pay - every Friday! Home 2 consecutive days weekly - guaranteed! No touch freight Several health and dental plan options Supplemental health add-ons for even better coverage 401k with 4% company match Paid time off 2020-2021 Freightliner Cascadias Pet Policy Team Driver Requirements: Clas…,https://www.adzuna.com/details/5724249500?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNDI0OTUwMCIsInMiOiJjaHNrRXJKTDhSR0hZOWJBM1lmSXhRIn0.rQV5TMon8RNWHMOMOpqogcL6kRPhrse0bcGZEedf0tg,2026-05-09T09:47:02Z,5724249500,36.173945,Adzuna::API::Response::Job,-86.807693,Team Truck Driver Job - Up to $100k Yearly,190812.42,"['US', 'Tennessee', 'Davidson County', 'Nashville']",Adzuna::API::Response::Location,"Nashville, Davidson County",Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Redbone Trucking,Adzuna::API::Response::Company,,
1,184109.2,Redbone Trucking is Hiring Team Drivers Willing to Match Team Driver Benefits: $90k-$100k Yearly .66-.70 CPM depending on experience with regular pay increases Easily achieved safety/performance bonuses Weekly pay - every Friday! Home 2 consecutive days weekly - guaranteed! No touch freight Several health and dental plan options Supplemental health add-ons for even better coverage 401k with 4% company match Paid time off 2020-2021 Freightliner Cascadias Pet Policy Team Driver Requirements: Clas…,https://www.adzuna.com/details/5724249499?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY2hza0VySkw4UkdIWTliQTNZZkl4USIsImkiOiI1NzI0MjQ5NDk5In0.z918PiQLnEGp3p2rN8NufOGQbJns3mCPGLv--z5q7xU,2026-05-09T09:47:02Z,5724249499,36.146286,Adzuna::API::Response::Job,-86.792457,Team Truck Driver Job - Up to $100k Yearly,184109.2,"['US', 'Tennessee', 'Davidson County', 'Nashville']",Adzuna::API::Response::Location,"Nashville, Davidson County",Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Redbone Trucking,Adzuna::API::Response::Company,,
1,63826.99,"CDL-A Truck Drivers - Top Magnum drivers earned $100,000 in 2025! Magnum is hiring OTR CDL-A Truck Drivers for steady miles, 100% no-touch freight, and newer automatic trucks. Drivers average 2,5003,000 miles per week with weekly pay and flexible home time. If you're looking for a stable OTR driving job with strong pay and consistent freight, APPLY NOW! Pay & Miles Average Weekly Pay: $1,300 $1,923 Average Miles: 2,500 3,000 per week Weekly Pay Available Top Drivers in 2025: $100,000 annually G…",https://www.adzuna.com/details/5724249485?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNDI0OTQ4NSIsInMiOiJjaHNrRXJKTDhSR0hZOWJBM1lmSXhRIn0.S4-RsJLbAKXWVgyWi57aYje7bPIMZY1A7HbCwo3s0Fo,2026-05-09T09:46:48Z,5724249485,43.075102,Adzuna::API::Response::Job,-87.932822,OTR Truck Driver - CDL Class A,63826.99,"['US', 'Wisconsin', 'Milwaukee County', 'Milwaukee']",Adzuna::API::Response::Location,"Milwaukee, Milwaukee County",Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Magnum,Adzuna::API::Response::Company,,
1,62355.28,"CDL-A Truck Drivers - Top Magnum drivers earned $100,000 in 2025! Magnum is hiring OTR CDL-A Truck Drivers for steady miles, 100% no-touch freight, and newer automatic trucks. Drivers average 2,5003,000 miles per week with weekly pay and flexible home time. If you're looking for a stable OTR driving job with strong pay and consistent freight, APPLY NOW! Pay & Miles Average Weekly Pay: $1,300 $1,923 Average Miles: 2,500 3,000 per week Weekly Pay Available Top Drivers in 2025: $100,000 annually G…",https://www.adzuna.com/details/5724249481?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNDI0OTQ4MSIsInMiOiJjaHNrRXJKTDhSR0hZOWJBM1lmSXhRIn0.9PqKVD-0J2mV9aLf45N6tQKQuXROSo_1mDGtmK9C880,2026-05-09T09:46:47Z,5724249481,35.4882,Adzuna::API::Response::Job,-97.5181,OTR Truck Driver - CDL Class A,62355.28,"['US', 'Oklahoma', 'Oklahoma County', 'Oklahoma City']",Adzuna::API::Response::Location,"Oklahoma City, Oklahoma County",Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Magnum,Adzuna::API::Response::Company,,
1,86600.3,"Adventist Health Sierra Vista is seeking a Physiatry physician for our ambulatory practice in the desirable beach town of San Luis Obispo, CA. - 100% outpatient - Join a practice with physician and NP/PA support - Spanish speaking is helpful but not required Employed model through Adventist Health Medical Group (AHMG) The incoming physician must be California licensed or eligible and meet the hospital's medical staff credentialing standards. Wage Scale: $345,000-$387,000/year Apply to learn mor…",https://www.adzuna.com/details/5724248909?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY2hza0VySkw4UkdIWTliQTNZZkl4USIsImkiOiI1NzI0MjQ4OTA5In0.JWYH-yIlV4OyasaU7TPO5QmMNhB1NdIbS5-Msa1MmK0,2026-05-09T09:41:02Z,5724248909,35.254169,Adzuna::API::Response::Job,-120.620655,"Physiatrist - San Luis Obispo, CA",86600.3,"['US', 'California', 'San Luis Obispo County', 'San Luis Obispo']",Adzuna::API::Response::Location,"San Luis Obispo, San Luis Obispo County",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adventist Health,Adzuna::API::Response::Company,,
1,108740.41,"Neonatology Physician - Level IV NICU Division of Neonatology We are seeking a Neonatology Physician to join one of our Level IV NICU team on a full-time basis in New Brunswick, NJ. Opportunity Highlights: - Schedule: Full Time mix of day shifts with five-six 24-hour shifts/month. - Areas of Coverage: Vary based on the needs of the division, however, will mainly include Delivery Room coverage attending vaginal deliveries and cesarean sections, Primary patient management in the NICU, Rounding wi…",https://www.adzuna.com/details/5724248905?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNDI0ODkwNSIsInMiOiJjaHNrRXJKTDhSR0hZOWJBM1lmSXhRIn0.qFHkjy7ptbC6Z_89IPGZ8WrASbbO29okYyhK3FAeQ6E,2026-05-09T09:41:02Z,5724248905,40.487751,Adzuna::API::Response::Job,-74.441096,Neonatology Physician - Level IV NICU,108740.41,"['US', 'New Jersey', 'Middlesex County', 'New Brunswick']",Adzuna::API::Response::Location,"New Brunswick, Middlesex County",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Saint Peter's Healthcare System,Adzuna::API::Response::Company,full_time,
1,92250.8,"Description: Located in Hershey, PA, Milton Hershey School (MHS) is a top-notch home and school where over 2,200 pre-K through 12th grade students from disadvantaged backgrounds are provided an extraordinary, cost-free, career-focused education. This is made possible by the generosity of Milton and Catherine Hershey, who established the school in 1909 and ensured it was fully endowed. Thanks to their foresight and generosity, the school has over 12,000 graduates and continues to expand to serve…",https://www.adzuna.com/details/5724248911?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNDI0ODkxMSIsInMiOiJjaHNrRXJKTDhSR0hZOWJBM1lmSXhRIn0.FTU_h1sqM_vQoh6cqL3H3P9tX2h_iSLFjNAn0a8LP9o,2026-05-09T09:41:02Z,5724248911,39.877555,Adzuna::API::Response::Job,-84.302167,"House Parent - Relocation Package to Hershey, PA",92250.8,"['US', 'Ohio', 'Montgomery County', 'Englewood']",Adzuna::API::Response::Location,"Englewood, Montgomery County",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Confidential,Adzuna::API::Response::Company,full_time,
1,162135.58,The Department of Pediatrics at Good Samaritan University Hospital (GSUH) is seeking an outstanding full-time Pediatric Developmental and Behavioral Pediatrician to join a comprehensive clinical program dedicated to the care of children and adolescents who have a broad range of pediatric development disorders. The division currently consists of two Board-Certified developmental behavioral Pediatricians and Nurse Practitioners to support the growing division and needs of the community. GSUH is a…,https://www.adzuna.com/details/5724248904?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNDI0ODkwNCIsInMiOiJjaHNrRXJKTDhSR0hZOWJBM1lmSXhRIn0.I0p2q0FIxq81HEGw3WVZ0gCiobOyfiiUthQ4RLU35Hk,2026-05-09T09:41:02Z,5724248904,40.70621,Adzuna::API::Response::Job,-73.30623,Pediatric Developmental and Behavioral Pediatrician,162135.58,"['US', 'New York', 'Suffolk County', 'West Islip']",Adzuna::API::Response::Location,"West Islip, Suffolk County",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Catholic Health,Adzuna::API::Response::Company,full_time,
1,75886.62,"The Department of Pathology and Laboratory Medicine at Tufts Medical Center is seeking a board-certified/board-eligible Anatomic Pathologist with a focus on surgical pathology to join our academic faculty. This position emphasizes high-quality diagnostic surgical pathology, including subspecialty sign-out, intraoperative consultation, and close collaboration with multidisciplinary clinical teams. The successful candidate will contribute to a collegial academic environment with opportunities in …",https://www.adzuna.com/details/5724248908?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNDI0ODkwOCIsInMiOiJjaHNrRXJKTDhSR0hZOWJBM1lmSXhRIn0.WCXopysz7K8v9bG58rM9W7eiZO2AKBYruMJ4QluMGwA,2026-05-09T09:41:02Z,5724248908,42.354856,Adzuna::API::Response::Job,-71.066119,Surgical Pathologist - Anatomic Pathology,75886.62,"['US', 'Massachusetts', 'Suffolk County', 'Boston']",Adzuna::API::Response::Location,"Boston, Suffolk County",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Tufts Medicine,Adzuna::API::Response::Company,,
