longitude,salary_min,salary_max,salary_is_predicted,latitude,created,description,__CLASS__,title,id,adref,redirect_url,contract_time,company.display_name,company.__CLASS__,location.__CLASS__,location.area,location.display_name,category.label,category.tag,category.__CLASS__,contract_type
-94.12452,124930.24,124930.24,1,36.33318,2026-05-10T09:39:57Z,"Find your calling at Mercy! Utilizes the nursing process to provide patient care. Maintains professional accountability for provision of patient care for the assigned patients. Evaluates the overall effectiveness of care provided by other direct care givers. Coordinates the patient care in conjunction with other departments. Maintains patient rights and confidentiality of patient information. Performs duties and responsibilities in a manner consistent with our mission, values, and Mercy Service…",Adzuna::API::Response::Job,Registered Nurse - GI Lab/Endoscopy (PRN),5725163684,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUQtMmxYdE04UkdIWTliQTNZZkl4USIsImkiOiI1NzI1MTYzNjg0In0.O1hfNbcLoFOn7xjuV9E4yAEaw2Bdy7UsPi43fJqjs5s,https://www.adzuna.com/land/ad/5725163684?se=eD-2lXtM8RGHY9bA3YfIxQ&utm_medium=api&utm_source=abfa41a4&v=D4A5F81347011FFBFE380D470CBD9BBEE0DB6253,full_time,Mercy,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Arkansas', 'Benton County', 'Rogers']","Rogers, Benton County",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,
-89.538791,173155.44,173155.44,1,37.299816,2026-05-10T09:39:57Z,"Find your calling at Mercy! Overview: Utilizes the nursing process to provide patient care. Maintains professional accountability for provision of patient care for the assigned patients. Evaluates the overall effectiveness of care provided by other direct care givers. Coordinates the patient care in conjunction with other departments. Maintains patient rights and confidentiality of patient information. Performs duties and responsibilities in a manner consistent with our mission, values, and mer…",Adzuna::API::Response::Job,"Registered Nurse - PACU (FT, Days)",5725163685,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUQtMmxYdE04UkdIWTliQTNZZkl4USIsImkiOiI1NzI1MTYzNjg1In0.JzBulS88EBt5HUbU5SBtgKeG7ILjUqVSOgHXK57KzGU,https://www.adzuna.com/land/ad/5725163685?se=eD-2lXtM8RGHY9bA3YfIxQ&utm_medium=api&utm_source=abfa41a4&v=986EEF1A7304AA16A021D071FA1EE1A37F1A2CEA,full_time,Mercy,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Missouri', 'Cape Girardeau County', 'Cape Girardeau']","Cape Girardeau, Cape Girardeau County",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,
-75.026067,121846.1,121846.1,1,39.931173,2026-05-10T09:39:33Z,"Thriveworks is currently seeking Licensed Clinical Social Workers to provide a mix of telehealth and face-to-face sessions in Cherry Hill, NJ. This role is eligible for a competitive ramp stipend for clinicians offering 30 hours of availability per week. About the job Thriveworks is a mental health care company founded by clinicians in 2008 and still led by them today. With 340 locations and a nationwide hybrid care model, we serve over 175,000 clients annually through more than 1.7 million ses…",Adzuna::API::Response::Job,Clinical Social Worker - Fee For Service,5725163661,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNTE2MzY2MSIsInMiOiJlRC0ybFh0TThSR0hZOWJBM1lmSXhRIn0.Mm1_3NMaR-wFRLvxmDlmyRtdMTbYxWwwPQKEhYR-5_s,https://www.adzuna.com/land/ad/5725163661?se=eD-2lXtM8RGHY9bA3YfIxQ&utm_medium=api&utm_source=abfa41a4&v=37F86972E2A9A86E774126C6330B01D8C54A009E,full_time,Thriveworks,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'New Jersey', 'Camden County', 'Cherry Hill']","Cherry Hill, Camden County",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,
-94.12452,148430.66,148430.66,1,36.33318,2026-05-10T09:39:09Z,"Find your calling at Mercy! Utilizes the nursing process to provide patient care. Maintains professional accountability for provision of patient care for the assigned patients. Evaluates the overall effectiveness of care provided by other direct care givers. Coordinates the patient care in conjunction with other departments. Maintains patient rights and confidentiality of patient information. Performs duties and responsibilities in a manner consistent with our mission, values, and Mercy Service…",Adzuna::API::Response::Job,Registered Nurse - Mother/Baby (PRN),5725163649,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNTE2MzY0OSIsInMiOiJlRC0ybFh0TThSR0hZOWJBM1lmSXhRIn0.0sy3kX-1iuUN73eDk_lrl_NP66uXC8MDVqHokfCP_9E,https://www.adzuna.com/land/ad/5725163649?se=eD-2lXtM8RGHY9bA3YfIxQ&utm_medium=api&utm_source=abfa41a4&v=37FF468677E058D8279FAA3506DC287B4A6F9E7E,full_time,Mercy,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Arkansas', 'Benton County', 'Rogers']","Rogers, Benton County",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,
-96.706161,75713.27,75713.27,1,43.826084,2026-05-10T09:39:08Z,"Avera McKennan Hospital Temporary Work Shift: Day Shift (United States of America) The pay range for this position is listed below. 7:30 am to 4:00 pm, e/v 4th weekend and 1-2 holidays/year Be part of a multidisciplinary team built with compassion and the goal of Moving Health Forward for you and our patients. Responsible for the daily coordination and delivery of occupational therapy services that focus on conditions and health diagnosis, implementing specific treatment program for individual …",Adzuna::API::Response::Job,Rehabilitation - Physical Therapist (Temp),5725163635,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUQtMmxYdE04UkdIWTliQTNZZkl4USIsImkiOiI1NzI1MTYzNjM1In0.I0s4UWfVfhTGimDgoQBoG5mNjdfqVOtKDVzjv30wFqc,https://www.adzuna.com/land/ad/5725163635?se=eD-2lXtM8RGHY9bA3YfIxQ&utm_medium=api&utm_source=abfa41a4&v=07A80613111AD68AC5782EA154A3456067792DC8,part_time,Avera Health,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'South Dakota', 'Minnehaha County', 'Dell Rapids']","Dell Rapids, Minnehaha County",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,contract
-90.138976,55569.26,55569.26,1,32.30959,2026-05-10T09:39:08Z,"Thriveworks is currently seeking Licensed Clinical Social Workers to provide a mix of telehealth and face-to-face sessions in Flowood, MS. At Thriveworks, we’re not just growing a practice—we’re building a movement to transform mental health care. Founded and led by clinicians, we understand what it takes to support our team so they can focus on what they do best: delivering exceptional care. Thriveworks is a trusted mental health provider with 340 locations and a nationwide hybrid care model. …",Adzuna::API::Response::Job,Clinical Social Worker - Fee For Service,5725163645,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUQtMmxYdE04UkdIWTliQTNZZkl4USIsImkiOiI1NzI1MTYzNjQ1In0.0JylKc5KumXA7P-xKTmfg9WkDN7diviFyXOTxA-OTn4,https://www.adzuna.com/land/ad/5725163645?se=eD-2lXtM8RGHY9bA3YfIxQ&utm_medium=api&utm_source=abfa41a4&v=73625B084D3FF75CADA1110159860B44FAC2FCA9,,Thriveworks,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Mississippi', 'Rankin County', 'Flowood']","Flowood, Rankin County",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,
,66533.39,66533.39,1,,2026-05-10T09:39:08Z,"Avera Creighton Hospital Work Shift: Primarily days with possible weekends/evenings/holidays (United States of America) The pay range for this position is listed below. Be part of a multidisciplinary team built with compassion and the goal of Moving Health Forward for you and our patients. Responsible for the daily coordination and delivery of occupational therapy services that focus on conditions and health diagnosis, implementing specific treatment program for individual patients and patient …",Adzuna::API::Response::Job,Occupational Therapist - Home Care - Part-Time,5725163639,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNTE2MzYzOSIsInMiOiJlRC0ybFh0TThSR0hZOWJBM1lmSXhRIn0.SgwtSFIqZzk0NEhtHplBCNe6i0bYPBq9T0bdE0G09nQ,https://www.adzuna.com/land/ad/5725163639?se=eD-2lXtM8RGHY9bA3YfIxQ&utm_medium=api&utm_source=abfa41a4&v=0E0C27EE342B830631C76530C24428DAF2F51172,part_time,Avera Health,Adzuna::API::Response::Company,Adzuna::API::Response::Location,['US'],US,Part time Jobs,part-time-jobs,Adzuna::API::Response::Category,contract
-75.164753,99025.23,99025.23,1,39.955624,2026-05-10T09:38:42Z,"Thriveworks is currently seeking Licensed Clinical Social Workers to provide a mix of telehealth and face-to-face sessions in Philadelphia, PA. This role is eligible for a competitive ramp stipend for clinicians offering 30 hours of availability per week. At Thriveworks, we’re not just growing a practice—we’re building a movement to transform mental health care. Founded and led by clinicians, we understand what it takes to support our team so they can focus on what they do best: delivering exce…",Adzuna::API::Response::Job,Clinical Social Worker - Fee For Service,5725163630,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNTE2MzYzMCIsInMiOiJlRC0ybFh0TThSR0hZOWJBM1lmSXhRIn0.-_1CdEqaDe2pYoiyv6aez6-ax76fmj5HX3ksguSJFPo,https://www.adzuna.com/land/ad/5725163630?se=eD-2lXtM8RGHY9bA3YfIxQ&utm_medium=api&utm_source=abfa41a4&v=6D8A166DAD846975B90559E6FA2EE64C847D3E4F,,Thriveworks,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Philadelphia County', 'Philadelphia']","Philadelphia, Philadelphia County",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,
-97.073947,50043.61,50043.61,1,43.645256,2026-05-10T09:38:42Z,"Avera McKennan Hospital Temporary Work Shift: Day Shift (United States of America) The pay range for this position is listed below. 7:30 am to 4:00 pm, e/v 4th weekend and 1-2 holidays/year Be part of a multidisciplinary team built with compassion and the goal of Moving Health Forward for you and our patients. Responsible for the daily coordination and delivery of occupational therapy services that focus on conditions and health diagnosis, implementing specific treatment program for individual …",Adzuna::API::Response::Job,Occupational Therapist - Rehab - Temporary,5725163616,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUQtMmxYdE04UkdIWTliQTNZZkl4USIsImkiOiI1NzI1MTYzNjE2In0.PFGXFbAdHJFInLBbefuq_hNik3Dw3smBosXaPwt3cz8,https://www.adzuna.com/land/ad/5725163616?se=eD-2lXtM8RGHY9bA3YfIxQ&utm_medium=api&utm_source=abfa41a4&v=E5BA289C4622FCCD1847379A2B2FE758F8F49052,part_time,Avera Health,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'South Dakota', 'Minnehaha County', 'Humboldt']","Humboldt, Minnehaha County",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,contract
,84838.77,84838.77,1,,2026-05-10T09:38:20Z,Location: Avera Brady Health and Rehab Worker Type: Regular Work Shift: Day Shift (United States of America) Pay Range: The pay range for this position is listed below. Actual pay rate dependent upon experience. $25.50 - $38.00 Position Highlights You Belong at Avera Be part of a multidisciplinary team built with compassion and the goal of Moving Health Forward for you and our patients. Work where you matter. A Brief Overview Provides direct patient care to all patients as well as documentation…,Adzuna::API::Response::Job,Physical Therapist Assistant (PTA),5725163605,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUQtMmxYdE04UkdIWTliQTNZZkl4USIsImkiOiI1NzI1MTYzNjA1In0.68cezGEd3frnzcnwnpY9raxngsvINV1HiPGCbjQkZIU,https://www.adzuna.com/land/ad/5725163605?se=eD-2lXtM8RGHY9bA3YfIxQ&utm_medium=api&utm_source=abfa41a4&v=E40BFF0B2DCC7CF5897A2823B7457CE6F771ABBE,part_time,Avera Health,Adzuna::API::Response::Company,Adzuna::API::Response::Location,['US'],US,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,
-149.68938,120212.09,120212.09,1,61.25652,2026-05-10T09:38:20Z,"Overview Join Our Team as an Onsite School Speech Language Pathologist Assistant (SLPA) in Anchorage, Alaska for the 26/27 School Year ! Position Details: • Start Date : ASAP - May 22, 2026 • Hours: 7.5 hrs. per day/37.5 hrs. per week • Grade Levels: K-12 students • Compensation : Starting at $35/hour • Location : Anchorage, Alaska - Onsite Only For immediate consideration, please send your resume to Sara.Pessman@electronic-therapy.com At E-Therapy, we are pioneers in the field of special educa…",Adzuna::API::Response::Job,Speech Language Pathology Assistant (SLPA) - Onsite - 26/27 School Year,5725163609,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNTE2MzYwOSIsInMiOiJlRC0ybFh0TThSR0hZOWJBM1lmSXhRIn0.RQRXEDL8gQxSYEDGEbz4I_9-cFH7JATCjRaKTZ-xCD8,https://www.adzuna.com/land/ad/5725163609?se=eD-2lXtM8RGHY9bA3YfIxQ&utm_medium=api&utm_source=abfa41a4&v=B6F9B100A1878435D24899740914D01AF1E8F645,full_time,E-Therapy,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Alaska', 'Anchorage', 'Eagle River']","Eagle River, Anchorage",Teaching Jobs,teaching-jobs,Adzuna::API::Response::Category,
-94.12452,143012.25,143012.25,1,36.33318,2026-05-10T09:38:20Z,"Find your calling at Mercy! Utilizes the nursing process to provide patient care. Maintains professional accountability for provision of patient care for the assigned patients. Evaluates the overall effectiveness of care provided by other direct caregivers. Coordinates the patient care in conjunction with other departments. Maintains patient rights and confidentiality of patient information. Performs duties and responsibilities in a manner consistent with our mission, values, and Mercy Service …",Adzuna::API::Response::Job,Registered Nurse - GIG,5725163608,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUQtMmxYdE04UkdIWTliQTNZZkl4USIsImkiOiI1NzI1MTYzNjA4In0.pHIMQ3fVsBar5-l5zB9PcDW24nW26nHMP9lq0S2LCiM,https://www.adzuna.com/land/ad/5725163608?se=eD-2lXtM8RGHY9bA3YfIxQ&utm_medium=api&utm_source=abfa41a4&v=E34DD2ED721EECD389058759D691156FABBED1B8,full_time,Mercy,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'Arkansas', 'Benton County', 'Rogers']","Rogers, Benton County",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,
-97.984421,101353.25,101353.25,1,43.395007,2026-05-10T09:37:55Z,"Avera St Benedict Hospital Work Shift: Day Shift (United States of America) The pay range for this position is listed below. 1 holiday per year. Student Loan Repayment: This position may be eligible for Avera’s Student Loan Repayment Program, which helps you pay off your loans and save money. Each month an extra payment of $167 (up to $10,000) from Avera will help pay down your principal balance faster. Be part of a multidisciplinary team built with compassion and the goal of Moving Health Forw…",Adzuna::API::Response::Job,"Physical Therapist (PT) | Inpatient, Outpatient, LTC",5725163586,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUQtMmxYdE04UkdIWTliQTNZZkl4USIsImkiOiI1NzI1MTYzNTg2In0.Owj4waWD8Hxy_6JL4sF9sED7e7C0XAdRDFd2VcTLwCk,https://www.adzuna.com/land/ad/5725163586?se=eD-2lXtM8RGHY9bA3YfIxQ&utm_medium=api&utm_source=abfa41a4&v=427C1DFF27C15428EAD78391F10FBEC10B5113EB,part_time,Avera Health,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"['US', 'South Dakota', 'Hutchinson County', 'Parkston']","Parkston, Hutchinson County",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,
