salary_max,created,adref,title,redirect_url,salary_is_predicted,latitude,salary_min,__CLASS__,longitude,description,id,category.tag,category.__CLASS__,category.label,location.area,location.display_name,location.__CLASS__,company.__CLASS__,company.display_name,contract_time,contract_type
97864.0,2026-05-11T12:02:14Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaW9BcHNGTk44Ukc2Zk9NVGRQSTBBUSIsImkiOiI1NzI1OTA1MTYwIn0.3KEQ6qAfuvKujhyD2KleGl0l6z5UPCRcxQIvSJUjIYo,"Travel MRI Technologist - $1,882 per week",https://www.adzuna.com/land/ad/5725905160?se=ioApsFNN8RG6fOMTdPI0AQ&utm_medium=api&utm_source=abfa41a4&v=532787EA3B13F892430908FA771D3CE43CC99C3C,0,33.735527,0.0,Adzuna::API::Response::Job,-84.703556,"Coast Medical Service is seeking a travel MRI Technologist for a travel job in Douglasville, Georgia. Job Description & Requirements Specialty: MRI Technologist Discipline: Allied Health Professional Start Date: 06/08/2026 Duration: 13 weeks 40 hours per week Shift: 10 hours, days Employment Type: Travel Coast Medical Service is a nationwide travel nursing & allied healthcare staffing agency dedicated to providing an elite traveler experience for the experienced or first-time traveler. Coast is…",5725905160,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Georgia', 'Douglas County', 'Lithia Springs']","Lithia Springs, Douglas County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Coast Medical Service,,
102960.0,2026-05-11T12:02:13Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNTkwNTE0OSIsInMiOiJpb0Fwc0ZOTjhSRzZmT01UZFBJMEFRIn0.Pk73Afv2tIAEtBaQXW6a-e2NwwY-Md8KV9xBQM2ANpI,"Travel CT Technologist - $1,980 per week",https://www.adzuna.com/land/ad/5725905149?se=ioApsFNN8RG6fOMTdPI0AQ&utm_medium=api&utm_source=abfa41a4&v=64397621BB8A3731D5EF0F2B07A85F6B9EE540F2,0,33.807,0.0,Adzuna::API::Response::Job,-84.605,"CrossMed is seeking a travel CT Technologist for a travel job in Austell, Georgia. Job Description & Requirements Specialty: CT Technologist Discipline: Allied Health Professional Start Date: 05/26/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel CrossMed Job ID 77370860. Pay package is based on 12 hour shifts and 36 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted job title: CT Tech-Cat Scan About CrossMed A…",5725905149,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Georgia', 'Cobb County', 'Austell']","Austell, Cobb County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,CrossMed,,
67927.67,2026-05-11T12:02:11Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaW9BcHNGTk44Ukc2Zk9NVGRQSTBBUSIsImkiOiI1NzI1OTA1MTE4In0.J2p9BK2CtO71tfFpz-Xkv0UeeO5ucprpXaJOHznyzJM,Roofer,https://www.adzuna.com/land/ad/5725905118?se=ioApsFNN8RG6fOMTdPI0AQ&utm_medium=api&utm_source=abfa41a4&v=A5D4D8174CD5BBFB34156E11BAA23E4043E398A0,1,40.943675,67927.67,Adzuna::API::Response::Job,-78.970867,"Job Description Job Description A roofer is responsible for installing and maintaining roofing systems using materials like asphalt shingles and flat roof membranes. Working within small or large crews, roofers handle projects across commercial, residential, and industrial settings without travel requirements. The role demands physical stamina, attention to detail, and adherence to safety standards to ensure durable and secure roofs. Responsibilities Install roofing systems using asphalt shingl…",5725905118,trade-construction-jobs,Adzuna::API::Response::Category,Trade & Construction Jobs,"['US', 'Pennsylvania', 'Jefferson County', 'Punxsutawney']","Punxsutawney, Jefferson County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Dereume Dunkel Roofing Co.,,
93600.0,2026-05-11T12:02:11Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaW9BcHNGTk44Ukc2Zk9NVGRQSTBBUSIsImkiOiI1NzI1OTA1MTA5In0.7RtIGdW0dnYtk-woKXOo4_zh2WVVLXxesz2QZ3NiDnc,Local Contract Radiology Technologist - $45 per hour,https://www.adzuna.com/land/ad/5725905109?se=ioApsFNN8RG6fOMTdPI0AQ&utm_medium=api&utm_source=abfa41a4&v=ED0312CEB24D4DD1C82E47719F0A24D9393B1584,0,45.518244,0.0,Adzuna::API::Response::Job,-122.67199,"ALOIS Healthcare is seeking a local contract Radiology Technologist for a local contract job in Portland, Oregon. Job Description & Requirements Specialty: Radiology Technologist Discipline: Allied Health Professional Start Date: 05/26/2026 Duration: 13 weeks 40 hours per week Shift: 10 hours, nights Employment Type: Local Contract Radiologic technologists specialize in x-ray and computed tomography (CT) imaging. Radiologic technologists, also known as radiographers, perform x rays and other di…",5725905109,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Oregon', 'Multnomah County', 'Portland']","Portland, Multnomah County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,ALOIS Healthcare,,
72800.0,2026-05-11T12:02:11Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNTkwNTExMSIsInMiOiJpb0Fwc0ZOTjhSRzZmT01UZFBJMEFRIn0.VU5XIBi2kWm6CSBhnHax6fvWfiXrUm8SZKWpmhMg8RA,"Travel Radiology Technologist - $1,400 per week",https://www.adzuna.com/land/ad/5725905111?se=ioApsFNN8RG6fOMTdPI0AQ&utm_medium=api&utm_source=abfa41a4&v=CFC7DF5FD3C68CAC88F0C6A9A8F3AE27588D01B0,0,31.697488,0.0,Adzuna::API::Response::Job,-98.133717,"LanceSoft is seeking a travel Radiology Technologist for a travel job in Hamilton, Texas. Job Description & Requirements Specialty: Radiology Technologist Discipline: Allied Health Professional Duration: 52 weeks 40 hours per week Shift: 8 hours, days Employment Type: Travel Its a Permanent Position. Radiology Unit (X-Ray and CT). Monday-Friday 8am-5pm. Must have TX license and ARRT cert. Pay Salary: $32-$37/hour depending on experience. Sign on bonus: $10,000. Relocation Allowance: Up to $1,50…",5725905111,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Texas', 'Hamilton County', 'Hamilton']","Hamilton, Hamilton County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,LanceSoft,,
25517.15,2026-05-11T12:02:10Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaW9BcHNGTk44Ukc2Zk9NVGRQSTBBUSIsImkiOiI1NzI1OTA1MTAxIn0.mE8wzXSKDuLUgiHzWl-MoYoGXyf6nl3Vyj7NMO0jASk,Instore/Team Member,https://www.adzuna.com/land/ad/5725905101?se=ioApsFNN8RG6fOMTdPI0AQ&utm_medium=api&utm_source=abfa41a4&v=7B2A0031A07750D18243D783A0455DF4CC417B3E,1,33.090285,25517.15,Adzuna::API::Response::Job,-117.049986,"Job Description Job Description Team Member Papa John's Pizza 1809 South Centre City Parkway, Escondido, CA 9202 At Papa John's, people are always our top priority. Our secret ingredient is YOU! Our employees are much like our toppings. They’re all different, but come together to make the ultimate pizza! Will you be the pepperoni or the banana pepper to our team? Part time & full time positions currently open. No experience needed—we’ll train you on everything you need to know! Team Member Resp…",5725905101,hospitality-catering-jobs,Adzuna::API::Response::Category,Hospitality & Catering Jobs,"['US', 'California', 'San Diego County', 'Escondido']","Escondido, San Diego County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Papa Johns Pizza,,
76540.04,2026-05-11T12:02:10Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNTkwNTA5NyIsInMiOiJpb0Fwc0ZOTjhSRzZmT01UZFBJMEFRIn0.qVy5IFU6MtPkkvV1kjFYJR9gb1f2uU3r9vugmfHOETw,Sales Team Member - Entry Level,https://www.adzuna.com/land/ad/5725905097?se=ioApsFNN8RG6fOMTdPI0AQ&utm_medium=api&utm_source=abfa41a4&v=6CBE56104DC4F85C6A0B3DADC406B6AF65309C7D,1,33.755711,76540.04,Adzuna::API::Response::Job,-84.388372,"Job Description Job Description Who We Are: At ICON Sales Team Inc, we’re more than just a team — we’re a movement powered by ambition, authenticity, and the pursuit of excellence. Based in the heart of Atlanta, we help top-tier brands connect with their customers through face-to-face marketing strategies that deliver powerful, measurable results. What sets us apart? It’s our people. Driven, goal-focused, and team-oriented, our crew is united by a shared mission to grow personally and professio…",5725905097,sales-jobs,Adzuna::API::Response::Category,Sales Jobs,"['US', 'Georgia', 'Fulton County', 'Atlanta']","Atlanta, Fulton County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Icon Sales Team Inc,,
42454.41,2026-05-11T12:02:09Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNTkwNTA5NiIsInMiOiJpb0Fwc0ZOTjhSRzZmT01UZFBJMEFRIn0.l4FJFo181OhC17BMW-LwTco28V0v7kwclBbhp_v2c-0,Landscape Personnel,https://www.adzuna.com/land/ad/5725905096?se=ioApsFNN8RG6fOMTdPI0AQ&utm_medium=api&utm_source=abfa41a4&v=60E69A684079BDE0FACDB7A11FF2BB311EDE36F1,1,43.043978,42454.41,Adzuna::API::Response::Job,-87.899151,"Job Description Job Description Hardscaping, building retaining walls, and paver walks and patios Landscape Installation of trees, plants, shrubs, mulching and installation of stone in plant beds Grading new construction and correcting established properties Landscape Maintenance, all aspects of landscape maintenance, mowing, raking, pruning, string trimming and anything else maintenance related. Snow Removal, plowing, salting and shoveling Company Description A Great Scape Incorporated is an e…",5725905096,trade-construction-jobs,Adzuna::API::Response::Category,Trade & Construction Jobs,"['US', 'Wisconsin', 'Milwaukee County', 'Milwaukee']","Milwaukee, Milwaukee County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,A Great Scape Inc,,
40062.27,2026-05-11T12:02:08Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNTkwNTA4MyIsInMiOiJpb0Fwc0ZOTjhSRzZmT01UZFBJMEFRIn0.Nxq2MxAkZNciFYfWpnj5WzwgyTP53GCA5xobCVUox-o,Molding Operator 3,https://www.adzuna.com/land/ad/5725905083?se=ioApsFNN8RG6fOMTdPI0AQ&utm_medium=api&utm_source=abfa41a4&v=A3B038C73A18FF41B5E31D440D034043E529215F,1,42.833621,40062.27,Adzuna::API::Response::Job,-88.732327,"Job Description Job Description Role Summary The Molding Operator 3 is an advanced-level operator responsible for full machine setups, process control, and complex troubleshooting of molding equipment. This role serves as a technical resource within the department and plays a key role in maintaining process stability, reducing scrap, and optimizing machine performance. The Molding Operator 3 operates with minimal supervision and supports continuous improvement initiatives while ensuring complia…",5725905083,manufacturing-jobs,Adzuna::API::Response::Category,Manufacturing Jobs,"['US', 'Wisconsin', 'Walworth County', 'Whitewater']","Whitewater, Walworth County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,MacLean-Fogg,,
142116.0,2026-05-11T12:02:06Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyNTkwNTAzOSIsInMiOiJpb0Fwc0ZOTjhSRzZmT01UZFBJMEFRIn0.RoutnC0wJd_ZffrQjRBjk9yl_fzOvCVeh8LLDhYW10Q,"Travel Cath Lab Technologist - $2,733 per week",https://www.adzuna.com/land/ad/5725905039?se=ioApsFNN8RG6fOMTdPI0AQ&utm_medium=api&utm_source=abfa41a4&v=86030965F83E91FA79F2F0944778E91E0102A630,0,32.749147,0.0,Adzuna::API::Response::Job,-111.674776,"Focus Staff is seeking a travel Cath Lab Technologist for a travel job in Mesa, Arizona. Job Description & Requirements Specialty: Cath Lab Technologist Discipline: Allied Health Professional Start Date: 05/18/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel Start your journey with Focus Staff as a Cath Lab Tech for a travel contract in Mesa, AZ where you'll play a crucial role in providing exceptional cardiovascular care. In this position, you'll utilize …",5725905039,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Arizona', 'Pinal County', 'Arizona City']","Arizona City, Pinal County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Focus Staff,,
