salary_is_predicted,created,redirect_url,id,description,title,salary_max,adref,__CLASS__,salary_min,category.tag,category.label,category.__CLASS__,location.area,location.display_name,location.__CLASS__,company.__CLASS__,company.display_name,longitude,latitude,contract_time,contract_type
1,2026-05-13T11:36:39Z,https://www.adzuna.com/details/5728133254?utm_medium=api&utm_source=abfa41a4,5728133254,"Job Description Job Description Drive CDL-A Regional Reefer with Purdy Brothers Trucking – Where Drivers Feel at Home Purdy Brothers Trucking is hiring CDL-A truck drivers for Regional refrigerated freight delivering across the U.S., primarily east of the Mississippi. You’ll drive modern, reliable equipment, enjoy no-touch freight, and a 7-day support system built around your success. We're proud to be growing quickly, and our skilled and experienced CDL-A truck drivers are key players in our c…","CDL A Regional Reefer Truck Driver - $5,000 Sign On Bonus",88087.63,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibW9VekJlTk84UkdhQ2N4OHFtWFZqUSIsImkiOiI1NzI4MTMzMjU0In0.7FSC0D2zonTrWYDDhV2c_xuCCDztSy1G7BoKZ2Idans,Adzuna::API::Response::Job,88087.63,logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,['US'],US,Adzuna::API::Response::Location,Adzuna::API::Response::Company,Purdy Brothers Trucking,,,,
1,2026-05-13T11:36:33Z,https://www.adzuna.com/land/ad/5728133233?se=moUzBeNO8RGaCcx8qmXVjQ&utm_medium=api&utm_source=abfa41a4&v=C10EB51CA9CC60A565A0FFDC893E562BD347BAE4,5728133233,"Licensed Physical Therapist — Cherrelyn Healthcare Center | Littleton, CO Part-Time & Full-Time | $45–$52/hr DOE What You're Walking Into Cherrelyn Healthcare Center is a skilled nursing and rehabilitation community in Littleton, CO, part of Stellar Senior Living — one of the West's most recognized senior living operators. We're not a revolving door facility. Our therapy team works with residents through real recovery milestones: post-surgical rehab, stroke recovery, fall prevention, and return…",Licensed Physical Therapist,87644.6,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibW9VekJlTk84UkdhQ2N4OHFtWFZqUSIsImkiOiI1NzI4MTMzMjMzIn0.3YlqHlk2gjHuyi2MHLDi5NGA5dzz-WWjANG8Bzw8tg4,Adzuna::API::Response::Job,87644.6,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,"['US', 'Colorado', 'Jefferson County', 'Wheat Ridge']","Wheat Ridge, Jefferson County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Cherrelyn Healthcare Center,-105.10915,39.724501,,
1,2026-05-13T11:36:33Z,https://www.adzuna.com/land/ad/5728133232?se=moUzBeNO8RGaCcx8qmXVjQ&utm_medium=api&utm_source=abfa41a4&v=A309187236D7B575A0CF0499345FA9AAA5CD37F6,5728133232,"Certified Occupational Therapist Assistant ~ COTA Willow Tree Care Center ~ Delta, Co Skilled Nursing Community Pay Rate - $27Hr - $38Hr DOE - Full, Part Time & PRN BENEFITS OFFERED - Health, Vision, and Dental Insurance. 401(k) with company match, Paid Time-Off, Flexibility with schedules, tuition assistance, company sponsored training, free meals, referral program etc. ABOUT US – Willow Tree is part of Stellar Senior Living, a premier skilled nursing and memory care provider in the Western Un…",Certified Occupational Therapist ~ COTA,67371.04,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyODEzMzIzMiIsInMiOiJtb1V6QmVOTzhSR2FDY3g4cW1YVmpRIn0.KX01xCvZxqI8FkAFIrSxweUqewW4qxPUfhpYA6ZkIcM,Adzuna::API::Response::Job,67371.04,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,"['US', 'Colorado', 'Mesa County', 'Clifton']","Clifton, Mesa County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Willow Tree Care Center,-108.446189,39.085681,,
1,2026-05-13T11:36:26Z,https://www.adzuna.com/land/ad/5728133183?se=moUzBeNO8RGaCcx8qmXVjQ&utm_medium=api&utm_source=abfa41a4&v=F9F428FFB694673CA3B75FB8C5F9A6E4ABAA9E65,5728133183,"Overview: Imagine a career that truly takes you places, where you get to travel and meet new people every day along the journey. For 100 years, our Greyhound Drivers have been the heart and soul of our company, serving the transportation needs of communities across the nation. Do you enjoy meeting new people and have a passion for safety and the customer experience? Interested in a job that pays you to travel? Come join us in serving America's passengers as we continue our legacy of putting the…","CDL Bus Drivers - Denver, CO",59028.46,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibW9VekJlTk84UkdhQ2N4OHFtWFZqUSIsImkiOiI1NzI4MTMzMTgzIn0.6y-J3DQVmraZ_R9tHpLdUUujBkb3K65OTpTqvNC1xYo,Adzuna::API::Response::Job,59028.46,travel-jobs,Travel Jobs,Adzuna::API::Response::Category,"['US', 'Colorado', 'Arapahoe County', 'Aurora']","Aurora, Arapahoe County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,"Greyhound Lines, Inc.",-104.8371,39.69858,,
1,2026-05-13T11:36:26Z,https://www.adzuna.com/land/ad/5728133175?se=moUzBeNO8RGaCcx8qmXVjQ&utm_medium=api&utm_source=abfa41a4&v=FB3501EAF544D628B81260BF59ED5053DE466F21,5728133175,"Overview: Imagine a career that truly takes you places, where you get to travel and meet new people every day along the journey. For 100 years, our Greyhound Drivers have been the heart and soul of our company, serving the transportation needs of communities across the nation. Do you enjoy meeting new people and have a passion for safety and the customer experience? Interested in a job that pays you to travel? Come join us in serving America's passengers as we continue our legacy of putting the…","CDL Bus Drivers - Denver, CO",78007.61,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibW9VekJlTk84UkdhQ2N4OHFtWFZqUSIsImkiOiI1NzI4MTMzMTc1In0.h3974Lb02m_WPPTGGGzA6AlRPVTcTi_CDERLAob6Zdw,Adzuna::API::Response::Job,78007.61,travel-jobs,Travel Jobs,Adzuna::API::Response::Category,"['US', 'Colorado', 'Adams County', 'Westminster']","Westminster, Adams County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,"Greyhound Lines, Inc.",-105.00954,39.83442,,
1,2026-05-13T11:36:26Z,https://www.adzuna.com/land/ad/5728133180?se=moUzBeNO8RGaCcx8qmXVjQ&utm_medium=api&utm_source=abfa41a4&v=9BF4F587D7AF644D3826A381D79EC5CD33B895C4,5728133180,"Overview: Imagine a career that truly takes you places, where you get to travel and meet new people every day along the journey. For 100 years, our Greyhound Drivers have been the heart and soul of our company, serving the transportation needs of communities across the nation. Do you enjoy meeting new people and have a passion for safety and the customer experience? Interested in a job that pays you to travel? Come join us in serving America's passengers as we continue our legacy of putting the…","CDL Bus Drivers - Denver, CO",59028.46,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibW9VekJlTk84UkdhQ2N4OHFtWFZqUSIsImkiOiI1NzI4MTMzMTgwIn0.YomUd8cZWPhOAH0lLtlD_KFfy_0e4uGStJ3IoQZ3qRY,Adzuna::API::Response::Job,59028.46,travel-jobs,Travel Jobs,Adzuna::API::Response::Category,"['US', 'Colorado', 'Arapahoe County', 'Aurora']","Aurora, Arapahoe County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,"Greyhound Lines, Inc.",-104.8248,39.75372,,
1,2026-05-13T11:36:26Z,https://www.adzuna.com/land/ad/5728133184?se=moUzBeNO8RGaCcx8qmXVjQ&utm_medium=api&utm_source=abfa41a4&v=0C83245E1EF0862D5F2381FFBAAED925F311DE52,5728133184,"Overview: Imagine a career that truly takes you places, where you get to travel and meet new people every day along the journey. For 100 years, our Greyhound Drivers have been the heart and soul of our company, serving the transportation needs of communities across the nation. Do you enjoy meeting new people and have a passion for safety and the customer experience? Interested in a job that pays you to travel? Come join us in serving America's passengers as we continue our legacy of putting the…","CDL Bus Drivers - Denver, CO",57618.3,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyODEzMzE4NCIsInMiOiJtb1V6QmVOTzhSR2FDY3g4cW1YVmpRIn0.CHUBs-yjOirbUcZDHRrJOH8RSY8MpILXQ0VPtW10Zag,Adzuna::API::Response::Job,57618.3,travel-jobs,Travel Jobs,Adzuna::API::Response::Category,"['US', 'Colorado', 'Douglas County', 'Sedalia']","Sedalia, Douglas County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,"Greyhound Lines, Inc.",-104.900251,39.39217,,
1,2026-05-13T11:36:26Z,https://www.adzuna.com/land/ad/5728133179?se=moUzBeNO8RGaCcx8qmXVjQ&utm_medium=api&utm_source=abfa41a4&v=560822255EC27C29A80A58CC32629987C46F622F,5728133179,"Overview: Imagine a career that truly takes you places, where you get to travel and meet new people every day along the journey. For 100 years, our Greyhound Drivers have been the heart and soul of our company, serving the transportation needs of communities across the nation. Do you enjoy meeting new people and have a passion for safety and the customer experience? Interested in a job that pays you to travel? Come join us in serving America's passengers as we continue our legacy of putting the…","CDL Bus Drivers - Denver, CO",91462.83,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyODEzMzE3OSIsInMiOiJtb1V6QmVOTzhSR2FDY3g4cW1YVmpRIn0.tiuXY4Sl6tL10j6gKeL5cr2Gl-gbE7qWD58U838IbbQ,Adzuna::API::Response::Job,91462.83,travel-jobs,Travel Jobs,Adzuna::API::Response::Category,"['US', 'Colorado', 'Adams County', 'Eastlake']","Eastlake, Adams County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,"Greyhound Lines, Inc.",-104.945618,39.928851,,
1,2026-05-13T11:36:26Z,https://www.adzuna.com/land/ad/5728133188?se=moUzBeNO8RGaCcx8qmXVjQ&utm_medium=api&utm_source=abfa41a4&v=7F19B274297A12194DBC2B7B26315CAA8391D0CB,5728133188,"Overview: Imagine a career that truly takes you places, where you get to travel and meet new people every day along the journey. For 100 years, our Greyhound Drivers have been the heart and soul of our company, serving the transportation needs of communities across the nation. Do you enjoy meeting new people and have a passion for safety and the customer experience? Interested in a job that pays you to travel? Come join us in serving America's passengers as we continue our legacy of putting the…","CDL Bus Drivers - Denver, CO",74755.94,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyODEzMzE4OCIsInMiOiJtb1V6QmVOTzhSR2FDY3g4cW1YVmpRIn0.oCueVjI50CMEr18JkNTgrMef9oXSItFUuqNX-xlLVR0,Adzuna::API::Response::Job,74755.94,travel-jobs,Travel Jobs,Adzuna::API::Response::Category,"['US', 'Colorado', 'Denver', 'Montbello']","Montbello, Denver",Adzuna::API::Response::Location,Adzuna::API::Response::Company,"Greyhound Lines, Inc.",-104.754467,39.778869,,
1,2026-05-13T11:36:26Z,https://www.adzuna.com/land/ad/5728133174?se=moUzBeNO8RGaCcx8qmXVjQ&utm_medium=api&utm_source=abfa41a4&v=1CC4C977C435C5DABEA11BAA222EF6918CA2CD14,5728133174,"Overview: Imagine a career that truly takes you places, where you get to travel and meet new people every day along the journey. For 100 years, our Greyhound Drivers have been the heart and soul of our company, serving the transportation needs of communities across the nation. Do you enjoy meeting new people and have a passion for safety and the customer experience? Interested in a job that pays you to travel? Come join us in serving America's passengers as we continue our legacy of putting the…","CDL Bus Drivers - Denver, CO",71013.46,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibW9VekJlTk84UkdhQ2N4OHFtWFZqUSIsImkiOiI1NzI4MTMzMTc0In0.ambJC_v1wyFob4jSDYKYrwfnNhGuRFmY__F9L5u6GB8,Adzuna::API::Response::Job,71013.46,travel-jobs,Travel Jobs,Adzuna::API::Response::Category,"['US', 'Colorado', 'Arapahoe County', 'Centennial', 'Southglenn']","Southglenn, Centennial",Adzuna::API::Response::Location,Adzuna::API::Response::Company,"Greyhound Lines, Inc.",-104.9622,39.59532,,
