adref,salary_is_predicted,latitude,longitude,__CLASS__,title,description,contract_time,salary_min,redirect_url,id,salary_max,created,location.__CLASS__,location.display_name,location.area,company.__CLASS__,company.display_name,category.label,category.__CLASS__,category.tag,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyOTMyMzQ2NCIsInMiOiIyTnhnRjZsUDhSR3VqTmE4cExqN2J3In0.oyQzQu-q4RWgNdA9t9W9Xz9Bncp5dS8FuBVRqGRLGmU,1,42.34,-71.05,Adzuna::API::Response::Job,"Director, Security Architecture","At Fidelity Brokerage, we are seeking an accomplished Cybersecurity Solutions Architect to support the Architecture Governance team in defining secure, end-to-end technology strategy for the retail brokerage customer experience. In this role, you will lead efforts to continuously improve the cybersecurity posture and practices within the Brokerage technology Architecture and Engineering organizations in collaboration with Enterprise cybersecurity efforts. The Expertise You Have An ideal candida…",full_time,231060.38,https://www.adzuna.com/details/5729323464?utm_medium=api&utm_source=abfa41a4,5729323464,231060.38,2026-05-14T10:39:12Z,Adzuna::API::Response::Location,"South Boston, Suffolk County","['US', 'Massachusetts', 'Suffolk County', 'South Boston']",Adzuna::API::Response::Company,Fidelity Investments,IT Jobs,Adzuna::API::Response::Category,it-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMk54Z0Y2bFA4Ukd1ak5hOHBMajdidyIsImkiOiI1NzI5MzIzNDc5In0.7JaZP9_F_ZCbcVlxl_qNlnhMZi-ebDI3mZmC3fRSF-I,1,26.143,-81.7957,Adzuna::API::Response::Job,"Vice President, Wealth Planner","Are you passionate about helping clients with comprehensive wealth strategies? Do you love to spend time building deeper positive relationships? Are you interested in helping families dedicatedly navigate life stages? The new Wealth Planner role may be for you. The Wealth Planner focuses on driving deeper and meaningful relationships with families by co-creating ongoing, personalized, and comprehensive planning and investment strategies that help achieve their financial goals today, tomorrow, a…",full_time,177435.06,https://www.adzuna.com/details/5729323479?utm_medium=api&utm_source=abfa41a4,5729323479,177435.06,2026-05-14T10:39:12Z,Adzuna::API::Response::Location,"Naples, Collier County","['US', 'Florida', 'Collier County', 'Naples']",Adzuna::API::Response::Company,Fidelity Investments,Accounting & Finance Jobs,Adzuna::API::Response::Category,accounting-finance-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyOTMyMzQ0NSIsInMiOiIyTnhnRjZsUDhSR3VqTmE4cExqN2J3In0.qoA32uIf712RwkX4yntVI734_QhDpej7QcA8lJh1ewk,1,32.991235,-97.195014,Adzuna::API::Response::Job,Senior Software Engineer/Developer,"Builds automation pipelines using DevOps concepts and Continuous Integration and Continuous Delivery (CI/CD). Crafts and maintains testing frameworks including Selenium (TestNG), Behavior-Driven Development (BDD) Cucumber, and Cypress, following Agile/Scrum methodology. Designs and develops automated tests and software tools using programming language  Java or JavaScript, Rest Assured, Jenkins, and SQL databases, as well as Web services testing concept. Designs, develops, documents, and maintai…",full_time,111114.09,https://www.adzuna.com/details/5729323445?utm_medium=api&utm_source=abfa41a4,5729323445,111114.09,2026-05-14T10:38:41Z,Adzuna::API::Response::Location,"Westlake, Denton County","['US', 'Texas', 'Denton County', 'Westlake']",Adzuna::API::Response::Company,Fidelity Investments,IT Jobs,Adzuna::API::Response::Category,it-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyOTMyMzM3NiIsInMiOiIyTnhnRjZsUDhSR3VqTmE4cExqN2J3In0.UyP8keE0OHmj7HN3HpJQloj014vh5rZ9F3BmseQN2PM,1,33.7487,-84.3879,Adzuna::API::Response::Job,Community Sales Director,"About the Role Are you a dynamic, relationship-driven professional with a passion for senior care and community engagement? As our Community Sales Director, you’ll be the face of our Assisted Living Community—leading local outreach, building strategic partnerships, and driving occupancy through meaningful connections. This is more than a sales role—it’s a mission to make a difference in the lives of seniors and their families. Key Responsibilities Cultivate and grow referral relationships with …",full_time,89725.18,https://www.adzuna.com/details/5729323376?utm_medium=api&utm_source=abfa41a4,5729323376,89725.18,2026-05-14T10:38:19Z,Adzuna::API::Response::Location,"Northlake, DeKalb County","['US', 'Georgia', 'DeKalb County', 'Northlake']",Adzuna::API::Response::Company,Pruitthealth,Sales Jobs,Adzuna::API::Response::Category,sales-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyOTMyMzQwNSIsInMiOiIyTnhnRjZsUDhSR3VqTmE4cExqN2J3In0.kxP_FMVBsR9sZEFg0XdhGLKfBzDHXVgcDYQqxnUJvnc,1,30.756389,-81.571389,Adzuna::API::Response::Job,Director of Nursing,"Director of Nursing Ask About Our Sign on Bonus $10,000 & Referral Bonus up To $3,000 Join the PruittHealth family, where the health and safety of our workforce is our top priority! Were not only committed to your career, were committed to the health and safety of all our nurses. Now is a great time to make a change and join one of the leading providers of post-acute care. PruittHealth will help you conquer your career goals. At PruittHealth, we are searching for nurses who are committed to ser…",full_time,108416.72,https://www.adzuna.com/details/5729323405?utm_medium=api&utm_source=abfa41a4,5729323405,108416.72,2026-05-14T10:38:19Z,Adzuna::API::Response::Location,"Saint Marys, Camden County","['US', 'Georgia', 'Camden County', 'Saint Marys']",Adzuna::API::Response::Company,Pruitthealth,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMk54Z0Y2bFA4Ukd1ak5hOHBMajdidyIsImkiOiI1NzI5MzIzMzkxIn0.jFIaGw5qkPGariVa8qnai9ufM6vkIQJAUreZFHua0vQ,1,32.991235,-97.195014,Adzuna::API::Response::Job,"Director, Software Engineering – Digital Staff Engineer","As a member of the technical leadership team, you will work with teams that compose and develop solutions. Your role includes championing innovation, driving standardization, and delivering modern technology patterns across the stack for our customers. This is a fast-paced technology group that adopts new technologies with focus on building innovative and cloud-native experiences, capabilities, and platforms in support of millions of customers who are seeking products that provide guaranteed in…",full_time,170088.64,https://www.adzuna.com/details/5729323391?utm_medium=api&utm_source=abfa41a4,5729323391,170088.64,2026-05-14T10:38:19Z,Adzuna::API::Response::Location,"Westlake, Denton County","['US', 'Texas', 'Denton County', 'Westlake']",Adzuna::API::Response::Company,Fidelity Investments,IT Jobs,Adzuna::API::Response::Category,it-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyOTMyMTQzOSIsInMiOiIyTnhnRjZsUDhSR3VqTmE4cExqN2J3In0.SpDcaVKPfr2Sqfy93lAK5IiLGperFgrjtQX8yMmY6LA,1,36.864357,-75.998569,Adzuna::API::Response::Job,`Hiring Now | Entry Level Leadership | Fully Remote | Start ASAP,"Entry Level Leadership – Remote Career with Globe Life AO Partnered with Globe Life (a Fortune 500 company), Globe Life AO is hiring motivated individuals across the U.S. for a 100% remote leadership-track opportunity . Whether you’re starting fresh, changing industries, or seeking extra income, this is your chance to build a stable, rewarding future — all from home. Why You’ll Love This Role Beginner Friendly: Full training provided — no prior experience needed. Work Anywhere in the U.S.: Enjo…",,91401.53,https://www.adzuna.com/details/5729321439?utm_medium=api&utm_source=abfa41a4,5729321439,91401.53,2026-05-14T10:23:15Z,Adzuna::API::Response::Location,"Virginia Beach, Virginia Beach City","['US', 'Virginia', 'Virginia Beach City', 'Virginia Beach']",Adzuna::API::Response::Company,Globe Life AO,Sales Jobs,Adzuna::API::Response::Category,sales-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMk54Z0Y2bFA4Ukd1ak5hOHBMajdidyIsImkiOiI1NzI5MzIxNDQwIn0.liX2VR0SO7PZ4Jf_KFupZwXzKlV6pFGdwcAc6j8n65Y,1,30.342001,-81.769132,Adzuna::API::Response::Job,`Urgently Hiring | Remote Entry Level Leadership | No Experience Needed | Start ASAP,"Remote Entry Level Leadership Role — Start This Week Globe Life AO , a proud partner of Globe Life (Fortune 500), is hiring motivated, friendly people for a 100% remote Entry Level Leadership position. No prior experience required — we train you and promote by performance. Build a stable, flexible career from home. Why This Role Works for You Beginner friendly — full training and ongoing coaching. Work anywhere in the U.S. — true remote flexibility. Fast start — get hired and begin this week. P…",,66035.65,https://www.adzuna.com/details/5729321440?utm_medium=api&utm_source=abfa41a4,5729321440,66035.65,2026-05-14T10:23:15Z,Adzuna::API::Response::Location,"Jacksonville, Duval County","['US', 'Florida', 'Duval County', 'Jacksonville']",Adzuna::API::Response::Company,Globe Life AO,Sales Jobs,Adzuna::API::Response::Category,sales-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMk54Z0Y2bFA4Ukd1ak5hOHBMajdidyIsImkiOiI1NzI5MzIxNDM4In0.m8GJv73IvmRt9cE3xmtIFQEwJL7QLW6dP0RsJGxYXs4,1,42.348495,-83.0603,Adzuna::API::Response::Job,Assembly Supervisor (Afternoon Shift),"About us LAEPPLE Automotive is a leading supplier in the automotive industry, specializing in high-quality components and systems for body components manufacturing. Our innovative technologies and efficient production processes set benchmarks in the industry. To grow our team in Detroit, we are seeking a dedicated and experienced Assembly Supervisor to lead our manufacturing team on afternoon shift. This role is responsible for overseeing daily manufacturing activities of Class A automotive bod…",,49592.69,https://www.adzuna.com/details/5729321438?utm_medium=api&utm_source=abfa41a4,5729321438,49592.69,2026-05-14T10:23:11Z,Adzuna::API::Response::Location,"Detroit, Wayne County","['US', 'Michigan', 'Wayne County', 'Detroit']",Adzuna::API::Response::Company,Laepple Automotive US Inc,Manufacturing Jobs,Adzuna::API::Response::Category,manufacturing-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyOTMyMTQzMyIsInMiOiIyTnhnRjZsUDhSR3VqTmE4cExqN2J3In0.iTpGXYnHmfU_jAj8TURQ_bTGPlh-8usjWKQ4-_w29Es,1,43.444243,-71.647299,Adzuna::API::Response::Job,Travel Registered Nurse Utilization Management Job,"Overview Registered Nurse – Utilization Management in a Skilled Nursing Facility setting located in Franklin, New Hampshire. This travel assignment starts 05/18/2026 for 8 weeks with guaranteed 40 hours per week. Shift is 5x8 Days (08:00–16:30) with potential on-floor coverage and occasional weekend work as needed. Weekly pay ranges from $2,255 to $2,466. Key Highlights - Weekly pay: $2,255–$2,466 per week - Guaranteed hours: 40 hours per week - Contract duration: 8 weeks - Shift: 5x8 Days (08:…",,83901.8,https://www.adzuna.com/details/5729321433?utm_medium=api&utm_source=abfa41a4,5729321433,83901.8,2026-05-14T10:22:38Z,Adzuna::API::Response::Location,"Franklin, Merrimack County","['US', 'New Hampshire', 'Merrimack County', 'Franklin']",Adzuna::API::Response::Company,Healthforce,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,contract
