adref,created,salary_max,longitude,salary_min,id,description,latitude,redirect_url,title,salary_is_predicted,contract_time,__CLASS__,location.display_name,location.__CLASS__,location.area,company.__CLASS__,company.display_name,category.tag,category.__CLASS__,category.label,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQyMzQ4MyIsInMiOiJZa3d2MjNGUThSRzZucGdGZHphTGh3In0.QOpXN_RrKlgVfT3VPgZi61jxXe5Q-tirV8DAftJ5zzI,2026-05-15T10:41:15Z,82137.64,-104.9813,82137.64,5730423483,"The Tax Experienced Manager, Private Client & Family Office Services (PCS-FOS) manages the full-life cycle of all assigned finance and accounting outsource engagements. Responsibilities include proposal development, staff assignment and oversight, final work product review and overall portfolio financial performance. In addition, the PCS-FOS Experienced Manager is responsible for client relationship management including regularly meeting with the client and assigned staff, reporting financial i…",39.7427,https://www.adzuna.com/details/5730423483?utm_medium=api&utm_source=abfa41a4,"Tax Experienced Manager, Private Client & Family Office Services",1,full_time,Adzuna::API::Response::Job,"Glendale, Denver",Adzuna::API::Response::Location,"['US', 'Colorado', 'Denver', 'Glendale']",Adzuna::API::Response::Company,bdo consulting,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWWt3djIzRlE4Ukc2bnBnRmR6YUxodyIsImkiOiI1NzMwNDIzNDg1In0.IL3Lo7Mz4xWGSMocxa4yqIvZH8ifc3Nj8t7BpY2t_zk,2026-05-15T10:41:15Z,115262.71,-75.1277,115262.71,5730423485,"Job Summary: The Assurance Manager is responsible for supervising, directing, and reviewing the results through the delegation of tasks throughout the planning, field work and “wrap-up” stages of an Audit client engagement. In this role, the Assurance Manager is charged with marketing, networking, and business development within an area of expertise, as well as the responsibility of ensuring engagement profitability involving billings and collections. Traditionally responsibilities of the Assur…",40.0758,https://www.adzuna.com/details/5730423485?utm_medium=api&utm_source=abfa41a4,Assurance Manager,1,full_time,Adzuna::API::Response::Job,"Elkins Park, Montgomery County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Montgomery County', 'Elkins Park']",Adzuna::API::Response::Company,bdo consulting,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQyMzQ3NCIsInMiOiJZa3d2MjNGUThSRzZucGdGZHphTGh3In0.KDI_0GIZShSP1QcKmcQ93mnxyqNddN9VDAHux7Lq-zs,2026-05-15T10:41:14Z,94190.3,-89.95656,94190.3,5730423474,"Job Summary: The Assurance Manager is responsible for supervising, directing, and reviewing the results through the delegation of tasks throughout the planning, field work and “wrap-up” stages of an Audit client engagement. In this role, the Assurance Manager is charged with marketing, networking, and business development within an area of expertise, as well as the responsibility of ensuring engagement profitability involving billings and collections. Traditionally responsibilities of the Assur…",35.07032,https://www.adzuna.com/details/5730423474?utm_medium=api&utm_source=abfa41a4,Assurance Manager,1,full_time,Adzuna::API::Response::Job,"Cloverdale, Shelby County",Adzuna::API::Response::Location,"['US', 'Tennessee', 'Shelby County', 'Cloverdale']",Adzuna::API::Response::Company,bdo consulting,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQyMzQ3MCIsInMiOiJZa3d2MjNGUThSRzZucGdGZHphTGh3In0.6CW9_ixMkUbaZHdDRl2Dw9i4UPbPsRIDjA3gH0Feow8,2026-05-15T10:41:14Z,171254.86,-86.780596,171254.86,5730423470,"The Vice President, Advanced Planning is a client-facing role that serves as a financial planning and estate planning subject matter authority for Fidelity’s high net worth clients and their advisors. Depending on our client’s needs, the Advanced Planner can deliver point-in-time estate planning guidance and education or lead a more comprehensive financial and estate planning engagement. In addition, the role is supported by a Director, Advanced Planning and an Advanced Planning Analyst, and to…",36.172489,https://www.adzuna.com/details/5730423470?utm_medium=api&utm_source=abfa41a4,"VP, Advanced Planning",1,full_time,Adzuna::API::Response::Job,"Nashville, Davidson County",Adzuna::API::Response::Location,"['US', 'Tennessee', 'Davidson County', 'Nashville']",Adzuna::API::Response::Company,Fidelity Investments,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQyMzM2NCIsInMiOiJZa3d2MjNGUThSRzZucGdGZHphTGh3In0.vl9V5ZnQC-GdBSB44Xt7ClNqcU9-obuAmwljH36Z_dQ,2026-05-15T10:40:51Z,98603.62,-97.195014,98603.62,5730423364,"Fidelity Investments is looking for Principal BPM Developers that can work across multiple Fidelity business units to automate, digitize, and transform their operational environments. This position is a hands-on technical leadership role that that will utilize software design and engineering skills to architect and build robust, scalable, and efficient solutions for our business partners. The Expertise and Skills You Bring • Bachelor’s Degree • Proficiency in Java, Groovy, JavaScript, REST APIs…",32.991235,https://www.adzuna.com/details/5730423364?utm_medium=api&utm_source=abfa41a4,Senior BPM Developer,1,full_time,Adzuna::API::Response::Job,"Westlake, Denton County",Adzuna::API::Response::Location,"['US', 'Texas', 'Denton County', 'Westlake']",Adzuna::API::Response::Company,Fidelity Investments,it-jobs,Adzuna::API::Response::Category,IT Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWWt3djIzRlE4Ukc2bnBnRmR6YUxodyIsImkiOiI1NzMwNDIzMzc3In0.Rd0ybyYktG80X3YYWC0xbF-9pw-E7JmhsjBqctaMutM,2026-05-15T10:40:51Z,337465.47,-71.05,337465.47,5730423377,"Are you interested in operating as a senior scientific leader—owning truth, rigor, and decision quality for complex business problems? Fidelity Institutional’s AI Center of Excellence (AI CoE) is seeking a Principal Data Scientist to serve as a highly tenured individual contributor and domain authority in data science, quantitative modeling, and advanced analytics. This role is intentionally Data Science–first, with emphasis on hypothesis driven analysis, statistical rigor, causal reasoning, an…",42.34,https://www.adzuna.com/details/5730423377?utm_medium=api&utm_source=abfa41a4,"Director, Data Science",1,full_time,Adzuna::API::Response::Job,"South Boston, Suffolk County",Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Suffolk County', 'South Boston']",Adzuna::API::Response::Company,Fidelity Investments,it-jobs,Adzuna::API::Response::Category,IT Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWWt3djIzRlE4Ukc2bnBnRmR6YUxodyIsImkiOiI1NzMwNDIzMzczIn0.tZSuxyp7FKUQZtgNh7UFVi3XN5iECy6ckpH-tx7C-ac,2026-05-15T10:40:51Z,132146.83,-118.2538,132146.83,5730423373,"Private Client Services at BDO is a boutique practice within our firm. Offering a high touch approach, we have extensive experience serving high net-worth individuals, their families, family offices, C-Suite executives, athletes, entertainers, as well as other people with complicated tax and financial structures. The Private Client Services Practice is experienced in all aspects of estate, income, gift, and trust tax consulting and compliance; charitable giving and philanthropic foundations; ex…",34.0414,https://www.adzuna.com/details/5730423373?utm_medium=api&utm_source=abfa41a4,"Tax Experienced Manager, Private Client Services",1,full_time,Adzuna::API::Response::Job,"Textile Finance, Los Angeles County",Adzuna::API::Response::Location,"['US', 'California', 'Los Angeles County', 'Textile Finance']",Adzuna::API::Response::Company,bdo consulting,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWWt3djIzRlE4Ukc2bnBnRmR6YUxodyIsImkiOiI1NzMwNDIzMzgxIn0.YBZgkwqN_wuCTaY5Abn_p3ALX-JeWw-xTugfGPysH0Q,2026-05-15T10:40:51Z,101293.91,-87.8849,101293.91,5730423381,"Job Summary: The Assurance Manager is responsible for supervising, directing, and reviewing the results through the delegation of tasks throughout the planning, field work and “wrap-up” stages of an Audit client engagement. In this role, the Assurance Manager is charged with marketing, networking, and business development within an area of expertise, as well as the responsibility of ensuring engagement profitability involving billings and collections. Traditionally responsibilities of the Assur…",41.9613,https://www.adzuna.com/details/5730423381?utm_medium=api&utm_source=abfa41a4,Assurance Manager,1,full_time,Adzuna::API::Response::Job,"Schiller Park, Cook County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Cook County', 'Schiller Park']",Adzuna::API::Response::Company,bdo consulting,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWWt3djIzRlE4Ukc2bnBnRmR6YUxodyIsImkiOiI1NzMwNDIzMzY1In0.u0ryKpg9SpLPElkdbH3GrDQ70pG5NshKhBrF5-0glOU,2026-05-15T10:40:51Z,64803.07,-112.0772,64803.07,5730423365,"Job Summary: The People & Culture Meeting Planning Manager is responsible for the planning and administration of firm-sponsored events and meetings that require development of event budgets, contract negotiation with service providers and suppliers, and on-site event management. Job Duties: Collaborates with internal clients (e.g., business lines, People & Culture, etc.) to determine event objectives and requirements, plan scope and format of events, establish and monitor budgets, and review ad…",33.449188,https://www.adzuna.com/details/5730423365?utm_medium=api&utm_source=abfa41a4,"People & Culture Manager, Meeting Planning",1,full_time,Adzuna::API::Response::Job,"Phoenix, Maricopa County",Adzuna::API::Response::Location,"['US', 'Arizona', 'Maricopa County', 'Phoenix']",Adzuna::API::Response::Company,bdo consulting,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQyMzI1MyIsInMiOiJZa3d2MjNGUThSRzZucGdGZHphTGh3In0.agxS18pF6k_SAA4KY4ldfJbum_IrbmzB2ovo2zIn-vM,2026-05-15T10:40:27Z,164016.28,-97.865683,164016.28,5730423253,"At Schwab, you’re empowered to make an impact on your career. Here, innovative thought meets creative problem solving, helping us “challenge the status quo” and transform the finance industry together. We Believe in the importance of in-office collaboration and fully intend for the selected candidate for this role to work on site in the specified location(s). Applicants must be currently authorized to work in the United States on a full-time basis without employer sponsorship. Schwab Technology…",30.320233,https://www.adzuna.com/details/5730423253?utm_medium=api&utm_source=abfa41a4,Senior Full Stack Java Developer,1,full_time,Adzuna::API::Response::Job,"Bee Cave, Travis County",Adzuna::API::Response::Location,"['US', 'Texas', 'Travis County', 'Bee Cave']",Adzuna::API::Response::Company,Charles Schwab,it-jobs,Adzuna::API::Response::Category,IT Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWWt3djIzRlE4Ukc2bnBnRmR6YUxodyIsImkiOiI1NzMwNDIzMjU2In0.2eUM1WW_85kvf8yESPEw7sBYOY3rXeJ7lHOsBH9bkus,2026-05-15T10:40:27Z,109601.01,-73.97528,109601.01,5730423256,"Job Summary: The Assurance Manager is responsible for supervising, directing, and reviewing the results through the delegation of tasks throughout the planning, field work and “wrap-up” stages of an Audit client engagement. In this role, the Assurance Manager is charged with marketing, networking, and business development within an area of expertise, as well as the responsibility of ensuring engagement profitability involving billings and collections. Traditionally responsibilities of the Assur…",40.75284,https://www.adzuna.com/details/5730423256?utm_medium=api&utm_source=abfa41a4,Assurance Manager,1,full_time,Adzuna::API::Response::Job,"Grand Central, Manhattan",Adzuna::API::Response::Location,"['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']",Adzuna::API::Response::Company,bdo consulting,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQyMzAzNiIsInMiOiJZa3d2MjNGUThSRzZucGdGZHphTGh3In0.CmoeAna0qVnsOmCjJmWqwHH0LIVZg4icKBNbkqjYTVY,2026-05-15T10:40:07Z,104017.04,-115.15036,104017.04,5730423036,"Job Summary: The Assurance Manager is responsible for supervising, directing, and reviewing the results through the delegation of tasks throughout the planning, field work and “wrap-up” stages of an Audit client engagement. In this role, the Assurance Manager is charged with marketing, networking, and business development within an area of expertise, as well as the responsibility of ensuring engagement profitability involving billings and collections. Traditionally responsibilities of the Assur…",36.01979,https://www.adzuna.com/details/5730423036?utm_medium=api&utm_source=abfa41a4,Assurance Manager,1,full_time,Adzuna::API::Response::Job,"Enterprise, Clark County",Adzuna::API::Response::Location,"['US', 'Nevada', 'Clark County', 'Enterprise']",Adzuna::API::Response::Company,bdo consulting,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,
