__CLASS__,salary_is_predicted,adref,redirect_url,title,salary_min,latitude,salary_max,id,longitude,description,created,category.tag,category.label,category.__CLASS__,location.display_name,location.__CLASS__,location.area,company.__CLASS__,company.display_name,contract_time,contract_type
Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMjQyOTAxNSIsInMiOiI0cVNpSF81UjhSRzBuLTZBR2Q0V3N3In0.SmU5VsavlwL5SmSEfS6xocPHUQfYSPmxPbI80XGxJmg,https://www.adzuna.com/land/ad/5732429015?se=4qSiH_5R8RG0n-6AGd4Wsw&utm_medium=api&utm_source=abfa41a4&v=A455EABADC88E2B9F2C2E3DAB7445D2E366DFD00,Registered Nurse,95000.0,39.696864,122000.0,5732429015,-105.035015,"Incredible Health is seeking a compassionate, detail-oriented Registered Nurse to deliver exceptional patient care within our partner healthcare & medical services network. In this role, you’ll assess, plan, implement, and evaluate patient care, collaborate with interdisciplinary teams, and educate patients and families. You’ll use evidence-based practices, follow safety and quality standards, and document accurately in electronic health records. Ideal candidates are mission-driven, adaptable, …",2026-05-17T10:35:34Z,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,"Lakewood, Denver",Adzuna::API::Response::Location,"['US', 'Colorado', 'Denver', 'Lakewood']",Adzuna::API::Response::Company,Incredible Health,,
Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMjQyOTAwNyIsInMiOiI0cVNpSF81UjhSRzBuLTZBR2Q0V3N3In0.43XDF2jMoJwx8lB1zq_WwPQhaPOw8m76Be4qpePoI-w,https://www.adzuna.com/land/ad/5732429007?se=4qSiH_5R8RG0n-6AGd4Wsw&utm_medium=api&utm_source=abfa41a4&v=45E0577EBA343BD43B12D9A7CBC69489086A05F1,RN,72000.0,43.557372,85000.0,5732429007,-96.73263,"At Good Samaritan Health Center, we are dedicated to providing unmatched care tailored specifically to meet the needs of our underserved communities. As part of our team, Registered Nurses (RNs) play a pivotal role in delivering holistic healthcare, aimed at achieving optimal health and wellness outcomes for all patients. We offer a nurturing environment where professional growth is encouraged and supported, allowing our nurses to thrive both personally and professionally while making a signifi…",2026-05-17T10:35:18Z,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,"Sioux Falls, Minnehaha County",Adzuna::API::Response::Location,"['US', 'South Dakota', 'Minnehaha County', 'Sioux Falls']",Adzuna::API::Response::Company,Good Samaritan,,
Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMjQyOTAwNSIsInMiOiI0cVNpSF81UjhSRzBuLTZBR2Q0V3N3In0.9aD1Avq_T8oGI2A5KSMzndGQbQX6cGox4M50FI3Avk4,https://www.adzuna.com/land/ad/5732429005?se=4qSiH_5R8RG0n-6AGd4Wsw&utm_medium=api&utm_source=abfa41a4&v=8DF27418888E687EA2030A3C9F2D7D448639C788,Traveling Retail Merchandiser,38000.0,37.842247,47000.0,5732429005,-97.357074,"The Retail Odyssey Company is seeking a Traveling Retail Merchandiser to support Retail Operations across assigned territories. In this field-based role, you will travel between retail locations to execute planograms, set and reset shelves, place displays, verify pricing, and ensure on-shelf availability. You’ll collaborate with store teams to implement merchandising standards that drive sales and enhance the shopper experience. Retail Odyssey offers a dynamic, inclusive culture that values col…",2026-05-17T10:35:10Z,retail-jobs,Retail Jobs,Adzuna::API::Response::Category,"Valley Center, Sedgwick County",Adzuna::API::Response::Location,"['US', 'Kansas', 'Sedgwick County', 'Valley Center']",Adzuna::API::Response::Company,The Retail Odyssey Company,,
Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNHFTaUhfNVI4Ukcwbi02QUdkNFdzdyIsImkiOiI1NzMyNDI4OTkwIn0.wFZGj7t1-ZVRJXusaPDAqfnd0crHEkqQnsfpIdoVfno,https://www.adzuna.com/details/5732428990?utm_medium=api&utm_source=abfa41a4,Software Development Engineer in Test (SDET),112418.09,33.154117,112418.09,5732428990,-96.760106,"Bright Vision Technologies is a forward-thinking software development company dedicated to building innovative solutions that help businesses automate and optimize their operations. We leverage cutting-edge technologies to create scalable, secure, and user-friendly applications. As we continue to grow, we’re looking for a skilled Software Development Engineer in Test (SDET) to join our dynamic team and contribute to our mission of transforming business processes through technology. This is a fa…",2026-05-17T10:35:06Z,it-jobs,IT Jobs,Adzuna::API::Response::Category,"Frisco, Collin County",Adzuna::API::Response::Location,"['US', 'Texas', 'Collin County', 'Frisco']",Adzuna::API::Response::Company,Bright Vision Technologies,full_time,
Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNHFTaUhfNVI4Ukcwbi02QUdkNFdzdyIsImkiOiI1NzMyNDI4OTcyIn0.5loPSa_LFLjiZVXGZG87RbDA52aLn0i5GJdDhNUynuE,https://www.adzuna.com/details/5732428972?utm_medium=api&utm_source=abfa41a4,Prompt Engineering Architect,93296.75,33.154117,93296.75,5732428972,-96.760106,"Bright Vision Technologies is a forward-thinking software development company dedicated to building innovative solutions that help businesses automate and optimize their operations. We leverage cutting-edge technologies to create scalable, secure, and user-friendly applications. As we continue to grow, we’re looking for a skilled Prompt Engineering Architect to join our dynamic team and contribute to our mission of transforming business processes through technology. This is a fantastic opportun…",2026-05-17T10:35:05Z,it-jobs,IT Jobs,Adzuna::API::Response::Category,"Frisco, Collin County",Adzuna::API::Response::Location,"['US', 'Texas', 'Collin County', 'Frisco']",Adzuna::API::Response::Company,Bright Vision Technologies,full_time,
Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNHFTaUhfNVI4Ukcwbi02QUdkNFdzdyIsImkiOiI1NzMyNDI4OTU4In0.w8WS7qshVzTQ3y2VV4HBYV3ottAE0u13QHFQVdKOyRg,https://www.adzuna.com/details/5732428958?utm_medium=api&utm_source=abfa41a4,Edge AI Engineer,115124.4,33.154117,115124.4,5732428958,-96.760106,"Bright Vision Technologies is a forward-thinking software development company dedicated to building innovative solutions that help businesses automate and optimize their operations. We leverage cutting-edge technologies to create scalable, secure, and user-friendly applications. As we continue to grow, we’re looking for a skilled Edge AI Engineer to join our dynamic team and contribute to our mission of transforming business processes through technology. This is a fantastic opportunity to join …",2026-05-17T10:35:04Z,it-jobs,IT Jobs,Adzuna::API::Response::Category,"Frisco, Collin County",Adzuna::API::Response::Location,"['US', 'Texas', 'Collin County', 'Frisco']",Adzuna::API::Response::Company,Bright Vision Technologies,full_time,
Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMjQyODk0NCIsInMiOiI0cVNpSF81UjhSRzBuLTZBR2Q0V3N3In0.-J16d8I79T8_6Okq4f2LPYlj1zN9RgrJ--RrbTGVGQQ,https://www.adzuna.com/details/5732428944?utm_medium=api&utm_source=abfa41a4,.NET Full Stack Developer,112144.6,37.564143,112144.6,5732428944,-122.004179,"Bright Vision Technologies is a forward-thinking software development company dedicated to building innovative solutions that help businesses automate and optimize their operations. We leverage cutting-edge technologies to create scalable, secure, and user-friendly applications. As we continue to grow, we’re looking for a skilled .NET Full Stack Developer to join our dynamic team and contribute to our mission of transforming business processes through technology. This is a fantastic opportunity…",2026-05-17T10:35:03Z,it-jobs,IT Jobs,Adzuna::API::Response::Category,"Fremont, Alameda County",Adzuna::API::Response::Location,"['US', 'California', 'Alameda County', 'Fremont']",Adzuna::API::Response::Company,Bright Vision Technologies,full_time,
Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMjQyODkzMCIsInMiOiI0cVNpSF81UjhSRzBuLTZBR2Q0V3N3In0.38K5LZUxZ8K1kBOLWVUhNcN16JYId6V4jKYyjXlfbxM,https://www.adzuna.com/land/ad/5732428930?se=4qSiH_5R8RG0n-6AGd4Wsw&utm_medium=api&utm_source=abfa41a4&v=29E06D95133ED7B708E3E8B774DF9BC52114D44E,Nurse Manager,105000.0,33.016977,135000.0,5732428930,-96.551274,"Medical City Healthcare is seeking an experienced Nurse Manager to lead a high-performing nursing team within our Healthcare & Medical Services department. In this role, you will provide day-to-day clinical and operational leadership, ensuring that patient care is safe, evidence-based, and aligned with our organization’s standards of excellence. You will oversee staffing, scheduling, and resource allocation; mentor and develop nurses and support staff; and collaborate closely with physicians an…",2026-05-17T10:35:02Z,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,"St Paul, Collin County",Adzuna::API::Response::Location,"['US', 'Texas', 'Collin County', 'St Paul']",Adzuna::API::Response::Company,Medical City Healthcare,,
Adzuna::API::Response::Job,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNHFTaUhfNVI4Ukcwbi02QUdkNFdzdyIsImkiOiI1NzMyNDI4OTAxIn0.Hxfjn6U7mHjmohtl8dMZ8HAaoYlKwkBLPA3Jpwx2aGI,https://www.adzuna.com/land/ad/5732428901?se=4qSiH_5R8RG0n-6AGd4Wsw&utm_medium=api&utm_source=abfa41a4&v=4ED67C4FDE0ECD419BC713379835F1E0913C3C3F,RN,75000.0,38.325665,100000.0,5732428901,-104.625725,"UCHealth is seeking a Registered Nurse (RN) to join our dynamic team. At UCHealth, we focus on providing patient-centered care in our state-of-the-art facilities across Colorado. This position requires a compassionate and dedicated professional who will work in a supportive environment to deliver superior health services. Our RNs play a critical role in patient care by administering medications, managing patient recovery, and providing emotional support to patients and their families. Administe…",2026-05-17T10:34:30Z,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,"Belle Plain, Pueblo County",Adzuna::API::Response::Location,"['US', 'Colorado', 'Pueblo County', 'Belle Plain']",Adzuna::API::Response::Company,UCHealth,,
Adzuna::API::Response::Job,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMjQyODE2NSIsInMiOiI0cVNpSF81UjhSRzBuLTZBR2Q0V3N3In0.3vfeEyW4FAZLGJWBYW7O1Dl8Jv0ttp4buN5j91V6zUI,https://www.adzuna.com/details/5732428165?utm_medium=api&utm_source=abfa41a4,Property Preservation Contractors (Virginia),155957.58,36.900942,155957.58,5732428165,-82.080131,"Location we are looking for Virginia – Bristol City, Washington, Wise, Lee, Russell, Scott, Norton City, Grayson Smyth, Tazewell, Wythe Work opportunity for Property Preservation/REO Contractors By Weekly Payment Looking for property preservation vendors who meet the following requirements: 1) Experience to do standard preservation duties/tasks including the following work: a. Winterizations b. Lawn Maintenance c. Debris removal d. Lock Changes e. Initial Services (including sales clean) f. Boa…",2026-05-17T10:33:23Z,property-jobs,Property Jobs,Adzuna::API::Response::Category,"Lebanon, Russell County",Adzuna::API::Response::Location,"['US', 'Virginia', 'Russell County', 'Lebanon']",Adzuna::API::Response::Company,HP Preservation Service LLC,,
