salary_max,id,latitude,adref,salary_min,longitude,description,title,__CLASS__,salary_is_predicted,redirect_url,created,category.tag,category.__CLASS__,category.label,company.display_name,company.__CLASS__,location.display_name,location.__CLASS__,location.area,contract_time,contract_type
41424.16,5733258907,41.81241,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV25sdDk5WlM4Ukc4RHBnODBXMGE4ZyIsImkiOiI1NzMzMjU4OTA3In0.EbwQkP3F8-ZNEQmiZ9FGrbC46BDuPRsr91k2z-FJESk,41424.16,-85.428555,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258907?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=9F347B58C88E005BC3E5C45F7E65D816DEF3D221,2026-05-18T12:26:04Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Sturgis, St. Joseph County",Adzuna::API::Response::Location,"['US', 'Michigan', 'St. Joseph County', 'Sturgis']",,
37103.63,5733258918,39.20082,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV25sdDk5WlM4Ukc4RHBnODBXMGE4ZyIsImkiOiI1NzMzMjU4OTE4In0.JUUFjhbXBR4u1k4wCNvEv2ZsPfcDyAN0YYHnqPSgzv8,37103.63,-84.52896,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258918?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=233092D8AB250D92FA0055C198B0CEF18F645A07,2026-05-18T12:26:04Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"College Hl, Hamilton County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Hamilton County', 'College Hl']",,
36895.62,5733258908,41.668661,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV25sdDk5WlM4Ukc4RHBnODBXMGE4ZyIsImkiOiI1NzMzMjU4OTA4In0.cWCya73McOC3lmfZyyVyRlWEBEu_WGcrQIxahn9XcpA,36895.62,-88.533836,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258908?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=4B86F707FE6906D05769FC5189F741C63D43B866,2026-05-18T12:26:04Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Plano, Kendall County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Kendall County', 'Plano']",,
40536.14,5733258926,39.0222,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzI1ODkyNiIsInMiOiJXbmx0OTlaUzhSRzhEcGc4MFcwYThnIn0.oYUbi4fbecSp1lJG494r8g_wa7CQ_NcE9G35wr4GBcs,40536.14,-84.2256,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258926?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=2CFEB1B17DB0A00E6AB35970D792123797D0C2CE,2026-05-18T12:26:04Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Amelia, Clermont County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Clermont County', 'Amelia']",,
42112.66,5733258906,41.957227,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV25sdDk5WlM4Ukc4RHBnODBXMGE4ZyIsImkiOiI1NzMzMjU4OTA2In0.Zgu1xVhkOLyvvkZCDh_1T1Xopp9Fc7FiBOrF1APb6-U,42112.66,-87.870316,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258906?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=3933F1375427E59E6778D4B50C4308507E29BB96,2026-05-18T12:26:04Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Schiller Park, Cook County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Cook County', 'Schiller Park']",,
37980.36,5733258863,40.0908,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzI1ODg2MyIsInMiOiJXbmx0OTlaUzhSRzhEcGc4MFcwYThnIn0.gG1nBr-T3Q_qLlkSCX6dtUtgBCgXUhsXtoJ-UkQ86gY,37980.36,-74.89362,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258863?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=CA98EFFB966B426D01CE86968D19DAD09785EC26,2026-05-18T12:26:03Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Croydon, Bucks County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Bucks County', 'Croydon']",,
39274.55,5733258860,42.422802,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzI1ODg2MCIsInMiOiJXbmx0OTlaUzhSRzhEcGc4MFcwYThnIn0.ZebZOY7syn1Wai1xJo0fuCJ2harOPiiD58atN_oL170,39274.55,-88.603256,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258860?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=F6B40D7E3853DD42AA4EFA64C349337530B7B845,2026-05-18T12:26:03Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Harvard, McHenry County",Adzuna::API::Response::Location,"['US', 'Illinois', 'McHenry County', 'Harvard']",,
39813.29,5733258852,41.753613,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzI1ODg1MiIsInMiOiJXbmx0OTlaUzhSRzhEcGc4MFcwYThnIn0.CR84sz-7yhpfBH_SRLkWUn99sjR9cEi9VzNzi2QPThM,39813.29,-83.626188,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258852?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=A91A7F866C6A44AECF5DBC44593110AD9027F4C6,2026-05-18T12:26:03Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Lambertville, Monroe County",Adzuna::API::Response::Location,"['US', 'Michigan', 'Monroe County', 'Lambertville']",,
48750.78,5733258858,41.870847,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzI1ODg1OCIsInMiOiJXbmx0OTlaUzhSRzhEcGc4MFcwYThnIn0.4S-qWpJpO2oyPe0eqNVVpH37Z9omM7TdNELW_WbG0lU,48750.78,-88.152487,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258858?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=859D8D742C8E27453B7A687C126EEA96EEBC2661,2026-05-18T12:26:03Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Winfield, DuPage County",Adzuna::API::Response::Location,"['US', 'Illinois', 'DuPage County', 'Winfield']",,
37101.96,5733258825,40.256204,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzI1ODgyNSIsInMiOiJXbmx0OTlaUzhSRzhEcGc4MFcwYThnIn0.QjB_QsDCuQ2z9SAVYIbY4pNYk83b6UcnmRkr-Quuz0s,37101.96,-76.50969,"Women who choose to become gestational carriers provide an extraordinary gift to help build a family. Many individuals and couples are unable to carry a pregnancy on their own for medical or personal reasons, and surrogates play a vital role in helping make parenthood possible. At Gift of Life Surrogacy Agency, we guide and support our carriers every step of the way. If you are considering becoming a surrogate, it is important to understand both the medical process and the emotional journey inv…",Experienced Mothers Wanted to Help a Growing Family,Adzuna::API::Response::Job,1,https://www.adzuna.com/land/ad/5733258825?se=Wnlt99ZS8RG8Dpg80W0a8g&utm_medium=api&utm_source=abfa41a4&v=135026BC455D02F04B32BA93EE8435134FD7125C,2026-05-18T12:26:02Z,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Gift of Life Surrogacy,Adzuna::API::Response::Company,"Mount Wilson, Lebanon County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Lebanon County', 'Mount Wilson']",,
