__CLASS__,latitude,created,longitude,salary_max,id,salary_min,salary_is_predicted,adref,redirect_url,title,description,category.label,category.__CLASS__,category.tag,location.display_name,location.__CLASS__,location.area,company.display_name,company.__CLASS__,contract_time
Adzuna::API::Response::Job,47.606389,2026-05-26T12:46:00Z,-122.330833,82273.34,5741325266,82273.34,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MTMyNTI2NiIsInMiOiI3SURoM1NKWjhSRzRsc0phTWdCYkhRIn0.KbHoekfYVNR8MJXMjVPMQtaY4lgluFz3jogVbWnPDuY,https://www.adzuna.com/land/ad/5741325266?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=9669C781FB555EC3DFC324F9AEB6A9A2EB2ADF5A,Dot Net Azure Architect,"Job Title: .Net Azure Architect Location: Washington, DC Job Type: Contract Experience: 7 10 Years Job Description We are looking for an experienced .Net Azure Architect to join our team in Washington, DC. The ideal candidate will be responsible for architecting, designing, and delivering scalable cloud-based applications using Microsoft technologies and Azure services. This role requires strong hands-on experience in backend development, cloud architecture, API development, and DevOps practice…",IT Jobs,Adzuna::API::Response::Category,it-jobs,"Times Square, King County",Adzuna::API::Response::Location,"['US', 'Washington', 'King County', 'Times Square']",Cliff Services Inc,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,40.746806,2026-05-26T12:45:45Z,-73.639751,83277.62,5741324989,83277.62,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN0lEaDNTSlo4Ukc0bHNKYU1nQmJIUSIsImkiOiI1NzQxMzI0OTg5In0.wCs208G5kjhq5LiM-w4Y6OTKlivOCqLg-7OODYJXgUc,https://www.adzuna.com/land/ad/5741324989?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=82BA5BAEFF125E2643CD19DC8EDCE5138C768B71,ERP Senior Peoplesoft Security administrator,"ERP Senior Peoplesoft Security administrator 18 months 100% onsite in Mineola NY from day one of the project Requirement: MUST HAVE 10 YEARS RELEVANT EXPERIENCE Minimum Requirements 1. 10 years implementing/supporting PeopleSoft Human Capital Module (HCM). 2. PeopleSoft HCM 9.1 and 9.2 experience. 3. Good knowledge and experience with PHIRE version control and JIRA ticket systems. 4. 5 years  solid experience for implementing and supporting User profiles, Roles, Permission Lists, Row level secu…",IT Jobs,Adzuna::API::Response::Category,it-jobs,"Mineola, Nassau County",Adzuna::API::Response::Location,"['US', 'New York', 'Nassau County', 'Mineola']","Svam International, Inc.",Adzuna::API::Response::Company,
Adzuna::API::Response::Job,40.75284,2026-05-26T12:45:45Z,-73.97528,205941.38,5741325000,205941.38,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MTMyNTAwMCIsInMiOiI3SURoM1NKWjhSRzRsc0phTWdCYkhRIn0.90EuFl4lgmZy28nVd70IR7rzYGzBAMhQKI49SD6h_p0,https://www.adzuna.com/land/ad/5741325000?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=7A47ED649A576A12E20D64EAF87E6F094B0AA8DA,Data Engineer,"Role: Data Engineer Experience: 10 years Location: New York Required Skills: Experience in Agent frameworks, implement guardrails - React patterns, collaborate woth prompt engineers, AIOps, Build CI/CD pipelines Experience in Databricks, Snowflake, Lakehouse architectures & strong Python engineering (async, APIs, microservices)",IT Jobs,Adzuna::API::Response::Category,it-jobs,"Grand Central, Manhattan",Adzuna::API::Response::Location,"['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']",ISite Technologies Inc,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,,2026-05-26T12:45:45Z,,103900.15,5741324983,103900.15,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN0lEaDNTSlo4Ukc0bHNKYU1nQmJIUSIsImkiOiI1NzQxMzI0OTgzIn0.PxFyIqeeVmoNLnPnBKpcpWSXk3qfFF3LvKeJ21VQFt4,https://www.adzuna.com/land/ad/5741324983?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=DC6BC18F5C2788990804952F70624FA3C1ADBD6F,Business Central Solutions Architect,"Job Description - Support Insight Works Warehouse Insights and Dynamic Ship implementations. - Functional requirements gathering/documentation. - Train end users on Business Central modules and ISV products. - Migrate setups, main records, and history via configuration packages. - Testing Per Tenant Extension (PTE) functionality against feature requirements. - Assist with User Acceptance Testing, Mock Go-Live and Go-Live. - Understanding of Object-Oriented Programming basics. - Understanding of…",IT Jobs,Adzuna::API::Response::Category,it-jobs,US,Adzuna::API::Response::Location,['US'],"Param Consulting Services, Inc.",Adzuna::API::Response::Company,
Adzuna::API::Response::Job,33.449188,2026-05-26T12:45:45Z,-112.0772,109034.8,5741325009,109034.8,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MTMyNTAwOSIsInMiOiI3SURoM1NKWjhSRzRsc0phTWdCYkhRIn0.9-hGWeZocZbWticy9pqLdacszs8nQ3-WhGOJi--eAPA,https://www.adzuna.com/land/ad/5741325009?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=BB26A4A5CC0AF5D4E3E4748AD007D9A0E064E67C,Network SRE (Site Reliability Engineer – Networking),"Position: Network SRE (Site Reliability Engineer – Networking) Location: Phoenix, AZ (Hybrid) Experience: 10–16 Years Visa: Any Visa Must-Have Skills: * TCP/IP, DNS, BGP, Routing * AWS Networking * VPC, Transit Gateway, VPN, Direct Connect * Terraform / CloudFormation * Datadog, Prometheus, Grafana * Network Automation & Observability * SRE Practices & Incident Management Experience In: * Hybrid & Cloud Networking * High Availability & Fault Tolerance * CI/CD for Network Changes * Security & Ze…",IT Jobs,Adzuna::API::Response::Category,it-jobs,"Phoenix, Maricopa County",Adzuna::API::Response::Location,"['US', 'Arizona', 'Maricopa County', 'Phoenix']",Select Jarvis.com,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,,2026-05-26T12:45:45Z,,73347.79,5741324990,73347.79,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN0lEaDNTSlo4Ukc0bHNKYU1nQmJIUSIsImkiOiI1NzQxMzI0OTkwIn0.SMdl0rYGgR12CcKAzFsy6dw-s_SkYPJ9YUjMCXa3eD0,https://www.adzuna.com/land/ad/5741324990?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=698D6AFFB9861383839F098321ECC0D1AC8E15B2,System Analyst,"Title: System Analyst (e.g., Azure) Location: Columbia, SC 29210 [Hybrid] Duration: 6 Months Job Description The System Analyst will support system configuration, infrastructure analysis, cloud environment support, and technical coordination for the messaging service implementation. This role may focus on Azure infrastructure, DevOps support, system monitoring, and operational readiness. Key Responsibilities Analyze system infrastructure and application requirements. Support Azure/cloud environ…",IT Jobs,Adzuna::API::Response::Category,it-jobs,US,Adzuna::API::Response::Location,['US'],Radise International LLC,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,33.7487,2026-05-26T12:45:45Z,-84.3879,91962.16,5741324992,91962.16,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN0lEaDNTSlo4Ukc0bHNKYU1nQmJIUSIsImkiOiI1NzQxMzI0OTkyIn0.T49B8Rc_KrGjZKiMXq3HkhOPUScIiNOxtfkzVHfwV4E,https://www.adzuna.com/land/ad/5741324992?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=18667C7BCF1FC3B570D05B45BC0B7DFFA9E12412,Technical CPG Business Analyst,"Job Description - Role: Technical CPG BA Work Location: Atlanta, GA (Onsite) Duration: 3 Months (C2H) Job Description: Support the design, development, and validation of an agentic AI solution for R&D teams within a food and beverage organization. This role will operate at the intersection of AI engineering, scientific research, and data modeling, working directly with client scientists and researchers to ensure the solution is grounded in accurate scientific context and delivers reliable, high…",Scientific & QA Jobs,Adzuna::API::Response::Category,scientific-qa-jobs,"Northlake, DeKalb County",Adzuna::API::Response::Location,"['US', 'Georgia', 'DeKalb County', 'Northlake']",Tek Inspirations LLC,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,35.507083,2026-05-26T12:45:45Z,-81.006133,136670.72,5741324987,136670.72,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MTMyNDk4NyIsInMiOiI3SURoM1NKWjhSRzRsc0phTWdCYkhRIn0.XKC2TOD0wLGSnQgAE0o5Zf5yNihKof3fdmorv4XVZzE,https://www.adzuna.com/land/ad/5741324987?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=4841F3E6941C9E38FC2470F001542E8C955C9688,Salesforce Health Cloud Lead/Architect,"POSITION : Salesforce Health Cloud Lead/Architect LOCATION : Triangle Park, NC Job Description: As a Salesforce Health Cloud Architect, you will play a critical role in designing, building, and scaling Health Cloud–based patient and provider solutions. You will use a balanced mix of declarative and programmatic Salesforce capabilities, including Apex, Lightning Web Components (LWC), Flows, and OmniStudio, Agentforce to deliver highly configurable, secure, and performant healthcare solutions.Thi…",IT Jobs,Adzuna::API::Response::Category,it-jobs,"Denver, Lincoln County",Adzuna::API::Response::Location,"['US', 'North Carolina', 'Lincoln County', 'Denver']",Transcend IT Solutions,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,29.6403,2026-05-26T12:45:45Z,-95.4359,123879.09,5741325004,123879.09,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN0lEaDNTSlo4Ukc0bHNKYU1nQmJIUSIsImkiOiI1NzQxMzI1MDA0In0.YssAw-Cu2eHnRI8wKtQ5O8usTCD33djuD40vbJdKGN8,https://www.adzuna.com/land/ad/5741325004?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=9411188CADFE36483C2B4644CCE42E4370A9B8D1,Integration Developer - SAP,"We are looking for a Senior Enterprise Integration Engineer who will play a pivotal role in the design and implementation of integration solutions across various applications. In this position, you will be responsible for spearheading integration strategies using modern tools, ensuring seamless connectivity between SAP and non-SAP applications. Collaborating closely with cross-functional teams, this role emphasizes a proactive approach to integration, focusing on monitoring and alerting to avoi…",IT Jobs,Adzuna::API::Response::Category,it-jobs,"Trammells, Harris County",Adzuna::API::Response::Location,"['US', 'Texas', 'Harris County', 'Trammells']",VC5 Consulting,Adzuna::API::Response::Company,
Adzuna::API::Response::Job,32.962767,2026-05-26T12:45:45Z,-96.74487,71443.45,5741324999,71443.45,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN0lEaDNTSlo4Ukc0bHNKYU1nQmJIUSIsImkiOiI1NzQxMzI0OTk5In0.Jtped0wzBkQ2EsEVs2l-DAtAekrUIBiZX4Qq_L54omI,https://www.adzuna.com/land/ad/5741324999?se=7IDh3SJZ8RG4lsJaMgBbHQ&utm_medium=api&utm_source=abfa41a4&v=073F1D37A78C906D5F8582EFAAFE9B2DE70546AB,"Playwright Automation Test Architect @ Richardson, TX","Required: Test Automation Expertise Playwright Test Automation Expertise TOSCA AIDriven Testing & Innovation Strong expertise in designing and scaling robust test automation frameworks using Playwright with hands on proficiency in TypeScript and Java. Proven ability to define automation strategies, establish best practices, and enable high performing QA teams. Experienced in stakeholder management, aligning quality engineering initiatives with business goals. Passionate about leveraging AI to e…",IT Jobs,Adzuna::API::Response::Category,it-jobs,"Richardson, Dallas",Adzuna::API::Response::Location,"['US', 'Texas', 'Dallas', 'Richardson']",Compsciprep LLC,Adzuna::API::Response::Company,
