latitude,title,longitude,salary_min,redirect_url,adref,__CLASS__,description,id,salary_is_predicted,created,salary_max,category.label,category.__CLASS__,category.tag,company.__CLASS__,company.display_name,location.__CLASS__,location.area,location.display_name,contract_time,contract_type
33.436666,DVM,-111.940325,114629.76,https://www.adzuna.com/land/ad/5742317542?se=LCpKGOtZ8RGs3Me5X3pAAw&utm_medium=api&utm_source=abfa41a4&v=02D10152CC15D964D213B6D7EDF5D59520C2A3A4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTENwS0dPdFo4UkdzM01lNVgzcEFBdyIsImkiOiI1NzQyMzE3NTQyIn0.iB9VFzYs6Vkj6f8QGM-X9lRAk-nJfU0dgybGoHuq6sY,Adzuna::API::Response::Job,"If you are a current associate, you will need to apply through our internal career site. Please log into Workday and click on the Jobs Hub app or search for Browse Jobs. Doctor of Veterinary Medicine The pay range for this role (full-time) is $107,598 - $155,419 annually. This role is also eligible for variable pay based on production in all states except in Puerto Rico. The pay range listed reflects a general hiring range for the area, with the specific rate determined based on the candidate’s…",5742317542,1,2026-05-27T12:28:03Z,114629.76,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Company,Banfield Pet Hospitals,Adzuna::API::Response::Location,"['US', 'Arizona', 'Maricopa County', 'Tempe']","Tempe, Maricopa County",,
33.436666,Doctor of Veterinary,-111.940325,87944.35,https://www.adzuna.com/land/ad/5742317544?se=LCpKGOtZ8RGs3Me5X3pAAw&utm_medium=api&utm_source=abfa41a4&v=58168262AD05470157EFC119D71DC83A8F231273,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MjMxNzU0NCIsInMiOiJMQ3BLR090WjhSR3MzTWU1WDNwQUF3In0.PsfSdP0ED4NQptv2SCh--PG4ee5z4VInC_pwFfnsnPY,Adzuna::API::Response::Job,"If you are a current associate, you will need to apply through our internal career site. Please log into Workday and click on the Jobs Hub app or search for Browse Jobs. Doctor of Veterinary Medicine The pay range for this role (full-time) is $107,598 - $155,419 annually. This role is also eligible for variable pay based on production in all states except in Puerto Rico. The pay range listed reflects a general hiring range for the area, with the specific rate determined based on the candidate’s…",5742317544,1,2026-05-27T12:28:03Z,87944.35,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Company,Banfield Pet Hospitals,Adzuna::API::Response::Location,"['US', 'Arizona', 'Maricopa County', 'Tempe']","Tempe, Maricopa County",,
33.436666,Doctor,-111.940325,105509.97,https://www.adzuna.com/land/ad/5742317540?se=LCpKGOtZ8RGs3Me5X3pAAw&utm_medium=api&utm_source=abfa41a4&v=79486EC2131764FF25B8A7B0522656DC587D60DB,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTENwS0dPdFo4UkdzM01lNVgzcEFBdyIsImkiOiI1NzQyMzE3NTQwIn0.k9WnLCxc6sJ0k1_o9-HTrbhhTfbezKN2fDQRob-3ZAw,Adzuna::API::Response::Job,"If you are a current associate, you will need to apply through our internal career site. Please log into Workday and click on the Jobs Hub app or search for Browse Jobs. Doctor of Veterinary Medicine The pay range for this role (full-time) is $107,598 - $155,419 annually. This role is also eligible for variable pay based on production in all states except in Puerto Rico. The pay range listed reflects a general hiring range for the area, with the specific rate determined based on the candidate’s…",5742317540,1,2026-05-27T12:28:02Z,105509.97,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Company,Banfield Pet Hospitals,Adzuna::API::Response::Location,"['US', 'Arizona', 'Maricopa County', 'Tempe']","Tempe, Maricopa County",,
33.436666,Doctor of Veterinary Medicine,-111.940325,96747.73,https://www.adzuna.com/land/ad/5742317536?se=LCpKGOtZ8RGs3Me5X3pAAw&utm_medium=api&utm_source=abfa41a4&v=CFB4C38F4FAB4580953F2B66C7F96382B82B2E56,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTENwS0dPdFo4UkdzM01lNVgzcEFBdyIsImkiOiI1NzQyMzE3NTM2In0.n3vx8UrKCKx0AxxA6iQ_k-qH0pX0Owo9psL9ksdXaMU,Adzuna::API::Response::Job,"If you are a current associate, you will need to apply through our internal career site. Please log into Workday and click on the Jobs Hub app or search for Browse Jobs. Doctor of Veterinary Medicine The pay range for this role (full-time) is $107,598 - $155,419 annually. This role is also eligible for variable pay based on production in all states except in Puerto Rico. The pay range listed reflects a general hiring range for the area, with the specific rate determined based on the candidate’s…",5742317536,1,2026-05-27T12:28:02Z,96747.73,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Company,Banfield Pet Hospitals,Adzuna::API::Response::Location,"['US', 'Arizona', 'Maricopa County', 'Tempe']","Tempe, Maricopa County",,
33.436666,Part-Time Veterinarian,-111.940325,95920.53,https://www.adzuna.com/land/ad/5742317539?se=LCpKGOtZ8RGs3Me5X3pAAw&utm_medium=api&utm_source=abfa41a4&v=6CA7E7AFB9BCFA8F54F4275BE7DAEC145C3F2A4C,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MjMxNzUzOSIsInMiOiJMQ3BLR090WjhSR3MzTWU1WDNwQUF3In0.qf4OG2F27Idtu25Lf0fMylV8fatFc6aB6uxv44mRP_k,Adzuna::API::Response::Job,"If you are a current associate, you will need to apply through our internal career site. Please log into Workday and click on the Jobs Hub app or search for Browse Jobs. Doctor of Veterinary Medicine The pay range for this role (full-time) is $107,598 - $155,419 annually. This role is also eligible for variable pay based on production in all states except in Puerto Rico. The pay range listed reflects a general hiring range for the area, with the specific rate determined based on the candidate’s…",5742317539,1,2026-05-27T12:28:02Z,95920.53,Part time Jobs,Adzuna::API::Response::Category,part-time-jobs,Adzuna::API::Response::Company,Banfield Pet Hospitals,Adzuna::API::Response::Location,"['US', 'Arizona', 'Maricopa County', 'Tempe']","Tempe, Maricopa County",,
33.432953,Veterinarian,-111.844935,95537.83,https://www.adzuna.com/land/ad/5742317537?se=LCpKGOtZ8RGs3Me5X3pAAw&utm_medium=api&utm_source=abfa41a4&v=D1A8233472BB2EFB2772060EA51664D4B7F74C85,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MjMxNzUzNyIsInMiOiJMQ3BLR090WjhSR3MzTWU1WDNwQUF3In0.VHVVloDtKmgYZG6ON-WxVggbapymvQSfRx5lfuO7970,Adzuna::API::Response::Job,"If you are a current associate, you will need to apply through our internal career site. Please log into Workday and click on the Jobs Hub app or search for Browse Jobs. Doctor of Veterinary Medicine The pay range for this role (full-time) is $107,598 - $155,419 annually. This role is also eligible for variable pay based on production in all states except in Puerto Rico. The pay range listed reflects a general hiring range for the area, with the specific rate determined based on the candidate’s…",5742317537,1,2026-05-27T12:28:02Z,95537.83,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Company,Banfield Pet Hospitals,Adzuna::API::Response::Location,"['US', 'Arizona', 'Maricopa County', 'Mesa']","Mesa, Maricopa County",,
32.828969,Director of Clinical Applications & Devices,-96.845793,124529.14,https://www.adzuna.com/land/ad/5742317519?se=LCpKGOtZ8RGs3Me5X3pAAw&utm_medium=api&utm_source=abfa41a4&v=0337B35046959D89FF339C12E26D62CF9DA64877,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTENwS0dPdFo4UkdzM01lNVgzcEFBdyIsImkiOiI1NzQyMzE3NTE5In0.ZFdW_EQp_JjaKAKJKYNN2OWM7dxjKXiuSvNDr7Fzqk4,Adzuna::API::Response::Job,"Location: 8435 Stemmons Bldg. Primary Purpose Responsible for planning, management, budget and personnel activities within an assigned cost center, under the direction of the Information Technology department. MINIMUM SPECIFICATIONS Education - Bachelor's degree in Business, Computer Science, or a related healthcare field. - Prefer a Master's degree in a related field. Experience - Ten years of experience in an information systems applications environment, to include five years of management ex…",5742317519,1,2026-05-27T12:25:19Z,124529.14,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Company,Parkland Health and Hospital System,Adzuna::API::Response::Location,"['US', 'Texas', 'Dallas', 'Village']","Village, Dallas",,
30.806137,Flight Nurse,-83.290307,74815.77,https://www.adzuna.com/land/ad/5742317515?se=LCpKGOtZ8RGs3Me5X3pAAw&utm_medium=api&utm_source=abfa41a4&v=9BF819ECB5131240D5EDBCB72DD1DB31DEBE31E9,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTENwS0dPdFo4UkdzM01lNVgzcEFBdyIsImkiOiI1NzQyMzE3NTE1In0.GDlu98Q0w85OZ5x6ZPwxGvkIjZg0oz4KOL8pYo2Odsg,Adzuna::API::Response::Job,"Job Description: Flight Nurse – Starting at $28.09 DOE We’re hiring a Flight Nurse to work with our team of air transportation experts to safely transport patients to and from medical facilities as well as scene call work. Safety, effective and efficient patient care is a key pillar of our services, therefore you’ll work on a quality, professional team that is committed to high safety standards for the crew and our customers. Responsibilities: Flight Nurses will assess each situation to determi…",5742317515,1,2026-05-27T12:22:51Z,74815.77,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Company,Air Evac Lifeteam,Adzuna::API::Response::Location,"['US', 'Georgia', 'Lowndes County', 'Remerton']","Remerton, Lowndes County",,
30.806137,Registered Nurse - Emergency Services,-83.290307,125029.77,https://www.adzuna.com/land/ad/5742317517?se=LCpKGOtZ8RGs3Me5X3pAAw&utm_medium=api&utm_source=abfa41a4&v=0BB38940A820F18A10B19BD11E48A17277F6A583,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTENwS0dPdFo4UkdzM01lNVgzcEFBdyIsImkiOiI1NzQyMzE3NTE3In0.D8SZcjQs_WhiVejNTyDAWaR1l5C4Kp9oh5juZmOA40Y,Adzuna::API::Response::Job,"Job Description: Flight Nurse – Starting at $28.09 DOE We’re hiring a Flight Nurse to work with our team of air transportation experts to safely transport patients to and from medical facilities as well as scene call work. Safety, effective and efficient patient care is a key pillar of our services, therefore you’ll work on a quality, professional team that is committed to high safety standards for the crew and our customers. Responsibilities: Flight Nurses will assess each situation to determi…",5742317517,1,2026-05-27T12:22:51Z,125029.77,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Company,Air Evac Lifeteam,Adzuna::API::Response::Location,"['US', 'Georgia', 'Lowndes County', 'Remerton']","Remerton, Lowndes County",,
30.806137,Flight Paramedic,-83.290307,125333.24,https://www.adzuna.com/land/ad/5742317516?se=LCpKGOtZ8RGs3Me5X3pAAw&utm_medium=api&utm_source=abfa41a4&v=1918518808571295E09A20A6A53632C8215552CA,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MjMxNzUxNiIsInMiOiJMQ3BLR090WjhSR3MzTWU1WDNwQUF3In0.X90nPq0f_SrzTqh_HtgzlzqsDtKSGRwzy-GdF9KXVPc,Adzuna::API::Response::Job,"Job Description: Flight Paramedic – Starting at $20.92 DOE We’re hiring a Flight Paramedic to work with our team of air transportation experts to safely transport patients to and from medical facilities as well as scene call work. Safety, effective and efficient patient care is a key pillar of our services, therefore you’ll work on a quality, professional team that is committed to high safety standards for the crew and our customers. Responsibilities: Responsible for completion and submission o…",5742317516,1,2026-05-27T12:22:51Z,125333.24,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Adzuna::API::Response::Company,Air Evac Lifeteam,Adzuna::API::Response::Location,"['US', 'Georgia', 'Lowndes County', 'Remerton']","Remerton, Lowndes County",,
