title,salary_min,description,salary_is_predicted,salary_max,adref,latitude,redirect_url,created,__CLASS__,longitude,id,company.display_name,company.__CLASS__,location.area,location.__CLASS__,location.display_name,category.tag,category.label,category.__CLASS__,contract_time,contract_type
"Travel Registered Nurse - Neuro Unit - $2,542 per week",0.0,"American Traveler is seeking a travel nurse RN Neurology Med Surg for a travel nursing job in Peoria, Illinois. Job Description & Requirements Specialty: Neurology Discipline: RN Start Date: 06/29/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Assignment Overview Shift: Nights, 3x12hrs Hours: 36 hrs/wk Start Date: Jun 29, 2026 Length: 13 weeks Openings: 1 Description American Traveler is seeking an experienced RN for a Neuro Med/Surg night shift positi…",0,132184.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSWhlSnA3WmE4Ukc3ZnBSeS1zb3lfdyIsImkiOiI1NzQzNjMwMDQ1In0.zqlc7RadPBZsPdaIjGlf3DBMoKXsOho_ao94SQqpKTY,40.70923,https://www.adzuna.com/land/ad/5743630045?se=IheJp7Za8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=65332091B222B8DECD63C78C8BD7617C09F96C8B,2026-05-28T12:56:56Z,Adzuna::API::Response::Job,-89.56409,5743630045,American Traveler,Adzuna::API::Response::Company,"['US', 'Illinois', 'Peoria County', 'Vets Row']",Adzuna::API::Response::Location,"Vets Row, Peoria County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,,
Environmental Services Director,124295.05,"Responsibilities Provide leadership that supports a team environment that fosters morale, passion, quality, and respect Demonstrate continuous ability to maintain and/or improve customer and patient satisfaction Lead and manage team member recruiting, training, development, and assignments Perform daily inspections and assessments and coach and counsel team members Collaborate with department, facility, and company leadership to achieve goals Analyze data and make adjustments to meet facility, …",1,124295.05,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyOTk5NSIsInMiOiJJaGVKcDdaYThSRzdmcFJ5LXNveV93In0.A39NIkpixFvvcBcCoh9TLfJN22zEOugm1YdVp1Sfv_g,46.534857,https://www.adzuna.com/details/5743629995?utm_medium=api&utm_source=abfa41a4,2026-05-28T12:56:49Z,Adzuna::API::Response::Job,-87.394137,5743629995,HHS,Adzuna::API::Response::Company,"['US', 'Michigan', 'Marquette County', 'Marquette']",Adzuna::API::Response::Location,"Marquette, Marquette County",customer-services-jobs,Customer Services Jobs,Adzuna::API::Response::Category,full_time,
Licensed Practical Nurse,89229.57,"Job Description Job Description Overview The Licensed Practical Nurse (LPN) plays a vital role in patient care by contributing to the nursing process of assessment, planning, implementation, and evaluation. Working under the supervision of RN(s), the LPN provides direction and guidance in patient education and activities that align with their education and demonstrated competencies. Responsibilities Under RN supervision, assesses patients' physical, psychological, and social dimensions in both …",1,89229.57,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyOTk4NyIsInMiOiJJaGVKcDdaYThSRzdmcFJ5LXNveV93In0.sFp-AOwUNKOh1ZR5FOz0TgAYhrRXKH875-ooALanBs0,39.647765,https://www.adzuna.com/land/ad/5743629987?se=IheJp7Za8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=C8BB44467AA273C2204388471618CCE46AAF2481,2026-05-28T12:56:48Z,Adzuna::API::Response::Job,-104.98776,5743629987,Wellpath,Adzuna::API::Response::Company,"['US', 'Colorado', 'Arapahoe County', 'Englewood']",Adzuna::API::Response::Location,"Englewood, Arapahoe County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,permanent
ACCOUNT MANAGER / COLLECTION SPECIALIST,29542.32,"Job Description Job Description Account Manager is responsible for contacting all customers who’s Rental Agreements have expired and working with them in whatever it is feasible to maintain the account. This position, though requiring extensive telephone collection type activity, is more a sales than a collections job. The Account Manager’s priority is to re-sell the Rental Agreement and educate the customer rather than simply calling to collect money. Account Manager / Collection Specialist is…",1,29542.32,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSWhlSnA3WmE4Ukc3ZnBSeS1zb3lfdyIsImkiOiI1NzQzNjI5OTE1In0.Ry_xZe_A8RCCsAMBWaPF2KXnwsKf_YnYjMq_y7Nskqc,30.229353,https://www.adzuna.com/land/ad/5743629915?se=IheJp7Za8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=6F957343A60EFE28E57298E51EEC6C5306DA3C89,2026-05-28T12:56:40Z,Adzuna::API::Response::Job,-93.213123,5743629915,RNR Tire Express and Custom Wheels - Lake Charles,Adzuna::API::Response::Company,"['US', 'Louisiana', 'Calcasieu Parish', 'Lake Charles']",Adzuna::API::Response::Location,"Lake Charles, Calcasieu Parish",accounting-finance-jobs,Accounting & Finance Jobs,Adzuna::API::Response::Category,full_time,permanent
Outside Sales Professional,72260.58,"Job Description Job Description We are dedicated to enhancing not only the lives of our valued clients but also the personal and professional growth of our people. We've grown 32% since last year, creating a need to expand our sales team into several key local markets, and we're on the lookout for an individual with a competitive background who is hungry for career advancement, performance-based compensation, and an environment surrounded by a team of like-minded and high-achieving peers. This …",1,72260.58,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSWhlSnA3WmE4Ukc3ZnBSeS1zb3lfdyIsImkiOiI1NzQzNjI5OTA1In0.EvgquFyCJBuIIsTm_ud4OaJAlczmqNXWp6NPjMj13Oc,33.162619,https://www.adzuna.com/land/ad/5743629905?se=IheJp7Za8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=7E2C0638D49611F93C2DED37AF6CA718A95D68F9,2026-05-28T12:56:38Z,Adzuna::API::Response::Job,-96.937505,5743629905,Alleviation Enterprise LLC,Adzuna::API::Response::Company,"['US', 'Texas', 'Denton County', 'Little Elm']",Adzuna::API::Response::Location,"Little Elm, Denton County",sales-jobs,Sales Jobs,Adzuna::API::Response::Category,full_time,permanent
Maintenance Supervisor,53318.57,"Job Description Job Description Maintenance Supervisor The maintenance supervisor is responsible for conducting general maintenance and repairs on facility equipment and property structures. Ensuring that the heating, electrical and plumbing systems perform at optimum functionality. The goal is to maintain the facilities and common areas in the best possible condition. Essential Duties and Responsibilities: Work with the on-site team in managing all maintenance-related repairs and upkeep of the…",1,53318.57,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSWhlSnA3WmE4Ukc3ZnBSeS1zb3lfdyIsImkiOiI1NzQzNjI5ODk3In0.HT_T89pLjYBYtdV2w2KYu8ahoAMeGarF9VC0d3SfRuU,27.440462,https://www.adzuna.com/land/ad/5743629897?se=IheJp7Za8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=5D25F6D8E31202C95C3C160BE17989ACF7D5AD67,2026-05-28T12:56:34Z,Adzuna::API::Response::Job,-80.566066,5743629897,Pratum Companies,Adzuna::API::Response::Company,"['US', 'Florida', 'St. Lucie County', 'Fort Pierce']",Adzuna::API::Response::Location,"Fort Pierce, St. Lucie County",maintenance-jobs,Maintenance Jobs,Adzuna::API::Response::Category,full_time,permanent
Auto Body Prepper,48013.06,"Job Description Job Description We're looking for Auto Body Preppers with a minimum of 6 months of professional automotive prepping experience to join us at Carvana - the fastest-growing used automotive retailer in U.S. history and one of the four fastest companies to make the Fortune 500. As an Entry-level Auto Body Repair Technician, you'll be expected to prep vehicles for paint , including sanding, masking, taping, bagging, unbagging/tear down, and buffing. At Carvana, you'll receive a compe…",1,48013.06,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyOTg2NyIsInMiOiJJaGVKcDdaYThSRzdmcFJ5LXNveV93In0.xSXwwZN4f7RJu2KAn7QJYtT72r3jvFkEMaJVZSBchYM,33.163284,https://www.adzuna.com/land/ad/5743629867?se=IheJp7Za8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=5516C1CFDC73D870C24587BB4086DBCC6ACDA46E,2026-05-28T12:56:18Z,Adzuna::API::Response::Job,-96.589017,5743629867,Carvana Careers,Adzuna::API::Response::Company,"['US', 'Texas', 'Collin County', 'Mckinney']",Adzuna::API::Response::Location,"Mckinney, Collin County",maintenance-jobs,Maintenance Jobs,Adzuna::API::Response::Category,,
Behavior Technician (BT),33115.91,"Job Description Job Description We believe every learner deserves a safe place to grow. At New Story Schools, teams unite academics and therapeutic supports to help students ages 5–21 build skills for life. If collaboration, compassion, and data-informed practice drive you, join us. As a Part Time Behavior Technician (BT) at New Story Schools, you’ll provide one-on-one and small-group support to students in home and community settings. You’ll implement individualized plans that build academic, …",1,33115.91,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSWhlSnA3WmE4Ukc3ZnBSeS1zb3lfdyIsImkiOiI1NzQzNjI5ODQyIn0.uITtHEqTBEU8Uzs1TQibS2Ko3K5hEZeJkSP7z9PgMgM,39.007845,https://www.adzuna.com/land/ad/5743629842?se=IheJp7Za8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=DEA9DBB87312850FAC8DBB03C2B2BE05E708F447,2026-05-28T12:56:04Z,Adzuna::API::Response::Job,-83.808538,5743629842,New Story Schools  Careers,Adzuna::API::Response::Company,"['US', 'Ohio', 'Brown County', 'Sardinia']",Adzuna::API::Response::Location,"Sardinia, Brown County",teaching-jobs,Teaching Jobs,Adzuna::API::Response::Category,part_time,contract
School-Based Speech Language Pathologist,76625.92,"Job Description Job Description Full-Time Speech-Language Pathologist (SLP-CCC) Make a Difference in a School-Based Setting with PDS! Pediatric Developmental Services (PDS) is hiring a dedicated and qualified Speech-Language Pathologist (SLP-CCC) for a full-time school-based position. Do you love working with children? Are you looking for meaningful, impactful work that also supports a healthy work-life balance? If so, this opportunity could be the perfect fit for you. Why Choose a School-Based…",1,76625.92,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyOTc2NCIsInMiOiJJaGVKcDdaYThSRzdmcFJ5LXNveV93In0.59cSfCYiMHen2hfB4rgd_92ZVPHdtjQt6_Edv3M_FiQ,39.426896,https://www.adzuna.com/land/ad/5743629764?se=IheJp7Za8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=242577159D91BB04909D17BF35300AA9FF349530,2026-05-28T12:55:47Z,Adzuna::API::Response::Job,-84.497486,5743629764,Pediatric Developmental Services,Adzuna::API::Response::Company,"['US', 'Ohio', 'Butler County', 'Hamilton']",Adzuna::API::Response::Location,"Hamilton, Butler County",teaching-jobs,Teaching Jobs,Adzuna::API::Response::Category,full_time,permanent
"Travel Nurse RN - Labor & Delivery - $2,406 per week in San Tan Valley, AZ",9624.0,"Registered Nurse (RN) | Labor & Delivery Location: San Tan Valley, AZ Agency: Medical Solutions Pay: $2,406 per week Shift Information: Nights Start Date: 6/22/2026 About the Position TravelNurseSource is working with Medical Solutions to find a qualified Labor/Delivery RN in San Tan Valley, Arizona, 85140! A facility in San Tan Valley, AZ is seeking its next amazing RN (Registered Nurse) to work in L&D (Labor and Delivery). Minimum of one (1) year of recent clinical experience required. Nurses…",0,9624.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyOTcyMiIsInMiOiJJaGVKcDdaYThSRzdmcFJ5LXNveV93In0.3OrQmvoeXAFXJCo-zrYjmsZB06Gl7sCvaR7jOhDZORs,33.245483,https://www.adzuna.com/land/ad/5743629722?se=IheJp7Za8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=348E0F0C95030F03D044464F6DDD13DBC9777F5D,2026-05-28T12:55:43Z,Adzuna::API::Response::Job,-111.530217,5743629722,TravelNurseSource,Adzuna::API::Response::Company,"['US', 'Arizona', 'Pinal County', 'San Tan Valley']",Adzuna::API::Response::Location,"San Tan Valley, Pinal County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,
