latitude,id,created,salary_min,longitude,redirect_url,__CLASS__,salary_max,title,description,adref,contract_time,salary_is_predicted,company.__CLASS__,company.display_name,category.tag,category.__CLASS__,category.label,location.area,location.display_name,location.__CLASS__,contract_type
39.16734,5744690031,2026-05-29T12:48:22Z,34645.82,-91.87044,https://www.adzuna.com/land/ad/5744690031?se=tjjCn35b8RG1g60cORqbZQ&utm_medium=api&utm_source=abfa41a4&v=BC32AE5AD50B98C2C2CF44CC095462107326D621,Adzuna::API::Response::Job,34645.82,Utility Locator,"Job Description Job Description Compensation $18.00 Hourly Job Description Text JOBS to 811DIG (811344) to connect with our hiring team today! Are you an outdoor enthusiast who enjoys independent field work and is looking to jump start your career? If you are a quality-conscious, safety focused, hard-working individual, then consider an exciting long-term career at USIC! The USIC name and brand are highly recognized and respected for our strong commitment to quality and safety. We are America's…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoidGpqQ24zNWI4UkcxZzYwY09ScWJaUSIsImkiOiI1NzQ0NjkwMDMxIn0.6tHPySX0QhzcEMgu5w0mw9Cd7g3hX3DjkF4Ock3y17Y,full_time,1,Adzuna::API::Response::Company,USIC Careers,trade-construction-jobs,Adzuna::API::Response::Category,Trade & Construction Jobs,"['US', 'Missouri', 'Audrain County', 'Mexico']","Mexico, Audrain County",Adzuna::API::Response::Location,
32.214792,5744689926,2026-05-29T12:48:03Z,8419.0,-110.971527,https://www.adzuna.com/land/ad/5744689926?se=tjjCn35b8RG1g60cORqbZQ&utm_medium=api&utm_source=abfa41a4&v=5A892B332EDC9018D7FEDAB62059EB283FD2EF6A,Adzuna::API::Response::Job,8419.0,"Travel Nurse RN - Emergency Room (ER) / Trauma - $2,105 per week in Tucson, AZ","Registered Nurse (RN) | Emergency Room (ER) / Trauma Location: Tucson, AZ Agency: OneStaff Medical Pay: $2,105 per week Shift Information: Rotating - 3 days x 12 hours Contract Duration: 13 Weeks Start Date: ASAP About the Position TravelNurseSource is working with OneStaff Medical to find a qualified ER/Trauma RN in Tucson, Arizona, 85724! We. Are. OneStaff. Medical. An independently-owned, nationally-recognized and amazingly awesome staffing firm ready to work for you! A work ethic forged in …",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0NDY4OTkyNiIsInMiOiJ0ampDbjM1YjhSRzFnNjBjT1JxYlpRIn0.0hdv6NFQa2kHhq0hEKvRnphYUInWr9AVz83MKgH9gzE,full_time,0,Adzuna::API::Response::Company,TravelNurseSource,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Arizona', 'Pima County', 'Tucson']","Tucson, Pima County",Adzuna::API::Response::Location,contract
32.214792,5744689925,2026-05-29T12:48:02Z,8419.0,-110.971527,https://www.adzuna.com/land/ad/5744689925?se=tjjCn35b8RG1g60cORqbZQ&utm_medium=api&utm_source=abfa41a4&v=FC19CE7DB9C1AD2FF295B24C3F8D68EA8151BCEE,Adzuna::API::Response::Job,8419.0,"Travel Nurse RN - Emergency Room (ER) / Trauma - $2,105 per week in Tucson, AZ","Registered Nurse (RN) | Emergency Room (ER) / Trauma Location: Tucson, AZ Agency: OneStaff Medical Pay: $2,105 per week Shift Information: Rotating - 3 days x 12 hours Contract Duration: 13 Weeks Start Date: ASAP About the Position We. Are. OneStaff. Medical. An independently-owned, nationally-recognized and amazingly awesome staffing firm ready to work for you! A work ethic forged in the Midwest, we are here to stand by your side and help you find your dream assignment anywhere in this great c…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0NDY4OTkyNSIsInMiOiJ0ampDbjM1YjhSRzFnNjBjT1JxYlpRIn0.5z-gMFCCd4cNLwiX-mF6X2es5xHmfTJjlGQnvwkiMLs,full_time,0,Adzuna::API::Response::Company,OneStaff Medical,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Arizona', 'Pima County', 'Tucson']","Tucson, Pima County",Adzuna::API::Response::Location,contract
32.838076,5744689916,2026-05-29T12:47:29Z,5492.0,-97.691692,https://www.adzuna.com/land/ad/5744689916?se=tjjCn35b8RG1g60cORqbZQ&utm_medium=api&utm_source=abfa41a4&v=8FD7EB5D039329829017C031B2A199F3DF13408F,Adzuna::API::Response::Job,5492.0,"Travel Nurse RN - Stepdown - $1,373 per week in Weatherford, TX","Registered Nurse (RN) | Stepdown Location: Weatherford, TX Agency: Medical Solutions Pay: $1,373 per week Shift Information: Nights Start Date: ASAP About the Position A facility in Weatherford, TX is seeking its next amazing RN (Registered Nurse) to work in Stepdown. Minimum of one (1) year of recent clinical experience required. Nurses and allied healthcare professionals are in high demand nationwide, and our team of industry-leading, traveler-favorite recruiters can get you where you want to…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0NDY4OTkxNiIsInMiOiJ0ampDbjM1YjhSRzFnNjBjT1JxYlpRIn0.OD96CP6vkdWzdVGMHsDCLp_FChdOfXwe5rVmFvTeatY,full_time,0,Adzuna::API::Response::Company,Medical Solutions,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Texas', 'Parmer County', 'Weatherford']","Weatherford, Parmer County",Adzuna::API::Response::Location,
32.838076,5744689915,2026-05-29T12:47:29Z,5492.0,-97.691692,https://www.adzuna.com/land/ad/5744689915?se=tjjCn35b8RG1g60cORqbZQ&utm_medium=api&utm_source=abfa41a4&v=00829D2FBD0C31E26616D2B4FA0A0D8B8D2AEDA8,Adzuna::API::Response::Job,5492.0,"Travel Nurse RN - Stepdown - $1,373 per week in Weatherford, TX","Registered Nurse (RN) | Stepdown Location: Weatherford, TX Agency: Medical Solutions Pay: $1,373 per week Shift Information: Nights Start Date: ASAP About the Position TravelNurseSource is working with Medical Solutions to find a qualified Stepdown RN in Weatherford, Texas, 76086! A facility in Weatherford, TX is seeking its next amazing RN (Registered Nurse) to work in Stepdown. Minimum of one (1) year of recent clinical experience required. Nurses and allied healthcare professionals are in hi…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoidGpqQ24zNWI4UkcxZzYwY09ScWJaUSIsImkiOiI1NzQ0Njg5OTE1In0.LlZv09q_a-Sqm0gFDlYtcCvTJC2xt7_OHXt5tfFI-ec,full_time,0,Adzuna::API::Response::Company,TravelNurseSource,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Texas', 'Parmer County', 'Weatherford']","Weatherford, Parmer County",Adzuna::API::Response::Location,
37.445797,5744689900,2026-05-29T12:47:20Z,7488.0,-122.157575,https://www.adzuna.com/land/ad/5744689900?se=tjjCn35b8RG1g60cORqbZQ&utm_medium=api&utm_source=abfa41a4&v=8A4378248AF6FF56729AD2FED35C9E31B403599F,Adzuna::API::Response::Job,7488.0,"Travel Nurse RN - Medical-Surgical - $1,872 per week in Palo Alto, CA","Registered Nurse (RN) | Medical-Surgical Location: Palo Alto, CA Agency: Medical Solutions Pay: $1,872 per week Shift Information: Days Start Date: 7/20/2026 About the Position A facility in Palo Alto, CA is seeking its next amazing RN (Registered Nurse) to work in Med Surg (Medical Surgical). Minimum of one (1) year of recent clinical experience required. Nurses and allied healthcare professionals are in high demand nationwide, and our team of industry-leading, traveler-favorite recruiters can…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoidGpqQ24zNWI4UkcxZzYwY09ScWJaUSIsImkiOiI1NzQ0Njg5OTAwIn0._Pq69onEcR3tltW7qyNMgOBRVYDwz-3TwvvgA5k6biY,full_time,0,Adzuna::API::Response::Company,Medical Solutions,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'California', 'Santa Clara County', 'Palo Alto']","Palo Alto, Santa Clara County",Adzuna::API::Response::Location,
37.445797,5744689899,2026-05-29T12:47:20Z,7488.0,-122.157575,https://www.adzuna.com/land/ad/5744689899?se=tjjCn35b8RG1g60cORqbZQ&utm_medium=api&utm_source=abfa41a4&v=CB916A5873A752DA2E90C8D0A614BE00FF86BBBA,Adzuna::API::Response::Job,7488.0,"Travel Nurse RN - Medical-Surgical - $1,872 per week in Palo Alto, CA","Registered Nurse (RN) | Medical-Surgical Location: Palo Alto, CA Agency: Medical Solutions Pay: $1,872 per week Shift Information: Days Start Date: 7/20/2026 About the Position TravelNurseSource is working with Medical Solutions to find a qualified Med/Surg RN in Palo Alto, California, 94304! A facility in Palo Alto, CA is seeking its next amazing RN (Registered Nurse) to work in Med Surg (Medical Surgical). Minimum of one (1) year of recent clinical experience required. Nurses and allied healt…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoidGpqQ24zNWI4UkcxZzYwY09ScWJaUSIsImkiOiI1NzQ0Njg5ODk5In0.XPAlMhr92Aw4RjjgNQhFRWW5zfljwTApf7QgV1qxhRY,full_time,0,Adzuna::API::Response::Company,TravelNurseSource,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'California', 'Santa Clara County', 'Palo Alto']","Palo Alto, Santa Clara County",Adzuna::API::Response::Location,
32.214792,5744689898,2026-05-29T12:47:19Z,8920.0,-110.971527,https://www.adzuna.com/land/ad/5744689898?se=tjjCn35b8RG1g60cORqbZQ&utm_medium=api&utm_source=abfa41a4&v=A9CEDDFE23D8FAA923E43C3F5D0737B7EB217DA2,Adzuna::API::Response::Job,8920.0,"Travel Nurse RN - Emergency Room (ER) / Trauma - $2,230 per week in Tucson, AZ","Registered Nurse (RN) | Emergency Room (ER) / Trauma Location: Tucson, AZ Agency: Medical Solutions Pay: $2,230 per week Shift Information: Nights Start Date: 6/22/2026 About the Position TravelNurseSource is working with Medical Solutions to find a qualified ER/Trauma RN in Tucson, Arizona, 85719! A facility in Tucson, AZ is seeking its next amazing RN (Registered Nurse) to work in ER (Emergency Room). Minimum of one (1) year of recent clinical experience required. Nurses and allied healthcare…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0NDY4OTg5OCIsInMiOiJ0ampDbjM1YjhSRzFnNjBjT1JxYlpRIn0.sxHK0o1l3m7CwWdZ3BlZx-n4Pz9grjBPLVUj-BUXwwc,full_time,0,Adzuna::API::Response::Company,TravelNurseSource,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Arizona', 'Pima County', 'Tucson']","Tucson, Pima County",Adzuna::API::Response::Location,
32.214792,5744689895,2026-05-29T12:47:18Z,8920.0,-110.971527,https://www.adzuna.com/land/ad/5744689895?se=tjjCn35b8RG1g60cORqbZQ&utm_medium=api&utm_source=abfa41a4&v=B0A7A060C83681EAA9903BEA67C2DCEBBABE8F39,Adzuna::API::Response::Job,8920.0,"Travel Nurse RN - Emergency Room (ER) / Trauma - $2,230 per week in Tucson, AZ","Registered Nurse (RN) | Emergency Room (ER) / Trauma Location: Tucson, AZ Agency: Medical Solutions Pay: $2,230 per week Shift Information: Nights Start Date: 6/22/2026 About the Position A facility in Tucson, AZ is seeking its next amazing RN (Registered Nurse) to work in ER (Emergency Room). Minimum of one (1) year of recent clinical experience required. Nurses and allied healthcare professionals are in high demand nationwide, and our team of industry-leading, traveler-favorite recruiters can…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoidGpqQ24zNWI4UkcxZzYwY09ScWJaUSIsImkiOiI1NzQ0Njg5ODk1In0.LZSNjzRlVwWJWGtKaWBk7B8NAN_wl7haitZfPE3e4fI,full_time,0,Adzuna::API::Response::Company,Medical Solutions,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Arizona', 'Pima County', 'Tucson']","Tucson, Pima County",Adzuna::API::Response::Location,
39.00532,5744689771,2026-05-29T12:46:10Z,9496.0,-87.739194,https://www.adzuna.com/land/ad/5744689771?se=tjjCn35b8RG1g60cORqbZQ&utm_medium=api&utm_source=abfa41a4&v=02B63F20E37C72E69B87AE79647497B10C08FAFD,Adzuna::API::Response::Job,9496.0,"Travel Nurse RN - Case Manager - $2,221 to $2,374 per week in Robinson, IL","Registered Nurse (RN) | Case Manager Location: Robinson, IL Agency: Host Healthcare Pay: $2,221 to $2,374 per week Shift Information: Days Contract Duration: 13 Weeks Start Date: ASAP About the Position TravelNurseSource is working with Host Healthcare to find a qualified Case Manager RN in Robinson, Illinois, 62454! Host Healthcare is an award-winning travel healthcare company with an immediate opening for this Registered Nurse - Clinical Coordinator in Robinson, IL. If you are interested in t…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0NDY4OTc3MSIsInMiOiJ0ampDbjM1YjhSRzFnNjBjT1JxYlpRIn0.vqz1DZXASZt6EVzICMieNJBALnkFv-8eoMVhBZ4BHzs,full_time,0,Adzuna::API::Response::Company,TravelNurseSource,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"['US', 'Illinois', 'Crawford County', 'Robinson']","Robinson, Crawford County",Adzuna::API::Response::Location,contract
