salary_max,description,longitude,created,adref,id,redirect_url,title,salary_is_predicted,__CLASS__,salary_min,latitude,category.__CLASS__,category.label,category.tag,location.area,location.display_name,location.__CLASS__,company.__CLASS__,company.display_name,contract_time,contract_type
157056.84,"Job Group Capability Trading Job Group Trading Job Role Description Develop and execute commercial strategies for the optimal purchase, sale, and management of Renewable Identification Numbers (RINs) and other environmental and compliance credits across U.S. and state regulatory programs. The successful candidate will bring strong knowledge of cross‑compliance credit markets—including RINs, CFR, AB Tier, and various state LCFS programs—and the ability to identify value opportunities, manage reg…",-95.51414,2026-05-31T10:47:51Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0NjUzNTcwNCIsInMiOiJibUFVUUFCZDhSR2JHdlctYmNDY0hBIn0.Gago6ln-Lj7EUWtgq5PHk_4AV4DlhwRnNjC_rrAy_eo,5746535704,https://www.adzuna.com/details/5746535704?utm_medium=api&utm_source=abfa41a4,RIN Trader,1,Adzuna::API::Response::Job,157056.84,30.114354,Adzuna::API::Response::Category,"Energy, Oil & Gas Jobs",energy-oil-gas-jobs,"['US', 'Texas', 'Montgomery County', 'Panther Creek']","Panther Creek, Montgomery County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Exxon Mobil,,
145872.28,"Job Group Capability Trading Job Group Trading Job Role Description ExxonMobil Global Trading is seeking an experienced Distillate Trader to join our growing global distillates team. This role requires a deep understanding of the NYH market. The trading portfolio will consist of managing NYH physical and paper positions with focus on building a network of customers, high-grading tank utilization, and managing risk. Job Role Responsibilities Trade ULSD, Jet, Heating Oil, and other distillates ac…",-95.51414,2026-05-31T10:47:47Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0NjUzNTY1NyIsInMiOiJibUFVUUFCZDhSR2JHdlctYmNDY0hBIn0.5Qsb6nJWFXQDCOCE8VF9euy91IQ1CE9ttSjqbbRFXok,5746535657,https://www.adzuna.com/details/5746535657?utm_medium=api&utm_source=abfa41a4,Trader - Distillate,1,Adzuna::API::Response::Job,145872.28,30.114354,Adzuna::API::Response::Category,"Energy, Oil & Gas Jobs",energy-oil-gas-jobs,"['US', 'Texas', 'Montgomery County', 'Panther Creek']","Panther Creek, Montgomery County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Exxon Mobil,,
37970.0,"Part-Time In-House Substitute Teacher & Academic Administrative Assistant Make an Impact Where It Matters Most Cristo Rey Jesuit High School is seeking a mission-driven, adaptable educator or youth development professional to join our team in a unique hybrid role supporting both classroom instruction and academic operations. If you are passionate about educational equity, urban education, and empowering young people , this is an opportunity to make a meaningful, day-to-day impact in a diverse, …",-93.2885,2026-05-31T10:47:42Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYm1BVVFBQmQ4UkdiR3ZXLWJjQ2NIQSIsImkiOiI1NzQ2NTM1NjQ1In0.VcUY2tQfViI1O-aI0G2R8hHGznjEcbzUuwWNxn4ONTo,5746535645,https://www.adzuna.com/details/5746535645?utm_medium=api&utm_source=abfa41a4,In-House Substitute Teacher/Academic Administ,0,Adzuna::API::Response::Job,25000.0,44.9471,Adzuna::API::Response::Category,Teaching Jobs,teaching-jobs,"['US', 'Minnesota', 'Hennepin County', 'Minneapolis']","Minneapolis, Hennepin County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Twin Cities Jesuit High,part_time,
48941.26,"Position Title: Travel L&D RN - Labor & Delivery Registered Nurse Location: Lancaster, CA Company Name: Focus Staff Services Job Description Overview Ready to be part of life's most meaningful moments? Join Focus Staff as a Travel Labor & Delivery (L&D) RN in Lancaster, CA , supporting families through childbirth with confidence and compassion. Why L&D Nurses choose Focus Staff: Rewarding Your Commitment: Weekly direct deposits, housing stipends, 401(k) with matching, and loyalty/referral bonus…",-118.150578,2026-05-31T10:47:42Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0NjUzNTY0NiIsInMiOiJibUFVUUFCZDhSR2JHdlctYmNDY0hBIn0.jjM1Co7ayOwlG35QIy14IAaoqZjGstlcR9-A1jtlK2I,5746535646,https://www.adzuna.com/details/5746535646?utm_medium=api&utm_source=abfa41a4,Travel L&D RN - Labor & Delivery Registered Nurse,1,Adzuna::API::Response::Job,48941.26,34.69259,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,"['US', 'California', 'Los Angeles County', 'Lancaster']","Lancaster, Los Angeles County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Focus Staff,,
57832.78,(NOT LOCAL) OTR - North East Driver. Please visit our driver webpage www.wprdrivers.net *Safely operate a Class A CDL vehicle with refrigerated trailer (reefer) *Transport farm-fresh produce to various destinations *Ensure on-time pickups and deliveries according to schedule *Monitor and maintain proper temperature settings in the trailer *Conduct pre-trip and post-trip inspections *Maintain accurate logs and comply with DOT regulations *Communicate professionally with dispatch and customers Wa…,-78.892692,2026-05-31T10:40:18Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYm1BVVFBQmQ4UkdiR3ZXLWJjQ2NIQSIsImkiOiI1NzQ2NTM0ODk3In0.Ia44kXq_C2sBP2fE_zwDqx4nWNl5t4mzM5c1VS5O2Jc,5746534897,https://www.adzuna.com/details/5746534897?utm_medium=api&utm_source=abfa41a4,"CDL-A Company Driver - 2yrs EXP Required - OTR - Reefer - Walter P Rawl & Sons, Inc",1,Adzuna::API::Response::Job,57832.78,33.701976,Adzuna::API::Response::Category,Travel Jobs,travel-jobs,"['US', 'South Carolina', 'Horry County', 'Carolina Forest']","Carolina Forest, Horry County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,"Walter P Rawl & Sons, Inc",full_time,
85000.0,"Regional Truck Driver-Home Weekly. Company Overview Contract Transport Services is a well-established logistics provider with a rich history dating back to 1985. We specialize in dedicated local services, yard management, and truckload transportation across multiple regions. Our focus is on delivering quality service with professionalism and reliability, ensuring our employees find a positive and rewarding work environment. Job Overview We are seeking an energetic and dedicated CDL A Midwest Re…",-91.221296,2026-05-31T10:40:18Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0NjUzNDg4NSIsInMiOiJibUFVUUFCZDhSR2JHdlctYmNDY0hBIn0.OvTKCQq0eTusXIN3JAF10JKUlB5HhTzJn2eEUdhq_NU,5746534885,https://www.adzuna.com/details/5746534885?utm_medium=api&utm_source=abfa41a4,"Regional Truck Driver Company - 6mo EXP Required - Dry Van - $80k - $85k per year - Contract Transport Services, LLC",0,Adzuna::API::Response::Job,80000.0,43.797252,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,"['US', 'Wisconsin', 'La Crosse County', 'La Crosse']","La Crosse, La Crosse County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,"Contract Transport Services, LLC",full_time,
73162.03,"Class B Diesel Mechanic Technician - 3rd Shift. Company Description: Performance Foodservice, PFG's broadline distributor, maintains a unique relationship with a variety of local customers, including independent restaurants and hotels, healthcare facilities, schools, and quick-service eateries. A team of sales reps, chefs, consultants and other experts builds close relationships with each customer, providing advice on improving operations, menu development, product selection and operational str…",-86.7847,2026-05-31T10:40:14Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0NjUzNDg4MiIsInMiOiJibUFVUUFCZDhSR2JHdlctYmNDY0hBIn0.Xw7uyjb_iCvDu2LnzMYEQkzKGwigW-CjpXfGXZIPKLs,5746534882,https://www.adzuna.com/details/5746534882?utm_medium=api&utm_source=abfa41a4,"Diesel Mechanic Technician | Lebanon, Tennessee | PFS",1,Adzuna::API::Response::Job,73162.03,36.1681,Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,"['US', 'Tennessee', 'Davidson County', 'Nashville']","Nashville, Davidson County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Performance Food Service,full_time,
58498.43,"Class B Diesel Mechanic Technician - 3rd Shift. Company Description: Performance Foodservice, PFG's broadline distributor, maintains a unique relationship with a variety of local customers, including independent restaurants and hotels, healthcare facilities, schools, and quick-service eateries. A team of sales reps, chefs, consultants and other experts builds close relationships with each customer, providing advice on improving operations, menu development, product selection and operational str…",-86.7847,2026-05-31T10:40:14Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0NjUzNDg4MyIsInMiOiJibUFVUUFCZDhSR2JHdlctYmNDY0hBIn0.IuWhsADqdl6df8voXxL501ZX2E5dR5P6On-LBIpW4w8,5746534883,https://www.adzuna.com/details/5746534883?utm_medium=api&utm_source=abfa41a4,Class B Diesel Mechanic Technician - 3rd Shift,1,Adzuna::API::Response::Job,58498.43,36.1681,Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,"['US', 'Tennessee', 'Davidson County', 'Nashville']","Nashville, Davidson County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Performance Food Service,full_time,
72717.74,"Class B Diesel Mechanic Technician - 3rd Shift. Company Description: Performance Foodservice, PFG's broadline distributor, maintains a unique relationship with a variety of local customers, including independent restaurants and hotels, healthcare facilities, schools, and quick-service eateries. A team of sales reps, chefs, consultants and other experts builds close relationships with each customer, providing advice on improving operations, menu development, product selection and operational str…",-85.521705,2026-05-31T10:40:14Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0NjUzNDg4MSIsInMiOiJibUFVUUFCZDhSR2JHdlctYmNDY0hBIn0.MnOHV83Rg4o_x22K1Y2AY0B75xgB8iMgyQuC2gcAlNw,5746534881,https://www.adzuna.com/details/5746534881?utm_medium=api&utm_source=abfa41a4,"Diesel Mechanic Technician | Lebanon, Tennessee | PFS",1,Adzuna::API::Response::Job,72717.74,36.186267,Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,"['US', 'Tennessee', 'Putnam County', 'Cookeville']","Cookeville, Putnam County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Performance Food Service,full_time,
119916.56,"Hiring Local CDL A Drivers in Nazareth PA!. $28 Per Hour | Local | Third Shift Call Shannon at 570.477.8454 with any questions! Job Description: $28 Per Hour Monday-Friday Work Weeks 8pm Start Times Pallet Jack & Dolly Deliveries The CPC Logistics driver staffing operation center serving Nazareth, PA is look for a Class A CDL drivers in the Nazareth, PA area with a minimum of 1 year CDL A driving experience. Truck drivers working this temp-to-hire position will work a 5 day work week. If you ar…",-75.422801,2026-05-31T10:40:12Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0NjUzNDg3OCIsInMiOiJibUFVUUFCZDhSR2JHdlctYmNDY0hBIn0.T-knKdsuS7rltXXvwZuXMGoKONzBogYupQLBUNMITGY,5746534878,https://www.adzuna.com/details/5746534878?utm_medium=api&utm_source=abfa41a4,CDL-A Company Driver - 1yr EXP Required - Local - Dry Van - CPC Logistics,1,Adzuna::API::Response::Job,119916.56,41.0817,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,"['US', 'Pennsylvania', 'Monroe County', 'Pocono Pines']","Pocono Pines, Monroe County",Adzuna::API::Response::Location,Adzuna::API::Response::Company,CPC Logistics,full_time,
