longitude,salary_min,latitude,salary_max,adref,__CLASS__,id,description,created,title,salary_is_predicted,redirect_url,location.display_name,location.__CLASS__,location.area,company.display_name,company.__CLASS__,category.__CLASS__,category.label,category.tag,contract_time,contract_type
-84.0198,55670.84,33.6831,55670.84,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0OTM0NTQyOSIsInMiOiJZTnY1SGF0ZThSR3hhYV9jNzJVN2NRIn0.UJfiH3M8SVv6KDTZnKbuWWEzBxfzJr9rXpXKc_n2jk4,Adzuna::API::Response::Job,5749345429,"Job ID: (803954) Help Desk Analyst Level 1 Location: Conyers, GA Duration: 12 Months Client: GA DDS Onsite Role LOCAL CANDIDATES *This position is located at DDS Headquarters in Conyers, Georgia* *Bilingual, Spanish required* *MUST have IT Help Desk Call Center exp* Provides technical assistance to both internal and external customers for tier one issues. This position requires handling a high volume of calls in a call center environment focused on customer service. Internal customer support in…",2026-06-02T13:40:18Z,Help Desk Analyst Level 1,1,https://www.adzuna.com/land/ad/5749345429?se=YNv5Hate8RGxaa_c72U7cQ&utm_medium=api&utm_source=abfa41a4&v=1DD420274F20D2C2B0A6B6AEEFB56357F02ABEA3,"Conyers, Rockdale County",Adzuna::API::Response::Location,"['US', 'Georgia', 'Rockdale County', 'Conyers']",nLeague Services,Adzuna::API::Response::Company,Adzuna::API::Response::Category,IT Jobs,it-jobs,,
-74.0784,117430.3,40.7282,117430.3,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0OTM0NTQxNyIsInMiOiJZTnY1SGF0ZThSR3hhYV9jNzJVN2NRIn0.NgY5KdN7lAJBY3M-2dMMu17nSrnnzrVmu3rZTr3OkEM,Adzuna::API::Response::Job,5749345417,"Title: Infrastructure Engineer Position Type: Right to Hire Location: Jersey City, NJ Onsite Job Description Senior Infrastructure Engineer Hyper-V Virtualization & Infrastructure Engineering We're looking for a talented, senior engineering professional ready to take their career to new heights at one of the world's most influential companies. You will engineer and operate enterprise-scale Microsoft Hyper-V virtual infrastructure across global data centers. You will apply depth and breadth of k…",2026-06-02T13:40:16Z,"Infrastructure Engineer- Jersey City, NJ / Naveen",1,https://www.adzuna.com/land/ad/5749345417?se=YNv5Hate8RGxaa_c72U7cQ&utm_medium=api&utm_source=abfa41a4&v=DF611FED18204378CE071FAFDD0C4B4FF7B26B8E,"Five Corners, Hudson County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Hudson County', 'Five Corners']",Ampcus Inc,Adzuna::API::Response::Company,Adzuna::API::Response::Category,IT Jobs,it-jobs,,
-72.695659,99601.65,41.792693,99601.65,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWU52NUhhdGU4Ukd4YWFfYzcyVTdjUSIsImkiOiI1NzQ5MzQ1NDAzIn0.9rVAWyuyBY0rgCcpaezNKFILDw8-Z3OKpn5-hx92r2c,Adzuna::API::Response::Job,5749345403,"Job Title: Senior .NET Developer (Azure & Azure DevOps) Location: Remote Rate: on w2 Job Summary We are seeking an experienced .NET Developer with strong expertise in Microsoft Azure and Azure DevOps to design, develop, and deploy scalable cloud-native applications. The ideal candidate should have hands-on experience with modern .NET frameworks, microservices architecture, and CI/CD pipelines. Key Responsibilities Design, develop, and maintain applications using .NET Core / .NET 6 Build and dep…",2026-06-02T13:40:15Z,Senior .NET Developer,1,https://www.adzuna.com/land/ad/5749345403?se=YNv5Hate8RGxaa_c72U7cQ&utm_medium=api&utm_source=abfa41a4&v=71EEAF7C0AE697380E653E0636829D6156E891B2,"Blue Hills, Hartford County",Adzuna::API::Response::Location,"['US', 'Connecticut', 'Hartford County', 'Blue Hills']","TekLeaders, Inc",Adzuna::API::Response::Company,Adzuna::API::Response::Category,IT Jobs,it-jobs,,
-121.398884,113962.67,38.484098,113962.67,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0OTM0NTM5NSIsInMiOiJZTnY1SGF0ZThSR3hhYV9jNzJVN2NRIn0.Kw0AcHYmoKG1PpT9CbT3dnoX8NADDtOsRg4HWOTyloo,Adzuna::API::Response::Job,5749345395,"Title: Web Applications Developer Location: Sacramento, CA Our client's Web team is seeking a web application developer. The ideal candidate will have experience with AEM, Angular framework, JavaScript, CSS, and Java. This position will be responsible for building, debugging, and deploying custom components in the AEM environment. Skills: Great communication skills Great organizational skills Application Development - Java, JavaScript, CSS, Angular, Bootstrap GIT Source Control (Branch / Commit…",2026-06-02T13:40:15Z,Web Applications Developer,1,https://www.adzuna.com/land/ad/5749345395?se=YNv5Hate8RGxaa_c72U7cQ&utm_medium=api&utm_source=abfa41a4&v=117C51003C66A0783CCDC981CCCBEEAF4D3785C0,"Florin, Sacramento County",Adzuna::API::Response::Location,"['US', 'California', 'Sacramento County', 'Florin']",HR Pundits,Adzuna::API::Response::Company,Adzuna::API::Response::Category,IT Jobs,it-jobs,,
-111.797783,58246.03,33.223676,58246.03,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWU52NUhhdGU4Ukd4YWFfYzcyVTdjUSIsImkiOiI1NzQ5MzQ1MzYyIn0.SpAWzog4pBhFOSHX3cmEQA7sp1hw0vaMb_Ef_Zd8f7s,Adzuna::API::Response::Job,5749345362,"A client of Innova Solutions is immediately hiring for an Information Security Analyst. Position type: Contract (19 months) Location: Chandler, AZ Hybrid: (3 days onsite/ 2 day remote) As an Information Security Analyst, what you’ll Do : Analyze and resolve low-to-moderately complex security incidents and assessments Perform remediation activities based on security findings Support information security risk analysis and reporting Conduct security control testing and validation Aggregate and ana…",2026-06-02T13:40:07Z,Information Security Analyst,1,https://www.adzuna.com/land/ad/5749345362?se=YNv5Hate8RGxaa_c72U7cQ&utm_medium=api&utm_source=abfa41a4&v=42F2C60143D1D8D0AB0EA768B19B47233C501596,"Sun Lakes, Maricopa County",Adzuna::API::Response::Location,"['US', 'Arizona', 'Maricopa County', 'Sun Lakes']","Innova Solutions, Inc",Adzuna::API::Response::Company,Adzuna::API::Response::Category,IT Jobs,it-jobs,,
-97.865683,96048.96,30.320233,96048.96,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0OTM0NTM1NyIsInMiOiJZTnY1SGF0ZThSR3hhYV9jNzJVN2NRIn0.Ta06M5om4FRHmQp73nxFcJiMhM5atCKS_NZF464OMoQ,Adzuna::API::Response::Job,5749345357,"Required Experience & Qualifications 5 years of direct experience with Medicaid Claims Processing . 5 years of experience analyzing business objectives, identifying systemic problems, and engineering alternative solutions. 5 years of experience in systems analysis, evaluating user requirements, and translating operational procedures into automated computer systems. 5 years of experience writing detailed user stories, functional descriptions, and developer-facing system specifications. 5 years o…",2026-06-02T13:40:07Z,Business systems analyst with Medicaid - candidate must be local to Austin Texas,1,https://www.adzuna.com/land/ad/5749345357?se=YNv5Hate8RGxaa_c72U7cQ&utm_medium=api&utm_source=abfa41a4&v=3B7A4CE6AC95089479F8A1FF07EF01580E8CF7F0,"Bee Cave, Travis County",Adzuna::API::Response::Location,"['US', 'Texas', 'Travis County', 'Bee Cave']",Global Force USA,Adzuna::API::Response::Company,Adzuna::API::Response::Category,IT Jobs,it-jobs,,
,214289.58,,214289.58,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWU52NUhhdGU4Ukd4YWFfYzcyVTdjUSIsImkiOiI1NzQ5MzQ1MzY1In0.A240ly5aKnWl5zIfb9PR_ZNp3G0MBchr2zXUrHWHSac,Adzuna::API::Response::Job,5749345365,"Undergraduate degree or equivalent practical work experience 8 years of experience in the development, design, testing, and implementation of complex database programs using Oracle and third-party tools within a distributed, service-based enterprise environment 4 years of hands-on development experience using Oracle PL/SQL Technical Exp ertise Strong expertise in Oracle functions, procedures, triggers, packages, and performance tuning Demonstrated knowledge of data warehousing and business inte…",2026-06-02T13:40:07Z,"Database Developer with PL/SQL, OpenShift & Kubernetes",1,https://www.adzuna.com/land/ad/5749345365?se=YNv5Hate8RGxaa_c72U7cQ&utm_medium=api&utm_source=abfa41a4&v=C8F72038F3722EFD42CA96F42F0E4E6D6E2A634E,US,Adzuna::API::Response::Location,['US'],Shrive Technologies LLC,Adzuna::API::Response::Company,Adzuna::API::Response::Category,IT Jobs,it-jobs,,
-76.6054,140799.48,39.291,140799.48,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0OTM0NTM3MSIsInMiOiJZTnY1SGF0ZThSR3hhYV9jNzJVN2NRIn0.opwc84DLAOlGhO8kKUd1UAPl6344rBkJVPuKZBZSe-Q,Adzuna::API::Response::Job,5749345371,"Hi, We are looking for Bizagi Developer at Baltimore, MD (Hybrid) Role: Bizagi Developer Location : Baltimore, MD (Hybrid) Mode: Long Term Contract Job Description : Seeking an experienced Senior Bizagi BPM Developer to design, develop, and support enterprise workflow automation solutions using the Bizagi platform. The role involves leading BPM implementations, integrating external systems, mentoring developers, and working closely with business stakeholders to automate workers'' compensation a…",2026-06-02T13:40:07Z,Bizagi Developer,1,https://www.adzuna.com/land/ad/5749345371?se=YNv5Hate8RGxaa_c72U7cQ&utm_medium=api&utm_source=abfa41a4&v=A5FCA770795AEC93FD78861CF3120A60D389C479,"East Case, Baltimore",Adzuna::API::Response::Location,"['US', 'Maryland', 'Baltimore County', 'Baltimore', 'East Case']",Salem Infotech,Adzuna::API::Response::Company,Adzuna::API::Response::Category,IT Jobs,it-jobs,,
-97.865683,75616.87,30.320233,75616.87,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0OTM0NTM1OCIsInMiOiJZTnY1SGF0ZThSR3hhYV9jNzJVN2NRIn0.kfmIajzRVlR5rQKtArpiVwLgdbTRjOayikrgbMfyGws,Adzuna::API::Response::Job,5749345358,"Role - Power BI Admin Location - Austin, TX (4 Days WFO) FTE or CTH (3 months) Pay Rate - $55-67/hr or $115K Client - Confidential Key Responsibilities (Technical) Administer Power BI tenant, workspaces, capacities, access controls, and governance policies. Manage On-Premises Data Gateway setup, clustering, monitoring, and incident resolution. Support data connectivity and refresh across Folder, SQL Server, Snowflake, and SharePoint sources. Implement automation using Azure Service Principal, P…",2026-06-02T13:40:07Z,Power BI Admin - Full-Time / Contract 2 Hire,1,https://www.adzuna.com/land/ad/5749345358?se=YNv5Hate8RGxaa_c72U7cQ&utm_medium=api&utm_source=abfa41a4&v=52D52B9828C048560E59622911FD5146FEB0FCD7,"Bee Cave, Travis County",Adzuna::API::Response::Location,"['US', 'Texas', 'Travis County', 'Bee Cave']",New York Technology Partners,Adzuna::API::Response::Company,Adzuna::API::Response::Category,IT Jobs,it-jobs,,
-97.865683,82614.57,30.320233,82614.57,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWU52NUhhdGU4Ukd4YWFfYzcyVTdjUSIsImkiOiI1NzQ5MzQ1MzcwIn0.aWqTJTYP6PGuQMbSjnvmP3VErogWF8JZzBcAgBKCgwc,Adzuna::API::Response::Job,5749345370,"Job Title: QA Automation Engineer III Location: Hybrid (Onsite & Remote) Job Type: Contract Duration: Approximately 2 Months (Potential Extension) Position Overview Seeking an experienced QA Automation Engineer III to support the quality assurance and automated testing of enterprise database-driven applications. The ideal candidate will have a strong background in automation testing, database validation, SDLC methodologies, and quality assurance best practices. This role will collaborate closel…",2026-06-02T13:40:07Z,QA Automation Engineer III,1,https://www.adzuna.com/land/ad/5749345370?se=YNv5Hate8RGxaa_c72U7cQ&utm_medium=api&utm_source=abfa41a4&v=1AB499C018D843ED7A22AA81E9C0BFE17CC2A66B,"Bee Cave, Travis County",Adzuna::API::Response::Location,"['US', 'Texas', 'Travis County', 'Bee Cave']","SystemDomain, Inc.",Adzuna::API::Response::Company,Adzuna::API::Response::Category,IT Jobs,it-jobs,,
