adref,longitude,salary_max,__CLASS__,latitude,salary_is_predicted,salary_min,created,title,description,redirect_url,id,location.area,location.__CLASS__,location.display_name,company.display_name,company.__CLASS__,category.__CLASS__,category.tag,category.label
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV0RaamkzWmY4UkdhakxJZUE3TjVoUSIsImkiOiI1NzUwODEwMjczIn0.Q3FBafpP7LZHnZuImLGvJaOTc49PKHzfhGmMJG5ceps,-95.338212,119496.0,Adzuna::API::Response::Job,35.729553,0,0.0,2026-06-03T13:58:20Z,"Travel Nurse RN - Telemetry - $2,298 per week","Fusion Medical Staffing-Nursing is seeking a travel nurse RN Telemetry for a travel nursing job in Muskogee, Oklahoma. Job Description & Requirements Specialty: Telemetry Discipline: RN Start Date: ASAP Duration: 13 weeks 40 hours per week Shift: 8 hours, days Employment Type: Travel Travel Telemetry RN Company: Fusion Medical Staffing Location: Facility in Muskogee, Oklahoma Job Details Fusion Medical Staffing is seeking a skilled Telemetry RN for a 13-week travel assignment in Muskogee, Oklah…",https://www.adzuna.com/land/ad/5750810273?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=D2820A32E70E438166FA84B0F672155E0D75AE03,5750810273,"['US', 'Oklahoma', 'Muskogee County', 'Keefeton']",Adzuna::API::Response::Location,"Keefeton, Muskogee County",Fusion Medical Staffing-Nursing,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV0RaamkzWmY4UkdhakxJZUE3TjVoUSIsImkiOiI1NzUwODEwMjY2In0.7CNT3QnDPrBQnsg9bPedoQk34lUKDFvGQOp3AAdnpaA,,112424.0,Adzuna::API::Response::Job,,0,0.0,2026-06-03T13:58:19Z,"Travel Nurse RN - Long Term Care - $2,162 per week","TNAA TotalMed RN is seeking a travel nurse RN Long Term Care for a travel nursing job in Appelton, Wisconsin. Job Description & Requirements Specialty: Long Term Care Discipline: RN Start Date: ASAP Duration: 13 weeks 40 hours per week Shift: 8 hours, evenings Employment Type: Travel 1433828 About TNAA TotalMed RN TotalMed is a Top Ten, travel nursing and healthcare staffing agency with the mission of igniting purpose in healthcare. The organization staffs nurses, therapists, pharmacists, and o…",https://www.adzuna.com/land/ad/5750810266?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=1810CBF927CF23ABB6761B34294DF51F47B93CBA,5750810266,['US'],Adzuna::API::Response::Location,US,TNAA TotalMed RN,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV0RaamkzWmY4UkdhakxJZUE3TjVoUSIsImkiOiI1NzUwODEwMjY4In0.WCR-gih2m6txAJfHK974nxqG2VAyyBAM-3X69DkpRsY,-76.63164,100404.57,Adzuna::API::Response::Job,39.4008,1,100404.57,2026-06-03T13:58:19Z,"Sr. Controls Technician -Towson, MD","Be a part of our mission! As a world leader in creating comfortable, sustainable, and efficient climate solutions for buildings, homes and transportation, it's our responsibility to put the planet first. For us at Trane Technologies , and through our businesses including Trane® and Thermo King , sustainability is not just how we do business—it is our business. Do you dare to look at the world's challenges and see impactful possibilities? Do you want to contribute to making a better future? If t…",https://www.adzuna.com/land/ad/5750810268?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=97D25C95D2EA9F7D8D328E5638C871A4381CA814,5750810268,"['US', 'Maryland', 'Baltimore County', 'Towson']",Adzuna::API::Response::Location,"Towson, Baltimore County",Trane Technologies,Adzuna::API::Response::Company,Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MDgxMDI3MCIsInMiOiJXRFpqaTNaZjhSR2FqTEllQTdONWhRIn0.nsRtrzv4i9qLnfJKhtR4VJSO0kjJ5F1f20m9GXwBiYU,-79.95472,72392.88,Adzuna::API::Response::Job,32.68416,1,72392.88,2026-06-03T13:58:19Z,Registered Nurse - Oncology with Security Clearance,"Registered Nurse (RN) – Oncology – VA Medical Center Charleston, SC Join Our Exceptional Team at @Orchard LLC We are seeking experienced, compassionate Registered Nurses (RNs) to join our team at the VA Medical Center, located in Charleston, SC. As a key member of our dynamic healthcare team, you will provide high-quality, patient-centered care and public health education to veterans in a fast-paced and rewarding environment. About the Role: You will perform the roles appropriate to a Registere…",https://www.adzuna.com/land/ad/5750810270?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=DA28691502E07E8092258EBA8D1A776E5D82C0E0,5750810270,"['US', 'South Carolina', 'Charleston County', 'Folly Beach']",Adzuna::API::Response::Location,"Folly Beach, Charleston County",@Orchard LLC,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV0RaamkzWmY4UkdhakxJZUE3TjVoUSIsImkiOiI1NzUwODEwMjYxIn0.-UOruPkZ8M5aDos18dT6cTkAORFL5SwDC-VkuaKkK8Y,-105.93968,71240.0,Adzuna::API::Response::Job,35.68259,0,0.0,2026-06-03T13:58:16Z,"Travel CVOR Surgical Technologist - $1,370 per week","Focus Staff is seeking a travel Certified Surgical Technologist for a travel job in Santa Fe, New Mexico. Job Description & Requirements Specialty: Certified Surgical Technologist Discipline: Allied Health Professional Start Date: 06/08/2026 Duration: 13 weeks 40 hours per week Shift: 8 hours, days Employment Type: Travel Focus Staff is seeking a Certified Surg Tech for a travel contract in Santa Fe, NM. The ideal candidate will have at least 1 year of experience in a Surg Tech setting. Contrac…",https://www.adzuna.com/land/ad/5750810261?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=F0C444CD4172E5EE30347DE4BF38E70F42481D8D,5750810261,"['US', 'New Mexico', 'Santa Fe County', 'La Cienga']",Adzuna::API::Response::Location,"La Cienga, Santa Fe County",Focus Staff,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV0RaamkzWmY4UkdhakxJZUE3TjVoUSIsImkiOiI1NzUwODEwMjU4In0.aXiEOOasydIyEoQXAoMizZCqeLNrIpkDBau5TcQOWHI,-73.691976,208000.0,Adzuna::API::Response::Job,40.797773,0,0.0,2026-06-03T13:58:16Z,"Travel Nurse RN - CVOR - $4,000 per week","TNAA TotalMed RN is seeking a travel nurse RN CVOR for a travel nursing job in Manhasset, New York. Job Description & Requirements Specialty: CVOR Discipline: RN Start Date: 06/29/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel We're looking for Cardiovascular Operating Room RNs for an immediate travel nurse opening in Manhasset, NY. The right RN should have 1-2 years recent acute care experience. Read below for more requirements. As a CVOR RN, you'll be …",https://www.adzuna.com/land/ad/5750810258?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=C73268AC00403F3313CF02B40AAEEBA80D3D62B9,5750810258,"['US', 'New York', 'Nassau County', 'Manhasset']",Adzuna::API::Response::Location,"Manhasset, Nassau County",TNAA TotalMed RN,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV0RaamkzWmY4UkdhakxJZUE3TjVoUSIsImkiOiI1NzUwODEwMjU3In0.c_H4TrcVDrm-NmdGiDLHCSjdIe6hBHY5z_iAhrichAs,-95.936348,129896.0,Adzuna::API::Response::Job,41.261559,0,0.0,2026-06-03T13:58:16Z,"Travel Nurse RN - Interventional Radiology - $2,498 per week","Travel Nurses, Inc. is seeking a travel nurse RN Interventional Radiology for a travel nursing job in Omaha, Nebraska. Job Description & Requirements Specialty: Interventional Radiology Discipline: RN Start Date: 06/22/2026 Duration: 13 weeks 40 hours per week Shift: 8 hours Employment Type: Travel Travel Nurses, Inc. Job ID 326031. Pay package is based on 8 hour shifts and 40 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted job title: RN (Registere…",https://www.adzuna.com/land/ad/5750810257?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=9C4B0343D06F5AE86D8000A67E8FD6CEAB77D175,5750810257,"['US', 'Nebraska', 'Douglas County', 'Omaha']",Adzuna::API::Response::Location,"Omaha, Douglas County","Travel Nurses, Inc.",Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MDgxMDI1NiIsInMiOiJXRFpqaTNaZjhSR2FqTEllQTdONWhRIn0._SVzfThYaO25CDHEJH7dWu4QYmk14MLJdlDHhhgFsw0,-97.32316,96928.0,Adzuna::API::Response::Job,32.75876,0,0.0,2026-06-03T13:58:16Z,"Travel Nurse RN - OR - Operating Room - $1,864 per week","TRS Healthcare is seeking a travel nurse RN OR - Operating Room for a travel nursing job in Fort Worth, Texas. Job Description & Requirements Specialty: OR - Operating Room Discipline: RN Start Date: 06/29/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel TRS Healthcare Job ID 1473917. Pay package is based on 12 hour shifts and 36 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted job title: OR - Operating Room Re…",https://www.adzuna.com/land/ad/5750810256?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=B9899B820ECE9E562CE2198288D6F8E7F62CF90A,5750810256,"['US', 'Texas', 'Tarrant County', 'Fort Worth']",Adzuna::API::Response::Location,"Fort Worth, Tarrant County",TRS Healthcare,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV0RaamkzWmY4UkdhakxJZUE3TjVoUSIsImkiOiI1NzUwODEwMjQ0In0._n-cG7XiWAxPqmNMb2S9AajP0eUaztoAObOT42vjLac,-77.6085,151424.0,Adzuna::API::Response::Job,43.1315,0,0.0,2026-06-03T13:58:15Z,"Travel Nurse RN - Endoscopy - $2,912 per week","LanceSoft is seeking a travel nurse RN Endoscopy for a travel nursing job in Rochester, New York. Job Description & Requirements Specialty: Endoscopy Discipline: RN Duration: 13 weeks 40 hours per week Shift: 8 hours, days Employment Type: Travel About LanceSoft Established in 2000, LanceSoft is a Certified MBE and Woman-Owned organization. Lancesoft Inc. is one of the highest rated companies in the industry. We have been recognized as one of the Largest Staffing firms and ranked in the top 50 …",https://www.adzuna.com/land/ad/5750810244?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=E524AE83BCB53342A8A8B8669527656A331A511C,5750810244,"['US', 'New York', 'Monroe County', 'Loehmanns Plaza']",Adzuna::API::Response::Location,"Loehmanns Plaza, Monroe County",LanceSoft,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MDgxMDI1MCIsInMiOiJXRFpqaTNaZjhSR2FqTEllQTdONWhRIn0.dTV5-aW321EetEsABhmq-8brbUo-SAqWbory0GD86Kk,-89.759895,128232.0,Adzuna::API::Response::Job,45.864973,0,0.0,2026-06-03T13:58:15Z,"Travel Nurse RN - ICU - Intensive Care Unit - $2,466 per week","Trustaff is seeking a travel nurse RN ICU - Intensive Care Unit for a travel nursing job in Minocqua, Wisconsin. Job Description & Requirements Specialty: ICU - Intensive Care Unit Discipline: RN Start Date: 06/29/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel As an ICU RN, you'll provide hands-on care for critically ill patients. Intensive Care nurses must be able to assess, plan, and implement care strategies for patients who may suffer from a variet…",https://www.adzuna.com/land/ad/5750810250?se=WDZji3Zf8RGajLIeA7N5hQ&utm_medium=api&utm_source=abfa41a4&v=E9D30FA02302DD287883388BB2C47E05EFB74A92,5750810250,"['US', 'Wisconsin', 'Oconto County', 'Minocqua']",Adzuna::API::Response::Location,"Minocqua, Oconto County",Trustaff,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
