longitude,latitude,salary_max,salary_min,description,salary_is_predicted,created,adref,title,redirect_url,__CLASS__,id,category.label,category.tag,category.__CLASS__,company.__CLASS__,company.display_name,location.__CLASS__,location.display_name,location.area,contract_time,contract_type
-76.58808,39.3642,95000.0,75000.0,"MedStar Health, a leading not-for-profit healthcare organization in the DC-Maryland-Virginia region, is seeking a Stationary Engineer to join our Engineering & Maintenance team. In this role, you will operate, maintain, and repair boilers, chillers, pumps, and related building systems to ensure a safe, reliable environment for patients and staff. You’ll perform preventive maintenance, monitor system performance, and respond to equipment issues. MedStar Health offers a collaborative, ethical, an…",0,2026-06-05T12:02:20Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MzMxODMyOCIsInMiOiJTQ1F1aF9oZzhSR2dWSXlkM2JoNGZnIn0.UudZeTg0laY6eUW4IOcrfd2Go-ZCdlaaF-ciFKSOxro,Stationary Engineer,https://www.adzuna.com/land/ad/5753318328?se=SCQuh_hg8RGgVIyd3bh4fg&utm_medium=api&utm_source=abfa41a4&v=70324724EB945BE4684EF34A1B410F733B85E2A8,Adzuna::API::Response::Job,5753318328,Engineering Jobs,engineering-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,MedStar Health,Adzuna::API::Response::Location,"Idlewylde, Baltimore","['US', 'Maryland', 'Baltimore County', 'Baltimore', 'Idlewylde']",,
-90.07722,29.90328,75000.0,58000.0,"Join The Boyd Group as an Auto Body Technician in our Automotive department. In this role, you will perform collision repairs, including bodywork, panel replacement, frame straightening, and refinishing to restore vehicles to pre-accident condition. You’ll work with cutting-edge tools and equipment in a clean, professional environment. Boyd Group, operating Gerber Collision & Glass centers across North America, is known for quality, integrity, and operational excellence. We foster a culture of …",0,2026-06-05T12:02:18Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiU0NRdWhfaGc4UkdnVkl5ZDNiaDRmZyIsImkiOiI1NzUzMzE4MzAxIn0.0lt7U1PLFrtZuF4Nnn9Jof1VkSquvM27_krJn5umMUI,Auto Body Technician,https://www.adzuna.com/land/ad/5753318301?se=SCQuh_hg8RGgVIyd3bh4fg&utm_medium=api&utm_source=abfa41a4&v=8C975452312EE70259524656D3A3522C5D558D0A,Adzuna::API::Response::Job,5753318301,Manufacturing Jobs,manufacturing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,The Boyd Group,Adzuna::API::Response::Location,"Harvey, Jefferson Parish","['US', 'Louisiana', 'Jefferson Parish', 'Harvey']",,
-75.21372,39.72384,124956.0,0.0,"GHR Healthcare is seeking a travel nurse RN ED - Emergency Department for a travel nursing job in Mullica Hill, New Jersey. Job Description & Requirements Specialty: ED - Emergency Department Discipline: RN Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel About GHR Healthcare For over 30 years, GHR Healthcare has been the bridge between healthcare professionals and the facilities that need them nationwide. We're committed to uncovering your ideal fit, support…",0,2026-06-05T12:02:18Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiU0NRdWhfaGc4UkdnVkl5ZDNiaDRmZyIsImkiOiI1NzUzMzE4Mjk3In0.5K74cVqiXnkSmfWlQnukEcVwgmgnGZpGY25WE_MsylI,"Travel Emergency Department RN - $2,403 per week",https://www.adzuna.com/land/ad/5753318297?se=SCQuh_hg8RGgVIyd3bh4fg&utm_medium=api&utm_source=abfa41a4&v=BBB6604E9A78684E66C48B54451C0C9166AE2AA8,Adzuna::API::Response::Job,5753318297,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,GHR Healthcare,Adzuna::API::Response::Location,"Mullica Hill, Gloucester County","['US', 'New Jersey', 'Gloucester County', 'Mullica Hill']",,
-124.351702,47.916797,153400.0,0.0,"Cross Country Allied is seeking a travel Ultrasound Technologist for a travel job in Forks, Washington. Job Description & Requirements Specialty: Ultrasound Technologist Discipline: Allied Health Professional Start Date: 08/17/2026 Duration: 13 weeks 40 hours per week Shift: 10 hours, days Employment Type: Travel Job Summary: FORKS, Washington The organization is seeking a qualified Ultrasonographer General to join the healthcare provider team. This position involves performing ultrasound imagi…",0,2026-06-05T12:02:17Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MzMxODI1NyIsInMiOiJTQ1F1aF9oZzhSR2dWSXlkM2JoNGZnIn0.MvX3b68ad1JymktwG7zzidX025P_UVRBtCo0P_c9TdA,"Travel General Radiology Ultrasound Technologist - $2,950 per week",https://www.adzuna.com/land/ad/5753318257?se=SCQuh_hg8RGgVIyd3bh4fg&utm_medium=api&utm_source=abfa41a4&v=AA8EC1EBAADF4717D7453387DD2A928500FFAEE2,Adzuna::API::Response::Job,5753318257,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Cross Country Allied,Adzuna::API::Response::Location,"Bogachiel, Clallam County","['US', 'Washington', 'Clallam County', 'Bogachiel']",,
-97.5561,35.54388,163748.0,0.0,"Talent4Health is seeking a travel nurse RN Med Surg / Telemetry for a travel nursing job in Oklahoma City, Oklahoma. Job Description & Requirements Specialty: Med Surg / Telemetry Discipline: RN Start Date: 06/29/2026 Duration: 13 weeks 48 hours per week Shift: 12 hours, days Employment Type: Travel Notes: Med/Surg and Stepdown experience required. 1 year travel required. Level one preferred. About Talent4Health A leader and innovator, offering comprehensive talent solutions for the healthcare …",0,2026-06-05T12:02:17Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiU0NRdWhfaGc4UkdnVkl5ZDNiaDRmZyIsImkiOiI1NzUzMzE4Mjg2In0.KcMCE35dlVifz__0xEmuiQuDo9K2StLky4j3VbHy7H0,"Travel Nurse RN - Med Surg / Telemetry - $3,149 per week",https://www.adzuna.com/land/ad/5753318286?se=SCQuh_hg8RGgVIyd3bh4fg&utm_medium=api&utm_source=abfa41a4&v=D23A3D46A341870D0C614E21CFA7F384BBA13E44,Adzuna::API::Response::Job,5753318286,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Talent4Health,Adzuna::API::Response::Location,"Nichols Hills, Oklahoma County","['US', 'Oklahoma', 'Oklahoma County', 'Nichols Hills']",,
-122.20443,47.61974,127556.0,0.0,"TNAA TotalMed RN is seeking a travel nurse RN CVOR for a travel nursing job in Bellevue, Washington. Job Description & Requirements Specialty: CVOR Discipline: RN Start Date: 07/06/2026 Duration: 13 weeks 40 hours per week Shift: 10 hours, days Employment Type: Travel We're looking for Cardiovascular Operating Room RNs for an immediate travel nurse opening in Bellevue, WA. The right RN should have 1-2 years recent acute care experience. Read below for more requirements. As a CVOR RN, you'll be …",0,2026-06-05T12:02:17Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MzMxODI2NiIsInMiOiJTQ1F1aF9oZzhSR2dWSXlkM2JoNGZnIn0.1La7Tv1MPd3CKutx4gdFUxxBYpP3JdQZlKK6oBu7Myo,"Travel CVOR Registered Nurse - $2,453 per week",https://www.adzuna.com/land/ad/5753318266?se=SCQuh_hg8RGgVIyd3bh4fg&utm_medium=api&utm_source=abfa41a4&v=186F1579950CE0265D3626D4348BB82DD0669955,Adzuna::API::Response::Job,5753318266,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,TNAA TotalMed RN,Adzuna::API::Response::Location,"Bellevue, King County","['US', 'Washington', 'King County', 'Bellevue']",,
-93.743106,41.572796,86788.0,0.0,"Centra Healthcare Allied is seeking a travel Physical Therapy Assistant for a travel job in West Des Moines, Iowa. Job Description & Requirements Specialty: Physical Therapy Assistant Discipline: Therapy Start Date: 06/11/2026 Duration: 13 weeks 40 hours per week Shift: 8 hours Employment Type: Travel Centra Healthcare Solutions is seeking an experienced Physical Therapist Assistant (PTA) that is licensed or in the immediate process, and qualifies, of obtaining Physical Therapist Assistant (PTA…",0,2026-06-05T12:02:16Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MzMxODIzNyIsInMiOiJTQ1F1aF9oZzhSR2dWSXlkM2JoNGZnIn0.xj7ANDOGR-2C7z2DsK1A0uKtbrXAhM6goIwMaW0k_yA,"Travel Physical Therapy Assistant - $1,669 per week",https://www.adzuna.com/land/ad/5753318237?se=SCQuh_hg8RGgVIyd3bh4fg&utm_medium=api&utm_source=abfa41a4&v=4812C4B4C051FC080A93090760B79CF443D416F3,Adzuna::API::Response::Job,5753318237,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Centra Healthcare Allied,Adzuna::API::Response::Location,"West Des Moines, Polk County","['US', 'Iowa', 'Polk County', 'West Des Moines']",,
-76.830178,38.8795,126932.0,0.0,"American Traveler is seeking a travel nurse RN CVICU for a travel nursing job in Largo, Maryland. Job Description & Requirements Specialty: CVICU Discipline: RN Start Date: 06/29/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Assignment Overview Shift: Nights, 3x12hrs Hours: 36 hrs/wk Start Date: Jun 29, 2026 Length: 13 weeks Openings: 2 Description American Traveler is hiring an experienced RN for a Cardiovascular ICU (CVICU) position requiring a MD o…",0,2026-06-05T12:02:16Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiU0NRdWhfaGc4UkdnVkl5ZDNiaDRmZyIsImkiOiI1NzUzMzE4MjQzIn0.RX4u5sGMFyPYdM-Q77B2Nng3aSnNTFg7rnuIe2nKDuM,"Travel CVICU Registered Nurse - $2,441 per week",https://www.adzuna.com/land/ad/5753318243?se=SCQuh_hg8RGgVIyd3bh4fg&utm_medium=api&utm_source=abfa41a4&v=49BA3455DC4A188562A37427C603A11AA3A12665,Adzuna::API::Response::Job,5753318243,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,American Traveler,Adzuna::API::Response::Location,"Largo, Prince George's County","['US', 'Maryland', ""Prince George's County"", 'Largo']",,
-70.653511,43.153967,105612.0,0.0,"Stability Healthcare is seeking a travel nurse RN Endoscopy for a travel nursing job in York, Maine. Job Description & Requirements Specialty: Endoscopy Discipline: RN Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel Stability Healthcare is looking for a Ambulatory RN contract position in York, ME. Their role involves conducting assessments, administering medications and treatments, performing diagnostic tests, educating patients on health management, and colla…",0,2026-06-05T12:02:16Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MzMxODIyOSIsInMiOiJTQ1F1aF9oZzhSR2dWSXlkM2JoNGZnIn0.EAdHDnNn4NSTLR7lSD_Qu2as8MUTmE-YHE4lDaSAJu4,"Travel Endoscopy/Special Procedures RN - $2,031 per week",https://www.adzuna.com/land/ad/5753318229?se=SCQuh_hg8RGgVIyd3bh4fg&utm_medium=api&utm_source=abfa41a4&v=5BC5F18D150AE79655D14A25ADF94B53322018AA,Adzuna::API::Response::Job,5753318229,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Stability Healthcare,Adzuna::API::Response::Location,"York, York County","['US', 'Maine', 'York County', 'York']",,
-77.6085,43.1315,113984.0,0.0,"American Traveler is seeking a travel nurse RN PCU - Progressive Care Unit for a travel nursing job in Rochester, New York. Job Description & Requirements Specialty: PCU - Progressive Care Unit Discipline: RN Start Date: 06/23/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Assignment Overview Shift: Nights, 3x12hrs Hours: 36 hrs/wk Start Date: Jun 23, 2026 Length: 13 weeks Openings: 1 Description American Traveler is seeking an experienced RN for a PCU…",0,2026-06-05T12:02:15Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiU0NRdWhfaGc4UkdnVkl5ZDNiaDRmZyIsImkiOiI1NzUzMzE4MTg1In0.3rt0S0JrBL3Eovdu2f49dS8Pgn33UN0kO7beRUfuB0U,"Travel PCU Registered Nurse - $2,192 per week",https://www.adzuna.com/land/ad/5753318185?se=SCQuh_hg8RGgVIyd3bh4fg&utm_medium=api&utm_source=abfa41a4&v=0B50D6ADE414ACB63E6521EF9DA63C837504B324,Adzuna::API::Response::Job,5753318185,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,American Traveler,Adzuna::API::Response::Location,"Loehmanns Plaza, Monroe County","['US', 'New York', 'Monroe County', 'Loehmanns Plaza']",,
