salary_min,adref,created,redirect_url,salary_is_predicted,__CLASS__,salary_max,id,latitude,longitude,description,title,location.display_name,location.__CLASS__,location.area,category.__CLASS__,category.label,category.tag,company.__CLASS__,company.display_name,contract_time,contract_type
0.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVW1lOThMWmg4UkdUeWMxNkJYbElvZyIsImkiOiI1NzU0NTUxMTUxIn0.1KqLDA5EawsUGnFOuPtmOyYm769YctL3n2Rrsn-gP18,2026-06-06T10:36:11Z,https://www.adzuna.com/land/ad/5754551151?se=Ume98LZh8RGTyc16BXlIog&utm_medium=api&utm_source=abfa41a4&v=AD56E61D969ADFAC8CC3485EAA0013DDB20F4899,0,Adzuna::API::Response::Job,115336.0,5754551151,35.231211,-111.568286,"American Traveler is seeking a travel nurse RN OR - Operating Room for a travel nursing job in Flagstaff, Arizona. Job Description & Requirements Specialty: OR - Operating Room Discipline: RN Start Date: 07/06/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Assignment Overview Shift: Nights, 3x12hrs Hours: 36 hrs/wk Start Date: Jul 6, 2026 Length: 13 weeks Openings: 1 Description American Traveler is seeking an experienced OR RN Circulator for a Level I…","Travel Operating Room Registered Nurse Circulator - $2,218 per week","Bellemont, Coconino County",Adzuna::API::Response::Location,"['US', 'Arizona', 'Coconino County', 'Bellemont']",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,American Traveler,,
0.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NDU1MTEyMyIsInMiOiJVbWU5OExaaDhSR1R5YzE2QlhsSW9nIn0.MlmOcc8uymbHWfMT5HYZBs69fTWezoVzL34khVW_bs4,2026-06-06T10:36:07Z,https://www.adzuna.com/land/ad/5754551123?se=Ume98LZh8RGTyc16BXlIog&utm_medium=api&utm_source=abfa41a4&v=B9BC1F6640AD7A6380BC6C89D6D7323F208A4574,0,Adzuna::API::Response::Job,131196.0,5754551123,33.653232,-81.634936,"Vivian is looking for Travel Physical Therapist Therapys in Aiken, South Carolina paying up to $2,523/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover …","Travel Physical Therapist - Paying up to $2,523/week","Aiken, Aiken County",Adzuna::API::Response::Location,"['US', 'South Carolina', 'Aiken County', 'Aiken']",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,Vivian Health,,
0.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVW1lOThMWmg4UkdUeWMxNkJYbElvZyIsImkiOiI1NzU0NTUxMTIyIn0.S280KGz9t9PScQSdItM-bXJxNN2DLFy1xuvQltDNJx0,2026-06-06T10:36:07Z,https://www.adzuna.com/land/ad/5754551122?se=Ume98LZh8RGTyc16BXlIog&utm_medium=api&utm_source=abfa41a4&v=623246F5643C2ACB73B7C4FB290EC18DFFC74AE5,0,Adzuna::API::Response::Job,123552.0,5754551122,41.535709,-88.052092,"Vivian is looking for Travel Physical Therapist Therapys in Joliet, Illinois paying up to $2,376/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover jobs …","Travel Physical Therapist - Paying up to $2,376/week","Downtown Joliet, Will County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Will County', 'Downtown Joliet']",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,Vivian Health,,
47000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NDU1MTA3NSIsInMiOiJVbWU5OExaaDhSR1R5YzE2QlhsSW9nIn0.1ALDhrKicK-BpAEtm2-DvV8rGnbnXUCTt6mRocu57_U,2026-06-06T10:34:12Z,https://www.adzuna.com/land/ad/5754551075?se=Ume98LZh8RGTyc16BXlIog&utm_medium=api&utm_source=abfa41a4&v=0C0D7D5678650406A5CE975270CCCC83A222A593,0,Adzuna::API::Response::Job,57000.0,5754551075,33.89183,-117.93084,"Join American Medical Response (AMR), a national leader in medical transportation, as a Paramedic Basic. We offer a pivotal role in a dynamic environment, focusing on delivering emergency medical services and providing critical care on-site and en route to the hospital. Our team members are the first line of response during emergencies, equipped with the latest technology and training to provide top-tier medical support. As a Paramedic Basic, you will be responsible for responding swiftly to em…",Paramedic Basic,"Fullerton, Orange County",Adzuna::API::Response::Location,"['US', 'California', 'Orange County', 'Fullerton']",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,AMR,,
47000.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVW1lOThMWmg4UkdUeWMxNkJYbElvZyIsImkiOiI1NzU0NTUxMDM5In0.Oux2wv25RYP_K1NfbHp_UPxuO4KeUcjn1MrVKVGeiZc,2026-06-06T10:34:10Z,https://www.adzuna.com/land/ad/5754551039?se=Ume98LZh8RGTyc16BXlIog&utm_medium=api&utm_source=abfa41a4&v=A4E4662CC2A4B509162A7C114C48E342224E9967,0,Adzuna::API::Response::Job,57000.0,5754551039,33.86609,-117.92768,"Join American Medical Response (AMR), a national leader in medical transportation, as a Paramedic Basic. We offer a pivotal role in a dynamic environment, focusing on delivering emergency medical services and providing critical care on-site and en route to the hospital. Our team members are the first line of response during emergencies, equipped with the latest technology and training to provide top-tier medical support. As a Paramedic Basic, you will be responsible for responding swiftly to em…",Paramedic Basic,"Anaheim, Orange County",Adzuna::API::Response::Location,"['US', 'California', 'Orange County', 'Anaheim']",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Company,AMR,,
63000.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVW1lOThMWmg4UkdUeWMxNkJYbElvZyIsImkiOiI1NzU0NTUwODI3In0.tc_zS0UxjhJqqoJR6x7BfKREP4c3Aonj4MVtsUqksXU,2026-06-06T10:33:39Z,https://www.adzuna.com/land/ad/5754550827?se=Ume98LZh8RGTyc16BXlIog&utm_medium=api&utm_source=abfa41a4&v=AF2199EE96A7E07BBE2C00DCF301C368704AB8AC,0,Adzuna::API::Response::Job,80000.0,5754550827,42.525278,-73.609468,"As a Fleet Supervisor at UniFirst, you will play a crucial role in ensuring the efficiency and reliability of our fleet operations, which are pivotal to delivering exceptional service to our customers across the United States, Europe, and Canada. You will oversee the maintenance, compliance, and cost-efficiency of our vehicle fleet, while also ensuring that our transportation services adhere to company standards and regulatory requirements. Manage day-to-day operations of the fleet including ro…",Fleet Supervisor- UniFirst,"Nassau, Rensselaer County",Adzuna::API::Response::Location,"['US', 'New York', 'Rensselaer County', 'Nassau']",Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Adzuna::API::Response::Company,UniFirst,,
63000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NDU1MDgyMyIsInMiOiJVbWU5OExaaDhSR1R5YzE2QlhsSW9nIn0.Sn87kb3uOSFsBfRnZDSXeTnnxYqCubfl9GIkYCXA6Jc,2026-06-06T10:33:38Z,https://www.adzuna.com/land/ad/5754550823?se=Ume98LZh8RGTyc16BXlIog&utm_medium=api&utm_source=abfa41a4&v=A6CCD49670A3DDD6C899A16BD09F33B5C3DA46F4,0,Adzuna::API::Response::Job,80000.0,5754550823,42.287054,-73.317945,"As a Fleet Supervisor at UniFirst, you will play a crucial role in ensuring the efficiency and reliability of our fleet operations, which are pivotal to delivering exceptional service to our customers across the United States, Europe, and Canada. You will oversee the maintenance, compliance, and cost-efficiency of our vehicle fleet, while also ensuring that our transportation services adhere to company standards and regulatory requirements. Manage day-to-day operations of the fleet including ro…",Fleet Supervisor- UniFirst,"Stockbridge, Berkshire County",Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Berkshire County', 'Stockbridge']",Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Adzuna::API::Response::Company,UniFirst,,
63000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NDU1MDgyNCIsInMiOiJVbWU5OExaaDhSR1R5YzE2QlhsSW9nIn0.RRv_Cc2neey7YT5fQaho4SqTvgPkAOanfcotBbdZ8Mk,2026-06-06T10:33:38Z,https://www.adzuna.com/land/ad/5754550824?se=Ume98LZh8RGTyc16BXlIog&utm_medium=api&utm_source=abfa41a4&v=BDD93345A047D5F8ADA61A51BB34DD98363B834F,0,Adzuna::API::Response::Job,80000.0,5754550824,42.31599,-73.45481,"As a Fleet Supervisor at UniFirst, you will play a crucial role in ensuring the efficiency and reliability of our fleet operations, which are pivotal to delivering exceptional service to our customers across the United States, Europe, and Canada. You will oversee the maintenance, compliance, and cost-efficiency of our vehicle fleet, while also ensuring that our transportation services adhere to company standards and regulatory requirements. Manage day-to-day operations of the fleet including ro…",Fleet Supervisor- UniFirst,"West Stockbridge, Berkshire County",Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Berkshire County', 'West Stockbridge']",Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Adzuna::API::Response::Company,UniFirst,,
63000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NDU1MDgxOCIsInMiOiJVbWU5OExaaDhSR1R5YzE2QlhsSW9nIn0.YnvAI-bl20k4rbcULvhEKVgVrwywSyK_MgBJgr5qtp0,2026-06-06T10:33:38Z,https://www.adzuna.com/land/ad/5754550818?se=Ume98LZh8RGTyc16BXlIog&utm_medium=api&utm_source=abfa41a4&v=5ACF6016E301E34024D93619A64EF73890510306,0,Adzuna::API::Response::Job,80000.0,5754550818,42.395426,-74.192315,"As a Fleet Supervisor at UniFirst, you will play a crucial role in ensuring the efficiency and reliability of our fleet operations, which are pivotal to delivering exceptional service to our customers across the United States, Europe, and Canada. You will oversee the maintenance, compliance, and cost-efficiency of our vehicle fleet, while also ensuring that our transportation services adhere to company standards and regulatory requirements. Manage day-to-day operations of the fleet including ro…",Fleet Supervisor- UniFirst,"Durham, Greene County",Adzuna::API::Response::Location,"['US', 'New York', 'Greene County', 'Durham']",Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Adzuna::API::Response::Company,UniFirst,,
63000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NDU1MDgyNiIsInMiOiJVbWU5OExaaDhSR1R5YzE2QlhsSW9nIn0.2Tw0oCwRxgvfKOWRkLzeakHmddkxM_QK3V6riVmUEXc,2026-06-06T10:33:38Z,https://www.adzuna.com/land/ad/5754550826?se=Ume98LZh8RGTyc16BXlIog&utm_medium=api&utm_source=abfa41a4&v=BCD04F4AC310F57B9B2A381FF2A55B1C65521332,0,Adzuna::API::Response::Job,80000.0,5754550826,42.434049,-73.556978,"As a Fleet Supervisor at UniFirst, you will play a crucial role in ensuring the efficiency and reliability of our fleet operations, which are pivotal to delivering exceptional service to our customers across the United States, Europe, and Canada. You will oversee the maintenance, compliance, and cost-efficiency of our vehicle fleet, while also ensuring that our transportation services adhere to company standards and regulatory requirements. Manage day-to-day operations of the fleet including ro…",Fleet Supervisor- UniFirst,"East Chatham, Columbia County",Adzuna::API::Response::Location,"['US', 'New York', 'Columbia County', 'East Chatham']",Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,Adzuna::API::Response::Company,UniFirst,,
