id,salary_max,salary_is_predicted,latitude,created,__CLASS__,description,contract_type,adref,longitude,title,salary_min,redirect_url,company.display_name,company.__CLASS__,category.__CLASS__,category.tag,category.label,location.display_name,location.__CLASS__,location.area,contract_time
5755531422,24720.71,1,39.599479,2026-06-07T10:56:25Z,Adzuna::API::Response::Job,"Registered Nurse Intensive Care Unit (ICU) Position Type: Travel Contract Length: 13 weeks Pay: $1824 - $2198 | Shift: 3x12 Nights Are you a dedicated ICU nurse seeking your next rewarding opportunity? Do you excel in high-pressure environments where your skills make a life-saving difference? Join our healthcare partner in Mattoon, IL, where your expertise will be valued and your career can thrive. As an ICU Registered Nurse, you will play a critical role in delivering exceptional care to patie…",contract,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NTUzMTQyMiIsInMiOiJrZ2hRSllGaThSR0hrNW1yY0V3MF9RIn0.kVP2EzZFBTU2enmC5M3lfs9w40ezq_8vonBlyxKYU-o,-88.607839,ICU Registered Nurse (RN) - NOC Contract,24720.71,https://www.adzuna.com/land/ad/5755531422?se=kghQJYFi8RGHk5mrcEw0_Q&utm_medium=api&utm_source=abfa41a4&v=08E2D77A1A6746897613DBE96F5FE5EC0DD8A5F9,Capstone Healthcare Staffing,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"Sullivan, Moultrie County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Moultrie County', 'Sullivan']",
5755531410,10394.98,1,33.663032,2026-06-07T10:56:24Z,Adzuna::API::Response::Job,"Travel Stepdown RN Company: Fusion Medical Staffing Location: Facility in Paris, Texas Job Details Fusion Medical Staffing is seeking a skilled Stepdown RN for a 13-week travel assignment in Paris, Texas. As a member of our team, you‘ll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year of recent experience as a Stepdown RN Current Valid RN…",,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NTUzMTQxMCIsInMiOiJrZ2hRSllGaThSR0hrNW1yY0V3MF9RIn0.HQly266GRKdUJ0d_Pzyclv13BoHGqGyHGWwWfu4HFe8,-95.544169,Travel PCU Stepdown RN,10394.98,https://www.adzuna.com/land/ad/5755531410?se=kghQJYFi8RGHk5mrcEw0_Q&utm_medium=api&utm_source=abfa41a4&v=23ED572A2010E6521B529E2D1F6DD5D466D3E45E,Fusion Medical Staffing,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"Reno, Lamar County",Adzuna::API::Response::Location,"['US', 'Texas', 'Lamar County', 'Reno']",full_time
5755531348,33193.79,1,41.712509,2026-06-07T10:56:20Z,Adzuna::API::Response::Job,"Travel ER RN Company: Fusion Medical Staffing Location: Facility in Willimantic, Connecticut Job Details Fusion Medical Staffing is seeking a skilled ER RN for a 13-week travel assignment in Willimantic, Connecticut. As a member of our team, you‘ll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year of recent experience as an ER RN Valid RN …",,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia2doUUpZRmk4UkdIazVtcmNFdzBfUSIsImkiOiI1NzU1NTMxMzQ4In0.d21At8KUOT9cb6RUyUpiiGFdABs74IEQz_xX_fFKe_w,-72.209222,Travel ER RN,33193.79,https://www.adzuna.com/land/ad/5755531348?se=kghQJYFi8RGHk5mrcEw0_Q&utm_medium=api&utm_source=abfa41a4&v=46662356A3197A9FCC99A01B2E900978036A07BC,Fusion Medical Staffing,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"Chestnut Hill, Windham County",Adzuna::API::Response::Location,"['US', 'Connecticut', 'Windham County', 'Chestnut Hill']",full_time
5755531337,112900.7,1,36.922407,2026-06-07T10:56:19Z,Adzuna::API::Response::Job,"Overview: What We Offer Our Oral Surgery Dental Providers Daily compensation of $1,000-$4,000 - structured as the greater of a guaranteed daily minimum or a percentage of adjusted production Flexible scheduling: 1-2 days per month, built around your existing dental practice No lab fees Company-paid malpractice insurance 401(k) About This Dental Oral Surgery Opportunity Work for a company that is truly making the world a happier place, one smile at a time! At Benevis, we create over a million sm…",,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia2doUUpZRmk4UkdIazVtcmNFdzBfUSIsImkiOiI1NzU1NTMxMzM3In0.K6VfTXxqDJyBEz5GdB0ejxsCBMFaV9_pZKBG44PzY20,-80.325572,Dentist (Oral Surgery),112900.7,https://www.adzuna.com/land/ad/5755531337?se=kghQJYFi8RGHk5mrcEw0_Q&utm_medium=api&utm_source=abfa41a4&v=7031397DC57A4A8180A1F312AA8C1F54F2FE7C3D,Spencer Dental & Braces - a Benevis company,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"Floyd, Floyd County",Adzuna::API::Response::Location,"['US', 'Virginia', 'Floyd County', 'Floyd']",full_time
5755531329,101799.73,1,40.518616,2026-06-07T10:56:19Z,Adzuna::API::Response::Job,"Travel CT Tech Company: Fusion Medical Staffing Location: Facility in Altoona, Pennsylvania Job Details Fusion Medical Staffing is seeking a skilled CT Tech for a 13-week travel assignment in Altoona, Pennsylvania. As a member of our team, you‘ll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year of recent experience as a CT Technologist Va…",,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NTUzMTMyOSIsInMiOiJrZ2hRSllGaThSR0hrNW1yY0V3MF9RIn0.NKEg2f9lAx98Lv5FmuDR8p-Vibs5gCiErhZbMZNg_7E,-78.405722,Travel CT Technologist,101799.73,https://www.adzuna.com/land/ad/5755531329?se=kghQJYFi8RGHk5mrcEw0_Q&utm_medium=api&utm_source=abfa41a4&v=37A0570D948F99E19CA0E53306A3C75B861C70B7,Fusion Medical Staffing,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"Altoona, Blair County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Blair County', 'Altoona']",full_time
5755531316,95915.59,1,39.635336,2026-06-07T10:56:16Z,Adzuna::API::Response::Job,"Overview: Work for a company that is truly making the world a happier place, one smile at a time! At Benevis, we create over a million smiles a year in the communities we serve and believe that every person deserves access to quality, affordable dental care. This mission drives everything we do! With over 2000 employees in offices across the country from clinical to support staff - we are united in our mission to create happy, healthy smiles through providing high quality dental care to underse…",,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia2doUUpZRmk4UkdIazVtcmNFdzBfUSIsImkiOiI1NzU1NTMxMzE2In0.Cyx9iTjYL0NVa51H4Rqk3z9Pa_x2pyemp_qx9FXDnT8,-86.86495,"Dentist - Up to $50,000 Sign On Bonus",95915.59,https://www.adzuna.com/land/ad/5755531316?se=kghQJYFi8RGHk5mrcEw0_Q&utm_medium=api&utm_source=abfa41a4&v=52086AD62AAB28798EC1ACC47D69D5FB8429E0DE,Pippin Dental & Braces - a Benevis company,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"Greencastle, Putnam County",Adzuna::API::Response::Location,"['US', 'Indiana', 'Putnam County', 'Greencastle']",full_time
5755531308,84051.0,1,39.73071,2026-06-07T10:56:15Z,Adzuna::API::Response::Job,"Job Description: The RN Hospital Care Manager I delivers comprehensive care management services to designated patients, leveraging clinical expertise for screenings, assessments, and evaluations. This role involves developing and implementing patient-centered care plans with shared goals and tailored interventions. The Care Manager collaborates seamlessly with patients, families/caregivers, healthcare providers, payers, community-based providers, and other stakeholders to ensure efficient, effe…",,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia2doUUpZRmk4UkdIazVtcmNFdzBfUSIsImkiOiI1NzU1NTMxMzA4In0.upD-70_x8ESurA_WYKSgOruGywAHbMwwrBKGnvV1Sew,-105.19608,RN Care Manager - Float,84051.0,https://www.adzuna.com/land/ad/5755531308?se=kghQJYFi8RGHk5mrcEw0_Q&utm_medium=api&utm_source=abfa41a4&v=2266407C3D01AD54A6DC3435F2FFA367A3037DFE,Intermountain Health,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"Golden, Jefferson County",Adzuna::API::Response::Location,"['US', 'Colorado', 'Jefferson County', 'Golden']",full_time
5755531255,203258.88,1,40.7361,2026-06-07T10:55:35Z,Adzuna::API::Response::Job,"Dental Hygienist – Renovo Prosthodontics – Salt Lake City, UT Renovo Prosthodontics, founded by Dr. Kellen McWhorter, is a specialty practice dedicated to delivering exceptional prosthodontic care in a personalized, patient-focused environment. Our team emphasizes clinical excellence, comfort, and building long-term patient relationships through thoughtful and precise care. We are seeking a licensed Dental Hygienist to join our team. To learn more about our practice, please visit: https://renov…",,eyJhbGciOiJIUzI1NiJ9.eyJzIjoia2doUUpZRmk4UkdIazVtcmNFdzBfUSIsImkiOiI1NzU1NTMxMjU1In0.KtPMOIABrtoU3WYmGHCZhSeaOHKR3TTAH2NM4lD54HM,-111.81718,Registered Dental Hygienist,203258.88,https://www.adzuna.com/land/ad/5755531255?se=kghQJYFi8RGHk5mrcEw0_Q&utm_medium=api&utm_source=abfa41a4&v=D78324F17F0AE2391C4452EACD5CA43DB22EA1F3,Renovo Prosthodontics,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"Fort Douglas, Salt Lake County",Adzuna::API::Response::Location,"['US', 'Utah', 'Salt Lake County', 'Fort Douglas']",part_time
5755531252,189839.19,1,47.213311,2026-06-07T10:55:35Z,Adzuna::API::Response::Job,"Our fantastic family practice in Auburn is looking for a long-term temporary dental hygienist to work 2-4 days a week to cover for maternity leave. Any dates available for coverage would be considered. The practice is open Monday-Thursday from 8am to 5pm. This is a Dentrix office that provides in-house CEREC crowns, uses digital radiographs, and mostly paperless. This well-established, two doctor practice prides itself in providing high quality dental care in a comfortable environment. Maternit…",contract,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NTUzMTI1MiIsInMiOiJrZ2hRSllGaThSR0hrNW1yY0V3MF9RIn0.vDwQMWLIQHnV_K3A6_hbplQw4XxcRxr28PXifPabsLc,-121.990548,Registered Dental Hygienist,189839.19,https://www.adzuna.com/land/ad/5755531252?se=kghQJYFi8RGHk5mrcEw0_Q&utm_medium=api&utm_source=abfa41a4&v=16DD28A2E187C815375FAA67A765F04280D3862E,Confidential Dental Practice,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"Enumclaw, King County",Adzuna::API::Response::Location,"['US', 'Washington', 'King County', 'Enumclaw']",full_time
5755531233,67691.83,1,35.061865,2026-06-07T10:55:34Z,Adzuna::API::Response::Job,"Travel Speech Language Pathologist Company: Fusion Medical Staffing Location: Facility in Inman, South Carolina Job Details Fusion Medical Staffing is seeking a skilled Speech Language Pathologist for a 13-week travel assignment in Inman, South Carolina. As a member of our team, you‘ll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: Valid Speech …",,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NTUzMTIzMyIsInMiOiJrZ2hRSllGaThSR0hrNW1yY0V3MF9RIn0.42NeTA3vakA7fQwY-pR17nLRVJ1v5ObjR7av_dfxe0Y,-82.060495,Travel Speech Language Pathologist (SLP),67691.83,https://www.adzuna.com/land/ad/5755531233?se=kghQJYFi8RGHk5mrcEw0_Q&utm_medium=api&utm_source=abfa41a4&v=D3DDA93D2ADC309AB4C25979A929FE248DB9D283,Fusion Medical Staffing,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"Inman, Spartanburg County",Adzuna::API::Response::Location,"['US', 'South Carolina', 'Spartanburg County', 'Inman']",full_time
