title,longitude,id,created,latitude,adref,redirect_url,contract_time,salary_min,description,salary_max,__CLASS__,salary_is_predicted,company.__CLASS__,company.display_name,category.tag,category.__CLASS__,category.label,location.display_name,location.__CLASS__,location.area,contract_type
Management Trainee,-107.904919,5757409267,2026-06-09T11:58:44Z,38.420953,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NzQwOTI2NyIsInMiOiJzUHFOd0IxazhSR3NOcjhFMlRZWVZRIn0.qULSz7T8nyfK6kksP5_gYx6HufEL5_b4JfJGiXWdbW4,https://www.adzuna.com/land/ad/5757409267?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=1A4E26DD7FF36C24B15DBA1AAFDDC36EDAAF3CD9,full_time,58984.23,"Overview Start your career with Enterprise Mobility! We’re hiring for our respected Management Training Program. Whether you see yourself in sales, business development, customer service, retail management, or operations, as a manager in training, you can count on a career path with a clear beginning and an open end that’s full of opportunities. With training, development, mentoring, and a culture of promotion from within, you’ll always be progressing in your career. This position is located in…",58984.23,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Enterprise,sales-jobs,Adzuna::API::Response::Category,Sales Jobs,"Montrose, Montrose County",Adzuna::API::Response::Location,"['US', 'Colorado', 'Montrose County', 'Montrose']",
Shift Leader,-94.411739,5757409266,2026-06-09T11:58:43Z,39.123348,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic1BxTndCMWs4UkdzTnI4RTJUWVlWUSIsImkiOiI1NzU3NDA5MjY2In0.rEj0Xha4sAZmtBuTNXHv0YMn8rKWI-HzpUPD44CFQws,https://www.adzuna.com/land/ad/5757409266?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=DEF3F1B796DB2C0812505D3E5E525C42A40DC93C,full_time,42791.59,"Job Summary The Shift Leader supervises shifts and/or work areas in the operation of a Papa John’s restaurant to ensure high quality products and customer service are delivered to ensure restaurant profitability. Other responsibilities include the management of operations including the execution of all Company policies, procedures, programs and systems. Ensure compliance with all federal, state and local laws and ethical business practices. Duties and Responsibilities Adheres to guidelines, tec…",42791.59,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Papa Johns,hospitality-catering-jobs,Adzuna::API::Response::Category,Hospitality & Catering Jobs,"Independence, Jackson County",Adzuna::API::Response::Location,"['US', 'Missouri', 'Jackson County', 'Independence']",
Customer Support Representative ($20 PH starting),-117.20095,5757409065,2026-06-09T11:58:06Z,32.894406,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic1BxTndCMWs4UkdzTnI4RTJUWVlWUSIsImkiOiI1NzU3NDA5MDY1In0.jU3pdbne55ycBA66EHha1bTt78nMqrvmc9HLXcOtIa0,https://www.adzuna.com/land/ad/5757409065?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=BA0AED6B7C2A8B586BC7F26174C9241CE7482F35,,41600.0,"This role requires the ability to work lawfully in the U.S. without employment-based immigration sponsorship, now or in the future. Imagine making a real difference for customers by guiding them through Spectrum’s Community Solutions products and services. If you thrive on solving problems and enjoy helping others, this customer service role offers an opportunity to build lasting relationships while expanding your knowledge of technology and account management. Your expertise and positive appro…",41600.0,Adzuna::API::Response::Job,0,Adzuna::API::Response::Company,SPECTRUM,customer-services-jobs,Adzuna::API::Response::Category,Customer Services Jobs,"La Jolla, San Diego County",Adzuna::API::Response::Location,"['US', 'California', 'San Diego County', 'La Jolla']",
Home Care Medical Biller Full-Time In Office,-82.388349,5757409042,2026-06-09T11:58:03Z,39.380815,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic1BxTndCMWs4UkdzTnI4RTJUWVlWUSIsImkiOiI1NzU3NDA5MDQyIn0.TrlKMOcvst3in6Gkx2FQs0hIoV7pCMQKl8sVXT-Gff8,https://www.adzuna.com/land/ad/5757409042?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=115AD978433805DADCFEB5DE9FF753A3CC4E99D2,full_time,47169.79,"Home Care Medical Biller Full-Time In Office Contract Details Location: Chillicothe, OH Employment Type: Full-Time Department: Home Care / Skilled Home Health Billing Schedule: Monday - Friday Pay Rate: $22.00 - $24.00 per hour (based on experience) Work Location: In Office Start Date: ASAP Employment Status: W2 Employee Requirements • Previous medical billing experience required • Experience with Home Care and/or Skilled Home Health billing required • Working knowledge of ICD-10 diagnosis codi…",47169.79,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Wise Medical Staffing,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Carbondale, Athens County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Athens County', 'Carbondale']",
Home Care Medical Biller Full-Time In Office,-82.407998,5757409041,2026-06-09T11:58:03Z,39.536779,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NzQwOTA0MSIsInMiOiJzUHFOd0IxazhSR3NOcjhFMlRZWVZRIn0.cZuaQ_ZMM1fsTdpf-UK-suYwU1isVXy5GzaEgVcvpek,https://www.adzuna.com/land/ad/5757409041?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=57E11DE8906F2AD873129F4E73B513D3803941DC,full_time,45548.8,"Home Care Medical Biller Full-Time In Office Contract Details Location: Chillicothe, OH Employment Type: Full-Time Department: Home Care / Skilled Home Health Billing Schedule: Monday - Friday Pay Rate: $22.00 - $24.00 per hour (based on experience) Work Location: In Office Start Date: ASAP Employment Status: W2 Employee Requirements • Previous medical billing experience required • Experience with Home Care and/or Skilled Home Health billing required • Working knowledge of ICD-10 diagnosis codi…",45548.8,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Wise Medical Staffing,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Logan, Hocking County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Hocking County', 'Logan']",
Home Care Medical Biller Full-Time In Office,-83.943736,5757409022,2026-06-09T11:58:03Z,39.682882,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic1BxTndCMWs4UkdzTnI4RTJUWVlWUSIsImkiOiI1NzU3NDA5MDIyIn0.EUQaksMZ1xTtsCuAFBzxoB1U4TMMfqzyUfKRpdKfJzI,https://www.adzuna.com/land/ad/5757409022?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=055EBF2F6F664EAE95E23D9FB8F2CC5B6C3E0E1B,full_time,46104.49,"Home Care Medical Biller Full-Time In Office Contract Details Location: Chillicothe, OH Employment Type: Full-Time Department: Home Care / Skilled Home Health Billing Schedule: Monday - Friday Pay Rate: $22.00 - $24.00 per hour (based on experience) Work Location: In Office Start Date: ASAP Employment Status: W2 Employee Requirements • Previous medical billing experience required • Experience with Home Care and/or Skilled Home Health billing required • Working knowledge of ICD-10 diagnosis codi…",46104.49,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Wise Medical Staffing,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Xenia, Greene County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Greene County', 'Xenia']",
Home Care Medical Biller Full-Time In Office,-83.748739,5757409018,2026-06-09T11:58:03Z,39.636391,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic1BxTndCMWs4UkdzTnI4RTJUWVlWUSIsImkiOiI1NzU3NDA5MDE4In0.Ym2mcHKrriMYixit9W6kSIIeNRtV-brHTuUmHD-I05s,https://www.adzuna.com/land/ad/5757409018?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=A2B3F23DBF1D005B245813FE518EEACFC0A83A0C,full_time,46480.18,"Home Care Medical Biller Full-Time In Office Contract Details Location: Chillicothe, OH Employment Type: Full-Time Department: Home Care / Skilled Home Health Billing Schedule: Monday - Friday Pay Rate: $22.00 - $24.00 per hour (based on experience) Work Location: In Office Start Date: ASAP Employment Status: W2 Employee Requirements • Previous medical billing experience required • Experience with Home Care and/or Skilled Home Health billing required • Working knowledge of ICD-10 diagnosis codi…",46480.18,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Wise Medical Staffing,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Jamestown, Greene County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Greene County', 'Jamestown']",
Facilities Maintenance Service Technician (Distribution Center),-74.65104,5757409014,2026-06-09T11:58:03Z,40.2222,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic1BxTndCMWs4UkdzTnI4RTJUWVlWUSIsImkiOiI1NzU3NDA5MDE0In0.uVPFEvWd2ccCIUgjdQLlP054ne0jiB5D97EjQWBDK44,https://www.adzuna.com/land/ad/5757409014?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=46F0405AD4464734B1CD22E224ABCB1F263AA5AE,,79686.48,"McKesson is an impact-driven, Fortune 10 company that touches virtually every aspect of healthcare. We are known for delivering insights, products, and services that make quality care more accessible and affordable. Here, we focus on the health, happiness, and well-being of you and those we serve – we care. What you do at McKesson matters. We foster a culture where you can grow, make an impact, and are empowered to bring new ideas. Together, we thrive as we shape the future of health for patien…",79686.48,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,MCKESSON,engineering-jobs,Adzuna::API::Response::Category,Engineering Jobs,"Hamilton Square, Mercer County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Mercer County', 'Hamilton Square']",
Home Care Medical Biller Full-Time In Office,-82.775082,5757409016,2026-06-09T11:58:03Z,39.556078,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NzQwOTAxNiIsInMiOiJzUHFOd0IxazhSR3NOcjhFMlRZWVZRIn0.HvpuP9--SMlUS1yjYLSZhDqmNbOx0gLauGYONLRiD7s,https://www.adzuna.com/land/ad/5757409016?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=F0DFC5643DFC8168C4DFE741C7DD314318BE3F50,full_time,44596.51,"Home Care Medical Biller Full-Time In Office Contract Details Location: Chillicothe, OH Employment Type: Full-Time Department: Home Care / Skilled Home Health Billing Schedule: Monday - Friday Pay Rate: $22.00 - $24.00 per hour (based on experience) Work Location: In Office Start Date: ASAP Employment Status: W2 Employee Requirements • Previous medical billing experience required • Experience with Home Care and/or Skilled Home Health billing required • Working knowledge of ICD-10 diagnosis codi…",44596.51,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Wise Medical Staffing,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,"Tarlton, Pickaway County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Pickaway County', 'Tarlton']",
Home Care Medical Biller Full-Time In Office,,5757409049,2026-06-09T11:58:03Z,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NzQwOTA0OSIsInMiOiJzUHFOd0IxazhSR3NOcjhFMlRZWVZRIn0.jJUV2mexZE8wjF_-NewEvpyueBOD8F46OYdh3Xsl1s4,https://www.adzuna.com/land/ad/5757409049?se=sPqNwB1k8RGsNr8E2TYYVQ&utm_medium=api&utm_source=abfa41a4&v=076471C6CB842D65FD9F29943336D6A3E53727C3,full_time,46902.18,"Home Care Medical Biller Full-Time In Office Contract Details Location: Chillicothe, OH Employment Type: Full-Time Department: Home Care / Skilled Home Health Billing Schedule: Monday - Friday Pay Rate: $22.00 - $24.00 per hour (based on experience) Work Location: In Office Start Date: ASAP Employment Status: W2 Employee Requirements • Previous medical billing experience required • Experience with Home Care and/or Skilled Home Health billing required • Working knowledge of ICD-10 diagnosis codi…",46902.18,Adzuna::API::Response::Job,1,Adzuna::API::Response::Company,Wise Medical Staffing,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,US,Adzuna::API::Response::Location,['US'],
