salary_max,adref,salary_min,__CLASS__,title,description,salary_is_predicted,redirect_url,latitude,id,longitude,created,location.display_name,location.area,location.__CLASS__,category.label,category.tag,category.__CLASS__,company.display_name,company.__CLASS__,contract_type,contract_time
36132.2,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MDExMzgzNyIsInMiOiJCTzRTNjdabDhSRzFvNDRHUjBmWElnIn0.pl6OMuakwY5Od7KxzrY9JptxgLgxCwp4ke7cMZGghv8,36132.2,Adzuna::API::Response::Job,HUD Recertification Specialist,"Job Description Job Description We are seeking skilled and experienced HUD Recert Specialist for an apartment community in the North East, DC area. Our clients are looking for employees who have a great personality to make follow-up calls with prospects in the CRM queue, collect paperwork, process files. You will need to be familiar with affordable housing and how to qualify applicants. Qualifications: HUD leasing experience, Multi-family leasing experience; calling from the queue, scheduling t…",1,https://www.adzuna.com/land/ad/5760113837?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=3F90324649DBB2FD08725BE5F3E5DD7B17E97D27,38.912068,5760113837,-77.019023,2026-06-11T12:57:25Z,"Washington, Washington, D.C.","['US', 'Washington, D.C.', 'Washington']",Adzuna::API::Response::Location,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,Career Strategies - Alexandria,Adzuna::API::Response::Company,,
18538.77,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQk80UzY3Wmw4UkcxbzQ0R1IwZlhJZyIsImkiOiI1NzYwMTEzNzg0In0.QF_aASVqgobNKwoK2kNcV-ya-CzV2WFRwK9rtPB181A,18538.77,Adzuna::API::Response::Job,Line Cook at Captain Joe's Grill,"Job Description Job Description Captain Joe's Grill in Whitmore Lake, MI is looking for one line cook to join our 36 person strong team. We are located on 9901 N. Main. Our ideal candidate is attentive, motivated, and hard-working. Must have dependable means to get to work on a timely basis. Responsibilities Set up and stock stations with all necessary supplies Chop vegetables, prepare sauces and other food preparation. Cook menu items in cooperation with the rest of the kitchen staff Clean up …",1,https://www.adzuna.com/land/ad/5760113784?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=B4298E92ED01BA7311C3FCC0038B95A206104ADD,42.439479,5760113784,-83.74383,2026-06-11T12:57:18Z,"Whitmore Lake, Washtenaw County","['US', 'Michigan', 'Washtenaw County', 'Whitmore Lake']",Adzuna::API::Response::Location,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,Captain Joe's Grill,Adzuna::API::Response::Company,,
178779.81,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MDExMzc4NyIsInMiOiJCTzRTNjdabDhSRzFvNDRHUjBmWElnIn0.cvcOt60SHjbBqRIsY_JdM0YjshyYl6filaipZmm3Yuo,178779.81,Adzuna::API::Response::Job,Sr Java/Kotlin Backend Developer (ONLY locals to MN),"Title: Sr Java/Kotlin Backend Developer Location: Richfield, MN (Hybrid ) (only local candidates) Duration: 6 months contract What are the top five skills and number of years of experience required to perform this job? 12 years of backend development experience Strong Java/Kotlin and Spring Boot/WebFlux expertise Experience with microservices and REST API development Strong understanding of Kafka and event-driven architecture Knowledge of distributed systems, concurrency, and async processing S…",1,https://www.adzuna.com/land/ad/5760113787?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=BF3AADBC658CAD281CAA97B89F1C1B5242106764,44.883298,5760113787,-93.283002,2026-06-11T12:57:18Z,"Richfield, Hennepin County","['US', 'Minnesota', 'Hennepin County', 'Richfield']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,"Javen Technologies, Inc",Adzuna::API::Response::Company,,
130922.27,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MDExMzc4MyIsInMiOiJCTzRTNjdabDhSRzFvNDRHUjBmWElnIn0.Op7sznI0N2zeFIvBhv7dqjadPQ4Gx_hevnj5r-LopVk,130922.27,Adzuna::API::Response::Job,Data Engineering Testing Architect,"Role: Data Engineering Testing Architect Location: Halifax, CA (Remote) Type: Contract Job Summary: The Data Engineering Testing Architect is a senior role responsible for defining and driving the enterprise-wide testing strategy across modern data platforms, including data lakes, data warehouses, and data pipelines. This role ensures the reliability, scalability, and integrity of data systems by establishing robust validation frameworks, automation practices, and governance standards. The arch…",1,https://www.adzuna.com/land/ad/5760113783?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=B5EBD187AA148135025E25CE0861F84A039114CE,,5760113783,,2026-06-11T12:57:18Z,US,['US'],Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,"VDart, Inc.",Adzuna::API::Response::Company,,
134207.36,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MDExMzc3NiIsInMiOiJCTzRTNjdabDhSRzFvNDRHUjBmWElnIn0.mfp7-lZZfyzYa5FLXs5DoVmdyURAHO__eMHzXpAiXYM,134207.36,Adzuna::API::Response::Job,"Technical Product Owner (Only W2, Locals)","Role: Technical Product Owner Location: Cincinnati, OH - Onsite Pay Rate: $60-70/hour on W2, client will not consider C2C Analyze and breakdown market problems into prioritized, deliverable stories Manage multiple features at once and ensure work gets delivered in prioritized order Drive requirements gathering and definition as needed for stories Work closely with development teams to deliver stories that add customer value at a regular cadence Be involved with all phases of development (analys…",1,https://www.adzuna.com/land/ad/5760113776?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=6A5B2FAA4A709180B9F71282E50F70A0593D33CF,39.13662,5760113776,-84.43368,2026-06-11T12:57:18Z,"Hyde Park, Hamilton County","['US', 'Ohio', 'Hamilton County', 'Hyde Park']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,CBTS,Adzuna::API::Response::Company,,
53859.88,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQk80UzY3Wmw4UkcxbzQ0R1IwZlhJZyIsImkiOiI1NzYwMTEzNzYyIn0.t8X273Jveqw_emt8IhF62WBN6ks5I2B2spcmjlABHXA,53859.88,Adzuna::API::Response::Job,Staffing Specialist,"Job Description Job Description Staffing Specialist About LaborMax Staffing LaborMAX Staffing is a leading staffing agency specializing in general labor, skilled trades, and industrial staffing solutions. Our [branch location] office partners with businesses across construction, manufacturing, warehousing, and restoration to provide reliable workforce solutions. Position Overview We are seeking a motivated and detail-oriented Staffing Specialist to join our team. This role is responsible for sa…",1,https://www.adzuna.com/land/ad/5760113762?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=FF5835B64C87AAF9F038976E82B7AF99FA387AE5,36.830313,5760113762,-119.678888,2026-06-11T12:57:17Z,"Clovis, Fresno County","['US', 'California', 'Fresno County', 'Clovis']",Adzuna::API::Response::Location,HR & Recruitment Jobs,hr-jobs,Adzuna::API::Response::Category,"LaborMax - Fresno, CA",Adzuna::API::Response::Company,,
63203.28,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQk80UzY3Wmw4UkcxbzQ0R1IwZlhJZyIsImkiOiI1NzYwMTEzNzYwIn0.SptfB4BnT6e1YwrA8dd0Rhqt1k9ne1PaAyuHx1JQNf8,63203.28,Adzuna::API::Response::Job,Payroll Coordinator with some HR experience,"Job Description Job Description Hiring for a Payroll Specialist with some HR experience located in Mahwah, NJ area (fully on site). This individual will be responsible for processing payroll for over 300 employees, including both exempt and non-exempt staff, as well as administering monthly sales bonus payouts. The Payroll Specialist will oversee all aspects of payroll, including calculating bonuses, processing final paychecks, and handling year-end adjustments. In addition, this role may suppo…",1,https://www.adzuna.com/land/ad/5760113760?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=C9403586430E4B7FEE95A3F1D550ED16A66E4B75,41.082778,5760113760,-74.1875,2026-06-11T12:57:17Z,"Mahwah, Bergen County","['US', 'New Jersey', 'Bergen County', 'Mahwah']",Adzuna::API::Response::Location,Accounting & Finance Jobs,accounting-finance-jobs,Adzuna::API::Response::Category,A great organization!,Adzuna::API::Response::Company,,
133303.73,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQk80UzY3Wmw4UkcxbzQ0R1IwZlhJZyIsImkiOiI1NzYwMTEzNzYxIn0.MkcDFBGCq3x23_hRffDZPEPnSC7t2MQBmiSAhmA6Ej0,133303.73,Adzuna::API::Response::Job,Software Engineer,"Job Title: Software Engineer – Agentic Systems Location: Arlington, VA (Hybrid – 3 Days Onsite per Week) Job Type: Contract Top Skills: Agentic AI Systems | Java/Python | Distributed Systems | API Development | Microservices | Authentication & Authorization | Workflow Orchestration | Cloud Platforms Job Description: We are looking for a Software Engineer – Agentic Systems to design and build scalable enterprise applications that support AI agents, workflows, and automation platforms. The ideal …",1,https://www.adzuna.com/land/ad/5760113761?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=FDEDF302ED4EAED03605C49C9C162DC61A056551,38.886306,5760113761,-77.097739,2026-06-11T12:57:17Z,"State Farm, Arlington County","['US', 'Virginia', 'Arlington County', 'State Farm']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,Kanshe Infotech,Adzuna::API::Response::Company,,
143306.06,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MDExMzc0NSIsInMiOiJCTzRTNjdabDhSRzFvNDRHUjBmWElnIn0.QxYJ9ETezji_BPYQRFUyfZz-OguLAAvtN1u9dTZMGfU,143306.06,Adzuna::API::Response::Job,Sr. Level ICS Cyber Security Consultant,"Sr. Level ICS Cyber Security Consultant (Houston) Houston, TX (Locals only) Long Term Contract Job Description The Senior Analyst, Technology Security (ICS) reports to the Manager, Technology Security and is a technical expert for plant control systems networks and computing assets, ICS cybersecurity best practices and ICS cybersecurity compliance programs. The position is responsible for hands-on troubleshooting, administrating, supporting, maintaining and improving control system networks, co…",1,https://www.adzuna.com/land/ad/5760113745?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=7DD23EA7BBBED6EEBD21FEA7F125313F3071075F,29.6403,5760113745,-95.4359,2026-06-11T12:57:16Z,"Trammells, Harris County","['US', 'Texas', 'Harris County', 'Trammells']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,S Linx LLC,Adzuna::API::Response::Company,,
23286.76,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQk80UzY3Wmw4UkcxbzQ0R1IwZlhJZyIsImkiOiI1NzYwMTEzNzUzIn0.59xsRFKGEnAbtzT8qGLQgJnVNybP75izxgDkZ_8hZWA,23286.76,Adzuna::API::Response::Job,Line Cooks and Dishwashers,Job Description Job Description We are currently looking for motivated individuals interested in line cook and dishwasher positions to join our team! Stop in and fill out an application today! Possible interview upon application!,1,https://www.adzuna.com/land/ad/5760113753?se=BO4S67Zl8RG1o44GR0fXIg&utm_medium=api&utm_source=abfa41a4&v=6056BD887C63C4ACCCE441AB0BB1B7CB5328945C,40.321181,5760113753,-79.379481,2026-06-11T12:57:16Z,"Latrobe, Westmoreland County","['US', 'Pennsylvania', 'Westmoreland County', 'Latrobe']",Adzuna::API::Response::Location,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,Gino Giannillis Homestyle Pizza,Adzuna::API::Response::Company,,
