description,redirect_url,longitude,adref,latitude,salary_min,id,__CLASS__,title,created,salary_is_predicted,salary_max,company.__CLASS__,company.display_name,category.label,category.tag,category.__CLASS__,location.display_name,location.area,location.__CLASS__,contract_time,contract_type
"As a Registered Nurse Outpatient Burn Clinic, your voice to influence patient care is valued and empowered at every turn –whether through open, collaborative relationships with your direct manager or more formal opportunities through hospital councils and national nursing initiatives. You'll help shape decisions that elevate both patient outcomes and the future of nursing. Job Summary and Qualifications As a Registered Nurse in the Burn Clinic, you will be responsible for delivering high-qualit…",https://www.adzuna.com/details/5762626501?utm_medium=api&utm_source=abfa41a4,-98.107993,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNHFYV1NUbG44UkcwYnRHeHFISDNxdyIsImkiOiI1NzYyNjI2NTAxIn0.utKbjNSjgDiY-YPcqrLudCj6d73zuOY-XxzdE8mOI8M,29.692516,122173.3,5762626501,Adzuna::API::Response::Job,Registered Nurse Outpatient Burn Clinic,2026-06-13T10:55:45Z,1,122173.3,Adzuna::API::Response::Company,Methodist Hospital,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"Solms, Comal County","['US', 'Texas', 'Comal County', 'Solms']",Adzuna::API::Response::Location,,
"Careers With Purpose Sanford Health, the largest rural health system in the United States, is dedicated to transforming the health care experience and providing access to world-class health care in America’s heartland. Facility: Marsh Med Ctr Location: Marshfield, WI Address: 611 N St Joseph Ave, Marshfield, WI 54449, USA Shift: 8 Hours - Day Shifts Job Schedule: Full time Weekly Hours: 40.00 Salary Range: $26.00 - $41.50 Pay Info: $5,000 sign on bonus with a 2 year commitment! Department Detai…",https://www.adzuna.com/details/5762626499?utm_medium=api&utm_source=abfa41a4,-90.179186,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MjYyNjQ5OSIsInMiOiI0cVhXU1RsbjhSRzBidEd4cUhIM3F3In0.P7lIIV-gBQmaqdmL_HyCaAeAnX4awOE3kNOCJIJVQMQ,44.662074,75186.28,5762626499,Adzuna::API::Response::Job,Dietitian- Full Time,2026-06-13T10:55:43Z,1,75186.28,Adzuna::API::Response::Company,Marshfield Clinic,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"Marshfield, Wood County","['US', 'Wisconsin', 'Wood County', 'Marshfield']",Adzuna::API::Response::Location,full_time,contract
"Careers With Purpose Join our not-for-profit organization that has provided over 100 years of housing and services to seniors with a commitment to quality care and service in a Christian environment. Facility: GSS MN Battle Lake Ctr Location: Battle Lake, MN Address: 105 Glenhaven Dr, Battle Lake, MN 56515, USA Shift: 8 Hours - Night Shifts Job Schedule: Full time Weekly Hours: 30.00 Department Details Join our team as a full time CNA - Certified Nursing Assistant at the Assisted Living! Job Su…",https://www.adzuna.com/details/5762626486?utm_medium=api&utm_source=abfa41a4,-95.711117,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNHFYV1NUbG44UkcwYnRHeHFISDNxdyIsImkiOiI1NzYyNjI2NDg2In0.sGmXunbhBWZlKHOaDij2vAo3AyCq3inpV9CKdKD9sH4,46.29831,61895.29,5762626486,Adzuna::API::Response::Job,CNA - Full Time Overnights - Assisted Living,2026-06-13T10:55:25Z,1,61895.29,Adzuna::API::Response::Company,Good Samaritan,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"Battle Lake, Otter Tail County","['US', 'Minnesota', 'Otter Tail County', 'Battle Lake']",Adzuna::API::Response::Location,full_time,
"When you join the Animal Medical Clinic of Orlando, you are aligning yourself with a practice dedicated to providing exceptional small animal care. Our commitment to excellence is reflected not only in our official AAHA accreditation but also in the tangible trust of the community, which has honored us with an outstanding 4.8-star Google rating. We know that doing your best work requires a supportive, collaborative environment where every role matters. This is your chance to bring your skills t…",https://www.adzuna.com/details/5762626487?utm_medium=api&utm_source=abfa41a4,-81.356629,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MjYyNjQ4NyIsInMiOiI0cVhXU1RsbjhSRzBidEd4cUhIM3F3In0.xqBvvnkE8WIS8kBNQHl2Ze_OQ3w0vJY6rw_MDmHjTrM,28.51275,107394.45,5762626487,Adzuna::API::Response::Job,Veterinarian,2026-06-13T10:55:25Z,1,107394.45,Adzuna::API::Response::Company,Animal Medical Clinic of Orlando,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"Edgewood, Orange County","['US', 'Florida', 'Orange County', 'Edgewood']",Adzuna::API::Response::Location,full_time,contract
"RN Assistant Director of Nursing (ADON) Are you an experienced Registered Nurse (RN) who thrives on leading, mentoring, and driving clinical excellence? Do you want to make a meaningful impact in the lives of residents, families, and your nursing team every single day? If so, we invite you to explore an exciting leadership opportunity as an RN Assistant Director of Nursing (ADON) at Touchstone Communities. This is more than just a job—it’s a chance to grow your career in long-term care leadersh…",https://www.adzuna.com/details/5762626485?utm_medium=api&utm_source=abfa41a4,-97.784605,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNHFYV1NUbG44UkcwYnRHeHFISDNxdyIsImkiOiI1NzYyNjI2NDg1In0.jd5807b3AHjeAUu3zOM013NzvV3Uh9E43YVWG0Kn5nY,31.132521,80134.74,5762626485,Adzuna::API::Response::Job,RN Assistant Director of Nursing,2026-06-13T10:55:25Z,1,80134.74,Adzuna::API::Response::Company,Touchstone Communities,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"Fort Hood, Bell County","['US', 'Texas', 'Bell County', 'Fort Hood']",Adzuna::API::Response::Location,full_time,
"Mixed Shift-Must have OR Circulating experience and Must be able to take call Stroke response times nearly half of the national average. Cutting-edge SPOT Technology that detects sepsis earlier than the human eye. An Enhanced Surgical Recovery program that reduces opioid prescriptions and post-surgical readmissions. As a national learning health system, we're transforming care delivery, advancing clinical outcomes, and empowering our nursing teams in a collaborative effort to give people a heal…",https://www.adzuna.com/details/5762626475?utm_medium=api&utm_source=abfa41a4,-98.4891,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNHFYV1NUbG44UkcwYnRHeHFISDNxdyIsImkiOiI1NzYyNjI2NDc1In0.jPqRYI8-NFOqHzTUwENBvdDze_AwPjmajuNWpiipEGc,29.46216,84353.02,5762626475,Adzuna::API::Response::Job,Registered Nurse RN Operating Room,2026-06-13T10:55:24Z,1,84353.02,Adzuna::API::Response::Company,Methodist Hospital Metropolitan,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"Olmos Park, Bexar County","['US', 'Texas', 'Bexar County', 'Olmos Park']",Adzuna::API::Response::Location,,
"Hours of Work : 7pm-7am Days Of Week : 3-12 hr/week Work Shift : 12X3 Night (United States of America) Job Description : Your Job: Registered nurse renders highly professional and technical nursing care to assigned patients. Provides direct and indirect patient care using the nursing process (assessment, planning, implementation, and evaluation). Directs and supervises other assigned team members and collaborates with multidisciplinary team members to provide age/developmentally appropriate car…",https://www.adzuna.com/details/5762626466?utm_medium=api&utm_source=abfa41a4,-96.5524,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MjYyNjQ2NiIsInMiOiI0cVhXU1RsbjhSRzBidEd4cUhIM3F3In0.1nLcKNH9QkN8UZ0uf3yrE-lptIzjf21Jsp_l8bxO5iE,32.9302,36929.56,5762626466,Adzuna::API::Response::Job,Registered Nurse - Emergency Department - Nights 10K Sign-on Bonus,2026-06-13T10:55:23Z,1,36929.56,Adzuna::API::Response::Company,Methodist Health System,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"Rowlett, Dallas","['US', 'Texas', 'Dallas', 'Rowlett']",Adzuna::API::Response::Location,full_time,
"RN Assistant Director of Nursing (ADON) Are you an experienced Registered Nurse (RN) who thrives on leading, mentoring, and driving clinical excellence? Do you want to make a meaningful impact in the lives of residents, families, and your nursing team every single day? If so, we invite you to explore an exciting leadership opportunity as an RN Assistant Director of Nursing (ADON) at Touchstone Communities. This is more than just a job—it’s a chance to grow your career in long-term care leadersh…",https://www.adzuna.com/details/5762626454?utm_medium=api&utm_source=abfa41a4,-97.556545,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MjYyNjQ1NCIsInMiOiI0cVhXU1RsbjhSRzBidEd4cUhIM3F3In0.MUA3dEMl9u3j9reh0-1EHN78VXcgHiKRZ_fsEotrkgE,30.951105,75895.02,5762626454,Adzuna::API::Response::Job,RN Assistant Director of Nursing,2026-06-13T10:55:13Z,1,75895.02,Adzuna::API::Response::Company,Touchstone Communities,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"Salado, Bell County","['US', 'Texas', 'Bell County', 'Salado']",Adzuna::API::Response::Location,full_time,
"RN Assistant Director of Nursing (ADON) Are you an experienced Registered Nurse (RN) who thrives on leading, mentoring, and driving clinical excellence? Do you want to make a meaningful impact in the lives of residents, families, and your nursing team every single day? If so, we invite you to explore an exciting leadership opportunity as an RN Assistant Director of Nursing (ADON) at Touchstone Communities. This is more than just a job—it’s a chance to grow your career in long-term care leadersh…",https://www.adzuna.com/details/5762626453?utm_medium=api&utm_source=abfa41a4,-97.327377,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2MjYyNjQ1MyIsInMiOiI0cVhXU1RsbjhSRzBidEd4cUhIM3F3In0.yn1fe_csd-rzNC90gDIOQKVS3K5jS5-AmIngq15pNIA,31.078792,73354.51,5762626453,Adzuna::API::Response::Job,RN Assistant Director of Nursing,2026-06-13T10:55:10Z,1,73354.51,Adzuna::API::Response::Company,Touchstone Communities,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"Heidenheimer, Bell County","['US', 'Texas', 'Bell County', 'Heidenheimer']",Adzuna::API::Response::Location,full_time,
"We are seeking dedicated professionals to join Lakeland Veterinary Hospital, where a culture of compassionate care meets professional excellence. Our mission is to provide outstanding patient outcomes, a commitment reflected in the trust the community shows us through our excellent 4.9-star Google rating. We prioritize a highly supportive environment where every member of our team feels valued and heard, allowing you to focus completely on medicine. This is your opportunity to join a high-quali…",https://www.adzuna.com/details/5762626452?utm_medium=api&utm_source=abfa41a4,-81.91458,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNHFYV1NUbG44UkcwYnRHeHFISDNxdyIsImkiOiI1NzYyNjI2NDUyIn0.HnhUg6afoA669aSXPoeSj2Ma_GSAEgcTjEWj3CCA4do,27.96642,116559.34,5762626452,Adzuna::API::Response::Job,Veterinarian,2026-06-13T10:55:10Z,1,116559.34,Adzuna::API::Response::Company,Lakeland Veterinary Hospital,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"Highland City, Polk County","['US', 'Florida', 'Polk County', 'Highland City']",Adzuna::API::Response::Location,full_time,contract
