salary_min,longitude,created,salary_max,salary_is_predicted,__CLASS__,redirect_url,description,title,latitude,adref,id,location.area,location.__CLASS__,location.display_name,company.display_name,company.__CLASS__,category.tag,category.__CLASS__,category.label,contract_time,contract_type
67687.89,-122.52204,2026-06-15T13:57:56Z,67687.89,1,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5764524868?se=gkCz-eNo8RGjKJIWHOfiKg&utm_medium=api&utm_source=abfa41a4&v=F5A3FDB2D8E9C928D91420B187C15858F61BDE32,"Travel Rad Tech Company: Fusion Medical Staffing Location: Facility in Lakewood, Washington Job Details Fusion Medical Staffing is seeking a skilled Rad Tech for a 13-week travel assignment in Lakewood, Washington. As a member of our team, you'll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year's experience as Radiologic Technologist Curr…",Travel Radiologic Technologist,47.17488,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ2tDei1lTm84UkdqS0pJV0hPZmlLZyIsImkiOiI1NzY0NTI0ODY4In0.FFrBEkeudco6jSKFRG5WdLovXnyctr8hvR6r4a1nWSQ,5764524868,"['US', 'Washington', 'Pierce County', 'Lakewood']",Adzuna::API::Response::Location,"Lakewood, Pierce County",Fusion Medical Staffing,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
71941.6,-81.22068,2026-06-15T13:57:55Z,71941.6,1,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5764524867?se=gkCz-eNo8RGjKJIWHOfiKg&utm_medium=api&utm_source=abfa41a4&v=A3F8C94C7330DD2D105AF8BE37AE18DB8BB068BE,"Travel Rad Tech Company: Fusion Medical Staffing Location: Facility in Beckley, West Virginia Job Details Fusion Medical Staffing is seeking a skilled Rad Tech for a 13-week travel assignment in Beckley, West Virginia. As a member of our team, you'll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year's experience as Radiologic Technologist …",Travel Radiologic Technologist,37.80936,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2NDUyNDg2NyIsInMiOiJna0N6LWVObzhSR2pLSklXSE9maUtnIn0.7tm6w-cIv6OMi974yiTPYDywiBdxPCJaKJd9N7P3zwQ,5764524867,"['US', 'West Virginia', 'Raleigh County', 'Prosperity']",Adzuna::API::Response::Location,"Prosperity, Raleigh County",Fusion Medical Staffing,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
32055.1,-88.83564,2026-06-15T13:57:32Z,32055.1,1,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5764524858?se=gkCz-eNo8RGjKJIWHOfiKg&utm_medium=api&utm_source=abfa41a4&v=483093EA8638963417245CAC13C89A5C9511B4D5,"We. Are. OneStaff. Medical. An independently-owned, nationally-recognized and amazingly awesome staffing firm ready to work for you! A work ethic forged in the Midwest, we are here to stand by your side and help you find your dream assignment anywhere in this great country. We want the same like-minded, awesome candidates to travel with us. Be bold. Enjoy work again. Let us help. THE POSITION: Skilled Nurses work with complex wound dressings, rehabilitation, tube feedings or rapidly changing he…",Travel Registered Nurse RN Skilled Nursing,41.37612,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ2tDei1lTm84UkdqS0pJV0hPZmlLZyIsImkiOiI1NzY0NTI0ODU4In0.qraM3A-DYfEmZV7hfUOGw5WSx9P45apumdjetXYBUGU,5764524858,"['US', 'Illinois', 'LaSalle County', 'Ottawa']",Adzuna::API::Response::Location,"Ottawa, LaSalle County",OneStaffMedical,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
70833.55,-83.223199,2026-06-15T13:57:19Z,70833.55,1,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5764524842?se=gkCz-eNo8RGjKJIWHOfiKg&utm_medium=api&utm_source=abfa41a4&v=485353EDAD986B169BB5A2198ABC79100E25A9FA,"Take your CDL-A career further! Our drivers work hard to move, supply, and provide for America's favorite brands. Being reliable and dedicated to safety has defined our success as an industry leader for 130 years. Join McLane and discover the driving difference-we provide you with industry-leading pay, strong and secure client relationships, and get you home safely and more often. That's why our drivers build long-lasting careers with us. Benefits you can count on: Average Annual Income: CDL A …","CDL A Delivery Truck Driver - $5,000 Sign-On Bonus",32.597694,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2NDUyNDg0MiIsInMiOiJna0N6LWVObzhSR2pLSklXSE9maUtnIn0.zr2R1MlTFvY43S6xZzwZ1TfOyZ71lvF6qz5SrKvYUVM,5764524842,"['US', 'Georgia', 'Wilkinson County', 'Allentown']",Adzuna::API::Response::Location,"Allentown, Wilkinson County","Mclane Company, Inc.",Adzuna::API::Response::Company,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,full_time,
70800.52,-83.048127,2026-06-15T13:57:19Z,70800.52,1,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5764524853?se=gkCz-eNo8RGjKJIWHOfiKg&utm_medium=api&utm_source=abfa41a4&v=34FBE6E60EC26BA9972CEDB73EDA7B56999497D4,"Take your CDL-A career further! Our drivers work hard to move, supply, and provide for America's favorite brands. Being reliable and dedicated to safety has defined our success as an industry leader for 130 years. Join McLane and discover the driving difference-we provide you with industry-leading pay, strong and secure client relationships, and get you home safely and more often. That's why our drivers build long-lasting careers with us. Benefits you can count on: Average Annual Income: CDL A …","CDL A Delivery Truck Driver - $5,000 Sign-On Bonus",32.426729,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ2tDei1lTm84UkdqS0pJV0hPZmlLZyIsImkiOiI1NzY0NTI0ODUzIn0.YRhCbSDlBH49kEAYsazFb8BdEQmtazIUMOMA4zjpDKU,5764524853,"['US', 'Georgia', 'Laurens County', 'Dexter']",Adzuna::API::Response::Location,"Dexter, Laurens County","Mclane Company, Inc.",Adzuna::API::Response::Company,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,full_time,
69302.58,-84.10557,2026-06-15T13:57:19Z,69302.58,1,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5764524843?se=gkCz-eNo8RGjKJIWHOfiKg&utm_medium=api&utm_source=abfa41a4&v=B5882A4410508A298C6D43BAFEE1ED82C951325C,"Take your CDL-A career further! Our drivers work hard to move, supply, and provide for America's favorite brands. Being reliable and dedicated to safety has defined our success as an industry leader for 130 years. Join McLane and discover the driving difference-we provide you with industry-leading pay, strong and secure client relationships, and get you home safely and more often. That's why our drivers build long-lasting careers with us. Benefits you can count on: Average Annual Income: CDL A …","CDL A Delivery Truck Driver - $5,000 Sign-On Bonus",33.357524,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2NDUyNDg0MyIsInMiOiJna0N6LWVObzhSR2pLSklXSE9maUtnIn0.z53Nws5eYhyeSwixPNAfH5be7LuygLSPg8uZ7u16YWU,5764524843,"['US', 'Georgia', 'Henry County', 'Locust Grove']",Adzuna::API::Response::Location,"Locust Grove, Henry County","Mclane Company, Inc.",Adzuna::API::Response::Company,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,full_time,
72639.77,-83.998169,2026-06-15T13:57:19Z,72639.77,1,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5764524846?se=gkCz-eNo8RGjKJIWHOfiKg&utm_medium=api&utm_source=abfa41a4&v=81C0BA1248F7A860008F4D1A9E77F86F80E1C85D,"Take your CDL-A career further! Our drivers work hard to move, supply, and provide for America's favorite brands. Being reliable and dedicated to safety has defined our success as an industry leader for 130 years. Join McLane and discover the driving difference-we provide you with industry-leading pay, strong and secure client relationships, and get you home safely and more often. That's why our drivers build long-lasting careers with us. Benefits you can count on: Average Annual Income: CDL A …","CDL A Delivery Truck Driver - $5,000 Sign-On Bonus",32.296118,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ2tDei1lTm84UkdqS0pJV0hPZmlLZyIsImkiOiI1NzY0NTI0ODQ2In0.Sc70IKZ3LVs2pvBSC7pXpUffFPf1G17WxjkTRBVSF98,5764524846,"['US', 'Georgia', 'Macon County', 'Montezuma']",Adzuna::API::Response::Location,"Montezuma, Macon County","Mclane Company, Inc.",Adzuna::API::Response::Company,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,full_time,
73900.51,-83.906563,2026-06-15T13:57:19Z,73900.51,1,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5764524844?se=gkCz-eNo8RGjKJIWHOfiKg&utm_medium=api&utm_source=abfa41a4&v=BC5DB965A17784E942FB0BF7E99C5F16CEE4AB09,"Take your CDL-A career further! Our drivers work hard to move, supply, and provide for America's favorite brands. Being reliable and dedicated to safety has defined our success as an industry leader for 130 years. Join McLane and discover the driving difference-we provide you with industry-leading pay, strong and secure client relationships, and get you home safely and more often. That's why our drivers build long-lasting careers with us. Benefits you can count on: Average Annual Income: CDL A …","CDL A Delivery Truck Driver - $5,000 Sign-On Bonus",32.209932,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2NDUyNDg0NCIsInMiOiJna0N6LWVObzhSR2pLSklXSE9maUtnIn0.KqYSiS1hz2wUheIO7YInc85XQhho2jedKoS24w80yW4,5764524844,"['US', 'Georgia', 'Dooly County', 'Byromville']",Adzuna::API::Response::Location,"Byromville, Dooly County","Mclane Company, Inc.",Adzuna::API::Response::Company,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,full_time,
71739.35,-83.87773,2026-06-15T13:57:19Z,71739.35,1,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5764524847?se=gkCz-eNo8RGjKJIWHOfiKg&utm_medium=api&utm_source=abfa41a4&v=25C766B9ECAB07F6CCF20C23825DC04A15FBABE6,"Take your CDL-A career further! Our drivers work hard to move, supply, and provide for America's favorite brands. Being reliable and dedicated to safety has defined our success as an industry leader for 130 years. Join McLane and discover the driving difference-we provide you with industry-leading pay, strong and secure client relationships, and get you home safely and more often. That's why our drivers build long-lasting careers with us. Benefits you can count on: Average Annual Income: CDL A …","CDL A Delivery Truck Driver - $5,000 Sign-On Bonus",32.1469,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2NDUyNDg0NyIsInMiOiJna0N6LWVObzhSR2pLSklXSE9maUtnIn0.ozZDqgFQ9RoSILwDnzXTDMZiji4f-JEX3j7fMrtV_tM,5764524847,"['US', 'Georgia', 'Dooly County', 'Lilly']",Adzuna::API::Response::Location,"Lilly, Dooly County","Mclane Company, Inc.",Adzuna::API::Response::Company,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,full_time,
74433.61,-83.637528,2026-06-15T13:57:19Z,74433.61,1,Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5764524845?se=gkCz-eNo8RGjKJIWHOfiKg&utm_medium=api&utm_source=abfa41a4&v=36C3F53868DE61D2E37103747653A97181782213,"Take your CDL-A career further! Our drivers work hard to move, supply, and provide for America's favorite brands. Being reliable and dedicated to safety has defined our success as an industry leader for 130 years. Join McLane and discover the driving difference-we provide you with industry-leading pay, strong and secure client relationships, and get you home safely and more often. That's why our drivers build long-lasting careers with us. Benefits you can count on: Average Annual Income: CDL A …","CDL A Delivery Truck Driver - $5,000 Sign-On Bonus",33.163817,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ2tDei1lTm84UkdqS0pJV0hPZmlLZyIsImkiOiI1NzY0NTI0ODQ1In0.4SBKmklTkkonq-5SCxqev4hQT4GuyC-0uUz9S5O8J6s,5764524845,"['US', 'Georgia', 'Jasper County', 'Hillsboro']",Adzuna::API::Response::Location,"Hillsboro, Jasper County","Mclane Company, Inc.",Adzuna::API::Response::Company,logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,full_time,
