description,__CLASS__,latitude,redirect_url,salary_min,created,salary_max,longitude,adref,salary_is_predicted,id,title,category.label,category.tag,category.__CLASS__,location.__CLASS__,location.display_name,location.area,company.__CLASS__,company.display_name,contract_time,contract_type
"Role : Senior Databricks AI Engineer Exp : 14 Years Location : Dallas, TX or Atlanta, GA (Onsite) - Locals Skills Required: Need a very strong Databricks AI SME with Strong background in Databricks Platform Expertise, AI & Generative AI Development and AI Application Development. AI Application Development Design and develop AI-powered applications including: Conversational AI Assistants Enterprise Knowledge Assistants Document Intelligence Solutions AI Search Applications Customer Support Copi…",Adzuna::API::Response::Job,32.760168,https://www.adzuna.com/land/ad/5768231261?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=EF8876A76086C17B3A95C08D41226A2EB9173FE4,97903.85,2026-06-18T12:29:23Z,97903.85,-96.765058,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2ODIzMTI2MSIsInMiOiJpbmY2VFRScjhSRzVSY2U0ajA5ZHR3In0.BmmC0ouSrEgGIa56DDsDzKfBDTDbEcXlHEJOWik7xIk,1,5768231261,"Senior Databricks AI Engineer.(14 Years)(TX, GA -Locals)",IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Highland Park, Dallas","['US', 'Texas', 'Dallas', 'Highland Park']",Adzuna::API::Response::Company,3S Business Corporation Inc.,,
"Job Title : Salesforce Business Analyst Job Location: New York, NY (Remote) Job Duration : 3-6 Months Skill Cluster : SF-Business Analyst. Primary Skill : Business Analysis, Service Cloud, Discovery Job Description : Following are the JD requirements.Years of SF delivery experience in agile deliveryYears of experience as a client-facing functional lead in charge of other BAsHealth Cloud exp is a huge plusSome SF configuration or admin abilities are a huge plusFamiliar with APIs and integrations…",Adzuna::API::Response::Job,40.75284,https://www.adzuna.com/land/ad/5768231266?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=A5A990F75A66ABB8836BBF249428DF0A5B29C864,174694.02,2026-06-18T12:29:23Z,174694.02,-73.97528,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2ODIzMTI2NiIsInMiOiJpbmY2VFRScjhSRzVSY2U0ajA5ZHR3In0._iNgFr4Psece1VrG7MaYdnDQIPH49872xEq7jWTRChs,1,5768231266,Salesforce Business Analyst,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Grand Central, Manhattan","['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']",Adzuna::API::Response::Company,"TekLeaders, Inc",,
"Role: Scrum Master Locations: Charlotte, NC Job Description: Key Responsibilities Facilitate Scrum ceremonies including Sprint Planning, Daily Stand-ups, Sprint Reviews, and Retrospectives Coach teams on Agile principles, Scrum best practices, and continuous improvement Track sprint progress, team velocity, risks, dependencies, and delivery milestones Collaborate with Product Owners, Business Analysts, Architects, and Development teams to ensure successful delivery outcomes Identify and remove …",Adzuna::API::Response::Job,35.2268,https://www.adzuna.com/land/ad/5768231268?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=4867B14E36A187DE6FEF3703DEFBC12D88929F44,104388.6,2026-06-18T12:29:23Z,104388.6,-80.8432,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaW5mNlRUUnI4Ukc1UmNlNGowOWR0dyIsImkiOiI1NzY4MjMxMjY4In0.W5jkNuG0C_l4_9EqHtoJpq7t8MHU2x6xUtbVOqCsQDo,1,5768231268,Scrum Master,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Charlotte, Mecklenburg County","['US', 'North Carolina', 'Mecklenburg County', 'Charlotte']",Adzuna::API::Response::Company,P2PSoftTek Inc,,
"We are seeking a pragmatic, partnership-oriented Salesforce Solution Architect to serve as a key technical advisor during this transformation. The role will work closely with business leaders, IT, Operations, Quality, Finance, commercial teams, and implementation partners to ensure that Salesforce architecture decisions support scalable operations, reliable enterprise data flow, and long-term platform governance. This is not a standard CRM-only Salesforce role. The Architect will help shape a S…",Adzuna::API::Response::Job,39.04,https://www.adzuna.com/land/ad/5768231248?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=34DD71062C68240CC665636FB939F796F5EACB9F,106687.53,2026-06-18T12:29:22Z,106687.53,-77.481,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaW5mNlRUUnI4Ukc1UmNlNGowOWR0dyIsImkiOiI1NzY4MjMxMjQ4In0.E3jQ6RaE6XgmmHqy0uxhYNROktyLNOyeOYs7X-n0zYY,1,5768231248,Salesforce Solution Architect (VISA INDEPENDENT CANDIDATES ONLY),IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Ashburn, Loudoun County","['US', 'Virginia', 'Loudoun County', 'Ashburn']",Adzuna::API::Response::Company,SumasEdge Corporation,,
"Platform Engineer Introduction: The Platform Engineer will play a crucial role in designing, building, and managing scalable platform infrastructure on AWS. They will be responsible for supporting Amazon EKS clusters, optimizing AWS services, configuring Kubernetes components, and implementing secure application configurations. The ideal candidate will have hands-on experience with AWS, Kubernetes, and Terraform. Responsibilities: Designing, building, and operating scalable platform infrastruct…",Adzuna::API::Response::Job,40.676603,https://www.adzuna.com/land/ad/5768231252?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=194FA4C77B636EFC1BF69309FE89AAB8EAFD15E6,135616.31,2026-06-18T12:29:22Z,135616.31,-74.432146,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaW5mNlRUUnI4Ukc1UmNlNGowOWR0dyIsImkiOiI1NzY4MjMxMjUyIn0.uYYu1CTN1Ld9u22LJUg_cIe70e5yebH15qN0B3_7KvI,1,5768231252,Platform Engineer,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Berkeley Heights, Union County","['US', 'New Jersey', 'Union County', 'Berkeley Heights']",Adzuna::API::Response::Company,Redrouthu's Inc,,
"ONLY W2, NO C2C Job Title IT Project Manager Washington, DC can be fully remote on a contract through year-end (end of December 2026) 12 months contract Job Description We re looking for an experienced IT Project Manager, ideally with over 7 years of experience, to lead data quality initiatives and some Salesforce (Service Cloud) implementation projects. Questions and answers with Manager: 1. Is the PM primarily focused on cleaning/migrating legacy data, or are they tasked with building a long-…",Adzuna::API::Response::Job,,https://www.adzuna.com/land/ad/5768231254?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=C000C6723F1065637B5F55658816E77723D6C090,123430.5,2026-06-18T12:29:22Z,123430.5,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaW5mNlRUUnI4Ukc1UmNlNGowOWR0dyIsImkiOiI1NzY4MjMxMjU0In0.g4P46yMobFLR_NN3OvyxbYiZYR1bByU5pUANmSaSI-A,1,5768231254,IT Project Manager,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,US,['US'],Adzuna::API::Response::Company,"Innovative Information Technologies, Inc",,
"Job Title: Component Engineer Location: Irvine, CA (100% Onsite from Day 1) Employment Type: Contract Experience Required: 12 Years Interview Process: Face-to-Face Interview Required Local Candidates Only | No Relocation Job Summary We are seeking an experienced Component Engineer to support product development, design transfer, and manufacturing readiness activities for complex hardware products. The ideal candidate will have a strong background in component engineering, lifecycle management, …",Adzuna::API::Response::Job,33.6698,https://www.adzuna.com/land/ad/5768231243?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=B4AF5B115F4A37775AEA60EA219ED4A0243D17BE,104719.34,2026-06-18T12:29:21Z,104719.34,-117.7646,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaW5mNlRUUnI4Ukc1UmNlNGowOWR0dyIsImkiOiI1NzY4MjMxMjQzIn0.4iLV-OcbQGdwVqrc4X92UQTLo4FfJvTjCp_PpfXO5Ls,1,5768231243,"Component Engineer_Irvine, CA_(Onsite_Need Local_No Relocation_F2F interview)",Engineering Jobs,engineering-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"East Irvine, Orange County","['US', 'California', 'Orange County', 'East Irvine']",Adzuna::API::Response::Company,Arbor Tek Systems,,
"Stefanini Group is hiring! Stefanini is looking for DevOps Engineer/Business Subject Matter Expert in Dover, DE (Hybrid) For quick Apply, please reach out to Utkarsh Singh - call: / email: Work Hours: M-F (37.5 hours) (Weekends if required) Work Location: Dover, DE (Hybrid - once or twice a month, could change in the future) Candidate must be local (Must be within 90 minutes from Dover DE) We are seeking a highly skilled Platform/Observability Engineer to design, implement, and support enterpri…",Adzuna::API::Response::Job,39.165778,https://www.adzuna.com/land/ad/5768231241?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=4710D9AE839DC15BB7BA9A4830C6A017C6D5C6AA,126614.86,2026-06-18T12:29:20Z,126614.86,-75.566083,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaW5mNlRUUnI4Ukc1UmNlNGowOWR0dyIsImkiOiI1NzY4MjMxMjQxIn0.5RmNTpWn9PlH4uNKHJM1XCSVEFXmIRNrCQepNyw9DuI,1,5768231241,DevOps Engineer,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Wyoming, Kent County","['US', 'Delaware', 'Kent County', 'Wyoming']",Adzuna::API::Response::Company,Stefanini,,
"Job Description: Must Have Technical/Functional Skills Experience with PLM software like 3DX, Teamcenter PLM experience on aerospace process / certification and knowledge of products. Experience in executing projects in Agile Framework Background in engineering, IT, or product data management, with experience in PLM customization and integration. Strong analytical and problem-solving skills. Key Responsibilities Backlog & Strategy: Define, prioritize, and maintain the PLM product roadmap and ba…",Adzuna::API::Response::Job,46.377423,https://www.adzuna.com/land/ad/5768231234?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=A0681F6B826A4EFBBCFECC0050EBFEA9B66445BF,173528.88,2026-06-18T12:29:19Z,173528.88,-124.046583,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaW5mNlRUUnI4Ukc1UmNlNGowOWR0dyIsImkiOiI1NzY4MjMxMjM0In0.kem8W3s-FbRz_28K8gKX9SWZTG4dMMqO5BsLo_ZT9TI,1,5768231234,PLM Product Owner,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Long Beach, Pacific County","['US', 'Washington', 'Pacific County', 'Long Beach']",Adzuna::API::Response::Company,Talentrix AI INC,,
"Job Title: Senior .NET Core Developer Location: Carrollton, TX Duration: 12-Month Contract-to-Hire Job Description We are seeking a highly skilled Senior .NET Core Developer to join a large-scale application modernization initiative. The selected candidate will play a key role in migrating multiple client-facing and internal enterprise applications from legacy platforms to .NET Core . This is an excellent opportunity to work on a high-impact digital transformation project within a collaborative…",Adzuna::API::Response::Job,32.95362,https://www.adzuna.com/land/ad/5768231229?se=inf6TTRr8RG5Rce4j09dtw&utm_medium=api&utm_source=abfa41a4&v=20B41596A279DD15EA700C491627833F4D9AF641,114724.03,2026-06-18T12:29:19Z,114724.03,-96.88998,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2ODIzMTIyOSIsInMiOiJpbmY2VFRScjhSRzVSY2U0ajA5ZHR3In0.zyGND1PSzuP1c73UjRkYmIXi_gmhSmO74P_-myUEpxM,1,5768231229,Senior .NET Core Developer,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Location,"Farmers Branch, Dallas","['US', 'Texas', 'Dallas', 'Farmers Branch']",Adzuna::API::Response::Company,Sriven Systems Inc.,,
