latitude,salary_max,adref,id,redirect_url,salary_is_predicted,created,salary_min,description,__CLASS__,title,longitude,location.display_name,location.area,location.__CLASS__,category.tag,category.__CLASS__,category.label,company.display_name,company.__CLASS__,contract_time,contract_type
36.077005,107915.49,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQnJtNndibHM4UkdNaF8xNzNRZDN5USIsImkiOiI1NzcwODA0Mzc0In0.MR-zooTTWlIFmLTHTlzYVMzLRNHr78I0T5PP-XLTpC8,5770804374,https://www.adzuna.com/land/ad/5770804374?se=Brm6wbls8RGMh_173Qd3yQ&utm_medium=api&utm_source=abfa41a4&v=CA6CF0296B276D356E3DF6538091670E670D33C9,1,2026-06-20T11:04:07Z,107915.49,"Job Description Trustaff is seeking a travel nurse RN ICU - Intensive Care Unit for a travel nursing job in Dickson, Tennessee. Job Description & Requirements Specialty: ICU - Intensive Care Unit Discipline: RN Start Date: ASAP Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel As an ICU RN, you'll provide hands-on care for critically ill patients. Intensive Care nurses must be able to assess, plan, and implement care strategies for patients who may suffer from…",Adzuna::API::Response::Job,Travel Nurse RN - ICU - Intensive Care Unit,-87.38779,"Dickson, Dickson County","['US', 'Tennessee', 'Dickson County', 'Dickson']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Trustaff,Adzuna::API::Response::Company,,
43.613657,161398.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQnJtNndibHM4UkdNaF8xNzNRZDN5USIsImkiOiI1NzcwODA0MzcwIn0.rue55CoGI8dkYMrzV9lHy3vDrOu47Yx9jbcxEefGHQQ,5770804370,https://www.adzuna.com/land/ad/5770804370?se=Brm6wbls8RGMh_173Qd3yQ&utm_medium=api&utm_source=abfa41a4&v=0E95033B8D948B28AF97C961854856A1DA07D23D,1,2026-06-20T11:04:06Z,161398.0,"Job Description Host Healthcare is seeking a local contract nurse RN OR - Operating Room for a local contract nursing job in Boise, Idaho. Job Description & Requirements Specialty: OR - Operating Room Discipline: RN Start Date: 06/28/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Local Contract Host Healthcare Job ID La1fVX000003YL1vYAG. Pay package is based on 12 hour shifts and 36 hours per week (subject to confirmation) with tax-free stipend amount to be det…",Adzuna::API::Response::Job,Local Contract OR Registered Nurse,-116.217354,"Boise, Ada County","['US', 'Idaho', 'Ada County', 'Boise']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Host Healthcare,Adzuna::API::Response::Company,,
43.613657,128909.48,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQnJtNndibHM4UkdNaF8xNzNRZDN5USIsImkiOiI1NzcwODA0MzY5In0.I44kS0Hjd55dbNpfIpvJauTuGGFu6R1uByabmv7GOnc,5770804369,https://www.adzuna.com/land/ad/5770804369?se=Brm6wbls8RGMh_173Qd3yQ&utm_medium=api&utm_source=abfa41a4&v=AFFF08A4EC4E799CC44B93222CF3EB783DF61E99,1,2026-06-20T11:04:06Z,128909.48,"Job Description GHR Healthcare is seeking a travel nurse RN OR - Operating Room for a travel nursing job in Boise, Idaho. Job Description & Requirements Specialty: OR - Operating Room Discipline: RN Start Date: 06/28/2026 Duration: 12 weeks 36 hours per week Shift: 12 hours Employment Type: Travel GHR Healthcare Job ID 78410267. Pay package is based on 12 hour shifts and 36 hours per week (subject to confirmation) with tax-free stipend amount to be determined. About GHR Healthcare For over 30 y…",Adzuna::API::Response::Job,Travel OR Registered Nurse,-116.217354,"Boise, Ada County","['US', 'Idaho', 'Ada County', 'Boise']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,GHR Healthcare,Adzuna::API::Response::Company,,
33.45,82004.73,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQnJtNndibHM4UkdNaF8xNzNRZDN5USIsImkiOiI1NzcwODA0MzUzIn0.Sr7T7aDzahtkzAmylvAnDvrwtuTx51f6K-31Krw2IHk,5770804353,https://www.adzuna.com/land/ad/5770804353?se=Brm6wbls8RGMh_173Qd3yQ&utm_medium=api&utm_source=abfa41a4&v=F7782CB33D9050AF59CE02BE4ADE92B1EC53F378,1,2026-06-20T11:04:03Z,82004.73,"Job Description Stability Healthcare is seeking a local contract nurse RN Interventional Radiology for a local contract nursing job in Phoenix, Arizona. Job Description & Requirements Specialty: Interventional Radiology Discipline: RN Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Local Contract Stability Healthcare is looking for a Interventional Radiology RN contract position in Phoenix, AZ. The main goal of radiology nurses is patient safety. They monitor and ass…",Adzuna::API::Response::Job,Local Contract Nurse RN - Interventional Radiology,-112.07,"Phoenix, Maricopa County","['US', 'Arizona', 'Maricopa County', 'Phoenix']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Stability Healthcare,Adzuna::API::Response::Company,,
43.582956,38117.82,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3MDgwNDM1MiIsInMiOiJCcm02d2JsczhSR01oXzE3M1FkM3lRIn0.NVituq6k4DK9uf47lDSLegW_enQ1K603XACr5RJp7MU,5770804352,https://www.adzuna.com/land/ad/5770804352?se=Brm6wbls8RGMh_173Qd3yQ&utm_medium=api&utm_source=abfa41a4&v=BEC3DD92B2AB5D1A477480DC2AE4FC64252D5372,1,2026-06-20T11:04:03Z,38117.82,"Job Description First Connect Health is seeking a travel nurse RN Outpatient Surgery for a travel nursing job in Midland, Michigan. Job Description & Requirements Specialty: Outpatient Surgery Discipline: RN Start Date: 07/06/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel Hiring – Registered Nurse (RN) – Outpatient - QUICK OFFER  Midland, MI  Pay Package Gross Weekly: $1,895/week W2: $20.00/hr Stipend: $1,175/week Requirements: ✔ 2 years of RN experience…",Adzuna::API::Response::Job,Travel Nurse RN - Outpatient Surgery,-84.351332,"Midland, Midland County","['US', 'Michigan', 'Midland County', 'Midland']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,First Connect Health,Adzuna::API::Response::Company,,
42.487495,88856.27,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQnJtNndibHM4UkdNaF8xNzNRZDN5USIsImkiOiI1NzcwODA0MzUwIn0.2cgnFWXzDEUiSQ7sI08QOK-rJ-WFUwGe8x0PjpSRfXg,5770804350,https://www.adzuna.com/land/ad/5770804350?se=Brm6wbls8RGMh_173Qd3yQ&utm_medium=api&utm_source=abfa41a4&v=FA6D255455C93310ACAF6C460DB5B91FDFAB58B8,1,2026-06-20T11:04:01Z,88856.27,"Job Description Compunnel Healthcare is seeking a travel nurse RN Med Surg for a travel nursing job in Dakota Dunes, South Dakota. Job Description & Requirements Specialty: Med Surg Discipline: RN Start Date: ASAP Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel • Minimum 1 year of experience in Med Surg specialty • Active RN License • BLS & CPI required Compunnel Healthcare Job ID 30752. Pay package is based on 12 hour shifts and 36 hours per week (subject t…",Adzuna::API::Response::Job,Travel Nurse RN - Med Surg,-96.48642,"Dakota Dunes, Union County","['US', 'South Dakota', 'Union County', 'Dakota Dunes']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Compunnel Healthcare,Adzuna::API::Response::Company,,
39.57178,166396.86,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQnJtNndibHM4UkdNaF8xNzNRZDN5USIsImkiOiI1NzcwODA0MzQ0In0.HLcjANI4Z6HKlQNMpvE094I7pU0qgtSp6OsbDRL_AFQ,5770804344,https://www.adzuna.com/land/ad/5770804344?se=Brm6wbls8RGMh_173Qd3yQ&utm_medium=api&utm_source=abfa41a4&v=AD01A06FC1A953214BA27290008DD2D0234C9152,1,2026-06-20T11:04:00Z,166396.86,"Job Description Malone Healthcare - Nursing is seeking a travel Cath Lab Radiology Technologist for a travel job in Salem, Massachusetts. Job Description & Requirements Specialty: Cath Lab Radiology Technologist Discipline: Allied Health Professional Start Date: 07/27/2026 Duration: 13 weeks 40 hours per week Shift: 10 hours, days Employment Type: Travel About Malone Healthcare - Nursing With a commitment to providing a higher standard of service and experience in patient care, Malone Healthcar…",Adzuna::API::Response::Job,Travel Cath Lab Radiology Technologist,-75.467142,"Salem, Salem County","['US', 'New Jersey', 'Salem County', 'Salem']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Malone Healthcare - Nursing,Adzuna::API::Response::Company,,
36.46154,269343.84,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQnJtNndibHM4UkdNaF8xNzNRZDN5USIsImkiOiI1NzcwODA0MzM3In0.5s8eqxSdr7bURIej6cWBUxfpqxtDYlHFYLzp0aWODi4,5770804337,https://www.adzuna.com/land/ad/5770804337?se=Brm6wbls8RGMh_173Qd3yQ&utm_medium=api&utm_source=abfa41a4&v=25DC1CCD1F53BEFBFFB825B7476E2CA7D385BFCA,1,2026-06-20T11:04:00Z,269343.84,"Job Description HCS 247 Travel is seeking a travel Ultrasound Technologist for a travel job in Roanoke Rapids, North Carolina. Job Description & Requirements Specialty: Ultrasound Technologist Discipline: Allied Health Professional Start Date: 06/29/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel Aggressive Compensation Packages Lodging Per-Diem for those who qualify Meals and Incidentals Allowance for those who qualify Travel Expense Allowance for those …",Adzuna::API::Response::Job,Travel Ultrasound Technologist,-77.654146,"Roanoke Rapids, Halifax County","['US', 'North Carolina', 'Halifax County', 'Roanoke Rapids']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,HCS 247 Travel,Adzuna::API::Response::Company,,
48.512605,131478.19,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQnJtNndibHM4UkdNaF8xNzNRZDN5USIsImkiOiI1NzcwODA0MzM0In0.aRcPL5g_EbjW1pSLffXXUob33-4PMUImttReaUrk2-4,5770804334,https://www.adzuna.com/land/ad/5770804334?se=Brm6wbls8RGMh_173Qd3yQ&utm_medium=api&utm_source=abfa41a4&v=5F924BD0CF88D8C4144D1A28B81A144F2DDC98BF,1,2026-06-20T11:03:59Z,131478.19,"Job Description LRS Healthcare - Travel Nursing is seeking a travel nurse RN Med Surg for a travel nursing job in Anacortes, Washington. Job Description & Requirements Specialty: Med Surg Discipline: RN Start Date: 07/06/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel LRS Healthcare - Travel Nursing Job ID 42-49380. Pay package is based on 12 hour shifts and 36 hours per week (subject to confirmation) with tax-free stipend amount to be determined. About L…",Adzuna::API::Response::Job,Travel Nurse RN - Med Surg,-122.612672,"Anacortes, Skagit County","['US', 'Washington', 'Skagit County', 'Anacortes']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,LRS Healthcare - Travel Nursing,Adzuna::API::Response::Company,,
37.221944,170470.42,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3MDgwNDMzMyIsInMiOiJCcm02d2JsczhSR01oXzE3M1FkM3lRIn0.miNS1xQe5y0Ds24rh9LBN1iOj-uQt6gnKr2KLR8ot74,5770804333,https://www.adzuna.com/land/ad/5770804333?se=Brm6wbls8RGMh_173Qd3yQ&utm_medium=api&utm_source=abfa41a4&v=4C2F1C77D6A978808825913315CA50CA9741FA95,1,2026-06-20T11:03:59Z,170470.42,"Job Description HCS 247 Travel is seeking a travel nurse RN CVOR for a travel nursing job in Lawton, Oklahoma. Job Description & Requirements Specialty: CVOR Discipline: RN Start Date: 07/13/2026 Duration: 13 weeks 40 hours per week Shift: 9 hours, days Employment Type: Travel Aggressive Compensation Packages Lodging Per-Diem for those who qualify Meals and Incidentals Allowance for those who qualify Travel Expense Allowance for those who qualify Medical Dental and Vision Benefits available (Fo…",Adzuna::API::Response::Job,Travel Operating Room Registered Nurse,-94.635833,"Lawton, Cherokee County","['US', 'Kansas', 'Cherokee County', 'Lawton']",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,HCS 247 Travel,Adzuna::API::Response::Company,,
