salary_max,salary_is_predicted,id,title,redirect_url,salary_min,created,adref,description,latitude,__CLASS__,contract_time,longitude,location.__CLASS__,location.area,location.display_name,category.tag,category.__CLASS__,category.label,company.__CLASS__,company.display_name,contract_type
106000.0,0,5771795267,CDL-A Company Driver - 6mo EXP Required - Regional - Flatbed - $106k per year - Decker,https://www.adzuna.com/land/ad/5771795267?se=YBdO8YNt8RGl0MKcaJBBpg&utm_medium=api&utm_source=abfa41a4&v=131A40E2377A3984BE25E71FD85D0A7B79480A37,0.0,2026-06-21T11:07:36Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUJkTzhZTnQ4UkdsME1LY2FKQkJwZyIsImkiOiI1NzcxNzk1MjY3In0.ppKmGhmD6uAySHUWk3HArgb1T-NELp-7YDSoKwkrtSg,"Hiring Regional Midwest Flatbed Drivers, Experienced or Ready to Learn. Now Hiring Regional Midwest Flatbed Drivers – Experienced or Ready to Learn! Looking for a career where you can grow your skills, earn top pay, and still be home on weekends? At Decker Truck Line, we’re hiring regional flatbed drivers and will train motivated drivers with at least 6 months of recent tractor-trailer experience. Whether you’re experienced in flatbed or looking to expand your driving career, this is your chanc…",41.532334,Adzuna::API::Response::Job,full_time,-83.139878,Adzuna::API::Response::Location,"['US', 'Ohio', 'Ottawa County', 'Oak Harbor']","Oak Harbor, Ottawa County",travel-jobs,Adzuna::API::Response::Category,Travel Jobs,Adzuna::API::Response::Company,Decker,
104000.0,0,5771795243,CDL-A Company Driver - 1yr EXP Required - Regional - Dry Van - $1.4k - $2k per week - Premier Transportation,https://www.adzuna.com/land/ad/5771795243?se=YBdO8YNt8RGl0MKcaJBBpg&utm_medium=api&utm_source=abfa41a4&v=FE999631530B2F87AF6F36F05F62A4C0E1971890,72800.0,2026-06-21T11:07:28Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUJkTzhZTnQ4UkdsME1LY2FKQkJwZyIsImkiOiI1NzcxNzk1MjQzIn0.uGJgQkpK6AbwS3zVH6-SkCcvgdSuP_YgIqM7y9sWnb8,"CDL-A Regional Drivers | Earn $1,400-$1,600/Week | Home Weekly. Tired of sacrificing home time for a paycheck? At Premier Transportation, you don't have to choose. Join a driver-focused carrier offering steady miles, modern equipment, and predictable home time. Whether you prefer staying in the Southeast, running a larger regional footprint, or maximizing earnings with OTR miles, we have a package that fits your lifestyle. Why Drivers Choose Premier ✅ 2,500 Miles Per Week ✅ Assigned 2022–2026 A…",34.2417,Adzuna::API::Response::Job,full_time,-77.9436,Adzuna::API::Response::Location,"['US', 'North Carolina', 'New Hanover County', 'Wilmington']","Wilmington, New Hanover County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Company,Premier Transportation,
100000.0,0,5771795237,Local Truck Driver - 1yr EXP Required - Reefer - $80k - $100k per year - Golden State Foods/ QCD,https://www.adzuna.com/land/ad/5771795237?se=YBdO8YNt8RGl0MKcaJBBpg&utm_medium=api&utm_source=abfa41a4&v=D047BE2DB07BDBC69FA2A3500913BA65EC90A919,80000.0,2026-06-21T11:07:28Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUJkTzhZTnQ4UkdsME1LY2FKQkJwZyIsImkiOiI1NzcxNzk1MjM3In0.FWIvHyURWagxiIlCydqayq7-M2dD6H7yvL_FrGclMm8,"CDL A Delivery Driver - Hiring Event. QCD Hiring Event: CDL-A Local Delivery Drivers Quality Custom Distribution is hiring Class A Delivery Drivers at our Romeoville, IL location. Date: June 24th (9am-5pm) Location: 175 South Creek Pkwy, Romeoville, IL Please bring an updated resume to give to the Hiring Manager. Walk-ins without an RSVP are not guaranteed an on-the-spot interview. To RSVP: Apply to this posting and complete the short application. A recruiter will contact you for a brief prescr…",41.8782,Adzuna::API::Response::Job,full_time,-87.6254,Adzuna::API::Response::Location,"['US', 'Illinois', 'Cook County', 'Chicago', 'The Loop']","The Loop, Chicago",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Company,Golden State Foods/ QCD,
104000.0,0,5771795250,Class A CDL Company Driver - 1yr EXP Required - Regional - Dry Van - $1.4k - $2k per week - Premier Transportation,https://www.adzuna.com/land/ad/5771795250?se=YBdO8YNt8RGl0MKcaJBBpg&utm_medium=api&utm_source=abfa41a4&v=2D0353F4935E5EB89C633B7663273E555B0403D8,72800.0,2026-06-21T11:07:28Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUJkTzhZTnQ4UkdsME1LY2FKQkJwZyIsImkiOiI1NzcxNzk1MjUwIn0.Ry7aPLU51Q8Irw8XMQlU88Gi3vreWHUU6jx7Id71rlE,"CDL-A Regional Drivers | Earn $1,400-$1,600/Week | Home Weekly. Tired of sacrificing home time for a paycheck? At Premier Transportation, you don't have to choose. Join a driver-focused carrier offering steady miles, modern equipment, and predictable home time. Whether you prefer staying in the Southeast, running a larger regional footprint, or maximizing earnings with OTR miles, we have a package that fits your lifestyle. Why Drivers Choose Premier ✅ 2,500 Miles Per Week ✅ Assigned 2022–2026 A…",32.225692,Adzuna::API::Response::Job,full_time,-80.737001,Adzuna::API::Response::Location,"['US', 'South Carolina', 'Beaufort County', 'Hilton Head Island']","Hilton Head Island, Beaufort County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Company,Premier Transportation,
104000.0,0,5771795108,CDL-A Company Driver - 1yr EXP Required - Regional - Dry Van - $1.4k - $2k per week - Premier Transportation,https://www.adzuna.com/land/ad/5771795108?se=YBdO8YNt8RGl0MKcaJBBpg&utm_medium=api&utm_source=abfa41a4&v=C6C375EB139E45EDDDDC0AB271C36BBB367940BF,72800.0,2026-06-21T11:07:27Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3MTc5NTEwOCIsInMiOiJZQmRPOFlOdDhSR2wwTUtjYUpCQnBnIn0.drwqMpGBfMh1PHoRbUECbqZkNjk1fxYwCc94jAquSYw,"CDL-A Regional Drivers | Earn $1,400-$1,600/Week | Home Weekly. Tired of sacrificing home time for a paycheck? At Premier Transportation, you don't have to choose. Join a driver-focused carrier offering steady miles, modern equipment, and predictable home time. Whether you prefer staying in the Southeast, running a larger regional footprint, or maximizing earnings with OTR miles, we have a package that fits your lifestyle. Why Drivers Choose Premier ✅ 2,500 Miles Per Week ✅ Assigned 2022–2026 A…",31.17792,Adzuna::API::Response::Job,full_time,-81.491769,Adzuna::API::Response::Location,"['US', 'Georgia', 'Glynn County', 'Altama']","Altama, Glynn County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Company,Premier Transportation,
70000.0,0,5771795079,CDL-A Company Driver - Grad Training - Regional - $60k - $70k per year - KreilKamp Trucking,https://www.adzuna.com/land/ad/5771795079?se=YBdO8YNt8RGl0MKcaJBBpg&utm_medium=api&utm_source=abfa41a4&v=70301504788AECC2D5529AB2E8D7D7875C286E06,60000.0,2026-06-21T11:07:27Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3MTc5NTA3OSIsInMiOiJZQmRPOFlOdDhSR2wwTUtjYUpCQnBnIn0.5qoL7EafAMu14XoM3UCnAPqG4QilmOlOfswYeMuo0m0,"Regional CDL A Drivers | NEW Grads Welcome | Earn $70,000 Annually. We're proud to be a 4th generation family truck line, started in 1935, but even prouder that over 350 drivers call us home. As we continue to grow, there's plenty of room at the table for professional drivers like you. No experience? No problem! We are currently accepting recent CDL Class A recipients and drivers that need a tune up. Need more details? Apply now! We guarantee you'll feel right at home at Kreilkamp Trucking. Mid…",40.793925,Adzuna::API::Response::Job,full_time,-77.844355,Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Centre County', 'State College']","State College, Centre County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Company,Kreilkamp Trucking,
70000.0,0,5771795220,CDL-A Company Driver - Grad Training - Regional - $60k - $70k per year - KreilKamp Trucking,https://www.adzuna.com/land/ad/5771795220?se=YBdO8YNt8RGl0MKcaJBBpg&utm_medium=api&utm_source=abfa41a4&v=110B0D6C752C5923549862A3B9CFEE5195C323B5,60000.0,2026-06-21T11:07:27Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUJkTzhZTnQ4UkdsME1LY2FKQkJwZyIsImkiOiI1NzcxNzk1MjIwIn0.eVCa3-h3qW9S-gjWxwdSRyFlGn2WeV9mBysXePReanw,"Regional CDL A Drivers | NEW Grads Welcome | Earn $70,000 Annually. We're proud to be a 4th generation family truck line, started in 1935, but even prouder that over 350 drivers call us home. As we continue to grow, there's plenty of room at the table for professional drivers like you. No experience? No problem! We are currently accepting recent CDL Class A recipients and drivers that need a tune up. Need more details? Apply now! We guarantee you'll feel right at home at Kreilkamp Trucking. Mid…",40.602316,Adzuna::API::Response::Job,full_time,-75.47075,Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Lehigh County', 'Allentown']","Allentown, Lehigh County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Company,Kreilkamp Trucking,
70000.0,0,5771795167,Regional Truck Driver Company - Grad Training - $60k - $70k per year - KreilKamp Trucking,https://www.adzuna.com/land/ad/5771795167?se=YBdO8YNt8RGl0MKcaJBBpg&utm_medium=api&utm_source=abfa41a4&v=D2A7A274293B9AA1BB676E120B2E6B9F1D4A06AC,60000.0,2026-06-21T11:07:27Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWUJkTzhZTnQ4UkdsME1LY2FKQkJwZyIsImkiOiI1NzcxNzk1MTY3In0.bF-T2Qk9O07aMuY-NgpjZKFCaLP2jLQ1WYHsFoDbNrs,"Regional CDL A Drivers | NEW Grads Welcome | Earn $70,000 Annually. We're proud to be a 4th generation family truck line, started in 1935, but even prouder that over 350 drivers call us home. As we continue to grow, there's plenty of room at the table for professional drivers like you. No experience? No problem! We are currently accepting recent CDL Class A recipients and drivers that need a tune up. Need more details? Apply now! We guarantee you'll feel right at home at Kreilkamp Trucking. Mid…",42.8825,Adzuna::API::Response::Job,full_time,-78.8788,Adzuna::API::Response::Location,"['US', 'New York', 'Erie County', 'Buffalo']","Buffalo, Erie County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Company,Kreilkamp Trucking,
104000.0,0,5771795124,CDL-A Company Driver - 1yr EXP Required - Regional - Dry Van - $1.4k - $2k per week - Premier Transportation,https://www.adzuna.com/land/ad/5771795124?se=YBdO8YNt8RGl0MKcaJBBpg&utm_medium=api&utm_source=abfa41a4&v=82A4109C28C0994C955B45AC3F2CB70747FFF790,72800.0,2026-06-21T11:07:27Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3MTc5NTEyNCIsInMiOiJZQmRPOFlOdDhSR2wwTUtjYUpCQnBnIn0.x0GNGyvRvobiK3-i3bFV0cT-cIETAuNbuEc9rOAq5AQ,"CDL-A Regional Drivers | Earn $1,400-$1,600/Week | Home Weekly. Tired of sacrificing home time for a paycheck? At Premier Transportation, you don't have to choose. Join a driver-focused carrier offering steady miles, modern equipment, and predictable home time. Whether you prefer staying in the Southeast, running a larger regional footprint, or maximizing earnings with OTR miles, we have a package that fits your lifestyle. Why Drivers Choose Premier ✅ 2,500 Miles Per Week ✅ Assigned 2022–2026 A…",36.186267,Adzuna::API::Response::Job,full_time,-85.521705,Adzuna::API::Response::Location,"['US', 'Tennessee', 'Putnam County', 'Cookeville']","Cookeville, Putnam County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Company,Premier Transportation,
104000.0,0,5771795154,CDL-A Company Driver - 1yr EXP Required - Regional - Dry Van - $1.4k - $2k per week - Premier Transportation,https://www.adzuna.com/land/ad/5771795154?se=YBdO8YNt8RGl0MKcaJBBpg&utm_medium=api&utm_source=abfa41a4&v=A3AF0A9DE9A333F3EE1CCB66D5766396351FAB32,72800.0,2026-06-21T11:07:27Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3MTc5NTE1NCIsInMiOiJZQmRPOFlOdDhSR2wwTUtjYUpCQnBnIn0.zcdjRMYYi0qiDo7TIKcr8VSEk2Y6cj44UX9wOHVWWBA,"CDL-A Regional Drivers | Earn $1,400-$1,600/Week | Home Weekly. Tired of sacrificing home time for a paycheck? At Premier Transportation, you don't have to choose. Join a driver-focused carrier offering steady miles, modern equipment, and predictable home time. Whether you prefer staying in the Southeast, running a larger regional footprint, or maximizing earnings with OTR miles, we have a package that fits your lifestyle. Why Drivers Choose Premier ✅ 2,500 Miles Per Week ✅ Assigned 2022–2026 A…",35.610831,Adzuna::API::Response::Job,full_time,-88.818882,Adzuna::API::Response::Location,"['US', 'Tennessee', 'Madison County', 'Bemis']","Bemis, Madison County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,Adzuna::API::Response::Company,Premier Transportation,
