redirect_url,adref,description,salary_max,id,longitude,salary_min,latitude,contract_time,created,__CLASS__,title,salary_is_predicted,location.area,location.display_name,location.__CLASS__,company.display_name,company.__CLASS__,category.__CLASS__,category.tag,category.label
https://www.adzuna.com/land/ad/5772703319?se=5FxAPWJu8RGn9a7vjRhcZw&utm_medium=api&utm_source=abfa41a4&v=7D2E8D366E3349829B3132FAB2EA1793083DEAC6,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNUZ4QVBXSnU4UkduOWE3dmpSaGNadyIsImkiOiI1NzcyNzAzMzE5In0.6S12GNX1BAMWBoJnJstF2EgveZxjly8WpTvZZ1gPJKs,"*Why Deliver with DoorDash?* DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Being a Dasher with DoorDash gives you the flexibility to earn extra cash on your terms. * *Multiple ways to earn:*Whether you’re delivering meals, groceries, or retail orders, DoorDash offers diverse earning opp…",81469.38,5772703319,-96.4121,81469.38,42.465951,part_time,2026-06-22T13:41:16Z,Adzuna::API::Response::Job,Dashers - Sign Up and Start Earning,1,"['US', 'Nebraska', 'Dakota County', 'South Sioux City']","South Sioux City, Dakota County",Adzuna::API::Response::Location,DoorDash,Adzuna::API::Response::Company,Adzuna::API::Response::Category,retail-jobs,Retail Jobs
https://www.adzuna.com/land/ad/5772703317?se=5FxAPWJu8RGn9a7vjRhcZw&utm_medium=api&utm_source=abfa41a4&v=D5288AA8DDCEDCA14FB655531A9486B20453A3E5,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3MjcwMzMxNyIsInMiOiI1RnhBUFdKdThSR245YTd2alJoY1p3In0.yLs1RS8SaEAVU9XZKUB6_A6zRXnczkqmPLNMyvvA8-Y,"*Why Deliver with DoorDash?* DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Being a Dasher with DoorDash gives you the flexibility to earn extra cash on your terms. * *Multiple ways to earn:*Whether you’re delivering meals, groceries, or retail orders, DoorDash offers diverse earning opp…",63722.87,5772703317,-84.264752,63722.87,30.430969,part_time,2026-06-22T13:41:09Z,Adzuna::API::Response::Job,Delivery Driver - Earn Extra Cash,1,"['US', 'Florida', 'Leon County', 'Tallahassee']","Tallahassee, Leon County",Adzuna::API::Response::Location,DoorDash,Adzuna::API::Response::Company,Adzuna::API::Response::Category,retail-jobs,Retail Jobs
https://www.adzuna.com/land/ad/5772703311?se=5FxAPWJu8RGn9a7vjRhcZw&utm_medium=api&utm_source=abfa41a4&v=8FF902C377F68724C9F4878E192EE34B6E052A7F,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNUZ4QVBXSnU4UkduOWE3dmpSaGNadyIsImkiOiI1NzcyNzAzMzExIn0._mjD0YybIpk2AV-4QaEDD_jYiUafsLXhHHbbxwerTuc,"Vivian is looking for Travel Physical Therapy Assistant Therapys in Tucson, Arizona paying up to $1,592/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discove…",82784.0,5772703311,-110.918927,0.0,32.312638,,2026-06-22T13:41:03Z,Adzuna::API::Response::Job,"Travel Outpatient Physical Therapy Assistant - Paying up to $1,592/week",0,"['US', 'Arizona', 'Pima County', 'Little Tucson']","Little Tucson, Pima County",Adzuna::API::Response::Location,Vivian Health,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
https://www.adzuna.com/land/ad/5772703308?se=5FxAPWJu8RGn9a7vjRhcZw&utm_medium=api&utm_source=abfa41a4&v=BB0DC0B81CC7A59ADD8919368DE6B0195007DB65,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNUZ4QVBXSnU4UkduOWE3dmpSaGNadyIsImkiOiI1NzcyNzAzMzA4In0.XbUN7z3uEwzlU7xpONh-pXqIw3i1iQHm3NJnmFwfxNg,"Supplemental Health Care is seeking a travel CT Technologist for a travel job in Bethel, Alaska. Job Description & Requirements Specialty: CT Technologist Discipline: Allied Health Professional Start Date: ASAP Duration: 13 weeks 40 hours per week Shift: 8 hours, days, nights Employment Type: Travel Job Description: Supplemental Health Care is hiring CT Technologists for contract opportunities at a partnering Hospital in Bethel, Alaska. Join a leading healthcare team and put your imaging skills…",129480.0,5772703308,-161.78975,0.0,60.79597,,2026-06-22T13:40:59Z,Adzuna::API::Response::Job,"Travel CT Technologist - $2,490 per week",0,"['US', 'Alaska', 'Bethel', 'Kongiganak']","Kongiganak, Bethel",Adzuna::API::Response::Location,Supplemental Health Care,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
https://www.adzuna.com/land/ad/5772703307?se=5FxAPWJu8RGn9a7vjRhcZw&utm_medium=api&utm_source=abfa41a4&v=D05C28A9862CDC3868B0C901BC753557AEDC8DF1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNUZ4QVBXSnU4UkduOWE3dmpSaGNadyIsImkiOiI1NzcyNzAzMzA3In0.c7Pcujc3jDAkRHn5OgzJhfQ-7mmWPNVASjNQYqhChqA,"Assured Nursing is seeking a travel nurse RN Med Surg / Telemetry for a travel nursing job in South Charleston, West Virginia. Job Description & Requirements Specialty: Med Surg / Telemetry Discipline: RN Start Date: ASAP Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Assured Nursing Job ID 37275992. Pay package is based on 12 hour shifts and 36.0 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted job title: RN:Te…",118092.0,5772703307,-81.68264,0.0,38.35933,,2026-06-22T13:40:56Z,Adzuna::API::Response::Job,"Travel Observation Telemetry RN - $2,271 per week",0,"['US', 'West Virginia', 'Kanawha County', 'South Charleston']","South Charleston, Kanawha County",Adzuna::API::Response::Location,Assured Nursing,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
https://www.adzuna.com/land/ad/5772703305?se=5FxAPWJu8RGn9a7vjRhcZw&utm_medium=api&utm_source=abfa41a4&v=3A5AA9562ED467D219843E38F1BFB1C5AC3B771D,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNUZ4QVBXSnU4UkduOWE3dmpSaGNadyIsImkiOiI1NzcyNzAzMzA1In0.Jt_Nq7d0yrAHrkJsotA3wsc9CuGTU1-K6BzACnP0Rv8,"Supplemental Health Care is seeking a travel Home Health Physical Therapist for a travel job in Hardinsburg, Kentucky. Job Description & Requirements Specialty: Physical Therapist Discipline: Therapy Start Date: ASAP Duration: 13 weeks 40 hours per week Shift: 8 hours Employment Type: Travel Job Description: Supplemental Health Care is hiring Home Health Physical Therapists (PTs) to provide compassionate, patient-centered care in Hardinsburg, Kentucky and the surrounding areas. With 40 years of…",119912.0,5772703305,-86.479154,0.0,37.775075,,2026-06-22T13:40:54Z,Adzuna::API::Response::Job,"Travel Home Health Physical Therapist - $2,306 per week",0,"['US', 'Kentucky', 'Breckinridge County', 'Hardinsburg']","Hardinsburg, Breckinridge County",Adzuna::API::Response::Location,Supplemental Health Care,Adzuna::API::Response::Company,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
https://www.adzuna.com/land/ad/5772703302?se=5FxAPWJu8RGn9a7vjRhcZw&utm_medium=api&utm_source=abfa41a4&v=89DEB3E24CC18194898407E68E2224604B0C55C2,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3MjcwMzMwMiIsInMiOiI1RnhBUFdKdThSR245YTd2alJoY1p3In0.Kc0ObBzfN69w4DnDi8qoeIpP6EK6MEOh4FB6ycuhszY,"*Why Deliver with DoorDash?* DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Being a Dasher with DoorDash gives you the flexibility to earn extra cash on your terms. * *Multiple ways to earn:*Whether you’re delivering meals, groceries, or retail orders, DoorDash offers diverse earning opp…",83289.84,5772703302,-81.898908,83289.84,28.048611,part_time,2026-06-22T13:40:46Z,Adzuna::API::Response::Job,Restaurant Delivery - Sign Up and Start Earning,1,"['US', 'Florida', 'Polk County', 'Lakeland']","Lakeland, Polk County",Adzuna::API::Response::Location,DoorDash,Adzuna::API::Response::Company,Adzuna::API::Response::Category,retail-jobs,Retail Jobs
https://www.adzuna.com/land/ad/5772703238?se=5FxAPWJu8RGn9a7vjRhcZw&utm_medium=api&utm_source=abfa41a4&v=4B04EFBF25B6A030E5CD2C89438A60F52B9F547D,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNUZ4QVBXSnU4UkduOWE3dmpSaGNadyIsImkiOiI1NzcyNzAzMjM4In0.qfaARcu8IEA3WhIqeS-YI1xU2XDMYn1AbEmtIQlqAZQ,"*Why Deliver with DoorDash?* DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Being a Dasher with DoorDash gives you the flexibility to earn extra cash on your terms. * *Multiple ways to earn:*Whether you’re delivering meals, groceries, or retail orders, DoorDash offers diverse earning opp…",60151.09,5772703238,-83.919508,60151.09,35.960508,part_time,2026-06-22T13:39:22Z,Adzuna::API::Response::Job,Delivery Driver - No Experience Needed,1,"['US', 'Tennessee', 'Knox County', 'Knoxville']","Knoxville, Knox County",Adzuna::API::Response::Location,DoorDash,Adzuna::API::Response::Company,Adzuna::API::Response::Category,retail-jobs,Retail Jobs
https://www.adzuna.com/land/ad/5772703236?se=5FxAPWJu8RGn9a7vjRhcZw&utm_medium=api&utm_source=abfa41a4&v=82F3C3E2DFD15F21CC2D423EECF8CBBA59376330,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNUZ4QVBXSnU4UkduOWE3dmpSaGNadyIsImkiOiI1NzcyNzAzMjM2In0.VVvNOSKHDf_JknPNFgKqOkxFUS_Awj-KYMRm-p7G8p8,"*Why Deliver with DoorDash?* DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Being a Dasher with DoorDash gives you the flexibility to earn extra cash on your terms. * *Multiple ways to earn:*Whether you’re delivering meals, groceries, or retail orders, DoorDash offers diverse earning opp…",60965.45,5772703236,-76.348293,60965.45,39.535941,part_time,2026-06-22T13:39:21Z,Adzuna::API::Response::Job,Delivery Driver - No Experience Needed,1,"['US', 'Maryland', 'Harford County', 'Bel Air']","Bel Air, Harford County",Adzuna::API::Response::Location,DoorDash,Adzuna::API::Response::Company,Adzuna::API::Response::Category,retail-jobs,Retail Jobs
https://www.adzuna.com/land/ad/5772703234?se=5FxAPWJu8RGn9a7vjRhcZw&utm_medium=api&utm_source=abfa41a4&v=AF96ED06BA825DA1246E8D51FA31177FF8EEDC9E,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3MjcwMzIzNCIsInMiOiI1RnhBUFdKdThSR245YTd2alJoY1p3In0.aQa8UqUcc3xEtLHdBgW3ZGuG0l03odLa4ak6Ktct0Bs,"*Why Deliver with DoorDash?* DoorDash is the 1 category leader in food delivery, food pickup, and convenience store delivery in the US, trusted by millions of customers every day. As a Dasher, you’ll stay busy with a variety of earnings opportunities and can work when it works for you. Being a Dasher with DoorDash gives you the flexibility to earn extra cash on your terms. * *Multiple ways to earn:*Whether you’re delivering meals, groceries, or retail orders, DoorDash offers diverse earning opp…",60329.64,5772703234,-76.621054,60329.64,39.296337,part_time,2026-06-22T13:39:21Z,Adzuna::API::Response::Job,Delivery Driver - No Experience Needed,1,"['US', 'Maryland', 'Baltimore County', 'Baltimore']","Baltimore, Baltimore County",Adzuna::API::Response::Location,DoorDash,Adzuna::API::Response::Company,Adzuna::API::Response::Category,retail-jobs,Retail Jobs
