__CLASS__,longitude,adref,salary_max,latitude,description,title,created,salary_is_predicted,salary_min,id,redirect_url,company.__CLASS__,company.display_name,category.label,category.tag,category.__CLASS__,location.display_name,location.__CLASS__,location.area,contract_type,contract_time
Adzuna::API::Response::Job,-85.751283,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVkhZMmpPSnY4UkdydllGMTFocVlGUSIsImkiOiI1Nzc0OTcyNzkyIn0.unNEkoUDq_xnCYJCN6rjOcT-6Et7rfFVS2eWHGxqB-E,54241.79,38.255693,"Job Description Job Description Job Summary We are a rapidly growing staffing firm whose primary focus is light industrial and manufacturing staffing. We are looking for a Bilingual recruiter to support our new market in Louisville Kentucky! The Light Industrial Recruiter is responsible for sourcing, screening, interviewing, and placing qualified candidates in warehouse, manufacturing, distribution, production, and logistics positions. This role works closely with clients and operations teams t…",Recruiter - Bilingual,2026-06-24T11:24:39Z,1,54241.79,5774972792,https://www.adzuna.com/land/ad/5774972792?se=VHY2jOJv8RGrvYF11hqYFQ&utm_medium=api&utm_source=abfa41a4&v=93ABDB2B691ED9A88DD43C1F863B2900FFD6E6DD,Adzuna::API::Response::Company,Horizon America Staffing,HR & Recruitment Jobs,hr-jobs,Adzuna::API::Response::Category,"Louisville, Jefferson County",Adzuna::API::Response::Location,"['US', 'Kentucky', 'Jefferson County', 'Louisville']",,
Adzuna::API::Response::Job,-121.867646,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVkhZMmpPSnY4UkdydllGMTFocVlGUSIsImkiOiI1Nzc0OTcyNzg2In0.z9CkIRAS2T5L10szgiQJe7XuVk6nzsWjhI6VdRzvfcE,47241.55,37.64362,"Job Description Job Description Duties Managing Our Office, Clients, And Vendors Addressing Client Needs/Questions Over The Phone, By Email, And In Person Employing Discretion As To When Client Concerns Should Be Escalated To An Attorney General Clerical And Office Duties Acquiring Information From Clients And Other Persons Related To A Case Maintaining The Firm Calendar And Tasks In The Mycase Program Calendaring Deadlines For Service Of Case Status Conference Questionnaires, Trial Deadlines, …",Paralegal Legal Assistant,2026-06-24T11:24:39Z,1,47241.55,5774972786,https://www.adzuna.com/land/ad/5774972786?se=VHY2jOJv8RGrvYF11hqYFQ&utm_medium=api&utm_source=abfa41a4&v=CE12B9D49F109A38D7ADB600FC41681DD279BAA1,Adzuna::API::Response::Company,JARRATT LAW PC,Legal Jobs,legal-jobs,Adzuna::API::Response::Category,"Pleasanton, Alameda County",Adzuna::API::Response::Location,"['US', 'California', 'Alameda County', 'Pleasanton']",,
Adzuna::API::Response::Job,-76.509673,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVkhZMmpPSnY4UkdydllGMTFocVlGUSIsImkiOiI1Nzc0OTcyNzMxIn0.jexPnjwHP1lUp0vmIS1-fO_UaNDmCb6Bhy0l_TYzJgA,89446.48,37.238756,"Job Description Job Description Estimator Reports To: President / Chief Estimator / Operations Manager Position Summary The Estimator is responsible for preparing accurate and competitive cost estimates and bid proposals for municipal utility, pump station, water/wastewater, site development, and heavy civil construction projects. The Estimator analyzes plans, specifications, and project requirements to determine labor, equipment, material, subcontractor, and overhead costs while helping Shaw C…",Construction Estimator,2026-06-24T11:24:36Z,1,89446.48,5774972731,https://www.adzuna.com/land/ad/5774972731?se=VHY2jOJv8RGrvYF11hqYFQ&utm_medium=api&utm_source=abfa41a4&v=297A230885C5A01E29C112C05F0DF7500743D62A,Adzuna::API::Response::Company,Shaw Construction Corporation,Trade & Construction Jobs,trade-construction-jobs,Adzuna::API::Response::Category,"Yorktown, York County",Adzuna::API::Response::Location,"['US', 'Virginia', 'York County', 'Yorktown']",,
Adzuna::API::Response::Job,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3NDk3MjcyOSIsInMiOiJWSFkyak9KdjhSR3J2WUYxMWhxWUZRIn0.ieGdd3fIFgB6YXOZQ0zD5UbpEa5wOjUzAQP8Bh_MS0o,113809.96,,"Job Description Job Description Analyzing patients’ health status, goals and dietary restrictions Creating nutritional assessments based on health metrics and existing habits Establishing proper meal plans for the patient in accordance with their preference, health, and financial capabilities Counseling patients about nutrition and healthy eating habits Monitoring and evaluating the effects of nutrition practices and plans, and making adjustments if necessary Educating patients and families on …",Registered Clinical Dietitian / Hospital (Travel),2026-06-24T11:24:36Z,1,113809.96,5774972729,https://www.adzuna.com/land/ad/5774972729?se=VHY2jOJv8RGrvYF11hqYFQ&utm_medium=api&utm_source=abfa41a4&v=65657A665356A0CBE9627D82A1BE61254459E353,Adzuna::API::Response::Company,Xpert Recruiters LLC,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"Los Angeles, Los Angeles County",Adzuna::API::Response::Location,"['US', 'California', 'Los Angeles County', 'Los Angeles']",,
Adzuna::API::Response::Job,-80.093998,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVkhZMmpPSnY4UkdydllGMTFocVlGUSIsImkiOiI1Nzc0OTcyNzAyIn0.gx5bAG4W0vb_i2W9nXIpliVXjuPefmmXu5_RUcsaLw8,64440.33,42.118832,"Job Description Job Description The Final Expense Life Insurance Sales market is BOOMING! We offer exclusive leads , sales training , and ongoing support using a PROVEN TURN-KEY SALES SYSTEM that allows you to make $100K in your first full year. Bilingual A Are you ready to be your own boss , have complete control of your schedule , build lifetime residual income , receive cash bonuses for your hard work, earn paid vacations , access great benefits , and more? . We are looking to train and deve…",Outside Sales - LOCAL LEADS w/ NO COLD CALLING,2026-06-24T11:24:34Z,1,64440.33,5774972702,https://www.adzuna.com/land/ad/5774972702?se=VHY2jOJv8RGrvYF11hqYFQ&utm_medium=api&utm_source=abfa41a4&v=C2056CBCC1F155955C58678E73A2B10661DD1AA2,Adzuna::API::Response::Company,The Chambers Group,Sales Jobs,sales-jobs,Adzuna::API::Response::Category,"Erie, Erie County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Erie County', 'Erie']",,
Adzuna::API::Response::Job,-71.566139,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3NDk3MjY4NyIsInMiOiJWSFkyak9KdjhSR3J2WUYxMWhxWUZRIn0.5-fB_-5RJHSJnKHBvzptIjsM01OIvHuB3k3QnX7Ptus,105385.68,42.391736,"Job Description Job Description We are seeking licensed electricians for work on upcoming projects. The applicant must have a valid driver's license, a current electrical license (if applicable), and a current OHS12 White Card. The applicant must be committed and self-motivated, with very good organizational skills Good working knowledge of current electrical standards and regulations The successful applicant will enjoy working to deadlines, be focused, be passionate about their work and have t…",Licensed Electricians,2026-06-24T11:24:34Z,1,105385.68,5774972687,https://www.adzuna.com/land/ad/5774972687?se=VHY2jOJv8RGrvYF11hqYFQ&utm_medium=api&utm_source=abfa41a4&v=F0904600B9DCF895C876FEB0A2DEFFF571E9BB6E,Adzuna::API::Response::Company,Brian Bradley,Trade & Construction Jobs,trade-construction-jobs,Adzuna::API::Response::Category,"Hudson, Middlesex County",Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Middlesex County', 'Hudson']",,
Adzuna::API::Response::Job,-76.184999,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVkhZMmpPSnY4UkdydllGMTFocVlGUSIsImkiOiI1Nzc0OTcyNjgwIn0.nbDmT8k_ttfaO-VAy3qwUhA0VdbPlaKCty3FHBr-4AA,41917.29,40.088021,"Job Description Job Description Electrician Shift: 7:00 PM – 7:00 AM (2-2-3 schedule) Qualifications: 5 years of hands-on experience diagnosing and repairing electrical equipment/machinery, or equivalent trade school/training combination High school diploma or equivalent required; Associate's Degree in Electronics Technology preferred Ability to read and interpret wiring diagrams, schematics, and blueprints Strong knowledge of the National Electrical Code (NEC) PLC programming experience (basic…",Night Shift Industrial Electrician,2026-06-24T11:24:33Z,1,41917.29,5774972680,https://www.adzuna.com/land/ad/5774972680?se=VHY2jOJv8RGrvYF11hqYFQ&utm_medium=api&utm_source=abfa41a4&v=AAA794BA971E6A7871B20EA12BCC6462D28C3414,Adzuna::API::Response::Company,TRS Staffing Solutions,Engineering Jobs,engineering-jobs,Adzuna::API::Response::Category,"Leola, Lancaster County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Lancaster County', 'Leola']",,
Adzuna::API::Response::Job,-117.537844,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3NDk3MjY1OCIsInMiOiJWSFkyak9KdjhSR3J2WUYxMWhxWUZRIn0.DXc6XI4mrdacygRJuH9vsbSh9jfEDZPAMAu_xvsmQlo,42676.29,33.881383,"Job Description Job Description The Animal Hospital of Eagle Glen is seeking a part-time Veterinarian to join our compassionate, skilled team in Corona, California! If you're looking for a supportive, experienced staff and a well-equipped, modern facility—you’ve found the right place. Position Details:  Schedule: 1–2 days per week (2 preferred)  Hours: o Weekdays: 9:00 AM – 5:30 PM — $1200/day o Saturdays: 9:00 AM – 2:00 PM — $800/day  Compensation: Competitive daily rate  Production Bonus W…",General Practice Small Animal Veterinarian,2026-06-24T11:24:33Z,1,42676.29,5774972658,https://www.adzuna.com/land/ad/5774972658?se=VHY2jOJv8RGrvYF11hqYFQ&utm_medium=api&utm_source=abfa41a4&v=09335EE04350F0708E2610FBE07C4EBA4759BE27,Adzuna::API::Response::Company,Animal Hospital of Eagle Glen,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,"Corona, Riverside County",Adzuna::API::Response::Location,"['US', 'California', 'Riverside County', 'Corona']",,
Adzuna::API::Response::Job,-77.588167,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3NDk3MjY0OCIsInMiOiJWSFkyak9KdjhSR3J2WUYxMWhxWUZRIn0.FawHkdPKJRJx8Do9Pud7amJ-oiPpVQhCTlDYrMpmy5k,125099.19,38.197743,"Job Description Job Description SPCA located in northern Virginia is seeking an experienced Veterinarian for a leadership position. This role focuses primarily on the medical care of animals in SPCA custody, including intake, population management, infectious disease control, and high-volume spay/neuter services. ● Provide high-quality preventive and medical care to shelter animals, including: o Intake examinations and triage o Medical rounds and treatment planning o Population health managemen…",SPCA in Northern Virginia Seeking Experienced Veterinarian,2026-06-24T11:24:32Z,1,125099.19,5774972648,https://www.adzuna.com/land/ad/5774972648?se=VHY2jOJv8RGrvYF11hqYFQ&utm_medium=api&utm_source=abfa41a4&v=C68B50A17C7E74F0352BE52C4B5754C828103E9F,Adzuna::API::Response::Company,"VetNetAmerica, LLC",Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"Spotsylvania, Spotsylvania County",Adzuna::API::Response::Location,"['US', 'Virginia', 'Spotsylvania County', 'Spotsylvania']",,
Adzuna::API::Response::Job,-117.049986,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3NDk3MjY1MSIsInMiOiJWSFkyak9KdjhSR3J2WUYxMWhxWUZRIn0.WQPvsbue2pXOzkGXwtrd-etRQm1AhO5_NB036TtU6t0,61516.55,33.090285,"Job Description Job Description Are you ready to JUMP START your career? HomeTeam Pest Defense is expanding and we are looking to hire Outside Sales People that are highly motivated, career-oriented individuals to join our Team! We will TRAIN In this position you will be responsible for the following: Generating sales from our existing and potential customer base Partnering with homeowners to determine the products and services that best meet their needs Maintaining great customer relationships…",Outside Sales (Leads Provided),2026-06-24T11:24:32Z,1,61516.55,5774972651,https://www.adzuna.com/land/ad/5774972651?se=VHY2jOJv8RGrvYF11hqYFQ&utm_medium=api&utm_source=abfa41a4&v=846B64767D5BB2AD58C41DDE4AD0B5A9F4AF29F7,Adzuna::API::Response::Company,HomeTeam Pest Defense - Western Region,Sales Jobs,sales-jobs,Adzuna::API::Response::Category,"Escondido, San Diego County",Adzuna::API::Response::Location,"['US', 'California', 'San Diego County', 'Escondido']",,
