salary_max,__CLASS__,salary_min,longitude,created,latitude,title,adref,redirect_url,salary_is_predicted,id,description,category.label,category.__CLASS__,category.tag,location.display_name,location.area,location.__CLASS__,company.__CLASS__,company.display_name,contract_time,contract_type
144040.0,Adzuna::API::Response::Job,0.0,-117.25699,2026-06-27T10:40:47Z,47.650614,"Travel Physical Therapist - Paying up to $2,770/week",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3OTEwODYwNSIsInMiOiJEajlCaERkeThSRzAzcF9iMk5SSVp3In0.-F56XJz9_uNksEm10QKpO-jQO9oFvP2UYkngbmhb-Jw,https://www.adzuna.com/land/ad/5779108605?se=Dj9BhDdy8RG03p_b2NRIZw&utm_medium=api&utm_source=abfa41a4&v=0279F9902025A5B24097198AE2000035BC8929EE,0,5779108605,"Vivian is looking for Travel Physical Therapist Therapys in Spokane Valley, Washington paying up to $2,770/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and disc…",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"Millwood, Spokane County","['US', 'Washington', 'Spokane County', 'Millwood']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Vivian Health,,
158236.0,Adzuna::API::Response::Job,0.0,-77.675522,2026-06-27T10:40:42Z,36.44613,"Travel Nurse RN - Telemetry - $3,043 per week",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRGo5QmhEZHk4UkcwM3BfYjJOUkladyIsImkiOiI1Nzc5MTA3MzY4In0.KtYqnwsceTOZT-YQRNHh8P26RSbIEagp811iKUgqIpU,https://www.adzuna.com/land/ad/5779107368?se=Dj9BhDdy8RG03p_b2NRIZw&utm_medium=api&utm_source=abfa41a4&v=13149BA26153FE6109FDEDF08F708452BA063539,0,5779107368,"Focus Staff is seeking a travel nurse RN Telemetry for a travel nursing job in Roanoke Rapids, North Carolina. Job Description & Requirements Specialty: Telemetry Discipline: RN Start Date: 07/27/2026 Duration: 13 weeks 40 hours per week Shift: 8 hours, days Employment Type: Travel Focus Staff is seeking a Cath Lab Registered Nurse for a travel contract in Roanoke Rapids, NC. The ideal candidate will have at least 1 year of experience in a Cath Lab setting. Contract Length: 13 Weeks Start Date:…",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"Roanoke Rapids, Halifax County","['US', 'North Carolina', 'Halifax County', 'Roanoke Rapids']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Focus Staff,,
97084.0,Adzuna::API::Response::Job,0.0,-77.5347,2026-06-27T10:40:42Z,37.57758,"Travel Radiology/Cardiology X-Ray Technologist - $1,867 per week",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRGo5QmhEZHk4UkcwM3BfYjJOUkladyIsImkiOiI1Nzc5MTA3MTY2In0.ngZgqbMQ8alr56jtc6VaLGsjA0o5ovNTLrd58x7JxPo,https://www.adzuna.com/land/ad/5779107166?se=Dj9BhDdy8RG03p_b2NRIZw&utm_medium=api&utm_source=abfa41a4&v=38B4BA4A5744AF140A5FAF401A1838364F7737BB,0,5779107166,"Prime Staffing is seeking a travel Radiology Technologist for a travel job in University Of Richmond, Virginia. Job Description & Requirements Specialty: Radiology Technologist Discipline: Allied Health Professional Start Date: 07/20/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours Employment Type: Travel ID: 63816426 Shift: Night 4x10-Hour (21:00 - 07:30) Description: Locals allowed at same rateEpic required2 yr requiredLVL 1 exp highly preferredMust have recent inpt hospital expAUTO …",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"Tuckahoe, Henrico County","['US', 'Virginia', 'Henrico County', 'Tuckahoe']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Prime Staffing,,
41666.36,Adzuna::API::Response::Job,41666.36,-87.575423,2026-06-27T10:39:52Z,37.973424,Direct Support Professional,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRGo5QmhEZHk4UkcwM3BfYjJOUkladyIsImkiOiI1Nzc5MDkzOTA0In0.YNZ_8WyYt7lBb4B-Ll_8rFxCkP9g1xsLapHOHq-dzHA,https://www.adzuna.com/details/5779093904?utm_medium=api&utm_source=abfa41a4,1,5779093904,"SUMMARY Position Type: Non-exempt, full-time or part-time, hourly role. Scope of Role: Responsible for providing direct support within a single program or unit within a program, typically supporting 4 - 6 individuals in residential settings, or up to 10 individuals in periodic programs. Key Responsibilities: Deliver support per individual service/program plans, including socialization, health maintenance, medication administration, skill/behavioral development. Assist with daily activities: Per…",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"Evansville, Vanderburgh County","['US', 'Indiana', 'Vanderburgh County', 'Evansville']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Sevita,part_time,
94147.65,Adzuna::API::Response::Job,94147.65,-77.968154,2026-06-27T10:38:56Z,39.452936,Direct Support _ Professional MPA _ 3429,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3OTA4ODc0OCIsInMiOiJEajlCaERkeThSRzAzcF9iMk5SSVp3In0.MRsaIE00HlN5Btvs1kGUbzurMSX5P6tqa7vz_FmCfCk,https://www.adzuna.com/details/5779088748?utm_medium=api&utm_source=abfa41a4,1,5779088748,"REM Community Services , a part of the Sevita family, provides community-based services for individuals with intellectual and developmental disabilities. Here we believe every person has the right to live well, and everyone deserves to have a fulfilling career. You’ll join a mission-driven team and create relationships that motivate us all every day. Join us today, and experience a career well lived. SUMMARY Position Type: Non-exempt, full-time or part-time, hourly role. Scope of Role: Responsi…",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"Martinsburg, Berkeley County","['US', 'West Virginia', 'Berkeley County', 'Martinsburg']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Sevita,part_time,
31498.09,Adzuna::API::Response::Job,31498.09,-112.354074,2026-06-27T10:38:36Z,42.894598,Caregiver,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRGo5QmhEZHk4UkcwM3BfYjJOUkladyIsImkiOiI1Nzc5MDg3NzI0In0.xYdR006M8N9g27VpuMcxmxdFZFfWdPzZGZMpyk4HtPk,https://www.adzuna.com/details/5779087724?utm_medium=api&utm_source=abfa41a4,1,5779087724,"Mentor Community Services, a part of the Sevita family, provides community-based services for individuals with intellectual and developmental disabilities. Here we believe every person has the right to live well, and everyone deserves to have a fulfilling career. You’ll join a mission-driven team and create relationships that motivate us all every day. Join us today, and experience a career well lived. Stand Out as a Caregiver at Sevita! Make Every Shift Matter—Support, Empower, and Grow Are yo…",Social work Jobs,Adzuna::API::Response::Category,social-work-jobs,"Pocatello, Bannock County","['US', 'Idaho', 'Bannock County', 'Pocatello']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Sevita,full_time,
46624.69,Adzuna::API::Response::Job,46624.69,-73.997006,2026-06-27T10:38:08Z,40.750133,Travel Registered Nurse RN Operating Room OR (New York),eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRGo5QmhEZHk4UkcwM3BfYjJOUkladyIsImkiOiI1Nzc5MDg2MTkxIn0.JwX9CM7oL9Xa8gSF_rjqnkqjnubv544tQ8ZiK1fmCXM,https://www.adzuna.com/land/ad/5779086191?se=Dj9BhDdy8RG03p_b2NRIZw&utm_medium=api&utm_source=abfa41a4&v=93CC6869F5B2DBB65D9CF2E8C82F2AE2ED0AAAE8,1,5779086191,"We. Are. OneStaff. Medical. An independently-owned, nationally-recognized and amazingly awesome staffing firm ready to work for you! A work ethic forged in the Midwest, we are here to stand by your side and help you find your dream assignment anywhere in this great country. We want the same like-minded, awesome candidates to travel with us. Be bold. Enjoy work again. Let us help. THE POSITION: The Operating Room (OR) Nurse will provide care for patients before, during and after surgery. They wi…",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"Chelsea and Clinton, Manhattan","['US', 'New York', 'New York City', 'Manhattan', 'Chelsea and Clinton']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,OneStaffMedical,,
79924.0,Adzuna::API::Response::Job,0.0,-97.0823,2026-06-27T10:29:54Z,31.5915,"Travel Physical Therapy Assistant - Paying up to $1,537/week",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRGo5QmhEZHk4UkcwM3BfYjJOUkladyIsImkiOiI1Nzc5MDY1OTcyIn0.Gn8BVrLgF1NLyQx-QobWBC2h7QO1_bNNV1a2ey7SKNw,https://www.adzuna.com/land/ad/5779065972?se=Dj9BhDdy8RG03p_b2NRIZw&utm_medium=api&utm_source=abfa41a4&v=C8CE9642D768E315B2F7F5840FD6D75D5E993353,0,5779065972,"Vivian is looking for Travel Physical Therapy Assistant Therapys in Waco, Texas paying up to $1,537/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover jo…",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"Bellmead, McLennan County","['US', 'Texas', 'McLennan County', 'Bellmead']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Vivian Health,,
134316.0,Adzuna::API::Response::Job,0.0,-117.2413,2026-06-27T10:29:52Z,34.1037,"Travel CT Technologist - $2,583 per week",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3OTA2NTk2MiIsInMiOiJEajlCaERkeThSRzAzcF9iMk5SSVp3In0.LUPxTZ0aqxndKJa0GChYt6NVaVEHmh0rnEyHm6oukF4,https://www.adzuna.com/land/ad/5779065962?se=Dj9BhDdy8RG03p_b2NRIZw&utm_medium=api&utm_source=abfa41a4&v=B28975F239259C9A781F650C4AABE8199BA3957B,0,5779065962,"Care Career is seeking a travel CT Technologist for a travel job in San Bernardino, California. Job Description & Requirements Specialty: CT Technologist Discipline: Allied Health Professional Start Date: 07/20/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Also known as CT technicians, CT technologists take diagnostic images of patients' internal structures using computerized tomography equipment. They ensure that patients are correctly positioned and…",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"Marigold, San Bernardino County","['US', 'California', 'San Bernardino County', 'Marigold']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Care Career,,
138164.0,Adzuna::API::Response::Job,0.0,-73.200943,2026-06-27T10:29:51Z,44.478158,"Travel Operating Room Registered Nurse - $2,657 per week",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3OTA2NTk2MSIsInMiOiJEajlCaERkeThSRzAzcF9iMk5SSVp3In0.JdTrtdeCWkW83tNZF4ZVDruBG3XtQkvQXwhdAwHfCqw,https://www.adzuna.com/land/ad/5779065961?se=Dj9BhDdy8RG03p_b2NRIZw&utm_medium=api&utm_source=abfa41a4&v=D3FF473DA6B8A5F364721990DDBB57E436EF9527,0,5779065961,"Care Team Solutions is seeking a travel nurse RN OR - Operating Room for a travel nursing job in Burlington, Vermont. Job Description & Requirements Specialty: OR - Operating Room Discipline: RN Start Date: 07/27/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours Employment Type: Travel Registered Nurse must have 2 years of recent experience in particular specialty Details: Must Have 2 Years of recent Operating Room experience. Specialty: Operating Room Discipline: Registered Nurse Start…",Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,"Winooski, Chittenden County","['US', 'Vermont', 'Chittenden County', 'Winooski']",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Care Team Solutions,,
