id,salary_is_predicted,salary_max,longitude,description,latitude,title,redirect_url,adref,created,salary_min,__CLASS__,company.__CLASS__,company.display_name,location.area,location.display_name,location.__CLASS__,category.label,category.__CLASS__,category.tag,contract_time,contract_type
5780310629,1,109046.14,-110.268343,"Details Client Name Canyon Vista Medical Center Job Type Travel Offering Nursing Profession RN Specialty Cath Lab Job ID 18646334 Job Title RN - Cath Lab Weekly Pay $2886.0 Shift Details Shift 5x 8 Days Scheduled Hours 40 Job Order Details Start Date 06/20/2026 End Date 10/05/2026 Duration 13 Week(s) Job Description Our Client is currently seeking RN - Cath Lab positions in Sierra Vista, AZ for a 5x8 Days shift. You must have current State Licensure and at least 1 year of recent experience. Req…",31.549609,RN - Cath Lab,https://www.adzuna.com/details/5780310629?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MDMxMDYyOSIsInMiOiJnTnh4Q3dGejhSR2U0WndMMHdOUzZ3In0.jBPEjB6kCwBHDXpyPCmDihYrUMsuy5LomilttFkTqrU,2026-06-28T10:47:53Z,109046.14,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Carilion Roanoke Memorial Hospital,"['US', 'Arizona', 'Cochise County', 'Sierra Bonita']","Sierra Bonita, Cochise County",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,,
5780310590,1,117570.81,-88.003486,"Your future role at a glance Location: Franklin, WI Facility: Ascension Franklin Department: Respiratory Schedule: Nights | Full-time Bonus: Sign-on bonus eligible Life at Ascension: Where purpose meets opportunity Ascension is a leading nonprofit Catholic health system with a culture and associate experience grounded in service, growth, care and connection. We empower our 97,000 associates to bring their skills and expertise every day to reimagining healthcare, together. Recognized as one of t…",42.900289,Respiratory Care Practitioner,https://www.adzuna.com/details/5780310590?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MDMxMDU5MCIsInMiOiJnTnh4Q3dGejhSR2U0WndMMHdOUzZ3In0.OFY_dCpwzMo-6OZBKlTQyy8XjhdOf8Ha7mfDSGf25Hk,2026-06-28T10:47:52Z,117570.81,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Ascension,"['US', 'Wisconsin', 'Milwaukee County', 'Franklin']","Franklin, Milwaukee County",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,full_time,
5780310579,1,79639.99,-80.338979,Details Client Name Kendall Regional Medical Center Job Type Permanent Offering Allied Profession Respiratory Therapy Specialty Registered Respiratory Therapist Job ID 17229810 Job Title Respiratory Therapy - Registered Respiratory Therapist Shift Details Shift 12hr Rotating x3 Scheduled Hours 36 Job Order Details Start Date 06/25/2026 Duration 0 Job Description Requirements Registered Respiratory Therapist (RRT) / Respiratory Care Practitioner (RCP) Associate Degree or Vocational/Technical Sch…,25.76927,Respiratory Therapy - Registered Respiratory Therapist,https://www.adzuna.com/details/5780310579?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MDMxMDU3OSIsInMiOiJnTnh4Q3dGejhSR2U0WndMMHdOUzZ3In0._OCK70hBD0Cd1RdfCJGnb6x0NRVnJXyE2n5Eg-ANYlk,2026-06-28T10:47:52Z,79639.99,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Mission Hospital,"['US', 'Florida', 'Miami-Dade County', 'Fountainebleau']","Fountainebleau, Miami-Dade County",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,,permanent
5780310500,1,84527.6,-119.3433,"Job Description Centrally located within the heart of California, Adventist Health Tulare has been serving the Central Valley since 2018. We are comprised of a 108-bed acute care hospital, emergency department and provide primary and specialty care services to best serve our community. Tulare is situated in a delightful and geographically diverse region. There are a variety of opportunities for all-season outdoor recreation such as camping, hiking, water and snow skiing, fishing and boating. It…",36.20838,"RN - Emergency (Full Time, Night Shift)",https://www.adzuna.com/details/5780310500?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ054eEN3Rno4UkdlNFp3TDB3TlM2dyIsImkiOiI1NzgwMzEwNTAwIn0.aG6t39fURQtSH2oY1AcFfjT6mXBliI9xAdpoxkBwjtM,2026-06-28T10:47:49Z,84527.6,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Adventist Health,"['US', 'California', 'Tulare County', 'Tulare']","Tulare, Tulare County",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,full_time,
5780310480,1,29469.83,-84.3879,"ED RN Assignment - Atlanta, GA (8 Weeks) Seeking ED Registered Nurses for an 8-week assignment at Grady Main ER, Atlanta (Level 1 Trauma preferred) . Pay: $1,840 weekly gross $540 taxable / $1,300 non-taxable Hours: 36/week Shift: Days & Nights available Requirements 4 years ED experience (adult & pediatric) Large facility experience required BLS, ACLS, PALS required TNCC/ENPC preferred Interested candidates, please submit your application.",33.7487,RN - Emergency Room (ER) - Travel,https://www.adzuna.com/details/5780310480?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ054eEN3Rno4UkdlNFp3TDB3TlM2dyIsImkiOiI1NzgwMzEwNDgwIn0.BJYhbTadkIEH78SRpIcgJWSkrDPXAw9qtahmeTGFfDQ,2026-06-28T10:47:49Z,29469.83,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Protouch Staffing,"['US', 'Georgia', 'DeKalb County', 'Northlake']","Northlake, DeKalb County",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,,
5780310329,1,137724.9,-98.45883,"Job Title Manage all aspects of on-site construction for ground-up projects, ensuring strict adherence to safety, quality standards, and project timelines. Oversee subcontractors, suppliers, and coordinate site logistics for smooth execution. Perform site inspections, address issues promptly, and ensure adherence to project specifications. Provide regular progress updates to project managers and stakeholders to maintain alignment. Travel frequently to various job sites and remain on location fo…",29.43937,Travel Superintendent - Ground Up Commercial Construction,https://www.adzuna.com/details/5780310329?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MDMxMDMyOSIsInMiOiJnTnh4Q3dGejhSR2U0WndMMHdOUzZ3In0.whdLe4A-O_qJVbsYLoIg3imk0AmrfDicptYitCxPN54,2026-06-28T10:47:47Z,137724.9,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Michael Page,"['US', 'Texas', 'Bexar County', 'Fort Sam Houston']","Fort Sam Houston, Bexar County",Adzuna::API::Response::Location,Trade & Construction Jobs,Adzuna::API::Response::Category,trade-construction-jobs,,permanent
5780310389,1,37111.73,-81.663836,Details Client Name Watauga Medical Ctr Job Type Travel Offering Nursing Profession RN Specialty L&D Job ID 37268782 Job Title RN - L&D Weekly Pay $1984.0 Shift Details Shift 12H Nights Scheduled Hours 36 Job Order Details Start Date 07/20/2026 End Date 10/19/2026 Duration 13 Week(s) Job Description GetMed Staffing is searching for a strong L&D RN to assist our traveler-friendly client. A minimum of 1-2 years of experience is required. Traveling with GetMed Staffing offers the unique opportunit…,36.215935,RN - L&D,https://www.adzuna.com/details/5780310389?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MDMxMDM4OSIsInMiOiJnTnh4Q3dGejhSR2U0WndMMHdOUzZ3In0.CVdAq-hPB9hA8V90gP-vjNWyo34B9LIIVu5TEsZ84yY,2026-06-28T10:47:47Z,37111.73,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Watauga Medical Ctr,"['US', 'North Carolina', 'Watauga County', 'Perkinsville']","Perkinsville, Watauga County",Adzuna::API::Response::Location,Customer Services Jobs,Adzuna::API::Response::Category,customer-services-jobs,,
5780310340,1,163653.62,-94.090327,"Infusion Pharmacist Opportunity An independently owned, growth-oriented pharmacy organization is seeking an Infusion Pharmacist to join its team in Texarkana, Texas. This is an excellent opportunity for a pharmacist who enjoys clinical patient care, infusion therapy, and working closely with physicians, nurses, and healthcare teams in a collaborative environment. Why This Opportunity Stands Out: Independently owned pharmacy with strong culture and leadership Diverse infusion therapies and meani…",33.469797,Pharmacist - Home Infusion Pharmacy,https://www.adzuna.com/details/5780310340?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MDMxMDM0MCIsInMiOiJnTnh4Q3dGejhSR2U0WndMMHdOUzZ3In0.6GTGco0MhHnheZZ-nLq5cUkPul0jzIFsE-urNgYZpGg,2026-06-28T10:47:47Z,163653.62,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Vitruvian Consulting Llc,"['US', 'Texas', 'Bowie County', 'Wake Village']","Wake Village, Bowie County",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,full_time,
5780310356,1,66196.18,-98.458676,Details Client Name Comanche County Memorial Hospital Job Type Travel Offering Allied Profession Scrub Tech Specialty Scrub Tech Job ID 37297207 Job Title Scrub Tech - Scrub Tech Weekly Pay $1250.0 Shift Details Shift 5 x 8 Evenings Scheduled Hours 40 Job Order Details Start Date 04/27/2026 End Date 07/27/2026 Duration 13 Week(s) Client Details Address 3401 West Gore Boulevard City Lawton State OK Zip Code 73505,34.616624,Scrub Tech - Scrub Tech,https://www.adzuna.com/details/5780310356?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MDMxMDM1NiIsInMiOiJnTnh4Q3dGejhSR2U0WndMMHdOUzZ3In0.SKC0kge4jI6LfmPrZTDnqWHf5ws2u8ERr8ZY4-7m01U,2026-06-28T10:47:47Z,66196.18,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Comanche County Memorial Hospital,"['US', 'Oklahoma', 'Comanche County', 'Meers']","Meers, Comanche County",Adzuna::API::Response::Location,Retail Jobs,Adzuna::API::Response::Category,retail-jobs,,
5780310307,1,91885.72,-83.629668,"Lab Tech I Job no: 500855 Work type: Staff - Part-Time Location: Health Science Campus Hospital Toledo, OH Categories: Healthcare Positions, Part-Time, AFSCME Title: Lab Tech I Department Org: Lab-Central Office - 109390 Employee Classification: B6 - Unclass Part Time AFSCME HSC Bargaining Unit: AFSCME HSC Primary Location: HSC H Shift: 1 Start Time: 0400 End Time: 0800 Posted Salary: $21.35 - $24.59 Float: True Rotate: True On Call: True Travel: True Weekend/Holiday: True Job Description: Gree…",41.602347,Lab Tech I,https://www.adzuna.com/details/5780310307?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZ054eEN3Rno4UkdlNFp3TDB3TlM2dyIsImkiOiI1NzgwMzEwMzA3In0.b9UAykoSTD7py_wQCqiNz5IwASpQhbcGgr9CloXBUzo,2026-06-28T10:47:46Z,91885.72,Adzuna::API::Response::Job,Adzuna::API::Response::Company,The University of Toledo,"['US', 'Ohio', 'Wood County', 'Perrysburg']","Perrysburg, Wood County",Adzuna::API::Response::Location,Scientific & QA Jobs,Adzuna::API::Response::Category,scientific-qa-jobs,part_time,contract
