title,adref,redirect_url,salary_max,latitude,description,longitude,salary_is_predicted,created,salary_min,id,__CLASS__,location.__CLASS__,location.area,location.display_name,company.display_name,company.__CLASS__,category.tag,category.label,category.__CLASS__,contract_time,contract_type
Fitness Advisor,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MTIzMTc1NiIsInMiOiJxT04xV2RsejhSRzV3cU54VWtMaEFBIn0.c7Y70OHnP6pTqK08tAL8dQD5QfrPy4fAfIvZAF2-Di4,https://www.adzuna.com/land/ad/5781231756?se=qON1Wdlz8RG5wqNxUkLhAA&utm_medium=api&utm_source=abfa41a4&v=FDF2EB7D2DB155F79168C8AAFD6E0798813FE0E7,52599.23,38.958506,"Job Description Job Description Benefits: 401(k) 401(k) matching Employee discounts Health insurance Paid time off Vision insurance This position provides information and guidance to prospective members regarding club facilities, programs, membership procedures and pricing, in addition to educating current, new and potential members on the benefits of regular exercise. OTE $48,000 1st Year Duties and Responsibilities: Assist in maintaining the profitability of the company through new members sa…",-94.619244,1,2026-06-29T12:31:11Z,52599.23,5781231756,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"['US', 'Kansas', 'Johnson County', 'Leawood']","Leawood, Johnson County",Genesis Health Clubs,Adzuna::API::Response::Company,sales-jobs,Sales Jobs,Adzuna::API::Response::Category,,
Family Nurse Practitioner - Urgent Care,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MTIzMTcyMyIsInMiOiJxT04xV2RsejhSRzV3cU54VWtMaEFBIn0.tEAr2C2olD4fnmZ1S_SFJTay5oi8MlCLUA3LIweBPuY,https://www.adzuna.com/land/ad/5781231723?se=qON1Wdlz8RG5wqNxUkLhAA&utm_medium=api&utm_source=abfa41a4&v=1AC7D70450169D340CDD785804A508C0E2F779C2,80290.72,32.300162,"Job Description Job Description Fast-growing, highest-rated urgent care clinic is looking to hire a Nurse Practitioner in the Las Cruces, New Mexico area! Are you a Nurse Practitioner seeking true clinical autonomy, outstanding compensation, flexible scheduling, and a better work-life balance? Join a modern urgent care practice serving an underserved community with innovative technology that helps you leave work at work. Company: Highest-rated urgent care clinic in the region with hundreds of 5…",-106.752951,1,2026-06-29T12:31:10Z,80290.72,5781231723,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"['US', 'New Mexico', 'Doña Ana County', 'Las Cruces']","Las Cruces, Doña Ana County",NP Now,Adzuna::API::Response::Company,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,,
"In-Home PD Dialysis Care Partner (1:1 Client) - Stamford, CT, 06905",eyJhbGciOiJIUzI1NiJ9.eyJzIjoicU9OMVdkbHo4Ukc1d3FOeFVrTGhBQSIsImkiOiI1NzgxMjMxNzMyIn0.T6kmXWnNmQJlilCc7Buess7P3urQuSgxKRtY3FjhTqo,https://www.adzuna.com/land/ad/5781231732?se=qON1Wdlz8RG5wqNxUkLhAA&utm_medium=api&utm_source=abfa41a4&v=B28E0865EAB195FB547E34FA848F7B15ED68DF2F,108761.67,41.1468,"Job Description Job Description Location: Stamford, CT, 06905 Compensation: $20 per hour Schedule: 7 days a week Start Date: ASAP About This Role We are seeking a compassionate and reliable Care Partner who is open to supporting in-home dialysis for a patient who currently receives dialysis in a clinic and will transition to receiving treatments at home. This role provides consistent, one-on-one support, not an agency rotation, allowing you to build rapport and become a trusted part of his week…",-73.4949,1,2026-06-29T12:31:10Z,108761.67,5781231732,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"['US', 'Connecticut', 'Fairfield County', 'New Canaan']","New Canaan, Fairfield County",Herewith Caregivers,Adzuna::API::Response::Company,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,,
Behavioral Health Specialist I,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MTIzMTcwNSIsInMiOiJxT04xV2RsejhSRzV3cU54VWtMaEFBIn0.7ki2jy2aqD-0EErgnc0XpB0sZYW809oiW6XlL4J-OKU,https://www.adzuna.com/land/ad/5781231705?se=qON1Wdlz8RG5wqNxUkLhAA&utm_medium=api&utm_source=abfa41a4&v=2F758A35B50B981E17C42C59C9E678B3045CEF8D,40188.82,38.596713,"Job Description Job Description GENERAL PURPOSE Under the administrative supervision of the Program Director or designee, this at-will direct service position is responsible for providing psychosocial, rehabilitation and recovery-oriented services for Turning Point members. This position also involves advocating for members in all areas of treatment and helping them apply for and receive services. Additional support in the areas of medication management, resource connection (e.g., housing resou…",-121.494174,1,2026-06-29T12:31:09Z,40188.82,5781231705,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"['US', 'California', 'Sacramento County', 'Sacramento']","Sacramento, Sacramento County",Turning Point Community Programs,Adzuna::API::Response::Company,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,,
Insurance Account Representative - State Farm Agent Team Member,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicU9OMVdkbHo4Ukc1d3FOeFVrTGhBQSIsImkiOiI1NzgxMjMxNzAyIn0.-SNizSR16-o2wciL0cb_CU_Qt2kAxYkVybXjLd2J5mM,https://www.adzuna.com/land/ad/5781231702?se=qON1Wdlz8RG5wqNxUkLhAA&utm_medium=api&utm_source=abfa41a4&v=519BD3C012FD1F66721942C13E9F8E88032C4B41,38141.6,39.412607,Job Description Job Description Benefits: Mentoring by an Agent with 18 Years Industry Experience 401(k) 401(k) matching Bonus based on performance Competitive salary Opportunity for advancement Paid time off Training & development Company parties QUALIFICATIONS:  Please do not apply for this position unless you are a Current and fully licensed producer in both Property and Casualty AND Life and Health or have experience as a State Farm Agent team member (please see and apply for our Account As…,-76.463574,1,2026-06-29T12:31:09Z,38141.6,5781231702,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"['US', 'Maryland', 'Baltimore County', 'Perry Hall']","Perry Hall, Baltimore County",Chris Greaver - State Farm Agent,Adzuna::API::Response::Company,sales-jobs,Sales Jobs,Adzuna::API::Response::Category,,
Front Desk,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicU9OMVdkbHo4Ukc1d3FOeFVrTGhBQSIsImkiOiI1NzgxMjMxNjk0In0.eApAPh77dUB1XPPAu5H2Hr4H0zIVxAd0gpgG8djGAlI,https://www.adzuna.com/land/ad/5781231694?se=qON1Wdlz8RG5wqNxUkLhAA&utm_medium=api&utm_source=abfa41a4&v=186A8CCAE44EEEEE51A729204C0482C5977319AC,30566.64,33.953792,"Job Description Job Description Benefits/Perks Careers Advancement Opportunities Flexible Scheduling Competitive Compensation paid commissions Job Summary We are seeking a friendly and organized Front Desk Associate to join our team! As the Front Desk Associate, you will be the first point of contact for our customers. You will greet customers as they arrive, direct them appropriately, answer phone calls, and maintain the front desk area. The ideal candidate has a cheerful disposition, excellen…",-118.352039,1,2026-06-29T12:31:09Z,30566.64,5781231694,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"['US', 'California', 'Los Angeles County', 'Inglewood']","Inglewood, Los Angeles County",The Camp Transformation Center - Fitness Facility,Adzuna::API::Response::Company,admin-jobs,Admin Jobs,Adzuna::API::Response::Category,,
Insurance Agent,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicU9OMVdkbHo4Ukc1d3FOeFVrTGhBQSIsImkiOiI1NzgxMjMxNjk1In0.fAyYF-vc9oPM2Sh_3kEGyiPRf0_nek-bLYoj0qOD1ks,https://www.adzuna.com/land/ad/5781231695?se=qON1Wdlz8RG5wqNxUkLhAA&utm_medium=api&utm_source=abfa41a4&v=E5BC4FF7111ACBC67D2277E97A1C37FC0102B1D6,79668.02,35.052993,Job Description Job Description The New York Life Insurance Agent’s role is all about building relationships with and providing the right products and services that can best meet the needs of their clients. Adding up to a rewarding career with a company that insists on doing right by their customers is simply part of who we are. What is expected of our Agents? Ability to understand the needs and financial concerns of clients. Ability to educate clients on how to plan ahead for the future financ…,-78.878706,1,2026-06-29T12:31:09Z,79668.02,5781231695,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"['US', 'North Carolina', 'Cumberland County', 'Fayetteville']","Fayetteville, Cumberland County",New York Life,Adzuna::API::Response::Company,accounting-finance-jobs,Accounting & Finance Jobs,Adzuna::API::Response::Category,,
Dental front desk/Biller,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicU9OMVdkbHo4Ukc1d3FOeFVrTGhBQSIsImkiOiI1NzgxMjMxNzAwIn0.0PIOVJSrcq0dvpPg1159KFzgb1fXHcrnvbneAtiPg1k,https://www.adzuna.com/land/ad/5781231700?se=qON1Wdlz8RG5wqNxUkLhAA&utm_medium=api&utm_source=abfa41a4&v=B6D360761A360200AA1983C7A7486BB3A3EE46E2,46344.25,,"Job Description Job Description We are seeking a Dental Front Desk/Biller to become an integral part of our team! You will compile data, compute charges, and prepare invoices. Responsibilities: Calculate costs of goods and services Track and record deliveries to customers Distribute invoices for sales review Keep accurate records in accordance with company standards Perform all other office tasks ​ Qualifications: Previous experience in billing, finance, or other related fields Experience in da…",,1,2026-06-29T12:31:09Z,46344.25,5781231700,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"['US', 'California', 'Los Angeles County', 'Los Angeles']","Los Angeles, Los Angeles County",ROBERT HAZANY D D S PROFESSIONAL,Adzuna::API::Response::Company,accounting-finance-jobs,Accounting & Finance Jobs,Adzuna::API::Response::Category,,
Weekend Concierge/Receptionist,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MTIzMTcwMyIsInMiOiJxT04xV2RsejhSRzV3cU54VWtMaEFBIn0.Mbc7c3RHYQ0gz8HrLNJ4MijOzu-qZfC0avnwtP17qwA,https://www.adzuna.com/land/ad/5781231703?se=qON1Wdlz8RG5wqNxUkLhAA&utm_medium=api&utm_source=abfa41a4&v=7F909A1F32D06A2A3027053D77AC166D23ACE551,27085.5,38.255693,"Job Description Job Description Welcome to Distinctive Living, we're seeking a part-time weekend Concierge for our Twinbrook Assisted Living Community located at 3525 Ephraim McDowell Drive, Louisville, KY 40205. Here at Distinctive Living, we want our people to realize their full potential. We're passionate about personal and professional growth and will do everything we can to help you flourish. We deeply care about our team-members and partners and strive to provide a culture where people fe…",-85.751283,1,2026-06-29T12:31:09Z,27085.5,5781231703,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"['US', 'Kentucky', 'Jefferson County', 'Louisville']","Louisville, Jefferson County",Twinbrook Assisted Living,Adzuna::API::Response::Company,admin-jobs,Admin Jobs,Adzuna::API::Response::Category,,
Automotive Sales Consultant,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MTIzMTcxNSIsInMiOiJxT04xV2RsejhSRzV3cU54VWtMaEFBIn0.aCaoMC_K-OpS8EQMOqEyYWJ1VtKHueXVyAhn_zs1eWU,https://www.adzuna.com/land/ad/5781231715?se=qON1Wdlz8RG5wqNxUkLhAA&utm_medium=api&utm_source=abfa41a4&v=F560CE8297DC8337561F25559A555CA7C6964B0B,81371.38,43.591382,"Job Description Job Description Van Horn Ford of Lomira has an excellent opportunity for an Automotive Sales Consultant No experience is necessary and we offer a paid training program with a guaranteed compensation plan for the first sixty days of employment! This is a salaried plus commission position with unlimited earning potential! If you are dedicated to providing an outstanding customer experience and want to work with a great team, we invite you to apply! Why work as a Sales Consultant a…",-88.443713,1,2026-06-29T12:31:09Z,81371.38,5781231715,Adzuna::API::Response::Job,Adzuna::API::Response::Location,"['US', 'Wisconsin', 'Dodge County', 'Lomira']","Lomira, Dodge County",Van Horn Automotive Group Inc,Adzuna::API::Response::Company,sales-jobs,Sales Jobs,Adzuna::API::Response::Category,,
