adref,salary_min,redirect_url,description,latitude,title,salary_is_predicted,id,created,__CLASS__,salary_max,longitude,category.label,category.__CLASS__,category.tag,location.display_name,location.__CLASS__,location.area,company.display_name,company.__CLASS__,contract_time,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY0VfaE5DcDI4Ukc1a2VZRWpWNjlxdyIsImkiOiI1Nzg1NjM2MzI5In0.GhEChmYdC5qn5cIV2j_KwKHSZndltmrNK-adN_SWIgU,168251.08,https://www.adzuna.com/land/ad/5785636329?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=D6229D6EA5BB70783973D71AD6FBE962B0896A53,"We are seeking an experienced Senior Front-End Software Developer who will be supporting the development of highly visible, mission-critical cloud-native applications that provide advanced Situational Awareness and Collaboration capabilities. This role focuses on building modern, responsive, and data-rich user interfaces that consume real-time information from distributed backend systems. The successful candidate will have deep expertise in JavaScript and TypeScript development, experience buil…",39.644001,Front-End Developer with Security Clearance,1,5785636329,2026-07-02T11:12:41Z,Adzuna::API::Response::Job,168251.08,-104.902639,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Castlewood, Centennial",Adzuna::API::Response::Location,"['US', 'Colorado', 'Arapahoe County', 'Centennial', 'Castlewood']",Everforth,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4NTYzNjMxNiIsInMiOiJjRV9oTkNwMjhSRzVrZVlFalY2OXF3In0.S6kHGqMpF4wfg9OPh4_ehL61bGNzUnM6hSNpXhorwIg,98764.27,https://www.adzuna.com/land/ad/5785636316?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=3F51BFA40F94D3FCEC3BD37B544DEF8F37925746,"Position: Technical Writer Location: Lawrenceville, GA 30046 Mode Of Work: Onsite Mode Of Hire: Contract Position Description: The Technical Writer’s role is to develop written information about the organization’s computing systems that aid in their development, use, and support. Outputs include a range of documents to be read by both technical and non-technical personnel across all departments. Minimum Qualifications: · 2 years equivalent work experience · Degree in the field of English, Commu…",34.005,Technical Writer-Local Only,1,5785636316,2026-07-02T11:12:38Z,Adzuna::API::Response::Job,98764.27,-84.015,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Lawrenceville, Gwinnett County",Adzuna::API::Response::Location,"['US', 'Georgia', 'Gwinnett County', 'Lawrenceville']",InfiCare,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY0VfaE5DcDI4Ukc1a2VZRWpWNjlxdyIsImkiOiI1Nzg1NjM2MzE3In0.tiIEEqHLEaNvb09uKk68icfniA75FKxI7zy1WpSkdnQ,113359.45,https://www.adzuna.com/land/ad/5785636317?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=477AEA418ACE734FADFBBE4EB30B181589BC3C1F,"Job Title: Cybersecurity Project Manager Location: Atlanta, GA Must have skills: Cloud Security - General Experience, Project Management methodologies (Strong), Secure Coding Practices - General Experience, Security Road mapping Job Description: Lead the organization's information security risk management program, owning the GRC governance framework that ensures every technology initiative meets security, compliance, and regulatory requirements across the full software delivery lifecycle. Serve…",33.7487,Cybersecurity Project Manager,1,5785636317,2026-07-02T11:12:38Z,Adzuna::API::Response::Job,113359.45,-84.3879,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Northlake, DeKalb County",Adzuna::API::Response::Location,"['US', 'Georgia', 'DeKalb County', 'Northlake']","AIT Global, Inc.",Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4NTYzNjMxMiIsInMiOiJjRV9oTkNwMjhSRzVrZVlFalY2OXF3In0.1stzpqv30tewEFzekRK4V6v3118P5DpIO0ywsiZCbU4,196250.12,https://www.adzuna.com/land/ad/5785636312?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=95782C02CF795B43795F6F8F21C3C8C58A7AD75C,"Crypto Technical Project Manager Locations: Southlake, TX; Austin, TX Role Summary Lead execution across crypto custody, blockchain integration, and tokenization programs while owning and operationalizing an AI-centric development life cycle. The posting describes this as a role accountable not only for delivery outcomes, but also for how work gets executed in a highly regulated, high-risk domain. Key Responsibilities Own end-to-end execution of the crypto custody, blockchain, and tokenization …",30.320233,Crypto Technical Project Manager,1,5785636312,2026-07-02T11:12:38Z,Adzuna::API::Response::Job,196250.12,-97.865683,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Bee Cave, Travis County",Adzuna::API::Response::Location,"['US', 'Texas', 'Travis County', 'Bee Cave']",Purple Drive Technologies LLC,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY0VfaE5DcDI4Ukc1a2VZRWpWNjlxdyIsImkiOiI1Nzg1NjM2MzE5In0.SOScpzcvsX1BtCTqRjLPuTM5RoV0G5S4u3_d1ncvwdE,159755.77,https://www.adzuna.com/land/ad/5785636319?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=385A46A3CDEDC5CEE1E8137DEB873A5B09B841A3,"Job Title Senior Business Analyst (Hybrid Onsite) Location Lansing, MI Duration 12 months Pay Rate $65/hr on C2C / 1099 all inclusive (OR) $60/hr on W2 Interview Type Virtual Note -Assignment duration: 1yr contract that can extend, dependent on business need -Interview process: 1st round is a 30 minute virtual interview on Teams. Next round is a one hour in-person interview at the office. First round interview will be focused on the experience listed on the candidate's resume and soft skills. T…",42.7039,Senior Business Analyst (Hybrid Onsite),1,5785636319,2026-07-02T11:12:38Z,Adzuna::API::Response::Job,159755.77,-84.6228,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Dimondale, Eaton County",Adzuna::API::Response::Location,"['US', 'Michigan', 'Eaton County', 'Dimondale']",GSK Solutions Inc.,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4NTYzNjMyMyIsInMiOiJjRV9oTkNwMjhSRzVrZVlFalY2OXF3In0.ln4KzbZbKVRcgd62Y5BaDs0nROdrXE_13-YhWZltZk4,107536.6,https://www.adzuna.com/land/ad/5785636323?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=7C347715258CC0B411B02ED6CF0076D61524A678,"We are seeking a talented Front-End Developer with strong expertise in Angular to build responsive, scalable, and high-performance web applications. The ideal candidate will have experience developing modern user interfaces, collaborating with cross-functional teams, and delivering high-quality solutions that enhance user experience.",33.64578,"Front-End Developer -Lake Forest, CA",1,5785636323,2026-07-02T11:12:38Z,Adzuna::API::Response::Job,107536.6,-117.66912,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Lake Forest, Orange County",Adzuna::API::Response::Location,"['US', 'California', 'Orange County', 'Lake Forest']",mProgen,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4NTYzNjMxNCIsInMiOiJjRV9oTkNwMjhSRzVrZVlFalY2OXF3In0.w2L4J_wAFYsbHFs2ZNBVEdqMzNyq-c_2UHGAIP6CAng,130591.45,https://www.adzuna.com/land/ad/5785636314?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=63EE34B6AA9D26A4C8EB6A048343B64FD7F507D6,"AI Risk & Compliance Analyst Manhattan NY or Charlotte NC - Hybrid W2 Position Overview We are seeking an experienced AI Risk & Compliance Analyst to support the governance, assessment, and oversight of AI initiatives across the enterprise. This is a hands-on role for a practitioner with direct experience in AI governance, AI risk management, responsible AI, regulatory compliance, and cross-functional stakeholder engagement. The ideal candidate will help strengthen AI governance processes by ma…",40.75284,AI Risk & Compliance Analyst,1,5785636314,2026-07-02T11:12:38Z,Adzuna::API::Response::Job,130591.45,-73.97528,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Grand Central, Manhattan",Adzuna::API::Response::Location,"['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']",Arnex Solutions LLC,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4NTYzNjMwOSIsInMiOiJjRV9oTkNwMjhSRzVrZVlFalY2OXF3In0.AUdM5gAMAgcSA-DVSAZ8kaifbVxVvac8DmZ9B-SnrkQ,83322.02,https://www.adzuna.com/land/ad/5785636309?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=19E8F1743D3605DBA74FA6074C79908792759F81,"Job Title: QA Automation Engineer Location: Fort Washington, PA - Onsite Job Description: Develop, execute, and maintain test plans, test cases, and test scripts for real-time control systems Collaborate with cross-functional and multi-site teams to review and refine software requirements Perform functional, integration, system, and regression testing on semiconductor equipment software Identify, document, and track defects through resolution using standard defect management tools Design and im…",40.13748,QA Automation Engineer,1,5785636309,2026-07-02T11:12:37Z,Adzuna::API::Response::Job,83322.02,-75.20796,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Upper Dublin, Montgomery County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Montgomery County', 'Upper Dublin']","AIT Global, Inc.",Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4NTYzNjMwNCIsInMiOiJjRV9oTkNwMjhSRzVrZVlFalY2OXF3In0.8znHwgmtDu9pgOg3Bm9Rd06VDuGbuiCsotjs-v_NqP0,73495.04,https://www.adzuna.com/land/ad/5785636304?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=79C19583A75CFA5D578C089EBCC5EB5D5D5AD59F,"QA Automation (SDET) Engineer Dallas, TX In-person interview with client for Final Round is a must. ( Locations for in person: Dallas, TX/ Chicago, IL / Durham, NC / New York, NY) As an SDET, you will leverage your strong software engineering and test automation expertise to design, develop, and maintain robust testing solutions that ensure the quality and reliability of customer-facing applications. Your responsibilities will include building and enhancing automated test frameworks, integratin…",30.297984,QA Automation Engineer (SDET),1,5785636304,2026-07-02T11:12:35Z,Adzuna::API::Response::Job,73495.04,-97.801952,IT Jobs,Adzuna::API::Response::Category,it-jobs,"West Lake Hills, Travis County",Adzuna::API::Response::Location,"['US', 'Texas', 'Travis County', 'West Lake Hills']",Photon,Adzuna::API::Response::Company,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY0VfaE5DcDI4Ukc1a2VZRWpWNjlxdyIsImkiOiI1Nzg1NjM2Mjk5In0.fvpsUstD1oh1qmQ3FhM4jWa9mkktRHL34bwkEWLVw98,207868.97,https://www.adzuna.com/land/ad/5785636299?se=cE_hNCp28RG5keYEjV69qw&utm_medium=api&utm_source=abfa41a4&v=9844719BE8BE9B67C52E80DC858E810A7EBE7C54,"Auto req ID 1652577BR SR Number DBS/DBS-/ Designation Contractor No. of Positions 1 Job Description (Posting). Job Title: Salesforce Lead Developer (Copado DevOps) Mandatory skills: Copado Detailed Job Description: Role Overview We are seeking a Salesforce Lead Developer with strong expertise in Apex, LWC, and Flows, and proven experience in Copado DevOps. Experience in Salesforce Financial Services Cloud (FSC) is a strong plus. Key Responsibilities Lead Salesforce solution design, architecture…",33.0234,Salesforce Apex Senior Technical Lead,1,5785636299,2026-07-02T11:12:35Z,Adzuna::API::Response::Job,207868.97,-96.69858,IT Jobs,Adzuna::API::Response::Category,it-jobs,"Plano, Collin County",Adzuna::API::Response::Location,"['US', 'Texas', 'Collin County', 'Plano']",Aroha Technologies,Adzuna::API::Response::Company,,
