salary_is_predicted,contract_time,adref,__CLASS__,contract_type,title,latitude,salary_min,redirect_url,salary_max,created,description,longitude,id,category.tag,category.label,category.__CLASS__,company.display_name,company.__CLASS__,location.__CLASS__,location.display_name,location.area
0,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4Njk3NTI1MSIsInMiOiI3aUYtYXZKMjhSRy0ydEhBeE5BblpRIn0.vIOvr7CKtmAUlrqLx2zhwtVVywqrmEkEgqlbLOfzITs,Adzuna::API::Response::Job,permanent,Electrical Superintendent - OCONUS,39.117388,126000.0,https://www.adzuna.com/details/5786975251?utm_medium=api&utm_source=abfa41a4,168000.0,2026-07-03T11:07:20Z,Job Title: OCONUS Electrical Superintendent This is a full-time permanent direct placement opportunity. Company Overview: Our client is a dynamic construction company specializing in delivering exceptional electrical solutions for international projects. Their team collaborates closely with clients and subcontractors from diverse cultural backgrounds to ensure the highest standards of safety and quality in every project. We pride ourselves on maintaining strong relationships with stakeholders w…,-94.626957,5786975251,engineering-jobs,Engineering Jobs,Adzuna::API::Response::Category,Blueprint Staffing,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Kansas City, Wyandotte County","['US', 'Kansas', 'Wyandotte County', 'Kansas City']"
0,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4Njk3NTI0NyIsInMiOiI3aUYtYXZKMjhSRy0ydEhBeE5BblpRIn0.sl9Vm8_KlAQ-QjBJW3CGBuk4QHGjruXbAtoWr8ys7s4,Adzuna::API::Response::Job,permanent,Federal Construction Estimator,,80000.0,https://www.adzuna.com/details/5786975247?utm_medium=api&utm_source=abfa41a4,120000.0,2026-07-03T11:07:20Z,"Job Title: Federal Construction Estimator This is a full-time permanent direct placement role that can work out of either of their Cleveland, OH or Tampa, FL offices. Company Overview: Join our client's dynamic team at a leading construction firm specializing in healthcare and Federal contracting. With a strong presence in the industry and a commitment to excellence, they pride ourselves on delivering high-quality renovation and new construction projects. Their focus on collaboration, employee …",,5786975247,trade-construction-jobs,Trade & Construction Jobs,Adzuna::API::Response::Category,Blueprint Staffing,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Cleveland, Cuyahoga County","['US', 'Ohio', 'Cuyahoga County', 'Cleveland']"
0,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN2lGLWF2SjI4UkctMnRIQXhOQW5aUSIsImkiOiI1Nzg2OTc1MjQ4In0.PVXvmGo5yEdp8KVdH9s4ysnIcHsuy2lDLpqMWn2LYCg,Adzuna::API::Response::Job,permanent,Federal Construction Estimator,27.955269,80000.0,https://www.adzuna.com/details/5786975248?utm_medium=api&utm_source=abfa41a4,120000.0,2026-07-03T11:07:20Z,"Job Title: Federal Construction Estimator This is a full-time permanent direct placement role that can work out of either of their Cleveland, OH or Tampa, FL offices. Company Overview: Join our client's dynamic team at a leading construction firm specializing in healthcare and Federal contracting. With a strong presence in the industry and a commitment to excellence, they pride ourselves on delivering high-quality renovation and new construction projects. Their focus on collaboration, employee …",-82.45632,5786975248,trade-construction-jobs,Trade & Construction Jobs,Adzuna::API::Response::Category,Blueprint Staffing,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Tampa, Hillsborough County","['US', 'Florida', 'Hillsborough County', 'Tampa']"
0,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN2lGLWF2SjI4UkctMnRIQXhOQW5aUSIsImkiOiI1Nzg2OTc1MjU3In0.xUKUUY3Ys7muvm06FINQM8gc9wymtH9zl1FXg-zrwy8,Adzuna::API::Response::Job,permanent,Mechanical Superintendent - OCONUS,27.955269,126000.0,https://www.adzuna.com/details/5786975257?utm_medium=api&utm_source=abfa41a4,168000.0,2026-07-03T11:07:20Z,"Job Title: Mechanical Superintendent This is a full-time permanent direct placement opportunity. Company Overview: Our client is a leading construction firm that values innovation, collaboration, and integrity. They are dedicated to delivering high-quality mechanical and construction solutions while fostering a spirit of cooperation among all project stakeholders. Our commitment to excellence is reflected in the dedication of our professionals and the successful partnerships we build with clien…",-82.45632,5786975257,trade-construction-jobs,Trade & Construction Jobs,Adzuna::API::Response::Category,Blueprint Staffing,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Tampa, Hillsborough County","['US', 'Florida', 'Hillsborough County', 'Tampa']"
0,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4Njk3NTI1NSIsInMiOiI3aUYtYXZKMjhSRy0ydEhBeE5BblpRIn0.xJmJAPyz_IOk5knUTpuFSu5tBONVemDlSNkmEZh7tWU,Adzuna::API::Response::Job,permanent,Electrical Superintendent - OCONUS,32.746598,126000.0,https://www.adzuna.com/details/5786975255?utm_medium=api&utm_source=abfa41a4,168000.0,2026-07-03T11:07:20Z,Job Title: OCONUS Electrical Superintendent This is a full-time permanent direct placement opportunity. Company Overview: Our client is a dynamic construction company specializing in delivering exceptional electrical solutions for international projects. Their team collaborates closely with clients and subcontractors from diverse cultural backgrounds to ensure the highest standards of safety and quality in every project. We pride ourselves on maintaining strong relationships with stakeholders w…,-97.329199,5786975255,engineering-jobs,Engineering Jobs,Adzuna::API::Response::Category,Blueprint Staffing,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Fort Worth, Tarrant County","['US', 'Texas', 'Tarrant County', 'Fort Worth']"
0,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN2lGLWF2SjI4UkctMnRIQXhOQW5aUSIsImkiOiI1Nzg2OTc1MjUzIn0.yTvQuQfHRAe9y-FNI8xlqqNCFW-oP2g1qsXc6ts236A,Adzuna::API::Response::Job,permanent,Mechanical Superintendent - OCONUS,35.960508,126000.0,https://www.adzuna.com/details/5786975253?utm_medium=api&utm_source=abfa41a4,168000.0,2026-07-03T11:07:20Z,"Job Title: Mechanical Superintendent This is a full-time permanent direct placement opportunity. Company Overview: Our client is a leading construction firm that values innovation, collaboration, and integrity. They are dedicated to delivering high-quality mechanical and construction solutions while fostering a spirit of cooperation among all project stakeholders. Our commitment to excellence is reflected in the dedication of our professionals and the successful partnerships we build with clien…",-83.919508,5786975253,trade-construction-jobs,Trade & Construction Jobs,Adzuna::API::Response::Category,Blueprint Staffing,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Knoxville, Knox County","['US', 'Tennessee', 'Knox County', 'Knoxville']"
0,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN2lGLWF2SjI4UkctMnRIQXhOQW5aUSIsImkiOiI1Nzg2OTc1MjQ5In0.mr_ai59yP6Ruet01gTRNyw-WRvtKrMl1EahgTbS-AGk,Adzuna::API::Response::Job,permanent,Electrical Superintendent - OCONUS,40.103832,126000.0,https://www.adzuna.com/details/5786975249?utm_medium=api&utm_source=abfa41a4,168000.0,2026-07-03T11:07:20Z,Job Title: OCONUS Electrical Superintendent This is a full-time permanent direct placement opportunity. Company Overview: Our client is a dynamic construction company specializing in delivering exceptional electrical solutions for international projects. Their team collaborates closely with clients and subcontractors from diverse cultural backgrounds to ensure the highest standards of safety and quality in every project. We pride ourselves on maintaining strong relationships with stakeholders w…,-83.020025,5786975249,engineering-jobs,Engineering Jobs,Adzuna::API::Response::Category,Blueprint Staffing,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Columbus, Franklin County","['US', 'Ohio', 'Franklin County', 'Columbus']"
0,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4Njk3NTI1MCIsInMiOiI3aUYtYXZKMjhSRy0ydEhBeE5BblpRIn0.M8wO9EuJjYb4W4S0BKAuh9Rr_GfvyoNaAYyCNQY_ajY,Adzuna::API::Response::Job,permanent,Mechanical Superintendent - OCONUS,32.726967,126000.0,https://www.adzuna.com/details/5786975250?utm_medium=api&utm_source=abfa41a4,168000.0,2026-07-03T11:07:20Z,"Job Title: Mechanical Superintendent This is a full-time permanent direct placement opportunity. Company Overview: Our client is a leading construction firm that values innovation, collaboration, and integrity. They are dedicated to delivering high-quality mechanical and construction solutions while fostering a spirit of cooperation among all project stakeholders. Our commitment to excellence is reflected in the dedication of our professionals and the successful partnerships we build with clien…",-117.164709,5786975250,trade-construction-jobs,Trade & Construction Jobs,Adzuna::API::Response::Category,Blueprint Staffing,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"San Diego, San Diego County","['US', 'California', 'San Diego County', 'San Diego']"
0,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4Njk3NTI1NiIsInMiOiI3aUYtYXZKMjhSRy0ydEhBeE5BblpRIn0.tLFKeSKjIIsgGd5aSz5xFQHQfawAKvN6LgMofKR5lUg,Adzuna::API::Response::Job,permanent,Architectural Superintendent - OCONUS,32.290773,126000.0,https://www.adzuna.com/details/5786975256?utm_medium=api&utm_source=abfa41a4,168000.0,2026-07-03T11:07:20Z,"Job Title: Architectural Superintendent This is a full-time permanent direct placement opportunity. Company Overview: Join a well-established construction firm renowned for delivering exceptional projects within the Federal sectors across the globe. They prioritize collaboration and communication, diligently working with clients, subcontractors, and design teams to ensure excellence throughout all stages of construction. The estimated pay range for this role is $126,000 - $168,000 based on expe…",-90.184622,5786975256,trade-construction-jobs,Trade & Construction Jobs,Adzuna::API::Response::Category,Blueprint Staffing,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Jackson, Hinds County","['US', 'Mississippi', 'Hinds County', 'Jackson']"
1,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN2lGLWF2SjI4UkctMnRIQXhOQW5aUSIsImkiOiI1Nzg2OTc1MTU3In0.YR61DaDMWBVj49pl02I4q9GpZ-lAh7PFhyhImNNleak,Adzuna::API::Response::Job,permanent,Commercial Account Director,38.884513,136160.34,https://www.adzuna.com/details/5786975157?utm_medium=api&utm_source=abfa41a4,136160.34,2026-07-03T11:07:07Z,"About the role The Account Director (USA) will expand our commercial client-base and be responsible for implementing an effective business development & customer acquisition strategy – including identifying new markets, leads & opportunities and increasing the level of customer engagement to hit a revenue target. Responsibilities Implementing the USA sales and business development: Work with Director Americas Commercial Sales to implement the sales and business development strategy. Maintain a …",-77.093858,5786975157,sales-jobs,Sales Jobs,Adzuna::API::Response::Category,Fivecast,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Arlington, Arlington County","['US', 'Virginia', 'Arlington County', 'Arlington']"
0,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN2lGLWF2SjI4UkctMnRIQXhOQW5aUSIsImkiOiI1Nzg2OTc1MTQ5In0.OduzAYxctkoQRdr79Emwjh3qX5MK77CYTLNYhcMZMzs,Adzuna::API::Response::Job,,"Travel Surgical Technologist - $2,055 per week",39.73071,0.0,https://www.adzuna.com/land/ad/5786975149?se=7iF-avJ28RG-2tHAxNAnZQ&utm_medium=api&utm_source=abfa41a4&v=954C29BD50D4BA94DF26FFC6A57ED5EA3407F48F,106860.0,2026-07-03T11:07:06Z,"Cross Country Nurses is seeking a travel Surgical Technologist for a travel job in Golden, Colorado. Job Description & Requirements Specialty: Surgical Technologist Discipline: Allied Health Professional Start Date: 07/20/2026 Duration: 13 weeks 40 hours per week Shift: 10 hours, nights Employment Type: Travel Job Summary: The operating room technician is a vital member of the surgical team in the healthcare facility located in Golden, Colorado. This role involves supporting the surgical proces…",-105.19608,5786975149,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Cross Country Nurses,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Golden, Jefferson County","['US', 'Colorado', 'Jefferson County', 'Golden']"
0,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4Njk3NTAxMiIsInMiOiI3aUYtYXZKMjhSRy0ydEhBeE5BblpRIn0.V7Ff8EcUh91bN8Zxi8ax_hHkpHD0zx_JpCBspJCymwI,Adzuna::API::Response::Job,,"Travel Skilled Nursing Facility (SNF) Certified Occupational Therapy Assistant - Paying up to $1,650/week",31.061504,0.0,https://www.adzuna.com/land/ad/5786975012?se=7iF-avJ28RG-2tHAxNAnZQ&utm_medium=api&utm_source=abfa41a4&v=C001AEE271F676610C29075B19FFD8F8CA1AE4E7,85800.0,2026-07-03T11:07:02Z,"Vivian is looking for Travel Certified Occupational Therapy Assistant Therapys in Moreauville, Louisiana paying up to $1,650/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, locati…",-91.926032,5786975012,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Vivian Health,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Voorhies, Avoyelles Parish","['US', 'Louisiana', 'Avoyelles Parish', 'Voorhies']"
0,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN2lGLWF2SjI4UkctMnRIQXhOQW5aUSIsImkiOiI1Nzg2OTc0OTgwIn0.tfkmZ2BPrjJl3u_V7fcQOyufXyVmyq5uaE95FumaPfA,Adzuna::API::Response::Job,,"Travel Physical Therapist - Paying up to $2,889/week",34.40538,0.0,https://www.adzuna.com/land/ad/5786974980?se=7iF-avJ28RG-2tHAxNAnZQ&utm_medium=api&utm_source=abfa41a4&v=465979A91540FE36C4F6C3BAF5500E2F2DE1ADA9,150228.0,2026-07-03T11:07:01Z,"Vivian is looking for Travel Physical Therapist Therapys in Clovis, New Mexico paying up to $2,889/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover job…",-103.24842,5786974980,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Vivian Health,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Clovis, Curry County","['US', 'New Mexico', 'Curry County', 'Clovis']"
0,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN2lGLWF2SjI4UkctMnRIQXhOQW5aUSIsImkiOiI1Nzg2OTc0OTcyIn0.nCaBrMIdjJwHbFR52oTPe4tgY23tiMaY-NOzT6xp4ao,Adzuna::API::Response::Job,,"Travel Outpatient Physical Therapist - Paying up to $2,662/week",35.18105,0.0,https://www.adzuna.com/land/ad/5786974972?se=7iF-avJ28RG-2tHAxNAnZQ&utm_medium=api&utm_source=abfa41a4&v=0D009C47F55C2670FE6B8F5AA177943F9E4D9246,138424.0,2026-07-03T11:07:01Z,"Vivian is looking for Travel Physical Therapist Therapys in Franklin, North Carolina paying up to $2,662/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discov…",-83.381809,5786974972,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Vivian Health,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Franklin, Macon County","['US', 'North Carolina', 'Macon County', 'Franklin']"
