salary_max,adref,longitude,salary_min,created,id,__CLASS__,title,latitude,salary_is_predicted,redirect_url,description,location.area,location.display_name,location.__CLASS__,category.tag,category.__CLASS__,category.label,company.display_name,company.__CLASS__,contract_time,contract_type
69669.43,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4ODA2MDUwMCIsInMiOiJNREwxdmJaMzhSR3c5OURTQndhSXl3In0.P1L0CiJhk6cRv_JR7utePrM1L4aoAmAn54-SoS5CrnU,-84.577931,69669.43,2026-07-04T10:22:24Z,5788060500,Adzuna::API::Response::Job,Therapy,33.285518,1,https://www.adzuna.com/details/5788060500?utm_medium=api&utm_source=abfa41a4,"Are you ready to take your Travel career to the next level? See places you have not seen before? Ventura’s MedStaff tenured Recruiters are here to help you find your ideal contract; with over 50 years of combined experience. Markets have changed, but Ventura MedStaff has maintained a leader in the forefront of Therapy, Allied and Nursing opportunities. Our recruiters are here to help answer your questions and provide you with the most up to date information. Contracts run 8-13 weeks, with 36–40…","['US', 'Georgia', 'Coweta County', 'Senoia']","Senoia, Coweta County",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,0010-1483,Adzuna::API::Response::Company,,
130000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4ODA1ODYzOSIsInMiOiJNREwxdmJaMzhSR3c5OURTQndhSXl3In0.jetHDexwKWoYBFxLTMUjP2UgWQTxrZMmzDfzWPTvJx4,-123.084706,125000.0,2026-07-04T10:22:07Z,5788058639,Adzuna::API::Response::Job,Director of Career Communities,44.063717,0,https://www.adzuna.com/details/5788058639?utm_medium=api&utm_source=abfa41a4,"Department: Office of the Provost Appointment Type and Duration: Regular, Ongoing Salary: $ 125,000-$130,000 per year Compensation Band: OS-OA10-Fiscal Year 2025-2026 FTE: 1.0 Application Review Begins April 23, 2026; open until filled Special Instructions to Applicants Please include the following documents with your online application: 1. Resume 2. Names of at least three professional references, their e-mail addresses, and telephone numbers. Department Summary The Office of the Provost (OtP)…","['US', 'Oregon', 'Lane County', 'Eugene']","Eugene, Lane County",Adzuna::API::Response::Location,admin-jobs,Adzuna::API::Response::Category,Admin Jobs,UO HR Website,Adzuna::API::Response::Company,full_time,
52000.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTURMMXZiWjM4Ukd3OTlEU0J3YUl5dyIsImkiOiI1Nzg4MDU0NjI2In0.TKt_QpQpiad9hWfyVqE7QLXs_CLHg3YQba5yy6ncz3g,-111.037088,38480.0,2026-07-04T10:21:47Z,5788054626,Adzuna::API::Response::Job,Full Time Teller - Thornydale,32.337235,0,https://www.adzuna.com/details/5788054626?utm_medium=api&utm_source=abfa41a4,"Full-Time Teller Job Summary: In this role you will serve as the face of the credit union, providing exceptional service to members through daily financial transactions and account assistance. As a teller, you will process deposits, withdrawals, and payments and other basic account services accurately and efficiently. You’ll also educate members about credit union products and services that may benefit them, ensuring positive and welcoming experiences with each interaction. Salary: $18.50-$25.0…","['US', 'Arizona', 'Pima County', 'Cortaro']","Cortaro, Pima County",Adzuna::API::Response::Location,accounting-finance-jobs,Adzuna::API::Response::Category,Accounting & Finance Jobs,Hughes Federal Credit Union,Adzuna::API::Response::Company,full_time,
55729.69,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4ODA1NDIyOSIsInMiOiJNREwxdmJaMzhSR3c5OURTQndhSXl3In0.ky-FoCu-C_EpEv6tGE3f3NxxabMMdVdbcgdq__2berc,-100.718953,55729.69,2026-07-04T10:21:44Z,5788054229,Adzuna::API::Response::Job,Assistant Store Manager,46.822464,1,https://www.adzuna.com/details/5788054229?utm_medium=api&utm_source=abfa41a4,"Description The Assistant Store Manager works with the store manager to organize, plan, and implement strategies in a Sherwin-Williams paint store. This includes supporting all aspects of store operations, including customer service, marketing, merchandising, inventory, finances, and store safety. This role will assist in supervising and training store staff and be responsible for contacting customers to generate sales leads. This position’s typical schedule is 44 hours per week, which may incl…","['US', 'North Dakota', 'Burleigh County', 'Bismarck']","Bismarck, Burleigh County",Adzuna::API::Response::Location,retail-jobs,Adzuna::API::Response::Category,Retail Jobs,Sherwin-Williams,Adzuna::API::Response::Company,,
174812.34,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4ODA1MTEzNSIsInMiOiJNREwxdmJaMzhSR3c5OURTQndhSXl3In0.lmSpeidwairleHrsQ_XrzM85atCknVVWkmRvRZmPpz0,-95.559489,174812.34,2026-07-04T10:21:26Z,5788051135,Adzuna::API::Response::Job,Lead Commissioning Engineer,29.745545,1,https://www.adzuna.com/details/5788051135?utm_medium=api&utm_source=abfa41a4,"Wunderlich-Malec Engineering (WM) is a 100% employee-owned ESOP and one of the largest and most well-established engineering companies in the United States. When you join WM you become part of a company that is: 100% employee-owned with 40 years of industry history ENR (Engineering News Record) Top 500 firm Rated as a top System Integrator Giant We have a Lead Commissioning Engineer opportunity available in Houston, TX. The Lead Commissioning/Testing Engineer will be responsible for testing/com…","['US', 'Texas', 'Harris County', 'Houston', 'Walnut Bend']","Walnut Bend, Houston",Adzuna::API::Response::Location,engineering-jobs,Adzuna::API::Response::Category,Engineering Jobs,Wunderlich-Malec Careers,Adzuna::API::Response::Company,full_time,
28080.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4ODA0OTIwNyIsInMiOiJNREwxdmJaMzhSR3c5OURTQndhSXl3In0.ltULrWUPkJCr2q-ZU5EMjArnxvlypjDAt_IDEwPuIlw,-80.128901,27040.0,2026-07-04T10:21:06Z,5788049207,Adzuna::API::Response::Job,Nights/Weekends Merchandise Associate,26.124272,0,https://www.adzuna.com/details/5788049207?utm_medium=api&utm_source=abfa41a4,"HomeGoods At TJX Companies, every day brings new opportunities for growth, exploration, and achievement. You’ll be part of our vibrant team that embraces diversity, fosters collaboration, and prioritizes your development. Whether you’re working in our four global Home Offices, Distribution Centers or Retail Stores—TJ Maxx, Marshalls, Homegoods, Homesense, Sierra, Winners, and TK Maxx, you’ll find abundant opportunities to learn, thrive, and make an impact. Come join our TJX family—a Fortune 100…","['US', 'Florida', 'Broward County', 'Fort Lauderdale']","Fort Lauderdale, Broward County",Adzuna::API::Response::Location,retail-jobs,Adzuna::API::Response::Category,Retail Jobs,HomeGoods,Adzuna::API::Response::Company,part_time,
219430.73,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTURMMXZiWjM4Ukd3OTlEU0J3YUl5dyIsImkiOiI1Nzg4MDQ4MzE0In0.OdICV9U2Vi5ski7ly_oDa7Oams2tkMtDC_OUAagZxWk,-119.80195,219430.73,2026-07-04T10:20:53Z,5788048314,Adzuna::API::Response::Job,"Veterinarian DVM – Fresno, California",36.842017,1,https://www.adzuna.com/details/5788048314?utm_medium=api&utm_source=abfa41a4,"Veterinarian DVM – Fresno, California An established companion-animal practice is seeking a dedicated Veterinarian to join a collaborative clinical environment focused on delivering high-quality patient care and exceptional client service. This opportunity offers strong professional development support, advanced medical resources, and a positive team culture designed to help veterinarians grow clinically and professionally while maintaining long-term career stability. Key Responsibilities Diagn…","['US', 'California', 'Fresno County', 'Fresno']","Fresno, Fresno County",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Desort,Adzuna::API::Response::Company,full_time,
76100.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTURMMXZiWjM4Ukd3OTlEU0J3YUl5dyIsImkiOiI1Nzg4MDQ4MDMxIn0.HxFPxqM3CnVsBaQEzuszSj5dYmJ8mLmp4i7TAZuBb-E,-93.550907,57900.0,2026-07-04T10:20:49Z,5788048031,Adzuna::API::Response::Job,Property Manager,44.842253,0,https://www.adzuna.com/details/5788048031?utm_medium=api&utm_source=abfa41a4,"Roers Companies is seeking an energetic, dedicated professional to join our team in Chanhassen, MN as a Property Manager at Harlow! About Us Roers Companies is a 2025 USA Today Top Workplace and a national leader in multifamily real estate investment, development, construction, and property management. Headquartered in Plymouth, Minnesota, we’re on a mission to elevate multifamily housing by developing and operating market-rate and affordable apartments in growing neighborhoods. Since our found…","['US', 'Minnesota', 'Carver County', 'Chanhassen']","Chanhassen, Carver County",Adzuna::API::Response::Location,property-jobs,Adzuna::API::Response::Category,Property Jobs,ROERS COMPANIES,Adzuna::API::Response::Company,full_time,
45893.05,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4ODA0Njk0NSIsInMiOiJNREwxdmJaMzhSR3c5OURTQndhSXl3In0.AV1ZUeva3Pf-_WeMmxoNPIUWK2BZudcLfMnQIC3cQ8E,-80.682155,45893.05,2026-07-04T10:20:35Z,5788046945,Adzuna::API::Response::Job,"Entry Level Associate Neurophysiologist (Parkersburg, WV)",38.771041,1,https://www.adzuna.com/details/5788046945?utm_medium=api&utm_source=abfa41a4,"NuVasive Clinical Services, a subsidiary of Globus Medical Inc., is a leading provider of intraoperative neuromonitoring (IOM) services to surgeons and healthcare facilities. IOM technology gives those in the operating room real-time insight into the nervous system, which can help surgeons reduce surgical risk by providing critical information and alerts throughout the procedure. Entry level. Full training provided! Position Summary: As a Neuromonitoring Specialist/Associate Neurophysiologist a…","['US', 'West Virginia']","West Virginia, US",Adzuna::API::Response::Location,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,Globus Medical,Adzuna::API::Response::Company,full_time,
51625.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTURMMXZiWjM4Ukd3OTlEU0J3YUl5dyIsImkiOiI1Nzg4MDQ2OTE0In0.h7Va-E-Zyh50aBkoooFZCFS0wBw8-X9ru2-Yov-6bhc,,42494.0,2026-07-04T10:20:34Z,5788046914,Adzuna::API::Response::Job,Manager in Training,,0,https://www.adzuna.com/details/5788046914?utm_medium=api&utm_source=abfa41a4,"West Coast BU - Region 06 - Market 04: 49727 Twenty Nine Palms Hwy, Morongo Valley, California 92256 Shift Availability Flexible (Days, Evenings, Overnights  Weekends) Time Type Full time Minimum Qualifications The minimum qualifications for a Store Manager are: High School diploma or GED preferred. Experience in retail sales preferred. Experience to perform the essential duties, responsibilities and working in the conditions described below. Ability to supervise and train for the use of equipm…",['US'],US,Adzuna::API::Response::Location,retail-jobs,Adzuna::API::Response::Category,Retail Jobs,Circle K Stores,Adzuna::API::Response::Company,full_time,
