salary_is_predicted,contract_time,adref,__CLASS__,salary_min,title,latitude,created,description,longitude,id,redirect_url,salary_max,category.tag,category.label,category.__CLASS__,company.__CLASS__,company.display_name,location.area,location.__CLASS__,location.display_name,contract_type
1,part_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVEZXSXk0QjQ4UkctMnRIQXhOQW5aUSIsImkiOiI1Nzg5MTc5MTI4In0.zR1GKYy-G0Zf4ymD-cRiFjfJH5mZz82m279mjEQzFPU,Adzuna::API::Response::Job,54507.71,Estate and Move Team Manager,40.986761,2026-07-05T10:23:24Z,"Estate and Move Team Manager Part Time Experienced Estate & Move Team Manager General Labor (Non-exempt/Part-time) Title Help Seniors Relocate, Part Time Caring Transitions of East Stroudsburg is seeking individuals with management and auction/online selling experience who are interested in part-time, flexible employment to lead the coordination, sorting, and staging of items for estate sales and online auctions and relocation services in East Stroudsburg and surrounding areas. The ideal candid…",-75.194625,5789179128,https://www.adzuna.com/details/5789179128?utm_medium=api&utm_source=abfa41a4,54507.71,logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Caring Transitions,"['US', 'Pennsylvania', 'Monroe County', 'Stroudsburg']",Adzuna::API::Response::Location,"Stroudsburg, Monroe County",
1,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4OTE3OTEwNyIsInMiOiJURldJeTRCNDhSRy0ydEhBeE5BblpRIn0.SxNfAKAsMHGhT6HvlCUsh3-MyUUfwFmOP3ojbE1r-bk,Adzuna::API::Response::Job,66691.0,Production Team Partner - Washroom Operator - UniFirst,39.103829,2026-07-05T10:20:14Z,"Our Production Team is Kind of a Big Deal! UniFirst is seeking a reliable and hardworking Production Team Partner to join our UniFirst Family. As a Team Partner working in the Wash Aisle Department, you are at the heart of our plant floor operations. Here you will be loading and unloading industrial washers and dryers. At UniFirst we have a 5-day work week, enjoy Saturday and Sunday off We have an immediate opening and provide on the job training. Pay & Benefits: On the job training & great hou…",-94.572672,5789179107,https://www.adzuna.com/land/ad/5789179107?se=TFWIy4B48RG-2tHAxNAnZQ&utm_medium=api&utm_source=abfa41a4&v=F870860E2BDDC48131A6C9A3BE9DFDFA8B30991B,66691.0,hr-jobs,HR & Recruitment Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,UniFirst,"['US', 'Missouri', 'Jackson County', 'Kansas City']",Adzuna::API::Response::Location,"Kansas City, Jackson County",
0,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVEZXSXk0QjQ4UkctMnRIQXhOQW5aUSIsImkiOiI1Nzg5MTc5MDg2In0.zmlhzjGVjAARwOhY7G2YZz2sGGcnoo7k_0VVd9wvHyQ,Adzuna::API::Response::Job,0.0,Certified Nursing Assistant (CNA) - Acute - up to $20/hr,28.729245,2026-07-05T10:19:04Z,"Take control of your career: Build your CNA schedule around your life If you're tired of having little control over your schedule or want the flexibility to earn on your terms, flexible acute CNA shifts as an independent contractor could be exactly what you're looking for. Independent certified nursing assistants like you use ShiftKey to connect with a nationwide network of hospitals. You bid on the shifts that match your preferences, and you choose your rate. Choose the hospitals you want. Pic…",-96.225475,5789179086,https://www.adzuna.com/land/ad/5789179086?se=TFWIy4B48RG-2tHAxNAnZQ&utm_medium=api&utm_source=abfa41a4&v=2A35D5C85FCB7B3CC545508CF7EA5FEB13AB1C78,41600.0,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,"Shiftkey, LLC","['US', 'Texas', 'Matagorda County', 'Palacios']",Adzuna::API::Response::Location,"Palacios, Matagorda County",
1,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4OTE3OTA4OSIsInMiOiJURldJeTRCNDhSRy0ydEhBeE5BblpRIn0.F2uwpcn-0iP_bU4w09p6HKALD36zP0LMNRSEtH471VM,Adzuna::API::Response::Job,23955.79,RN,31.43508,2026-07-05T10:19:04Z,"Take control of your career: Build your RN schedule around your life If you're tired of having little say over your schedule or simply want to earn extra income on your terms, flexible acute RN shifts as an independent contractor could be exactly what you're looking for. ShiftKey helps independent registered nurses like you to connect with a nationwide network of hospitals. You bid on the shifts that match your preferences, and you choose your rate. Choose the hospitals you want. Pick the days …",-97.74078,5789179089,https://www.adzuna.com/land/ad/5789179089?se=TFWIy4B48RG-2tHAxNAnZQ&utm_medium=api&utm_source=abfa41a4&v=B8B90465DC9C0B93EE548F75F9BADCB7EDBB91A9,23955.79,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,"Shiftkey, LLC","['US', 'Texas', 'Coryell County', 'Gatesville']",Adzuna::API::Response::Location,"Gatesville, Coryell County",
1,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4OTE3OTA3MyIsInMiOiJURldJeTRCNDhSRy0ydEhBeE5BblpRIn0.0tNr80rmo0AJl6ZkiNUp8sh3RQrOJfT_QfNMxf_PXe0,Adzuna::API::Response::Job,22440.02,RN,33.41711,2026-07-05T10:19:04Z,"Take control of your career: Build your RN schedule around your life If you're tired of having little say over your schedule or simply want to earn extra income on your terms, flexible acute RN shifts as an independent contractor could be exactly what you're looking for. ShiftKey helps independent registered nurses like you to connect with a nationwide network of hospitals. You bid on the shifts that match your preferences, and you choose your rate. Choose the hospitals you want. Pick the days …",-99.814203,5789179073,https://www.adzuna.com/land/ad/5789179073?se=TFWIy4B48RG-2tHAxNAnZQ&utm_medium=api&utm_source=abfa41a4&v=EE8207201BB19748E076FC4DBE455D6628E08A00,22440.02,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,"Shiftkey, LLC","['US', 'Texas', 'Haskell County', 'Rochester']",Adzuna::API::Response::Location,"Rochester, Haskell County",
1,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4OTE3OTA4MyIsInMiOiJURldJeTRCNDhSRy0ydEhBeE5BblpRIn0.uWfh8YvhYyDlmgLpwIso30NOXZoyYDJ_pU1f6J4P8n8,Adzuna::API::Response::Job,34179.09,Licensed Practical Nurse (LPN),34.926537,2026-07-05T10:19:04Z,"Take control of your career: Build your LPN schedule around your life If you're tired of having little control over your schedule or want the flexibility to earn on your terms, flexible acute LPN shifts as an independent contractor could be exactly what you're looking for. Independent licensed practical nurses like you use ShiftKey to connect with a nationwide network of hospitals. You bid on the shifts that match your preferences, and you choose your rate. Choose the hospitals you want. Pick t…",-88.519963,5789179083,https://www.adzuna.com/land/ad/5789179083?se=TFWIy4B48RG-2tHAxNAnZQ&utm_medium=api&utm_source=abfa41a4&v=B239FEFFA7462D42A975C0338A17BF4E7AEDD8CB,34179.09,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,"Shiftkey, LLC","['US', 'Mississippi', 'Alcorn County', 'Corinth']",Adzuna::API::Response::Location,"Corinth, Alcorn County",
1,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4OTE3OTA3MiIsInMiOiJURldJeTRCNDhSRy0ydEhBeE5BblpRIn0.v0zpHgfdpxs90XQ1eRBEncR_nkT1Dp6WONXLa_cNNbI,Adzuna::API::Response::Job,25094.15,RN,34.15494,2026-07-05T10:19:04Z,"Take control of your career: Build your RN schedule around your life If you're tired of having little say over your schedule or simply want to earn extra income on your terms, flexible acute RN shifts as an independent contractor could be exactly what you're looking for. ShiftKey helps independent registered nurses like you to connect with a nationwide network of hospitals. You bid on the shifts that match your preferences, and you choose your rate. Choose the hospitals you want. Pick the days …",-103.33572,5789179072,https://www.adzuna.com/land/ad/5789179072?se=TFWIy4B48RG-2tHAxNAnZQ&utm_medium=api&utm_source=abfa41a4&v=3886A13669B1930EB8E9AE6F8003BBD2FE983A4A,25094.15,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,"Shiftkey, LLC","['US', 'New Mexico', 'Roosevelt County', 'Portales']",Adzuna::API::Response::Location,"Portales, Roosevelt County",
1,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVEZXSXk0QjQ4UkctMnRIQXhOQW5aUSIsImkiOiI1Nzg5MTc5MDg3In0.WsfJSLsFr_D8ZrPfX710Z7QfuKqyPgiC1xYXzzOeFho,Adzuna::API::Response::Job,22289.12,RN,29.98968,2026-07-05T10:19:04Z,"Take control of your career: Build your RN schedule around your life If you're tired of having little say over your schedule or simply want to earn extra income on your terms, flexible acute RN shifts as an independent contractor could be exactly what you're looking for. ShiftKey helps independent registered nurses like you to connect with a nationwide network of hospitals. You bid on the shifts that match your preferences, and you choose your rate. Choose the hospitals you want. Pick the days …",-96.25404,5789179087,https://www.adzuna.com/land/ad/5789179087?se=TFWIy4B48RG-2tHAxNAnZQ&utm_medium=api&utm_source=abfa41a4&v=B0F15039213A8B2FDEFAC78D96C721F325773BC7,22289.12,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,"Shiftkey, LLC","['US', 'Texas', 'Austin County', 'Bellville']",Adzuna::API::Response::Location,"Bellville, Austin County",
0,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVEZXSXk0QjQ4UkctMnRIQXhOQW5aUSIsImkiOiI1Nzg5MTc5MDc0In0.FqQGfI4l0h_0wy_VMJzHE56Jglg1MsAWoyehkDZ-GXg,Adzuna::API::Response::Job,0.0,Certified Nursing Assistant (CNA) - Acute - up to $20/hr,31.43508,2026-07-05T10:19:04Z,"Take control of your career: Build your CNA schedule around your life If you're tired of having little control over your schedule or want the flexibility to earn on your terms, flexible acute CNA shifts as an independent contractor could be exactly what you're looking for. Independent certified nursing assistants like you use ShiftKey to connect with a nationwide network of hospitals. You bid on the shifts that match your preferences, and you choose your rate. Choose the hospitals you want. Pic…",-97.74078,5789179074,https://www.adzuna.com/land/ad/5789179074?se=TFWIy4B48RG-2tHAxNAnZQ&utm_medium=api&utm_source=abfa41a4&v=38476AA7D0641ECBE0146AE2433216D1DCD38D25,41600.0,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,"Shiftkey, LLC","['US', 'Texas', 'Coryell County', 'Gatesville']",Adzuna::API::Response::Location,"Gatesville, Coryell County",
1,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVEZXSXk0QjQ4UkctMnRIQXhOQW5aUSIsImkiOiI1Nzg5MTc5MDcwIn0.iUl3GVc88RgqAkE6gw_WVWPZYZbes-N-VMcYWkYZ4OQ,Adzuna::API::Response::Job,21709.15,RN,28.729245,2026-07-05T10:19:04Z,"Take control of your career: Build your RN schedule around your life If you're tired of having little say over your schedule or simply want to earn extra income on your terms, flexible acute RN shifts as an independent contractor could be exactly what you're looking for. ShiftKey helps independent registered nurses like you to connect with a nationwide network of hospitals. You bid on the shifts that match your preferences, and you choose your rate. Choose the hospitals you want. Pick the days …",-96.225475,5789179070,https://www.adzuna.com/land/ad/5789179070?se=TFWIy4B48RG-2tHAxNAnZQ&utm_medium=api&utm_source=abfa41a4&v=174422EE00A6E31C67FF3026FA420F14C5579213,21709.15,healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,"Shiftkey, LLC","['US', 'Texas', 'Matagorda County', 'Palacios']",Adzuna::API::Response::Location,"Palacios, Matagorda County",
