longitude,redirect_url,id,title,salary_min,salary_max,description,salary_is_predicted,__CLASS__,created,contract_time,latitude,adref,company.display_name,company.__CLASS__,category.label,category.tag,category.__CLASS__,location.area,location.display_name,location.__CLASS__,contract_type
-75.464193,https://www.adzuna.com/land/ad/5790056202?se=eJl6bld58RGs0aSJ14Phbw&utm_medium=api&utm_source=abfa41a4&v=A38215BAE68B97DAD6A6A2FF77D43F7C1D105AA2,5790056202,"Police Officer (Secret Service Police), $75,000 Recruitment Incentive",41480.33,41480.33,"NOTE: This position must be performed in Washington, DC so relocation to Washington, DC will be required. Recruitment Incentive: Applicants may be eligible for a $75,000 recruitment incentive in accordance with regulatory requirements. Click apply to view full details and eligibility of this recruitment incentive. At their core, those who join the Secret Service are courageous, intelligent, strong and determined. A diverse team capable of balancing our investigative mission and fulfilling our p…",1,Adzuna::API::Response::Job,2026-07-06T12:15:23Z,full_time,39.802671,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MDA1NjIwMiIsInMiOiJlSmw2YmxkNThSR3MwYVNKMTRQaGJ3In0.L02bVrReQq1dL4pdk3SOUC503rVTeWDSM2kKHHCtKkQ,The United States Secret Service,Adzuna::API::Response::Company,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"['US', 'Delaware', 'New Castle County', 'Claymont']","Claymont, New Castle County",Adzuna::API::Response::Location,
-108.288023,https://www.adzuna.com/land/ad/5790056213?se=eJl6bld58RGs0aSJ14Phbw&utm_medium=api&utm_source=abfa41a4&v=E18C55F94922D83C67513A37C071BC83856D04B0,5790056213,"Police Officer (Secret Service Police), $75,000 Recruitment Incentive",31979.9,31979.9,"NOTE: This position must be performed in Washington, DC so relocation to Washington, DC will be required. Recruitment Incentive: Applicants may be eligible for a $75,000 recruitment incentive in accordance with regulatory requirements. Click apply to view full details and eligibility of this recruitment incentive. At their core, those who join the Secret Service are courageous, intelligent, strong and determined. A diverse team capable of balancing our investigative mission and fulfilling our p…",1,Adzuna::API::Response::Job,2026-07-06T12:15:23Z,full_time,45.887281,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUpsNmJsZDU4UkdzMGFTSjE0UGhidyIsImkiOiI1NzkwMDU2MjEzIn0.jJJ2JZzHlFA-XZxgq43YjcyoSdT1vljm9StFdokZfOI,The United States Secret Service,Adzuna::API::Response::Company,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"['US', 'Montana', 'Yellowstone County', 'Huntley']","Huntley, Yellowstone County",Adzuna::API::Response::Location,
-90.1548,https://www.adzuna.com/land/ad/5790056220?se=eJl6bld58RGs0aSJ14Phbw&utm_medium=api&utm_source=abfa41a4&v=F1FCDA9B7CAD0ED39002CC083DFBB0EE2F15CD32,5790056220,"Police Officer (Secret Service Police), $75,000 Recruitment Incentive",28720.45,28720.45,"NOTE: This position must be performed in Washington, DC so relocation to Washington, DC will be required. Recruitment Incentive: Applicants may be eligible for a $75,000 recruitment incentive in accordance with regulatory requirements. Click apply to view full details and eligibility of this recruitment incentive. At their core, those who join the Secret Service are courageous, intelligent, strong and determined. A diverse team capable of balancing our investigative mission and fulfilling our p…",1,Adzuna::API::Response::Job,2026-07-06T12:15:23Z,full_time,32.2377,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUpsNmJsZDU4UkdzMGFTSjE0UGhidyIsImkiOiI1NzkwMDU2MjIwIn0.pUV8LVMlh8ku93yb_LAbNYy8GGYJ6slIjpnJ2EoRWYQ,The United States Secret Service,Adzuna::API::Response::Company,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"['US', 'Mississippi', 'Rankin County', 'Richland']","Richland, Rankin County",Adzuna::API::Response::Location,
-77.00269,https://www.adzuna.com/land/ad/5790056198?se=eJl6bld58RGs0aSJ14Phbw&utm_medium=api&utm_source=abfa41a4&v=F1B3D49B08DFBC91BC16C7EE7A6220C138E8AE3F,5790056198,"Police Officer (Secret Service Police), Canine Explosives Detection, $75,000 Recruitment Incentive",43587.16,43587.16,"Recruitment Incentive: Applicants may be eligible for a $75,000 recruitment incentive in accordance with regulatory requirements. Click apply to view full details and eligibility of this recruitment incentive. The Canine Explosives Detection Team (K9) is a specialized unit within the U.S. Secret Service Police that provides full-time explosive detection support to the Presidential Protective Division. On order, K9 will also provide support to designated protectees, protected venues, and Nationa…",1,Adzuna::API::Response::Job,2026-07-06T12:15:23Z,full_time,38.86189,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUpsNmJsZDU4UkdzMGFTSjE0UGhidyIsImkiOiI1NzkwMDU2MTk4In0.MMnTX7hM_HZgSc-2Au88ikzO4m1csIqgMhkkXK8ubkg,The United States Secret Service,Adzuna::API::Response::Company,Social work Jobs,social-work-jobs,Adzuna::API::Response::Category,"['US', 'Maryland', ""Prince George's County"", 'Hillcrest Heights']","Hillcrest Heights, Prince George's County",Adzuna::API::Response::Location,
-73.997006,https://www.adzuna.com/land/ad/5790056070?se=eJl6bld58RGs0aSJ14Phbw&utm_medium=api&utm_source=abfa41a4&v=6CB126371256F96EBC218AF114C56F7F428C5030,5790056070,"Physician / Psychiatry / New York / Locum tenens / Psychiatrist Locums Job in Harlem, New York City Job",247852.36,247852.36,"Psychiatrist Locums Job in Harlem, New York City Details/Requirements: Bilingual in Spanish preferred Coverage needed on 3 days a week Initial 3 month contract (4 week credentialing timeline) OP, with some addiction Suboxone required All ages On-site New York license required New York Medicare and Medicaid credentialed Jackson and Coker offers:  Weekly Direct Deposit  Top Rated Malpractice Insurance  In-House Travel Agency  24/7 Recruiter Availability  Experienced In-House Privileging Coordinat…",1,Adzuna::API::Response::Job,2026-07-06T12:15:07Z,,40.750133,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MDA1NjA3MCIsInMiOiJlSmw2YmxkNThSR3MwYVNKMTRQaGJ3In0.gtZ68tOwJWF0SUR5Ct7Fjh92Sw34p4FOVgLaNiAVU8w,Jackson and Coker Locum Tenens,Adzuna::API::Response::Company,Hospitality & Catering Jobs,hospitality-catering-jobs,Adzuna::API::Response::Category,"['US', 'New York', 'New York City', 'Manhattan', 'Chelsea and Clinton']","Chelsea and Clinton, Manhattan",Adzuna::API::Response::Location,contract
-85.77405,https://www.adzuna.com/land/ad/5790056081?se=eJl6bld58RGs0aSJ14Phbw&utm_medium=api&utm_source=abfa41a4&v=56AFC2FFE602A537F28DC820B3858EE6B86F4DB8,5790056081,Physician / Kentucky / Locum Tenens / Louisville Kentucky Income Guarantee Job,156503.94,156503.94,"Our client in the lower Midwest is seeking a full-time fellowship-trained academic Radiologist. The position is at the proposed rank of Assistant or Associate Professor, commensurate with experience. The musculoskeletal radiology team covers a busy workload of inpatient and outpatient cross-sectional and radiographic imaging for trauma, sports medicine, and Orthopedic Oncology. While optional, if interested, the desired candidate will have strong research record of scholarly activity.Hospital E…",1,Adzuna::API::Response::Job,2026-07-06T12:15:07Z,full_time,38.24465,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MDA1NjA4MSIsInMiOiJlSmw2YmxkNThSR3MwYVNKMTRQaGJ3In0.YDi2vkw6gCOvXeyCRw7K_KqN-6soQywKozzmwXTE2Hs,The Curare Group,Adzuna::API::Response::Company,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"['US', 'Kentucky', 'Jefferson County', 'Louisville']","Louisville, Jefferson County",Adzuna::API::Response::Location,contract
,https://www.adzuna.com/land/ad/5790056048?se=eJl6bld58RGs0aSJ14Phbw&utm_medium=api&utm_source=abfa41a4&v=736A5E852DB6E0DBB0DC09EC048A6683EC6A4C88,5790056048,Physician / Pulmonology / Connecticut / Permanent / Pulmonology Hartford CT Job,53207.78,53207.78,"Pulmonary Physician Hartford Connecticut Description:A Multispecialty Group has a current opening for a Board Certified or Board Eligible Pulmonologist to join our Pulmonary group for a full time position. We have over 250 physicians and advanced practitioners in other specialties in addition to this group. As a physician-owned corporation, partnership is available following two years of successful practice.New grads welcome to apply.Will not consider Visa candidates You will be part of a team …",1,Adzuna::API::Response::Job,2026-07-06T12:15:07Z,full_time,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUpsNmJsZDU4UkdzMGFTSjE0UGhidyIsImkiOiI1NzkwMDU2MDQ4In0.DNN5os_ADMCIK3u14gWP2HBD58vg3qeC01HSIqckbkc,Continuum Medical Staffing,Adzuna::API::Response::Company,Manufacturing Jobs,manufacturing-jobs,Adzuna::API::Response::Category,['US'],US,Adzuna::API::Response::Location,permanent
-123.815725,https://www.adzuna.com/land/ad/5790056032?se=eJl6bld58RGs0aSJ14Phbw&utm_medium=api&utm_source=abfa41a4&v=6E5D05FC4A2DCC254E6BE7FCB4A5B2D81CE16E3D,5790056032,Physician / Family Practice / Washington / Permanent / Clinic Physician Job,131155.72,131155.72,"Clinic Physician provides clinical services within the scope of practice of his/her specialty; adheres to all treatment, procedure and medication guidelines as directed by clinic policies and state or federal law; conducts self in a professional manner, strictly following confidentiality policies and working cooperatively and supportive with other staff; regularly evaluates staff and provider performance, providing constructive feedback and realistic expectations.4 10 hour shifts.PTO accrual, C…",1,Adzuna::API::Response::Job,2026-07-06T12:15:07Z,full_time,46.651706,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MDA1NjAzMiIsInMiOiJlSmw2YmxkNThSR3MwYVNKMTRQaGJ3In0.8VZmHIpsRpPBAYSQ6C6OUDQG6rS_kfG2Yazt2iKrr2c,Continuum Medical Staffing,Adzuna::API::Response::Company,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"['US', 'Washington', 'Pacific County', 'South Bend']","South Bend, Pacific County",Adzuna::API::Response::Location,permanent
-81.7711,https://www.adzuna.com/land/ad/5790056061?se=eJl6bld58RGs0aSJ14Phbw&utm_medium=api&utm_source=abfa41a4&v=B73A2B6FBF9FD88C6228D6ADB1035B2456B7A478,5790056061,"Physician / Medical Director / Florida / Locum tenens / Medical Director Needed in Jacksonville, FL Job",123454.04,123454.04,"I work with a plasma donation center in Jacksonville, FL. We have an open position for a Medical Director to join us 4 hours a week. Must be a Pathologist and/or have experience in this position. Paid training provided. Must be within 50 miles of the clinic. Competitive salary with Malpractice included. I look forward to speaking with you. Would you send your CV and contact information?",1,Adzuna::API::Response::Job,2026-07-06T12:15:07Z,full_time,30.3355,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MDA1NjA2MSIsInMiOiJlSmw2YmxkNThSR3MwYVNKMTRQaGJ3In0.mYLSh3WAbNWG-U3F-wCEOTsA9mdlOZc51PNaJHb2qu0,Samuel Contract Staffing LLC,Adzuna::API::Response::Company,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,"['US', 'Florida', 'Duval County', 'Jacksonville']","Jacksonville, Duval County",Adzuna::API::Response::Location,contract
-111.8036,https://www.adzuna.com/land/ad/5790056044?se=eJl6bld58RGs0aSJ14Phbw&utm_medium=api&utm_source=abfa41a4&v=755D31E884C5AC4B6B07F78A499902F0F09B63FD,5790056044,Physician / Emergency Medicine / Indiana / Permanent / Looking to hire a Physician part time n Indianapolis. Job,100080.59,100080.59,"Good Day Dr, I am working with a large group in Indianapolis, IN. We are looking to hire a Physician part time to do Social Security exams. Looking for a Physician who can work Fridays with a $500 bonus for a Physician who can start this Fri Sept 2. Do you have moment to talk?SincerelyAndrea",1,Adzuna::API::Response::Job,2026-07-06T12:15:07Z,full_time,33.3518,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUpsNmJsZDU4UkdzMGFTSjE0UGhidyIsImkiOiI1NzkwMDU2MDQ0In0.maAQObu6x4si7CWuwIJQlfIlVZSztTaWnMCG-LDjHo4,Samuel Contract Staffing LLC,Adzuna::API::Response::Company,Part time Jobs,part-time-jobs,Adzuna::API::Response::Category,"['US', 'Arizona', 'Maricopa County', 'Gilbert']","Gilbert, Maricopa County",Adzuna::API::Response::Location,permanent
