adref,id,latitude,redirect_url,title,salary_min,contract_time,created,salary_max,longitude,salary_is_predicted,description,__CLASS__,location.area,location.__CLASS__,location.display_name,company.__CLASS__,company.display_name,category.label,category.__CLASS__,category.tag,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MjUyNTIxNSIsInMiOiJISU9EcHVGNjhSR2g3czIxbnhzMWJ3In0.MXeRYt7Nh97WbzC7Te8q3P5AT4-ENxyTwlOp64-IIQU,5792525215,32.501095,https://www.adzuna.com/land/ad/5792525215?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=4DD2B6AC7D3D222B4294F15B36B75CC786278E6E,Uber Eats Seasonal Delivery - Driver,24204.49,part_time,2026-07-08T11:16:16Z,24204.49,-98.406346,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'Texas', 'Palo Pinto County', 'Gordon']",Adzuna::API::Response::Location,"Gordon, Palo Pinto County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MjUyNTAxMSIsInMiOiJISU9EcHVGNjhSR2g3czIxbnhzMWJ3In0.qu_-bPYj-ffxOTeG0BEcqMzbaCmhRzJOzYbO-lsS58Q,5792525011,39.842256,https://www.adzuna.com/land/ad/5792525011?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=A28FFA25316E3B65C956D5601491D2F023015B97,Deliver with Uber on your schedule,25415.83,part_time,2026-07-08T11:16:15Z,25415.83,-76.072215,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'Pennsylvania', 'Lancaster County', 'Colerain']",Adzuna::API::Response::Location,"Colerain, Lancaster County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MjUyNTA0OCIsInMiOiJISU9EcHVGNjhSR2g3czIxbnhzMWJ3In0.h-99lGfS1MkNWYj_HoGnDt4LwNIkC1CXLEfU85qwm3U,5792525048,43.1655,https://www.adzuna.com/land/ad/5792525048?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=85CDB8863A231DB0ABFFBD28F0BE9B254DBB88F0,Deliver Food with Uber Eats,24957.97,part_time,2026-07-08T11:16:15Z,24957.97,-76.5372,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'New York', 'Cayuga County', 'Meridian']",Adzuna::API::Response::Location,"Meridian, Cayuga County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MjUyNTA2MyIsInMiOiJISU9EcHVGNjhSR2g3czIxbnhzMWJ3In0.z16PPgsGi1JxiwEsUJIRvSBY4PP5C2-wMhSvo2-dRfo,5792525063,30.302738,https://www.adzuna.com/land/ad/5792525063?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=2AFC7DB4B89524CE1F25CB842F2F5B8E2172AB8C,Uber Eats Seasonal Delivery - Driver,23030.02,part_time,2026-07-08T11:16:15Z,23030.02,-81.975387,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'Florida', 'Duval County', 'Baldwin']",Adzuna::API::Response::Location,"Baldwin, Duval County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MjUyNDkwOSIsInMiOiJISU9EcHVGNjhSR2g3czIxbnhzMWJ3In0.l83nW9D9uu-8pA9EdFIHEYzt9OFwlcWyNwW18IrHP0w,5792524909,40.383931,https://www.adzuna.com/land/ad/5792524909?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=2C180A1D8085CFA3C679826B16E70401C01A36E0,Want Cash Jobs? Earn With Uber Instead,23462.66,part_time,2026-07-08T11:16:14Z,23462.66,-76.655605,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'Pennsylvania', 'Dauphin County', 'Grantville']",Adzuna::API::Response::Location,"Grantville, Dauphin County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MjUyNDkzMCIsInMiOiJISU9EcHVGNjhSR2g3czIxbnhzMWJ3In0.MHiRMdiSHi-C1S3RBlqKfSxnxBPRcP_oRPHSdBw1N_g,5792524930,31.4094,https://www.adzuna.com/land/ad/5792524930?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=952F9664E58E529C690D97EE5E45391949B0888C,Food Delivery with Uber Eats,22742.38,part_time,2026-07-08T11:16:14Z,22742.38,-82.11192,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'Georgia', 'Pierce County', 'Offerman']",Adzuna::API::Response::Location,"Offerman, Pierce County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSElPRHB1RjY4UkdoN3MyMW54czFidyIsImkiOiI1NzkyNTI0OTIzIn0.UAThxHb_5t-CWnYNW8c1OHxb7oCGzzivUBVDbF8nyXQ,5792524923,38.67516,https://www.adzuna.com/land/ad/5792524923?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=0E2E18787514CBF2122E9E044893F615FBA64252,Students - Deliver with Uber Eats,31481.48,part_time,2026-07-08T11:16:14Z,31481.48,-111.98982,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'Utah', 'Sevier County', 'Annabella']",Adzuna::API::Response::Location,"Annabella, Sevier County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSElPRHB1RjY4UkdoN3MyMW54czFidyIsImkiOiI1NzkyNTI0OTQ1In0.ULag79qAoj85jn4Gz7yMU-lnOZtHOL_Xv_WaJZI_1SQ,5792524945,40.965811,https://www.adzuna.com/land/ad/5792524945?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=C4AFB0780D3162BDF31CB7BB797F29A0F2B686A5,Need a gig? Deliver with Uber Eats!,28668.59,part_time,2026-07-08T11:16:14Z,28668.59,-88.958442,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'Illinois', 'LaSalle County', 'Dana']",Adzuna::API::Response::Location,"Dana, LaSalle County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSElPRHB1RjY4UkdoN3MyMW54czFidyIsImkiOiI1NzkyNTI0OTYzIn0.3UhNHKDniD5AT2F6UAjUO7YNW7DwhS3BIJuI0LHuGtY,5792524963,34.645728,https://www.adzuna.com/land/ad/5792524963?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=44116B02F361C5E2ABB83F46EF47545D5E1E27DB,Deliver Food with Uber - Flexible Gig,25937.56,part_time,2026-07-08T11:16:14Z,25937.56,-111.127653,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'Arizona', 'Gila County', 'Star Valley']",Adzuna::API::Response::Location,"Star Valley, Gila County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSElPRHB1RjY4UkdoN3MyMW54czFidyIsImkiOiI1NzkyNTI0OTA3In0.r8aAw-Y_AJdQIJ-y4F-JSZrhx2oU4ODWnHlCXlQUSH0,5792524907,34.575528,https://www.adzuna.com/land/ad/5792524907?se=HIODpuF68RGh7s21nxs1bw&utm_medium=api&utm_source=abfa41a4&v=8B88ADB6239EE94922E37EBF5D724477CE834C94,Deliver Food with Uber - Flexible Gig,34331.09,part_time,2026-07-08T11:16:14Z,34331.09,-112.44757,1,"Your Schedule. Your Goals. Start Delivering with Uber. What is Uber? Delivering with Uber is an alternative to a part-time or full-time job and can get you earning cash quickly. Delivering with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss:…",Adzuna::API::Response::Job,"['US', 'Arizona', 'Yavapai County', 'Prescott']",Adzuna::API::Response::Location,"Prescott, Yavapai County",Adzuna::API::Response::Company,Uber eats,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,
